"pathwayName","pathwayId","pathwaySource","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","analytes","cluster_assignment"
"Transport of bile salts and organic acids, metal ions and amine compounds","R-HSA-425366","reactome",5.419e-05,35,78,0.00524032,0.08821848,"Taurine;beta-Alanine;Spermidine;Quinine;L-Proline;L-Alloisoleucine;D-Arginine;D-Asparagine;L-Allothreonine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);1-Methylnicotinamide;D-Leucine;Oxidized-adrenal-ferredoxin;D-Alanine;D-Proline;(±)-erythro-Isoleucine;neo-Inositol;muco-Inositol;epi-Inositol;scyllo-Inositol;Ergothioneine;Desipramine;Imipramine;Epinephrine;Histamine;Cimetidine;L-Cysteine;L-Carnitine;Levoinositol;4-Aminobutanoic acid; gamma-Aminobutyric acid;L-Alanine;Quinidine;L-Glutamine;L-Lysine;cis-Inositol;Aciclovir;D-Glutamine;L-Tyrosine; Tyrosine;Creatinine;L-Leucine;Dopamine;Choline;L-Phenylalanine; Phenylalanine;allo-Inositol;D-chiro-Inositol;Uric acid;Betaine;L-Asparagine;Spermine;L-Valine;L-Threonine;L-Isoleucine;Arginine; L-Arginine;Ammonia;myo-Inositol;D-Cysteine;D-Lysine;Cho; Choline;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;Spermine; SPN;TAU; Taurine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;Spermidine; SPM;CREAT; Creatinine;1-Methylnicotinamide; MNA;4-amino-butanoic acid; gamma-Aminobutyric acid; γ-aminobutyric acid;b-Ala; beta-Alanine;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Ins; myo-Inositol;Cysteine; L-Cysteine;7,9-dihydro-1H-purine-2,6,8(3H)-trione; urate; Uric acid;L-Tyrosine;6-Hydroxysandoricin; tyrosine;DA; Dopamine;Hist; Histamine;DL-Asparagine;Aciclovir; ACV; acyclovir;DL-Proline; proline;2-Amino-3-methylbutanoic acid; D-Valine; Valine;1D-chiro-inositol; CHI; D-chiro-Inositol;D-Phenylalanine; Phe;ADR; Epinephrine;arginine; DL-Arginine;L-Arg; L-argininium(1+);Epinephrine; Oxidized-adrenal-ferredoxin;D-Threonine;BET; Betaine;alloisoleucine; L-Alloisoleucine;IMIP; Imipramine;DESI; Desipramine;Ergothioneine; ERGT;(S)-carnitinium;4-amino-butanoic acid; GABA; gamma-Aminobutyric acid;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;myo-Inositol; Myoinositol;Glutamine; L-Glutamine;L-Valine; valine;Alanine; D-Alanine;Aciclovir; ACV;CHI; D-chiro-Inositol;(R)-(6-Methoxy-4-quinolyl)-(5-vinylquinuclidin-2-yl)methanol;D-Tyrosine; tyrosine;D-Valine; Valine;Avenanthramide K;Orgothionenine","1"
"SLC-mediated transmembrane transport","R-HSA-425407","reactome",0.00054179,57,158,0.02873251,0.87445402,"Taurine;beta-Alanine;(S)-Lipoic acid;(R)-Lipoic acid;Spermidine;L-Galactose;Ursodeoxycholic acid;Quinine;Phosphate;Dodecanoic acid;L-Proline;Cytarabine;L-Alloisoleucine;Allochenodeoxycholic acid;Homo-L-arginine;D-Arginine;L-Targinine;D-Aspartic acid;N-Acetylneuraminic acid;D-Asparagine;N-Acetyl-a-neuraminic acid;L-Allothreonine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);3a,7a-Dihydroxycholanoic acid;1-Methylnicotinamide;D-Leucine;Oxidized-adrenal-ferredoxin;Capric acid;D-Alanine;Telbivudine;D-Proline;D-Mannose;D-Galactose;(±)-erythro-Isoleucine;Chenodeoxycholic acid;neo-Inositol;muco-Inositol;epi-Inositol;scyllo-Inositol;D-Glucose;alpha-D-Glucose;Ergothioneine;Desipramine;Imipramine;Thymidine;Epinephrine;Histamine;Cimetidine;L-Cysteine;L-Carnitine;Myristic acid;Levoinositol;4-Aminobutanoic acid; gamma-Aminobutyric acid;L-Alanine;Quinidine;L-Aspartic acid;L-Glutamine;Glutamate; L-Glutamic acid;L-Lysine;3b,7a-Dihydroxy-5b-cholanoic acid;cis-Inositol;Inosine;Aciclovir;D-Glutamine;L-Tyrosine; Tyrosine;Creatinine;L-Gulose;Allose;L-Leucine;Dopamine;Choline;Cytidine monophosphate;L-Phenylalanine; Phenylalanine;allo-Inositol;D-chiro-Inositol;Cytidine;Hypoxanthine;D-Glutamic acid;Uric acid;Betaine;L-Asparagine;Arabinosylhypoxanthine;Cytosine;Spermine;L-Valine;L-Threonine;beta-D-Galactose;Adenine;L-Isoleucine;Guanine;Arginine; L-Arginine;Ammonia;Isoursodeoxycholic acid;myo-Inositol;D-Cysteine;D-Lysine;S-Adenosylhomocysteine;Cho; Choline;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;Spermine; SPN;TAU; Taurine;beta-D-glucose; D-Glucose;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Cyt; Cytosine;Gua; Guanine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;LIPA; lipoic acid; Thioctic acid;N-(3alpha,7alpha-dihydroxy-5beta-cholan-24-oyl)-taurine; taurochenodeoxycholic acid; Taurochenodesoxycholic acid; TCDCA;Spermidine; SPM;AdoHcy; S-adenosyl-L-homocysteine; S-Adenosylhomocysteine;Ade; Adenine;CREAT; Creatinine;3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic Acid; CDCA; Chenodeoxycholic acid;1-Methylnicotinamide; MNA;4-amino-butanoic acid; gamma-Aminobutyric acid; γ-aminobutyric acid;b-Ala; beta-Alanine;Aspartate; L-Aspartic acid;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Ins; myo-Inositol;CMP; cytidine 5'-monophosphate; Cytidine monophosphate;D-Asp; D-Aspartic acid;Hyp; Hypoxanthine;Cysteine; L-Cysteine;Cyt-Rib; Cytidine;Ino; Inosine;Thy-dRib; Thymidine;7,9-dihydro-1H-purine-2,6,8(3H)-trione; urate; Uric acid;L-Tyrosine;alpha-D-Glucose; Glc;6-Hydroxysandoricin; tyrosine;DL-Glutamate; Glutamate;DA; Dopamine;Hist; Histamine;DL-Asparagine;Aciclovir; ACV; acyclovir;Phosphate; Pi;DL-Proline; proline;2-Amino-3-methylbutanoic acid; D-Valine; Valine;1D-chiro-inositol; CHI; D-chiro-Inositol;Homo-L-arginine; homoArg; L-homoarginine;D-Phenylalanine; Phe;alpha-D-galactose; D-Galactose; Gal;L-Targinine; methylArg; N(omega)-methyl-L-arginine;D-Mannose; Man;Myristic acid; MYSA; tetradecanoic acid;ADR; Epinephrine;arginine; DL-Arginine;(R)-Lipoic acid; 1,2-dithiolane-3R-pentanoic acid; Lipoic acid;DDCX; Dodecanoic acid;Capric acid; DECA; decanoic acid;L-Arg; L-argininium(1+);Epinephrine; Oxidized-adrenal-ferredoxin;D-Threonine;BET; Betaine;D-Glucose; Glucose;3beta,7beta-Dihydroxy-5beta-cholan-24-oic Acid; Isoursodeoxycholic acid;alloisoleucine; L-Alloisoleucine;IMIP; Imipramine;DESI; Desipramine;Ergothioneine; ERGT;(S)-carnitinium;3b,7a-Dihydroxy-5b-cholanoic acid; 3beta,7alpha-Dihydroxy-5beta-cholan-24-oic Acid;3alpha,7beta-Dihydroxy-5beta-cholan-24-oic Acid; Ursodeoxycholic acid;4-amino-butanoic acid; GABA; gamma-Aminobutyric acid;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;myo-Inositol; Myoinositol;Capric acid; DECA; Decanoic acid;3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic Acid; Chenodeoxycholic acid;Glutamine; L-Glutamine;Homo-L-arginine; homoArg;Myristic acid; tetradecanoic acid;L-Valine; valine;Alanine; D-Alanine;Aciclovir; ACV;L-Targinine; methylArg;CHI; D-chiro-Inositol;(R)-(6-Methoxy-4-quinolyl)-(5-vinylquinuclidin-2-yl)methanol;Cytosine arabinose-5'-phosphate;3,7-Dihydroxycholan-24-oic acid;3h-Sialic acid;Ara-HX;Arabinofuranosylcytosine;Methylarginine;D-Gulose;D-Tyrosine; tyrosine;D-Valine; Valine;LIPA; Thioctic acid;L-Thymidine;Avenanthramide K;Orgothionenine;Glucose","1"
"Transport of inorganic cations/anions and amino acids/oligopeptides","R-HSA-425393","reactome",0.00070315,24,53,0.03399918,1,"Taurine;beta-Alanine;Phosphate;L-Proline;L-Alloisoleucine;Homo-L-arginine;D-Arginine;L-Targinine;D-Aspartic acid;N-Acetylneuraminic acid;D-Asparagine;N-Acetyl-a-neuraminic acid;L-Allothreonine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-Leucine;D-Alanine;D-Proline;(±)-erythro-Isoleucine;L-Cysteine;4-Aminobutanoic acid; gamma-Aminobutyric acid;L-Alanine;L-Aspartic acid;L-Glutamine;Glutamate; L-Glutamic acid;L-Lysine;D-Glutamine;L-Tyrosine; Tyrosine;L-Leucine;L-Phenylalanine; Phenylalanine;D-Glutamic acid;Betaine;L-Asparagine;L-Valine;L-Threonine;L-Isoleucine;Arginine; L-Arginine;D-Cysteine;D-Lysine;S-Adenosylhomocysteine;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;AdoHcy; S-adenosyl-L-homocysteine; S-Adenosylhomocysteine;4-amino-butanoic acid; gamma-Aminobutyric acid; γ-aminobutyric acid;b-Ala; beta-Alanine;Aspartate; L-Aspartic acid;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;D-Asp; D-Aspartic acid;Cysteine; L-Cysteine;L-Tyrosine;6-Hydroxysandoricin; tyrosine;DL-Glutamate; Glutamate;DL-Asparagine;Phosphate; Pi;DL-Proline; proline;2-Amino-3-methylbutanoic acid; D-Valine; Valine;Homo-L-arginine; homoArg; L-homoarginine;D-Phenylalanine; Phe;L-Targinine; methylArg; N(omega)-methyl-L-arginine;arginine; DL-Arginine;L-Arg; L-argininium(1+);D-Threonine;BET; Betaine;alloisoleucine; L-Alloisoleucine;4-amino-butanoic acid; GABA; gamma-Aminobutyric acid;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;Glutamine; L-Glutamine;Homo-L-arginine; homoArg;L-Valine; valine;Alanine; D-Alanine;L-Targinine; methylArg;3h-Sialic acid;Methylarginine;D-Tyrosine; tyrosine;D-Valine; Valine","1"
"Amino acid transport across the plasma membrane","R-HSA-352230","reactome",5.11e-06,20,32,0.00093314,0.00836248,"Taurine;beta-Alanine;L-Proline;L-Alloisoleucine;Homo-L-arginine;D-Arginine;L-Targinine;D-Asparagine;L-Allothreonine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-Leucine;D-Alanine;D-Proline;(±)-erythro-Isoleucine;L-Cysteine;4-Aminobutanoic acid; gamma-Aminobutyric acid;L-Alanine;L-Glutamine;Glutamate; L-Glutamic acid;L-Lysine;D-Glutamine;L-Tyrosine; Tyrosine;L-Leucine;L-Phenylalanine; Phenylalanine;D-Glutamic acid;Betaine;L-Asparagine;L-Valine;L-Threonine;L-Isoleucine;Arginine; L-Arginine;D-Cysteine;D-Lysine;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;4-amino-butanoic acid; gamma-Aminobutyric acid; γ-aminobutyric acid;b-Ala; beta-Alanine;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Cysteine; L-Cysteine;L-Tyrosine;6-Hydroxysandoricin; tyrosine;DL-Glutamate; Glutamate;DL-Asparagine;DL-Proline; proline;2-Amino-3-methylbutanoic acid; D-Valine; Valine;Homo-L-arginine; homoArg; L-homoarginine;D-Phenylalanine; Phe;L-Targinine; methylArg; N(omega)-methyl-L-arginine;arginine; DL-Arginine;L-Arg; L-argininium(1+);D-Threonine;BET; Betaine;alloisoleucine; L-Alloisoleucine;4-amino-butanoic acid; GABA; gamma-Aminobutyric acid;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;Glutamine; L-Glutamine;Homo-L-arginine; homoArg;L-Valine; valine;Alanine; D-Alanine;L-Targinine; methylArg;Methylarginine;D-Tyrosine; tyrosine;D-Valine; Valine","1"
"Na+/Cl- dependent neurotransmitter transporters","R-HSA-442660","reactome",5.11e-06,20,32,0.00093314,0.00836248,"Taurine;beta-Alanine;L-Proline;L-Alloisoleucine;D-Arginine;D-Asparagine;L-Allothreonine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-Leucine;Oxidized-adrenal-ferredoxin;D-Alanine;D-Proline;(±)-erythro-Isoleucine;Epinephrine;Histamine;L-Cysteine;4-Aminobutanoic acid; gamma-Aminobutyric acid;L-Alanine;L-Glutamine;L-Lysine;D-Glutamine;L-Tyrosine; Tyrosine;L-Leucine;Dopamine;L-Phenylalanine; Phenylalanine;Betaine;L-Asparagine;L-Valine;L-Threonine;L-Isoleucine;Arginine; L-Arginine;D-Cysteine;D-Lysine;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;TAU; Taurine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;4-amino-butanoic acid; gamma-Aminobutyric acid; γ-aminobutyric acid;b-Ala; beta-Alanine;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Cysteine; L-Cysteine;L-Tyrosine;6-Hydroxysandoricin; tyrosine;DA; Dopamine;Hist; Histamine;DL-Asparagine;DL-Proline; proline;2-Amino-3-methylbutanoic acid; D-Valine; Valine;D-Phenylalanine; Phe;ADR; Epinephrine;arginine; DL-Arginine;L-Arg; L-argininium(1+);Epinephrine; Oxidized-adrenal-ferredoxin;D-Threonine;BET; Betaine;alloisoleucine; L-Alloisoleucine;4-amino-butanoic acid; GABA; gamma-Aminobutyric acid;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;Glutamine; L-Glutamine;L-Valine; valine;Alanine; D-Alanine;D-Tyrosine; tyrosine;D-Valine; Valine","1, 5"
"Cysteine and methionine catabolism","WP4504","wiki",0.00021137,16,39,0.01389987,0.34242392,"Taurine;3-Sulfinoalanine;Dimethylglycine;Thiosulfate;Cysteine-S-sulfate;L-Cysteine;Allocystathionine;L-Glutamine;Glutamate; L-Glutamic acid;L-Cystathionine;D-Glutamine;Homocysteine;gamma-Glutamylcysteine;D-Glutamic acid;Betaine;Glutathione;Ammonia;D-Cysteine;S-Adenosylhomocysteine;cysteine; DL-Cysteine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;AdoHcy; S-adenosyl-L-homocysteine; S-Adenosylhomocysteine;Glutathione; GSH;bisulfite; HSO3-; hydrogensulfite;Cystathionine; L-Cystathionine;Cysteine; L-Cysteine;Dimethylglycine; DMGLY;Cystathione;DL-Glutamate; Glutamate;Cysteine-S-sulfate; Sulphocysteine;BET; Betaine;S2O3 2- (thiosulfate); Thiosulfate;Glutamine; L-Glutamine;Glutathionate(1-);Cysteine sulfinic acid;Avenanthramide K;N-gamma-Glutamylcysteine;bisulfite; HSO3-","2"
"Methionine de novo and salvage pathway","WP3580","wiki",0.00044372,18,49,0.02431611,0.71661534,"Dimethylglycine;5-(Methylthio)-2,3-dioxopentyl phosphate;Spermidine;Pyrophosphate;Phosphate;5'-Methylthioadenosine;Glutamate; L-Glutamic acid;Homocysteine;Choline;3-Methylthiopropionic acid;5-Methylthioribose 1-phosphate;D-Glutamic acid;Betaine;Spermine;Adenine;1,2-Dihydroxy-3-keto-5-methylthiopentene;Ammonia;5-Methylthioribulose 1-phosphate;S-Adenosylhomocysteine;3-(methyl-sulfanyl)-propanoic acid; 3-Methylthiopropionic acid;Cho; Choline;Spermine; SPN;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Spermidine; SPM;AdoHcy; S-adenosyl-L-homocysteine; S-Adenosylhomocysteine;Ade; Adenine;5'-Methylthioadenosine; 5'-S-methyl-5'-thioadenosine; MTAD;Dimethylglycine; DMGLY;DL-Glutamate; Glutamate;Phosphate; Pi;5-Methylthioribose  1-phosphate; 5-Methylthioribose 1-phosphate;5-Methylthioribulose  1-phosphate; 5-Methylthioribulose 1-phosphate;PPi; Pyrophosphate;BET; Betaine;1,2-Dihydroxy-3-keto- 5-methylthiopentene; 1,2-Dihydroxy-3-keto-5-methylthiopentene;5-(methylthio)-2,3- Dioxopentyl phosphate; 5-(Methylthio)-2,3-dioxopentyl phosphate;S-methyl-5-thio-D-ribulose 1-phosphate(2-);(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;Avenanthramide K","2"
"Sulfur amino acid metabolism","WP3574","wiki",8.13e-05,24,67,0.00637974,0.13219257,"Taurine;3-Sulfinoalanine;Dimethylglycine;5-(Methylthio)-2,3-dioxopentyl phosphate;Pyrophosphate;Phosphate;Thiosulfate;Cysteineglutathione disulfide;5'-Methylthioadenosine;Homolanthionine;L-Cysteine;Allocystathionine;Glutamate; L-Glutamic acid;L-Cystathionine;Homocysteine;5-Methylthioribose 1-phosphate;D-Glutamic acid;Betaine;Glutathione;Adenine;1,2-Dihydroxy-3-keto-5-methylthiopentene;Ammonia;5-Methylthioribulose 1-phosphate;D-Cysteine;Lanthionine;S-Adenosylhomocysteine;cysteine; DL-Cysteine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;AdoHcy; S-adenosyl-L-homocysteine; S-Adenosylhomocysteine;Ade; Adenine;Glutathione; GSH;bisulfite; HSO3-; hydrogensulfite;Cystathionine; L-Cystathionine;5'-Methylthioadenosine; 5'-S-methyl-5'-thioadenosine; MTAD;Cysteine; L-Cysteine;Dimethylglycine; DMGLY;Cystathione;Cysteineglutathione disulfide; GSSG;DL-Glutamate; Glutamate;L-lanthionine; Lanthionine;DL-Lanthionine;Phosphate; Pi;5-Methylthioribose  1-phosphate; 5-Methylthioribose 1-phosphate;5-Methylthioribulose  1-phosphate; 5-Methylthioribulose 1-phosphate;PPi; Pyrophosphate;BET; Betaine;1,2-Dihydroxy-3-keto- 5-methylthiopentene; 1,2-Dihydroxy-3-keto-5-methylthiopentene;5-(methylthio)-2,3- Dioxopentyl phosphate; 5-(Methylthio)-2,3-dioxopentyl phosphate;S2O3 2- (thiosulfate); Thiosulfate;HLAN; Homolanthionine;Cytidine 2',3'-cyclic phosphate; GSSG;S-methyl-5-thio-D-ribulose 1-phosphate(2-);Glutathionate(1-);L-Lanthionine; Lanthionine;Cifostodine;Cysteine sulfinic acid;(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;Avenanthramide K;bisulfite; HSO3-","2"
"Purine metabolism and related disorders","WP4224","wiki",0.00033348,20,56,0.01958022,0.53924199,"Inosinic acid;Phosphate;D-Aspartic acid;5-Aminoimidazole ribonucleotide;AICA-riboside;2,8-Dihydroxyadenine;5'-Phosphoribosyl-N-formylglycinamide;Succinyladenosine;Mercaptopurine;L-Aspartic acid;L-Glutamine;Glutamate; L-Glutamic acid;Inosine;D-Glutamine;Adenosine monophosphate;Hypoxanthine;D-Glutamic acid;Uric acid;Arabinosylhypoxanthine;Adenine;Guanine;Deoxyinosine;2'-Deoxyguanosine 5'-monophosphate;5-Amino-1-[(2R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Gua; Guanine;Ade; Adenine;Aspartate; L-Aspartic acid;IMP; Inosinic acid;D-Asp; D-Aspartic acid;Hyp; Hypoxanthine;Ino; Inosine;7,9-dihydro-1H-purine-2,6,8(3H)-trione; urate; Uric acid;DL-Glutamate; Glutamate;6MP; Mercaptopurine; purine-6-thiol;Phosphate; Pi;2'-deoxyinosine; Deoxyinosine; dI;Deoxyinosine; dI;Glutamine; L-Glutamine;5-amino-1-(5-phosphonato-D-ribosyl)imidazol-3-ium;Vidarabine phosphate;Ara-HX;N6-Succinyl Adenosine;[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;5-phospho-alpha-D-ribose 1-diphosphate","3"
"Linoleic acid oxylipin metabolism","WP5137","wiki",7.578e-05,9,14,0.00637974,0.12329219,"9,10-DHOME;13-HODE;9(S)-HPODE;13-L-Hydroperoxylinoleic acid;12,13-DHOME;alpha-Dimorphecolic acid;13-Oxo-9,11-octadecadienoic acid;13-L-Hydroperoxylinoleic acid; 13S-hydroperoxy-9Z,11E-octadecadienoic acid;13(S')-HODE; 13(S)-HODE; 13-HODE; 13R-hydroxy-9Z,11E-octadecadienoic acid;9(S)-HODE; 9R-hydroxy-10E,12Z-octadecadienoic acid; 9S-HODE; alpha-Dimorphecolic acid;9(S)-HPODE; 9-HpODE; 9S-hydroperoxy-10E,12Z-octadecadienoic acid;(+/-)-12(13)-epoxy-9Z-octadecenoic acid; 12(13)-EpOME; 12,13-EpOME;13-keto-9Z,11E-octadecadienoic acid; 13-OxoODE;9-HODE; alpha-Dimorphecolic acid;12,13-DHOME; 12,13-dihydroxy-9Z-octadecenoic acid;9-oxo-10E,12Z-octadecadienoic acid; 9-OxoODE;13-HODE; 13R-hydroxy-9Z,11E-octadecadienoic acid;9-HODE; 9R-hydroxy-10E,12Z-octadecadienoic acid; alpha-Dimorphecolic acid;9,10-DHOME; 9,10-dihydroxy-12-octadecenoic acid;12,13-DHOME; 12,13-DiHOME; 12,13-dihydroxy-9Z-octadecenoic acid;9(S)-HPODE; 9-HpODE;(10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid; 9S-hydroperoxy-10E,12Z-octadecadienoic acid;13-HPODE(1-);(10E,12Z)-9-HODE; 9-HODE; 9R-hydroxy-10E,12Z-octadecadienoic acid;(13S)-13-hydroxyoctadeca-9,11-dienoic acid;9-Hpode;9-Oxo-10,12-octadecadienoic acid;11-(3-Pentyloxiran-2-yl)undec-9-enoic acid","Did not cluster"
