"pathwayName","pathwayId","pathwaySource","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","analytes","cluster_assignment"
"Amino acid transport across the plasma membrane","R-HSA-352230","reactome",0.00010777,14,32,0.01084879,0.09688474,"beta-Alanine;L-Proline;L-Alloisoleucine;Homo-L-arginine;D-Arginine;L-Targinine;D-Asparagine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-Leucine;D-Alanine;D-Proline;(±)-erythro-Isoleucine;L-Cysteine;L-Alanine;L-Glutamine;Glutamate; L-Glutamic acid;L-Lysine;D-Glutamine;L-Leucine;D-Glutamic acid;L-Asparagine;Histidine; L-Histidine;L-Isoleucine;Arginine; L-Arginine;D-Cysteine;D-Lysine;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;b-Ala; beta-Alanine;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Cysteine; L-Cysteine;DL-Glutamate; Glutamate;DL-Asparagine;DL-Proline; proline;D-Histidine;Homo-L-arginine; homoArg; L-homoarginine;L-Targinine; methylArg; N(omega)-methyl-L-arginine;arginine; DL-Arginine;L-Arg; L-argininium(1+);alloisoleucine; L-Alloisoleucine;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;Glutamine; L-Glutamine;Homo-L-arginine; homoArg;Alanine; D-Alanine;L-Targinine; methylArg;Methylarginine","Did not cluster"
"Na+/Cl- dependent neurotransmitter transporters","R-HSA-442660","reactome",0.00010777,14,32,0.01084879,0.09688474,"beta-Alanine;L-Proline;L-Alloisoleucine;D-Arginine;D-Asparagine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-Leucine;Oxidized-adrenal-ferredoxin;D-Alanine;D-Proline;(±)-erythro-Isoleucine;Epinephrine;Histamine;L-Cysteine;L-Alanine;L-Glutamine;L-Lysine;D-Glutamine;L-Leucine;Dopamine;L-Asparagine;Histidine; L-Histidine;L-Isoleucine;Arginine; L-Arginine;D-Cysteine;D-Lysine;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;b-Ala; beta-Alanine;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Cysteine; L-Cysteine;DA; Dopamine;Hist; Histamine;DL-Asparagine;DL-Proline; proline;D-Histidine;ADR; Epinephrine;arginine; DL-Arginine;L-Arg; L-argininium(1+);Epinephrine; Oxidized-adrenal-ferredoxin;alloisoleucine; L-Alloisoleucine;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;Glutamine; L-Glutamine;Alanine; D-Alanine","Did not cluster"
"Variant SLC6A14 may confer susceptibility towards obesity","R-HSA-5619094","reactome",0.00069251,8,15,0.04481554,0.61841487,"beta-Alanine;L-Alloisoleucine;D-Arginine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-Leucine;D-Alanine;(±)-erythro-Isoleucine;L-Cysteine;L-Alanine;L-Lysine;L-Leucine;Histidine; L-Histidine;L-Isoleucine;Arginine; L-Arginine;D-Cysteine;D-Lysine;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;b-Ala; beta-Alanine;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Cysteine; L-Cysteine;D-Histidine;arginine; DL-Arginine;L-Arg; L-argininium(1+);alloisoleucine; L-Alloisoleucine;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;Alanine; D-Alanine","Did not cluster"
"Linoleic acid oxylipin metabolism","WP5137","wiki",0.00020824,7,14,0.0157218,0.18637102,"13-HODE;9(S)-HPODE;13-L-Hydroperoxylinoleic acid;alpha-Dimorphecolic acid;13-Oxo-9,11-octadecadienoic acid;13-L-Hydroperoxylinoleic acid; 13S-hydroperoxy-9Z,11E-octadecadienoic acid;13(S')-HODE; 13(S)-HODE; 13-HODE; 13R-hydroxy-9Z,11E-octadecadienoic acid;9(S)-HODE; 9R-hydroxy-10E,12Z-octadecadienoic acid; 9S-HODE; alpha-Dimorphecolic acid;9(S)-HPODE; 9-HpODE; 9S-hydroperoxy-10E,12Z-octadecadienoic acid;(+/-)-12(13)-epoxy-9Z-octadecenoic acid; 12(13)-EpOME; 12,13-EpOME;13-keto-9Z,11E-octadecadienoic acid; 13-OxoODE;9-HODE; alpha-Dimorphecolic acid;9-oxo-10E,12Z-octadecadienoic acid; 9-OxoODE;13-HODE; 13R-hydroxy-9Z,11E-octadecadienoic acid;9-HODE; 9R-hydroxy-10E,12Z-octadecadienoic acid; alpha-Dimorphecolic acid;9(S)-HPODE; 9-HpODE;(10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid; 9S-hydroperoxy-10E,12Z-octadecadienoic acid;13-HPODE(1-);(10E,12Z)-9-HODE; 9-HODE; 9R-hydroxy-10E,12Z-octadecadienoic acid;(13S)-13-hydroxyoctadeca-9,11-dienoic acid;9-Hpode;9-Oxo-10,12-octadecadienoic acid;11-(3-Pentyloxiran-2-yl)undec-9-enoic acid","Did not cluster"
"tRNA aminoacylation","WP1938","wiki",2.178e-05,11,26,0.00281915,0.01960335,"L-Proline;L-Alloisoleucine;D-Arginine;D-Asparagine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-Leucine;D-Alanine;D-Proline;(±)-erythro-Isoleucine;L-Cysteine;L-Alanine;L-Glutamine;Glutamate; L-Glutamic acid;L-Lysine;D-Glutamine;L-Leucine;D-Glutamic acid;L-Asparagine;Histidine; L-Histidine;L-Isoleucine;Arginine; L-Arginine;D-Cysteine;D-Lysine;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Cysteine; L-Cysteine;DL-Glutamate; Glutamate;DL-Asparagine;DL-Proline; proline;D-Histidine;arginine; DL-Arginine;L-Arg; L-argininium(1+);alloisoleucine; L-Alloisoleucine;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;Glutamine; L-Glutamine;Alanine; D-Alanine","Did not cluster"
"Neurotransmitter disorders","WP4220","wiki",5.08e-06,11,23,0.00091965,0.00457796,"3,4-Dihydroxybenzeneacetic acid;5-Hydroxyindoleacetaldehyde;Oxidized-adrenal-ferredoxin;Metanephrine;Epinephrine;Pyridoxal 5'-phosphate;3-Methoxytyramine;L-Dopa;Dopamine;DL-Dopa;Melatonin;4a-Carbinolamine tetrahydrobiopterin;Normetanephrine;Melatonin; MLT;DA; Dopamine;PLP; Pyridoxal 5'-phosphate;ADR; Epinephrine;Epinephrine; Oxidized-adrenal-ferredoxin;3,4-Dihydroxybenzeneacetic acid; DOPAC;4a-Carbinolamine tetrahydrobiopterin; qBH2;(5-hydroxyindol-3-yl)acetaldehyde; 5-Hydroxyindoleacetaldehyde; 5HIALD;3,4-Dihydroxybenzeneacetic acid; Homoprotocatechuic acid;L-Metanephrine","Did not cluster"
"Urea cycle and metabolism of amino groups","WP497","wiki",0.00020551,11,32,0.0157218,0.18413475,"Sarcosine;Spermidine;L-Proline;D-Arginine;D-Proline;Citrulline; L-Citrulline;Glutamate; L-Glutamic acid;Creatine;Creatinine;creatine-P; Phosphocreatine;D-Glutamic acid;Spermine;Arginine; L-Arginine;SARC; Sarcosine;N-Carbamoylsarcosine;Spermine; SPN;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;L-Arginine;Spermidine; SPM;CREAT; Creatinine;Creatine; CRET;Pcr; Phosphocreatine;D-Citrulline;DL-Glutamate; Glutamate;DL-Proline; proline;arginine; DL-Arginine;L-Arg; L-argininium(1+);Citrulline;Phosphocreatine","Did not cluster"
"Biogenic amine synthesis","WP550","wiki",0.00012252,8,17,0.0111007,0.10990431,"Oxidized-adrenal-ferredoxin;Epinephrine;Histamine;Glutamate; L-Glutamic acid;L-Dopa;Dopamine;Choline;DL-Dopa;D-Glutamic acid;Histidine; L-Histidine;Melatonin;Cho; Choline;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Melatonin; MLT;DL-Glutamate; Glutamate;DA; Dopamine;Hist; Histamine;D-Histidine;ADR; Epinephrine;Epinephrine; Oxidized-adrenal-ferredoxin","Did not cluster"
"Transport of bile salts and organic acids, metal ions and amine compounds","WP1935","wiki",1.322e-05,20,70,0.00199583,0.01190888,"beta-Alanine;1,1-Dimethylbiguanide;Spermidine;Quinine;L-Proline;L-Alloisoleucine;D-Arginine;D-Asparagine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);D-Leucine;Oxidized-adrenal-ferredoxin;D-Alanine;D-Proline;(±)-erythro-Isoleucine;Epinephrine;Histamine;L-Cysteine;L-Carnitine;L-Alanine;Quinidine;L-Glutamine;L-Lysine;D-Glutamine;L-Leucine;Dopamine;Choline;L-Asparagine;Histidine; L-Histidine;Spermine;L-Isoleucine;Arginine; L-Arginine;D-Cysteine;D-Lysine;Cho; Choline;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;Spermine; SPN;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;Spermidine; SPM;b-Ala; beta-Alanine;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Cysteine; L-Cysteine;DA; Dopamine;Hist; Histamine;DL-Asparagine;DL-Proline; proline;D-Histidine;ADR; Epinephrine;arginine; DL-Arginine;L-Arg; L-argininium(1+);Epinephrine; Oxidized-adrenal-ferredoxin;alloisoleucine; L-Alloisoleucine;(S)-carnitinium;1,1-Dimethylbiguanide; metformin; MTF;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;Glutamine; L-Glutamine;Alanine; D-Alanine;1,1-Dimethylbiguanide; metformin;(R)-(6-Methoxy-4-quinolyl)-(5-vinylquinuclidin-2-yl)methanol","Did not cluster"
"Biochemical pathways: part I","WP3604","wiki",1.09e-06,76,442,0.00032864,0.00098376,"beta-Alanine;Sarcosine;Glutaric acid;Neuraminic acid;Guanosine;2-Aminobenzoic acid;Glycerylphosphorylethanolamine;5-Hydroxylysine;Etiocholanedione;Spermidine;Ursodeoxycholic acid;Zymosterol intermediate 2;Galactonic acid;N-Acetyl-b-D-galactosamine;beta-N-Acetylglucosamine;beta-D-Glucosamine;L-Proline;L-Alloisoleucine;Allochenodeoxycholic acid;D-Arginine;Phosphoserine;N-Acetylgalactosamine;5-Hydroxyindoleacetaldehyde;Ureidoisobutyric acid;Gulonic acid;D-Asparagine;5,6-trans-Vitamin D3;Pyrroline hydroxycarboxylic acid;Dehydroandrosterone;Vidarabine;Indoleacetaldehyde;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);3a,7a-Dihydroxycholanoic acid;Desmosterol;D-Leucine;Oxidized-adrenal-ferredoxin;D-Alanine;Glucosamine;D-Proline;2-Hydroxyestrone;Citrulline; L-Citrulline;Glyceric acid 1,3-biphosphate;7-Dehydrocholesterol;(±)-erythro-Isoleucine;Dopaquinone;Homogentisic acid;Ureidopropionic acid;Chenodeoxycholic acid;Testosterone;Porphobilinogen;Kynurenic acid;Epinephrine;Histamine;19-Hydroxyandrost-4-ene-3,17-dione;O-Acetylserine;L-Cysteine;Lumisterol 3;Gluconic acid;Dehydroepiandrosterone;Glucosamine 6-phosphate;L-Alanine;L-Glutamine;Glutamate; L-Glutamic acid;L-Lysine;3b,7a-Dihydroxy-5b-cholanoic acid;16b-Hydroxyestrone;Creatine;Progesterone;Adenosine;D-Erythrose 4-phosphate; D-Erythrose-4-phosphate;L-Dopa;D-Glutamine;L-Leucine;Dopamine;Choline;N-acetyl-S-(3-oxo-3-carboxy-n-propyl)cysteine;16a-Hydroxyandrost-4-ene-3,17-dione;DL-Dopa;Allysine;creatine-P; Phosphocreatine;Vitamin D3;Hypoxanthine;D-Glutamic acid;L-Asparagine;Iodotyrosine;Histidine; L-Histidine;Spermine;Adenine;L-Isoleucine;Arginine; L-Arginine;N-Acetyl-D-glucosamine;N-Acetylmannosamine;Isoursodeoxycholic acid;Androstanedione;Indoleacetic acid;D-Sedoheptulose 7-phosphate;1-Pyrroline-4-hydroxy-2-carboxylate;D-Cysteine;6-Phosphogluconic acid;D-Lysine;Deoxyguanosine;2,3-dihydroxy-estra-1,3,5(10)-trien-17-one; 2-Hydroxyestrone;D-Sedoheptulose 7-phosphate; SH7P;Cho; Choline;cysteine; DL-Cysteine;D-Ala; D-Alanine;L-Leucine; Leucine;SARC; Sarcosine;Spermine; SPN;O-P-Ser; O-phospho-L-serine; Phosphoserine;alpha-D-glucosamine 6-phosphate; GlcN6P; Glucosamine 6-phosphate;D-Glutamic acid; Glutamate;5alpha-androstane-3,17-dione; Androstanedione;L-Glutamate; L-Glutamic acid;D-threo-isocitrate; IC;Ade-Rib; Adenosine;(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein); Alanine;L-Arginine;Spermidine; SPM;UIBA; Ureidoisobutyric acid;Ade; Adenine;Gua-Rib; Guanosine;3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic Acid; CDCA; Chenodeoxycholic acid;Dopaquinone; L-dopaquinone;Creatine; CRET;GPETA; sn-glycero-3-Phosphoethanolamine;b-Ala; beta-Alanine;5beta-androstane-3,17-dione; Etiocholanedione;pregn-4-ene-3,20-dione; Progesterone;bisulfite; HSO3-; hydrogensulfite;2'-deoxyguanosine; Deoxyguanosine; dG;2S-Amino-3S-methylpentanoic acid; L-Isoleucine;Pcr; Phosphocreatine;17beta-hydroxyandrost-4-en-3-one; Testosterone;Hyp; Hypoxanthine;Aldehydo-N-acetyl-D-glucosamine; GlcNAc;2-keto 6-aminocaproic acid; 2-Keto-6-aminocaproate;Cysteine; L-Cysteine;cholest-5,24-dien-3beta-ol; Desmosterol;7-dehydroCHOL; 7-Dehydrocholesterol; cholesta-5,7-dien-3beta-ol;2AMAS; Allysine;D-Citrulline;DL-Glutamate; Glutamate;DA; Dopamine;5alpha-cholesta-8,24-dien-3beta-ol; zymosterol; Zymosterol intermediate 2;UPROP; Ureidopropionic acid;Hist; Histamine;DL-Asparagine;DL-Proline; proline;1-pyrroline-3-hydroxy-5-carboxylate; Pyrroline hydroxycarboxylic acid;D-Histidine;16a-Hydroxyandrost-4-ene-3,17-dione; 16alpha-hydroxyandrost-4-ene-3,17-dione;L-4-Hydroxyglutamate semialdehyde;3-iodo-L-tyrosine; Iodotyrosine; MIT;beta-N-Acetylglucosamine; betaGlcNAc; N-acetyl-beta-D-glucosamine;2-Keto-6-acetamidocaproate;bGalNAc; N-Acetyl-b-D-galactosamine; N-acetyl-beta-D-galactosamine;3beta-hydroxyandrost-5-en-17-one; Dehydroepiandrosterone; DHEA;ADR; Epinephrine;(5Z,7E)-(3S)-9,10-seco-5,7,10(19)-cholestatrien-3-ol; calciol; VD3; Vitamin D3;arginine; DL-Arginine;2-Aminobenzoic acid; Anthranilic acid;L-Arg; L-argininium(1+);D-Mannonic acid;Epinephrine; Oxidized-adrenal-ferredoxin;3-Phosphoserine; Phosphoserine;3-phospho-L-serine;N-acetyl-alpha-D-galactosamine; N-Acetylgalactosamine;3beta,7beta-Dihydroxy-5beta-cholan-24-oic Acid; Isoursodeoxycholic acid;alloisoleucine; L-Alloisoleucine;2-amino-2-deoxy-D-glucopyranose; ADGP; Glucosamine;D-Erythrose 4-phosphate;6-Phosphogluconic acid; 6P gluconate;(5-hydroxyindol-3-yl)acetaldehyde; 5-Hydroxyindoleacetaldehyde; 5HIALD;2,6-Diamino-5-hydroxyhexanoic acid; 5-hydroxylysine; 5HLYS;2-(Acetylamino)-2-deoxy-alpha-D-mannopyranose;16a-Hydroxyestrone; 16b-Hydroxyestrone; 3,16alpha-dihydroxy-1,3,5(10)-estratrien-17-one;16b-Hydroxyestrone; 3,16alpha-dihydroxy-1,3,5(10)-estratrien-17-one;3b,7a-Dihydroxy-5b-cholanoic acid; 3beta,7alpha-Dihydroxy-5beta-cholan-24-oic Acid;Testosterone-d3;3alpha,7beta-Dihydroxy-5beta-cholan-24-oic Acid; Ursodeoxycholic acid;7-Dehydrocholesterol; cholesta-5,7-dien-3beta-ol;3beta-hydroxyandrost-5-en-17-one; Dehydroepiandrosterone;2S-Amino-3S-methylpentanoic acid; Isoleucine; L-Isoleucine;L-Lysine; Lysine;16a-Hydroxyestrone; 3,16alpha-dihydroxy-1,3,5(10)-estratrien-17-one;3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic Acid; Chenodeoxycholic acid;Epitestosterone;Glutamine; L-Glutamine;beta-N-Acetylglucosamine; betaGlcNAc;bGalNAc; N-Acetyl-b-D-galactosamine;(5Z,7E)-(3S)-9,10-seco-5,7,10(19)-cholestatrien-3-ol; Vitamin D3;Citrulline;N-Acetyl-D-mannosamine; N-Acetylmannosamine;Alanine; D-Alanine;Phosphocreatine;DL-O-Phosphoserine; phosphoserine;5alpha-cholesta-8,24-dien-3beta-ol; Zymosterol intermediate 2;2-Keto-6-aminocaproate;L-Dopaquinone;(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;6-phosphonatooxy-D-gluconate;Provitina;N-((2R,3R,4R,5R)-3,4,5,6-Tetrahydroxy-1-oxohexan-2-yl)acetamide;beta-D-Galactosamine;2,6-Diamino-5-hydroxyhexanoic acid; 5HLYS;3,7-Dihydroxycholan-24-oic acid;9-beta-d-Arabinofuranosylguanine;9-Arabinofuranosyladenine;5alpha-Androstane-3,17-dione;L-Gluconic acid;Sedoheptulose 7-phosphate; SH7P;delta-24-Cholesterol;L-2-Amino-6-oxohexanoic acid;3-ureido-isobutyrate; Ureidoisobutyric acid;bisulfite; HSO3-","Did not cluster"
