"pathwayName","pathwayId","pathwaySource","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","analytes","cluster_assignment"
"Nicotinate metabolism","R-HSA-196807","reactome",0.00133354,9,58,0.03037258,1,"D-Lactic acid;Pyrophosphate;Phosphate;Valdecoxib;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Adenosine monophosphate;D-Glutamic acid;L-Lactic acid;Quinolinic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;DL-Glutamate; Glutamate;Phosphate; Pi;PPi; Pyrophosphate;D-Lactic acid; Lactate;(S)-lactic acid; L-Lactic acid; LACT;L-Lactic acid; Lactate;Glutamine; L-Glutamine;Vidarabine phosphate;NMNH","1"
"Transmission across Chemical Synapses","R-HSA-112315","reactome",0.00022213,12,78,0.00828349,0.28610634,"Succinic acid;Elaidic acid;Oleic acid;Rivastigmine;Pyrophosphate;Phosphate;Octadec-9-enoic Acid;Arachidonic acid;noradrenaline; Norepinephrine;Myristic acid;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Homocysteine;D-Glutamic acid;Ammonia;Butanedioic acid; SUCCA; Succinic acid;5Z,8Z,11Z,14Z-eicosatetraenoic acid; Arachidonic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;9Z-octadecenoic acid; OLEA; Oleic acid;DL-Glutamate; Glutamate;NAd; Norepinephrine;Phosphate; Pi;9E-octadecenoic acid; Elaidic acid; ELDA;Myristic acid; MYSA; tetradecanoic acid;PPi; Pyrophosphate;5,8,11,14-eicosatetraenoic acid; 5,8,11,14-Icosatetraenoic Acid;9Z-octadecenoic acid; OA; Oleic acid;Norepinephrine;Butanedioic acid; succinate; Succinic acid;Glutamine; L-Glutamine;Myristic acid; tetradecanoic acid;5,8,11,14-Icosatetraenoic Acid;Avenanthramide K","1, 2"
"Neuronal System","R-HSA-112316","reactome",0.00022213,12,78,0.00828349,0.28610634,"Succinic acid;Elaidic acid;Oleic acid;Rivastigmine;Pyrophosphate;Phosphate;Octadec-9-enoic Acid;Arachidonic acid;noradrenaline; Norepinephrine;Myristic acid;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Homocysteine;D-Glutamic acid;Ammonia;Butanedioic acid; SUCCA; Succinic acid;5Z,8Z,11Z,14Z-eicosatetraenoic acid; Arachidonic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;9Z-octadecenoic acid; OLEA; Oleic acid;DL-Glutamate; Glutamate;NAd; Norepinephrine;Phosphate; Pi;9E-octadecenoic acid; Elaidic acid; ELDA;Myristic acid; MYSA; tetradecanoic acid;PPi; Pyrophosphate;5,8,11,14-eicosatetraenoic acid; 5,8,11,14-Icosatetraenoic Acid;9Z-octadecenoic acid; OA; Oleic acid;Norepinephrine;Butanedioic acid; succinate; Succinic acid;Glutamine; L-Glutamine;Myristic acid; tetradecanoic acid;5,8,11,14-Icosatetraenoic Acid;Avenanthramide K","1, 2"
"Integration of energy metabolism","R-HSA-163685","reactome",3.742e-05,10,46,0.00293778,0.0488686,"Pentadecanoic acid;Elaidic acid;Oleic acid;Pyrophosphate;Phosphate;Octadec-9-enoic Acid;noradrenaline; Norepinephrine;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;Tolbutamide;Fructose 6-phosphate; Fructose-6-Phosphate;D-Sedoheptulose 7-phosphate;D-Sedoheptulose 7-phosphate; SH7P;Fructose 6-phosphate; Fructose 6P;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;9Z-octadecenoic acid; OLEA; Oleic acid;NAd; Norepinephrine;Phosphate; Pi;9E-octadecenoic acid; Elaidic acid; ELDA;TBM; Tolbutamide;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;PPi; Pyrophosphate;D-Tagatose 6-phosphate;9Z-octadecenoic acid; OA; Oleic acid;Norepinephrine;G3P; Glyceraldehyde 3-phosphate;Vidarabine phosphate;Fructose-6-Phosphate (closed form);Sedoheptulose 7-phosphate; SH7P;D-fructose 6-phosphate","1, 3"
"Degradation of cysteine and homocysteine","R-HSA-1614558","reactome",0.00167803,7,38,0.03575276,1,"Taurine;3-Sulfinoalanine;Glutamate; L-Glutamic acid;Homocysteine;D-Glutamic acid;Ammonia;Lanthionine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;bisulfite; HSO3-; hydrogensulfite;DL-Glutamate; Glutamate;L-lanthionine; Lanthionine;DL-Lanthionine;L-Lanthionine; Lanthionine;Cysteine sulfinic acid;Avenanthramide K;bisulfite; HSO3-","1, 4"
"Sulfur amino acid metabolism","R-HSA-1614635","reactome",4.08e-05,12,66,0.00299432,0.05320409,"Taurine;3-Sulfinoalanine;Pyrophosphate;Phosphate;Glutamate; L-Glutamic acid;Homocysteine;5-Methylthioribose 1-phosphate;D-Glutamic acid;Adenine;Ammonia;5-Methylthioribulose 1-phosphate;Lanthionine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;Ade; Adenine;bisulfite; HSO3-; hydrogensulfite;DL-Glutamate; Glutamate;L-lanthionine; Lanthionine;DL-Lanthionine;Phosphate; Pi;5-Methylthioribose  1-phosphate; 5-Methylthioribose 1-phosphate;5-Methylthioribulose  1-phosphate; 5-Methylthioribulose 1-phosphate;PPi; Pyrophosphate;S-methyl-5-thio-D-ribulose 1-phosphate(2-);L-Lanthionine; Lanthionine;Cysteine sulfinic acid;Avenanthramide K;bisulfite; HSO3-","4"
"Pentose phosphate pathway","R-HSA-71336","reactome",0.00037104,7,30,0.01195465,0.47529906,"Phosphate;beta-D-Glucose 6-phosphate;6-Phosphonoglucono-D-lactone; D-glucono-1,5-lactone-6-phosphate;Mannose 6-phosphate;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Sedoheptulose 7-phosphate;D-Sedoheptulose 7-phosphate; SH7P;Fructose 6-phosphate; Fructose 6P;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;6-O-phosphono-D-glucono-1,5-lactone; 6-Phosphonoglucono-D-lactone; D-Glucono-1,5-lactone 6-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;Phosphate; Pi;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;D-Tagatose 6-phosphate;G3P; Glyceraldehyde 3-phosphate;6-Phosphonoglucono-D-lactone;6-O-phosphonato-D-glucono-1,5-lactone(2-);Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Sedoheptulose 7-phosphate; SH7P;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1, 3"
"Neurotransmitter release cycle","R-HSA-112310","reactome",0.00026489,9,47,0.009097,0.34011628,"Succinic acid;Elaidic acid;Oleic acid;Phosphate;Octadec-9-enoic Acid;Arachidonic acid;noradrenaline; Norepinephrine;Myristic acid;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;D-Glutamic acid;Ammonia;Butanedioic acid; SUCCA; Succinic acid;5Z,8Z,11Z,14Z-eicosatetraenoic acid; Arachidonic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;9Z-octadecenoic acid; OLEA; Oleic acid;DL-Glutamate; Glutamate;NAd; Norepinephrine;Phosphate; Pi;9E-octadecenoic acid; Elaidic acid; ELDA;Myristic acid; MYSA; tetradecanoic acid;5,8,11,14-eicosatetraenoic acid; 5,8,11,14-Icosatetraenoic Acid;9Z-octadecenoic acid; OA; Oleic acid;Norepinephrine;Butanedioic acid; succinate; Succinic acid;Glutamine; L-Glutamine;Myristic acid; tetradecanoic acid;5,8,11,14-Icosatetraenoic Acid;Avenanthramide K","2"
"Glycolysis","R-HSA-70171","reactome",8.149e-05,8,32,0.00448515,0.10585099,"Phosphate;beta-D-Glucose 6-phosphate;Mannose 6-phosphate;Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;Ammonia;Fructose 6-phosphate; Fructose 6P;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;DHAP; Dihydroxyacetone phosphate;D-Tagatose 1-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;D-fructose 1-phosphate; Fru 1-P; keto-D-fructose 1-phosphate;Phosphate; Pi;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;Sorbose 1-phosphate;D-Tagatose 6-phosphate;G3P; Glyceraldehyde 3-phosphate;D-fructose 1-phosphate; Fru 1-P;(3S,4R)-Ketose 1-phosphate;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Avenanthramide K;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1, 6"
"Gluconeogenesis","R-HSA-70263","reactome",8.149e-05,8,32,0.00448515,0.10585099,"Phosphate;beta-D-Glucose 6-phosphate;D-Aspartic acid;Mannose 6-phosphate;L-Aspartic acid;Glutamate; L-Glutamic acid;Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Glutamic acid;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;DHAP; Dihydroxyacetone phosphate;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;beta-D-Glucose 6-phosphate; D-Glucose-6-P;DL-Glutamate; Glutamate;Phosphate; Pi;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;D-Tagatose 6-phosphate;G3P; Glyceraldehyde 3-phosphate;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1, 3, 5, 6"
