"pathwayName","pathwayId","pathwaySource","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","analytes","cluster_assignment"
"Organic anion transport","R-HSA-561048","reactome",0.00108695,4,8,0.03084225,1,"D-Lactic acid;Aciclovir;4-Aminohippuric acid;Uric acid;L-Lactic acid;4-Aminohippuric acid; p-aminohippuric acid;7,9-dihydro-1H-purine-2,6,8(3H)-trione; urate; Uric acid;Aciclovir; ACV; acyclovir;D-Lactic acid; Lactate;(S)-lactic acid; L-Lactic acid; LACT;L-Lactic acid; Lactate;Aciclovir; ACV","Did not cluster"
"Metabolism of amino acids and derivatives","R-HSA-71291","reactome",0.00166829,32,287,0.04287178,1,"Taurine;Succinic acid;3-Sulfinoalanine;Pyrophosphate;Phosphate;Sulfite;D-Aspartic acid;Leucodopachrome;Pyrroline hydroxycarboxylic acid;5'-Methylthioadenosine;cis-4-Hydroxy-D-proline;Se-Methylselenocysteine;Selenohomocysteine;Homolanthionine;Dopaquinone;L-Glutamic gamma-semialdehyde;4-Hydroxyproline;noradrenaline; Norepinephrine;Allocystathionine;3-Hydroxyanthranilic acid;Glyceraldehyde;L-Aspartic acid;L-Glutamine;Glutamate; L-Glutamic acid;L-Cystathionine;D-Glutamine;Homocysteine;Adenosine monophosphate;cis-4-Hydroxyproline;D-Malic acid;D-Glutamic acid;Glutathione;Adenine;Ammonia;Quinolinic acid;Lanthionine;Malic acid;N-Acetyl-L-aspartic acid;Butanedioic acid; SUCCA; Succinic acid;3-HAA; 3-Hydroxyanthranilic acid;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;allo-4-hydroxy-d-proline; cis-4-Hydroxy-D-proline;3-Sulfinoalanine; CSA;Ade; Adenine;Dopaquinone; L-dopaquinone;Glutathione; GSH;Aspartate; L-Aspartic acid;bisulfite; HSO3-; hydrogensulfite;L-Glu5S; L-Glutamic gamma-semialdehyde;D-Asp; D-Aspartic acid;Cystathionine; L-Cystathionine;5'-Methylthioadenosine; 5'-S-methyl-5'-thioadenosine; MTAD;Cystathione;4-Hydroxyproline; Hydroxyproline;DL-Glutamate; Glutamate;NAd; Norepinephrine;L-lanthionine; Lanthionine;N-Acetyl-L-aspartic acid; NAA;DL-Lanthionine;Phosphate; Pi;1-pyrroline-3-hydroxy-5-carboxylate; Pyrroline hydroxycarboxylic acid;L-4-Hydroxyglutamate semialdehyde;MeSec; Se-methyl-L-selenocysteine; Se-Methylselenocysteine;PPi; Pyrophosphate;MAL; Malic acid;SO3 2- (sulfite); Sulfite;2-Methylacetoacetyl-CoA; Glyceraldehyde;L-selenohomocysteine; SeHCys; Selenohomocysteine;(S)-malate; Malic acid;Norepinephrine;Butanedioic acid; succinate; Succinic acid;Glutamine; L-Glutamine;4-Hydroxyproline; hydroxy-proline;HLAN; Homolanthionine;MeSec; Se-Methylselenocysteine;SeHCys; Selenohomocysteine;L-Dopaquinone;(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;Glutathionate(1-);L-Lanthionine; Lanthionine;Vidarabine phosphate;Cysteine sulfinic acid;(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;Avenanthramide K;bisulfite; HSO3-","1"
"Integration of energy metabolism","R-HSA-163685","reactome",2.747e-05,12,46,0.00196889,0.03691452,"Pentadecanoic acid;Elaidic acid;Oleic acid;Rosiglitazone;Pyrophosphate;Phosphate;Octadec-9-enoic Acid;noradrenaline; Norepinephrine;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;Tolbutamide;Fructose 6-phosphate; Fructose-6-Phosphate;D-Sedoheptulose 7-phosphate;Chlorpropamide;D-Sedoheptulose 7-phosphate; SH7P;Fructose 6-phosphate; Fructose 6P;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;9Z-octadecenoic acid; OLEA; Oleic acid;NAd; Norepinephrine;Phosphate; Pi;9E-octadecenoic acid; Elaidic acid; ELDA;TBM; Tolbutamide;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;PPi; Pyrophosphate;D-Tagatose 6-phosphate;RGZ; Rosiglitazone;9Z-octadecenoic acid; OA; Oleic acid;Norepinephrine;G3P; Glyceraldehyde 3-phosphate;Vidarabine phosphate;Fructose-6-Phosphate (closed form);Sedoheptulose 7-phosphate; SH7P;D-fructose 6-phosphate","2, 5"
"Degradation of cysteine and homocysteine","R-HSA-1614558","reactome",0.00012261,10,38,0.00642281,0.16392773,"Taurine;3-Sulfinoalanine;Sulfite;Homolanthionine;Glutamate; L-Glutamic acid;Homocysteine;D-Malic acid;D-Glutamic acid;Glutathione;Ammonia;Lanthionine;Malic acid;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;Glutathione; GSH;bisulfite; HSO3-; hydrogensulfite;DL-Glutamate; Glutamate;L-lanthionine; Lanthionine;DL-Lanthionine;MAL; Malic acid;SO3 2- (sulfite); Sulfite;(S)-malate; Malic acid;HLAN; Homolanthionine;Glutathionate(1-);L-Lanthionine; Lanthionine;Cysteine sulfinic acid;Avenanthramide K;bisulfite; HSO3-","1, 2"
"Sulfur amino acid metabolism","R-HSA-1614635","reactome",1.621e-05,15,66,0.00157734,0.02187203,"Taurine;3-Sulfinoalanine;Pyrophosphate;Phosphate;Sulfite;5'-Methylthioadenosine;Homolanthionine;Allocystathionine;Glutamate; L-Glutamic acid;L-Cystathionine;Homocysteine;D-Malic acid;D-Glutamic acid;Glutathione;Adenine;Ammonia;Lanthionine;Malic acid;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;Ade; Adenine;Glutathione; GSH;bisulfite; HSO3-; hydrogensulfite;Cystathionine; L-Cystathionine;5'-Methylthioadenosine; 5'-S-methyl-5'-thioadenosine; MTAD;Cystathione;DL-Glutamate; Glutamate;L-lanthionine; Lanthionine;DL-Lanthionine;Phosphate; Pi;PPi; Pyrophosphate;MAL; Malic acid;SO3 2- (sulfite); Sulfite;(S)-malate; Malic acid;HLAN; Homolanthionine;Glutathionate(1-);L-Lanthionine; Lanthionine;Cysteine sulfinic acid;(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;Avenanthramide K;bisulfite; HSO3-","1"
"Pentose phosphate pathway","R-HSA-71336","reactome",0.00054686,8,30,0.02013037,0.72513654,"Phosphate;beta-D-Glucose 6-phosphate;6-Phosphonoglucono-D-lactone; D-glucono-1,5-lactone-6-phosphate;Mannose 6-phosphate;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Sedoheptulose 7-phosphate;6-Phosphogluconic acid;D-Sedoheptulose 7-phosphate; SH7P;Fructose 6-phosphate; Fructose 6P;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;6-O-phosphono-D-glucono-1,5-lactone; 6-Phosphonoglucono-D-lactone; D-Glucono-1,5-lactone 6-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;Phosphate; Pi;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;D-Tagatose 6-phosphate;6-Phosphogluconic acid; 6P gluconate;G3P; Glyceraldehyde 3-phosphate;6-Phosphonoglucono-D-lactone;6-O-phosphonato-D-glucono-1,5-lactone(2-);6-phosphonatooxy-D-gluconate;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Sedoheptulose 7-phosphate; SH7P;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","2"
"Glycolysis","R-HSA-70171","reactome",0.00015546,9,32,0.0078423,0.20770015,"Phosphate;beta-D-Glucose 6-phosphate;Mannose 6-phosphate;Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;Ammonia;Fructose 6-phosphate; Fructose 6P;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;DHAP; Dihydroxyacetone phosphate;D-Tagatose 1-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;D-fructose 1-phosphate; Fru 1-P; keto-D-fructose 1-phosphate;Phosphate; Pi;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;Sorbose 1-phosphate;D-Tagatose 6-phosphate;2-phospho-D-glycerate;G3P; Glyceraldehyde 3-phosphate;D-fructose 1-phosphate; Fru 1-P;(3S,4R)-Ketose 1-phosphate;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Avenanthramide K;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","2"
"Gluconeogenesis","R-HSA-70263","reactome",2.375e-05,10,32,0.00195137,0.03201913,"Phosphate;beta-D-Glucose 6-phosphate;D-Aspartic acid;Mannose 6-phosphate;L-Aspartic acid;Glutamate; L-Glutamic acid;Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;D-Malic acid;Fructose 6-phosphate; Fructose-6-Phosphate;D-Glutamic acid;Malic acid;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;DHAP; Dihydroxyacetone phosphate;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;beta-D-Glucose 6-phosphate; D-Glucose-6-P;DL-Glutamate; Glutamate;Phosphate; Pi;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;MAL; Malic acid;D-Tagatose 6-phosphate;2-phospho-D-glycerate;(S)-malate; Malic acid;G3P; Glyceraldehyde 3-phosphate;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","2"
"Glucose metabolism","R-HSA-70326","reactome",1.291e-05,12,43,0.00135294,0.0174332,"Phosphate;beta-D-Glucose 6-phosphate;D-Aspartic acid;Mannose 6-phosphate;L-Aspartic acid;Glutamate; L-Glutamic acid;Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;D-Malic acid;Fructose 6-phosphate; Fructose-6-Phosphate;D-Glutamic acid;Ammonia;Malic acid;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;DHAP; Dihydroxyacetone phosphate;Aspartate; L-Aspartic acid;D-Tagatose 1-phosphate;D-Asp; D-Aspartic acid;beta-D-Glucose 6-phosphate; D-Glucose-6-P;D-fructose 1-phosphate; Fru 1-P; keto-D-fructose 1-phosphate;DL-Glutamate; Glutamate;Phosphate; Pi;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;MAL; Malic acid;Sorbose 1-phosphate;D-Tagatose 6-phosphate;2-phospho-D-glycerate;(S)-malate; Malic acid;G3P; Glyceraldehyde 3-phosphate;D-fructose 1-phosphate; Fru 1-P;(3S,4R)-Ketose 1-phosphate;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Avenanthramide K;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","2"
"Glutamate and glutamine metabolism","R-HSA-8964539","reactome",0.00089525,7,25,0.02903159,1,"Phosphate;D-Aspartic acid;L-Glutamic gamma-semialdehyde;L-Aspartic acid;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;D-Glutamic acid;Ammonia;N-Acetyl-L-aspartic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Aspartate; L-Aspartic acid;L-Glu5S; L-Glutamic gamma-semialdehyde;D-Asp; D-Aspartic acid;DL-Glutamate; Glutamate;N-Acetyl-L-aspartic acid; NAA;Phosphate; Pi;Glutamine; L-Glutamine;Avenanthramide K","2, 6"
