"pathwayName","pathwayId","pathwaySource","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","analytes","cluster_assignment"
"Metabolism of amino acids and derivatives","R-HSA-71291","reactome",0.000549,43,287,0.0262057,0.77025006,"Formylkynurenine; N'-Formylkynurenine;Taurine;Succinic acid;3-Sulfinoalanine;5-(Methylthio)-2,3-dioxopentyl phosphate;Pyrophosphate;N-Acetyl-b-D-galactosamine;beta-N-Acetylglucosamine;Phosphate;Sulfite;Sulfate;4-Hydroxyphenylpyruvic acid;Cysteineglutathione disulfide;D-Aspartic acid;N-Acetylgalactosamine;2-Keto-glutaramic acid;Leucodopachrome;Pyrroline hydroxycarboxylic acid;Selenocystathionine;2-Aminomuconic acid;5'-Methylthioadenosine;4-Hydroxy-L-glutamic acid;4-Fumarylacetoacetic acid;L-Kynurenine;5,6-Dihydroxyindole;Indolepyruvate;Dopaquinone;Ascorbic acid;L-Cysteine;L-Aspartic acid;Glutamate; L-Glutamic acid;2-Oxo-4-methylthiobutanoic acid;Racemethionine;L-Dopa;Homocysteine;Adenosine monophosphate;L-Methionine; Methionine;DL-Dopa;creatine-P; Phosphocreatine;D-Glutamic acid;Glutathione;Iodotyrosine;Adenine;N-Acetyl-D-glucosamine;Ammonia;N-Acetylmannosamine;D-Cysteine;N-Acetyl-L-aspartic acid;cysteine; DL-Cysteine;Butanedioic acid; SUCCA; Succinic acid;2-amino-6-oxo-2,4-hexadienoic acid; 2-Aminomuconic acid; AMSA;TAU; Taurine;D-Glutamic acid; Glutamate;4-Hydroxyphenylpyruvic acid; HPPYRA;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Erythro-4-hydroxy-L-glutamate(1-);3-Sulfinoalanine; CSA;Ade; Adenine;Methionine; Racemethionine;Dopaquinone; L-dopaquinone;Glutathione; GSH;L-KYN; L-Kynurenine;Aspartate; L-Aspartic acid;bisulfite; HSO3-; hydrogensulfite;Pcr; Phosphocreatine;D-Asp; D-Aspartic acid;5'-Methylthioadenosine; 5'-S-methyl-5'-thioadenosine; MTAD;Cysteine; L-Cysteine;Cystathione;Cysteineglutathione disulfide; GSSG;2-oxo-3-phenylpropanoate; keto-phenylpyruvate; kPPV;DL-Glutamate; Glutamate;N'-Formylkynurenine; N-formylkynurenine;N-Acetyl-L-aspartic acid; NAA;Phosphate; Pi;SO4(2-); Sulfate;1-pyrroline-3-hydroxy-5-carboxylate; Pyrroline hydroxycarboxylic acid;5,6-Dihydroxyindole; DHI;L-selenocystathionine; SeCysta; Selenocystathionine;L-4-Hydroxyglutamate semialdehyde;3-iodo-L-tyrosine; Iodotyrosine; MIT;beta-N-Acetylglucosamine; betaGlcNAc; N-acetyl-beta-D-glucosamine;bGalNAc; N-Acetyl-b-D-galactosamine; N-acetyl-beta-D-galactosamine;D-Kynurenine; Kynurenine;Ascorbic acid; L-ascorbic acid;3-(indol-3-yl)pyruvic acid; 3IN-PYRA; Indolepyruvate;PPi; Pyrophosphate;N'-Formylkynurenine;2-Keto-glutaramic acid; 2-oxoglutaramic acid; 2OGA;4,6-dioxo-2E-octenedioic acid; 4-Fumarylacetoacetic acid; fumarylacetoacetate;2-Oxo-4- methylthiobutanoic acid; 2-oxo-4-methylthio-butanoic acid; 2-Oxo-4-methylthiobutanoic acid;N-acetyl-alpha-D-galactosamine; N-Acetylgalactosamine;SO3 2- (sulfite); Sulfite;5-(methylthio)-2,3- Dioxopentyl phosphate; 5-(Methylthio)-2,3-dioxopentyl phosphate;2-(Acetylamino)-2-deoxy-alpha-D-mannopyranose;6-(2-amino-2-carboxyethyl)-4-hydroxybenzothiazole; benzothiazole;Butanedioic acid; succinate; Succinic acid;Kynurenine; L-Kynurenine;beta-N-Acetylglucosamine; betaGlcNAc;bGalNAc; N-Acetyl-b-D-galactosamine;N-Acetyl-D-mannosamine; N-Acetylmannosamine;2-amino-6-oxo-2,4-hexadienoic acid; 2-Aminomuconic acid;4,6-dioxo-2E-octenedioic acid; 4-Fumarylacetoacetic acid;2-amino-6-oxo-2,4-hexadienoic acid; 2-Aminomuconic acid semialdehyde;Phosphocreatine;2-Keto-glutaramic acid; 2OGA;Maleylacetoacetic acid;SeCysta; Selenocystathionine;Cytidine 2',3'-cyclic phosphate; GSSG;L-Dopaquinone;L-Formylkynurenine;4-fumarylacetoacetate(2-); fumarylacetoacetate;(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;Glutathionate(1-);Vidarabine phosphate;3,4-Dihydroxy-5-[(S)-1,2-dihydroxyethyl]furan-2(5H)-one;Cifostodine;Cysteine sulfinic acid;(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;Avenanthramide K;2-oxo-3-phenylpropanoate; kPPV;bisulfite; HSO3-","1"
"Metabolism of nucleotides","R-HSA-15869","reactome",0.00084373,27,157,0.03265474,1,"Pseudouridine 5'-phosphate;Uridine 2'-phosphate;Inosinic acid;Ureidosuccinic acid;Pyrophosphate;Phosphate;Pseudouridine;Cysteineglutathione disulfide;D-Aspartic acid;5-Aminoimidazole ribonucleotide;L-Aspartic acid;Glutamate; L-Glutamic acid;Uridine;Uridine 5'-monophosphate;5-Phosphoribosylamine;Adenosine monophosphate;Deoxyadenosine monophosphate;D-Glutamic acid;Xanthine;Glutathione;Adenine;Phosphoribosyl pyrophosphate;Ammonia;Uridine 3'-monophosphate;GMP; Guanosine monophosphate;2'-Deoxyguanosine 5'-monophosphate;dUMP;1-[(2R,3S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione;N-Carbamoyl-L-aspartate; Ureidosuccinic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;UMP; Uridine 5'-monophosphate;Ura-Rib; Uridine;Ade; Adenine;Glutathione; GSH;Aspartate; L-Aspartic acid;Phosphoribosyl pyrophosphate; PRPP;IMP; Inosinic acid;guanosine 5'-monophosphate; Guanosine monophosphate;D-Asp; D-Aspartic acid;9H-xanthine; XAN; Xanthine;2'-deoxyadenosine 5'-monophosphate; Deoxyadenosine monophosphate;Pseudouridine; PURID;Cysteineglutathione disulfide; GSSG;Pseudouridine 5'-phosphate; PURIDP;DL-Glutamate; Glutamate;Phosphate; Pi;U2MP; Uridine 2'-phosphate;3'-UMP; U3MP; Uridine 3'-monophosphate;PPi; Pyrophosphate;2-hydroxy-dAMP;Guanosine monophosphate;8-Oxo-dGMP;Cytidine 2',3'-cyclic phosphate; GSSG;U3MP; Uridine 3'-monophosphate;5-amino-1-(5-phosphonato-D-ribosyl)imidazol-3-ium;5-phospho-beta-D-ribosylaminium(1-);5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);Glutathionate(1-);Vidarabine phosphate;[(2S,3R,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;Cifostodine;[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;[(2S,5S)-5-(2,4-Dioxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate;Avenanthramide K","2, 7"
"Glutathione conjugation","R-HSA-156590","reactome",0.00109167,9,30,0.03662769,1,"Phosphate;Cysteinylglycine;S-(2-Hydroxyethyl)glutathione;2,3-Epoxyaflatoxin B1;L-Cysteine;Glutamate; L-Glutamic acid;D-Glutamic acid;Glutathione;D-Cysteine;Pyroglutamic acid;cysteine; DL-Cysteine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Glutathione; GSH;Cysteine; L-Cysteine;OPRO; Pyroglutamic acid;DL-Glutamate; Glutamate;Phosphate; Pi;N-acetyl-1,4-benzoquinone imine; NABQI; NAPQI;2,3-Epoxyaflatoxin B1; aflatoxin B1 exo-8,9-epoxide; AFXBO;S-(2-Hydroxyethyl)glutathione; S-2-(hydroxyethyl)-glutathione;Cysteinyl-glycine; Cysteinylglycine;5-oxoproline; Pyroglutamic acid;2,3-Epoxyaflatoxin B1; Aflatoxin B1 exo-8,9-epoxide;NABQI; NAPQI;Glutathionate(1-);2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid","3"
"Phenylalanine and tyrosine metabolism","R-HSA-8963691","reactome",0.0014164,9,31,0.0424188,1,"4-Hydroxyphenylpyruvic acid;D-Aspartic acid;4-Fumarylacetoacetic acid;Indolepyruvate;Ascorbic acid;L-Aspartic acid;Glutamate; L-Glutamic acid;D-Glutamic acid;Glutathione;Ammonia;D-Glutamic acid; Glutamate;4-Hydroxyphenylpyruvic acid; HPPYRA;L-Glutamate; L-Glutamic acid;Glutathione; GSH;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;2-oxo-3-phenylpropanoate; keto-phenylpyruvate; kPPV;DL-Glutamate; Glutamate;Ascorbic acid; L-ascorbic acid;3-(indol-3-yl)pyruvic acid; 3IN-PYRA; Indolepyruvate;4,6-dioxo-2E-octenedioic acid; 4-Fumarylacetoacetic acid; fumarylacetoacetate;4,6-dioxo-2E-octenedioic acid; 4-Fumarylacetoacetic acid;Maleylacetoacetic acid;4-fumarylacetoacetate(2-); fumarylacetoacetate;Glutathionate(1-);3,4-Dihydroxy-5-[(S)-1,2-dihydroxyethyl]furan-2(5H)-one;Avenanthramide K;2-oxo-3-phenylpropanoate; kPPV","1, 4"
"SLC transporter disorders","R-HSA-5619102","reactome",0.00028871,18,81,0.01712717,0.40679316,"Elaidic acid;Oleic acid;Phosphate;Dodecanoic acid;Sulfate;D-Aspartic acid;N-Acetylneuraminic acid;Octadec-9-enoic Acid;N-Acetyl-a-neuraminic acid;Capric acid;Aspirin;L-Cysteine;Myristic acid;L-Aspartic acid;Glutamate; L-Glutamic acid;Palmitic acid;Uridine;Uridine 5'-monophosphate;Racemethionine;L-Methionine; Methionine;D-Glutamic acid;Salicylic acid;Adenine;Ammonia;D-Cysteine;1-[(2R,3S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione;cysteine; DL-Cysteine;acetylsalicylic acid; Aspirin;hexadecanoic acid; PALM; Palmitic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;9Z-octadecenoic acid; OLEA; Oleic acid;UMP; Uridine 5'-monophosphate;Ura-Rib; Uridine;Ade; Adenine;Methionine; Racemethionine;SAL; Salicylic acid;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;Cysteine; L-Cysteine;DL-Glutamate; Glutamate;Phosphate; Pi;SO4(2-); Sulfate;9E-octadecenoic acid; Elaidic acid; ELDA;Myristic acid; MYSA; tetradecanoic acid;DDCX; Dodecanoic acid;Capric acid; DECA; decanoic acid;9Z-octadecenoic acid; OA; Oleic acid;hexadecanoic acid; Palmitic acid;Capric acid; DECA; Decanoic acid;Myristic acid; tetradecanoic acid;3h-Sialic acid;[(2S,3R,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;Avenanthramide K","5"
"Purine ribonucleoside monophosphate biosynthesis","R-HSA-73817","reactome",0.00142003,10,37,0.0424188,1,"Inosinic acid;Pyrophosphate;Phosphate;D-Aspartic acid;5-Aminoimidazole ribonucleotide;L-Aspartic acid;Glutamate; L-Glutamic acid;5-Phosphoribosylamine;Adenosine monophosphate;D-Glutamic acid;Phosphoribosyl pyrophosphate;GMP; Guanosine monophosphate;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Aspartate; L-Aspartic acid;Phosphoribosyl pyrophosphate; PRPP;IMP; Inosinic acid;guanosine 5'-monophosphate; Guanosine monophosphate;D-Asp; D-Aspartic acid;DL-Glutamate; Glutamate;Phosphate; Pi;PPi; Pyrophosphate;Guanosine monophosphate;5-amino-1-(5-phosphonato-D-ribosyl)imidazol-3-ium;5-phospho-beta-D-ribosylaminium(1-);5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);Vidarabine phosphate;[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","2"
"Nucleotide biosynthesis","R-HSA-8956320","reactome",0.00102322,12,48,0.03662769,1,"Inosinic acid;Ureidosuccinic acid;Pyrophosphate;Phosphate;D-Aspartic acid;5-Aminoimidazole ribonucleotide;L-Aspartic acid;Glutamate; L-Glutamic acid;Uridine 5'-monophosphate;5-Phosphoribosylamine;Adenosine monophosphate;D-Glutamic acid;Phosphoribosyl pyrophosphate;GMP; Guanosine monophosphate;N-Carbamoyl-L-aspartate; Ureidosuccinic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;UMP; Uridine 5'-monophosphate;Aspartate; L-Aspartic acid;Phosphoribosyl pyrophosphate; PRPP;IMP; Inosinic acid;guanosine 5'-monophosphate; Guanosine monophosphate;D-Asp; D-Aspartic acid;DL-Glutamate; Glutamate;Phosphate; Pi;PPi; Pyrophosphate;Guanosine monophosphate;5-amino-1-(5-phosphonato-D-ribosyl)imidazol-3-ium;5-phospho-beta-D-ribosylaminium(1-);5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);Vidarabine phosphate;[(2S,3R,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","2"
"Degradation of cysteine and homocysteine","R-HSA-1614558","reactome",0.00177364,10,38,0.04703423,1,"Taurine;3-Sulfinoalanine;Sulfite;Sulfate;Cysteineglutathione disulfide;L-Cysteine;Glutamate; L-Glutamic acid;Homocysteine;D-Glutamic acid;Glutathione;Ammonia;D-Cysteine;cysteine; DL-Cysteine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;Glutathione; GSH;bisulfite; HSO3-; hydrogensulfite;Cysteine; L-Cysteine;Cysteineglutathione disulfide; GSSG;DL-Glutamate; Glutamate;SO4(2-); Sulfate;SO3 2- (sulfite); Sulfite;Cytidine 2',3'-cyclic phosphate; GSSG;Glutathionate(1-);Cifostodine;Cysteine sulfinic acid;Avenanthramide K;bisulfite; HSO3-","1, 2, 4"
"Sulfur amino acid metabolism","R-HSA-1614635","reactome",1.548e-05,18,66,0.00201584,0.02201942,"Taurine;3-Sulfinoalanine;5-(Methylthio)-2,3-dioxopentyl phosphate;Pyrophosphate;Phosphate;Sulfite;Sulfate;Cysteineglutathione disulfide;5'-Methylthioadenosine;L-Cysteine;Glutamate; L-Glutamic acid;2-Oxo-4-methylthiobutanoic acid;Racemethionine;Homocysteine;L-Methionine; Methionine;D-Glutamic acid;Glutathione;Adenine;Ammonia;D-Cysteine;cysteine; DL-Cysteine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;Ade; Adenine;Methionine; Racemethionine;Glutathione; GSH;bisulfite; HSO3-; hydrogensulfite;5'-Methylthioadenosine; 5'-S-methyl-5'-thioadenosine; MTAD;Cysteine; L-Cysteine;Cystathione;Cysteineglutathione disulfide; GSSG;DL-Glutamate; Glutamate;Phosphate; Pi;SO4(2-); Sulfate;PPi; Pyrophosphate;2-Oxo-4- methylthiobutanoic acid; 2-oxo-4-methylthio-butanoic acid; 2-Oxo-4-methylthiobutanoic acid;SO3 2- (sulfite); Sulfite;5-(methylthio)-2,3- Dioxopentyl phosphate; 5-(Methylthio)-2,3-dioxopentyl phosphate;Cytidine 2',3'-cyclic phosphate; GSSG;Glutathionate(1-);Cifostodine;Cysteine sulfinic acid;(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;Avenanthramide K;bisulfite; HSO3-","1"
"Purine salvage","R-HSA-74217","reactome",0.00039865,10,32,0.02195669,0.56090755,"Inosinic acid;Pyrophosphate;Phosphate;Adenosine monophosphate;Deoxyadenosine monophosphate;Adenine;Phosphoribosyl pyrophosphate;Ammonia;GMP; Guanosine monophosphate;2'-Deoxyguanosine 5'-monophosphate;Adenosine monophosphate; AMP;Ade; Adenine;Phosphoribosyl pyrophosphate; PRPP;IMP; Inosinic acid;guanosine 5'-monophosphate; Guanosine monophosphate;2'-deoxyadenosine 5'-monophosphate; Deoxyadenosine monophosphate;Phosphate; Pi;PPi; Pyrophosphate;Guanosine monophosphate;5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);Vidarabine phosphate;[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;Avenanthramide K","2"
