"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.8 Metabolism of cofactors and vitamins",0.12,"Pterine Biosynthesis","map00790",0.154890130498172,3,25,0.661308080083838,1,"6-Lactoyltetrahydropterin;
Dihydrobiopterin;
7.8-dihydropterin;
7,8-BH2;
1-hydroxy-2-Oxopropyl tetrahydropterin;
7,8-BH2"
"2","1.5 Amino acid metabolism",0.107142857142857,"Phenylalanine and Tyrosine Metabolism","map00360",0.197914955154699,3,28,0.661308080083838,1,"4a-Hydroxytetrahydrobiopterin;
Pyridoxal 5'-phosphate;
L-Glutamine;
D-Glutamine;
4a-hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
PLP;
Glutamine;
4alpha-hydroxy-tetrahydrobiopterin"
"3","1.10 Biosynthesis of other secondary metabolites",0.105263157894737,"Caffeine Metabolism","map00232",0.286136543506655,2,19,0.661308080083838,1,"5-Acetylamino-6-amino-3-methyluracil;
1,3,7-Trimethyluric acid"
"4","1.5 Amino acid metabolism",0.08,"Arginine and proline metabolism","map00330",0.298574440260718,4,50,0.661308080083838,1,"Citrulline;
Pyridoxal 5'-phosphate;
L-Glutamine;
Creatine;
D-Glutamine;
Creatine;
L-glutamine;
D-Citrulline;
PLP;
Glutamine;
Citrulline"
"5","1.5 Amino acid metabolism",0.072463768115942,"Tyrosine metabolism","map00350",0.334732014205899,5,69,0.661308080083838,1,"4a-Hydroxytetrahydrobiopterin;
Vanylglycol;
Pyridoxal 5'-phosphate;
3-Methoxytyramine;
Dihydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
PLP;
7.8-dihydropterin;
7,8-BH2;
MHPG;
7,8-BH2;
4alpha-hydroxy-tetrahydrobiopterin"
"6","1.5 Amino acid metabolism",0.0740740740740741,"Tryptophan metabolism","map00380",0.353245498142271,4,54,0.661308080083838,1,"4a-Hydroxytetrahydrobiopterin;
Serotonin;
5-Hydroxyindoleacetic acid;
Pyridoxal 5'-phosphate;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
PLP;
(5-hydroxyindol-3-yl)acetic acid;
5HT;
4alpha-hydroxy-tetrahydrobiopterin"
"7","1.6 Metabolism of other amino acids",0.0869565217391304,"Selenocompound metabolism","map00450",0.371701654958562,2,23,0.661308080083838,1,"Pyridoxal 5'-phosphate;
PLP;
Gamma-Glutamyl-Se-methylselenocysteine"
"8","1.2 Energy metabolism",0.08,"Nitrogen metabolism","map00910",0.413317550052399,2,25,0.661308080083838,1,"Pyridoxal 5'-phosphate;
L-Glutamine;
D-Glutamine;
L-glutamine;
PLP;
Glutamine"
"9","1.3 Lipid metabolism",0.08,"Phospholipid Biosynthesis","map00564",0.413317550052399,2,25,0.661308080083838,1,"Phosphorylcholine;
Acetylcholine;
AcCho;
ChoP"
"10","1.5 Amino acid metabolism",0.08,"Lysine degradation","map00310",0.413317550052399,2,25,0.661308080083838,1,"Pyridoxal 5'-phosphate;
L-Lysine;
D-Lysine;
L-lysine;
PLP;
L-Lysine"
"11","1.8 Metabolism of cofactors and vitamins",0.0689655172413793,"Nicotinate and nicotinamide metabolism","map00760",0.49269961216694,2,29,0.70565003381074,1,"Ribose 1-phosphate;
L-Glutamine;
D-Glutamine;
Glutamine;
D-Ribose 1-phosphate"
"12","1.4 Nucleotide metabolism",0.0588235294117647,"Purine metabolism","map00230",0.543267478775833,4,68,0.70565003381074,1,"D-Arabinose 5-phosphate;
Ribose 1-phosphate;
5-Aminoimidazole ribonucleotide;
D-Ribulose 5-phosphate;
D-Ribulose 5-phosphate;
Xylulose 5-phosphate;
L-Glutamine;
D-Glutamine;
D-Xylulose-5-phosphate;
D-Ribulose 5-phosphate;
D-Ribulose 5-phosphate;
Glutamine;
D-Ribose 5-phosphate;
5-amino-1-(5-phosphonato-D-ribosyl)imidazol-3-ium;
D-Ribose 1-phosphate;
ribose-5-phosphate"
"13","1.4 Nucleotide metabolism",0.0576923076923077,"Pyrimidine metabolism","map00240",0.573340652471226,3,52,0.70565003381074,1,"Ribose 1-phosphate;
Ureidoisobutyric acid;
L-Glutamine;
D-Glutamine;
UIBA;
Glutamine;
D-Ribose 1-phosphate;
3-ureido-isobutyrate"
"14","1.5 Amino acid metabolism",0.05,"Alanine, aspartate and glutamate metabolism","map00250",0.677975562506678,3,60,0.774829214293346,1,"Citrulline;
Pyridoxal 5'-phosphate;
L-Glutamine;
D-Glutamine;
D-Citrulline;
PLP;
Glutamine;
Citrulline"
"15","1.1 Carbohydrate metabolism",0.0377358490566038,"Starch and sucrose metabolism","map00500",0.822877106664963,2,53,0.847425582979945,1,"Phosphorylcholine;
Pyridoxal 5'-phosphate;
ChoP;
PLP"
"16","1.5 Amino acid metabolism",0.0357142857142857,"Glycine, serine and threonine metabolism","map00260",0.847425582979945,2,56,0.847425582979945,1,"Pyridoxal 5'-phosphate;
Creatine;
Creatine;
PLP"
