"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.1 Carbohydrate metabolism",0.333333333333333,"Fructose and mannose metabolism","map00051",0.000230904134796315,8,24,0.0076198364482784,0.0076198364482784
"2","1.1 Carbohydrate metabolism",0.257142857142857,"Amino Sugar Metabolism","map00520",0.000807247749444007,9,35,0.0133195878658261,0.0258319279822082
"3","1.2 Energy metabolism",0.24,"Nitrogen metabolism","map00910",0.00969900723551743,6,25,0.0934395711699068,0.30066922430104
"4","1.5 Amino acid metabolism",0.18,"Arginine and proline metabolism","map00330",0.0113260086266554,9,50,0.0934395711699068,0.339780258799661
"5","1.1 Carbohydrate metabolism",0.222222222222222,"Glycolysis / Gluconeogenesis","map00010",0.0143374119873494,6,27,0.0946269191165063,0.415784947633134
"6","1.5 Amino acid metabolism",0.15,"Alanine, aspartate and glutamate metabolism","map00250",0.0358831391663855,9,60,0.19735726541512,1
"7","1.5 Amino acid metabolism",0.137254901960784,"Methionine Metabolism","map00270",0.0941007836751891,7,51,0.443617980183034,1
"8","1.6 Metabolism of other amino acids",0.166666666666667,"Glutathione metabolism","map00480",0.161766591154988,3,18,0.559748953119002,1
"9","1.3 Lipid metabolism",0.166666666666667,"alpha-Linolenic acid metabolism","map00592",0.161766591154988,3,18,0.559748953119002,1
"10","1.5 Amino acid metabolism",0.142857142857143,"Phenylalanine and Tyrosine Metabolism","map00360",0.170311088767127,4,28,0.559748953119002,1
"11","1.8 Metabolism of cofactors and vitamins",0.137931034482759,"Nicotinate and nicotinamide metabolism","map00760",0.186582984373001,4,29,0.559748953119002,1
"12","1.2 Energy metabolism",0.166666666666667,"Oxidative phosphorylation","map00190",0.241990986643731,2,12,0.575272840956212,1
"13","1.6 Metabolism of other amino acids",0.166666666666667,"Taurine and Hypotaurine Metabolism","map00430",0.241990986643731,2,12,0.575272840956212,1
"14","1.8 Metabolism of cofactors and vitamins",0.130434782608696,"One carbon pool by folate","map00670",0.268028315287504,3,23,0.575272840956212,1
"15","1.1 Carbohydrate metabolism",0.117647058823529,"Propanoate metabolism","map00640",0.274414721435374,4,34,0.575272840956212,1
"16","1.4 Nucleotide metabolism",0.102941176470588,"Purine metabolism","map00230",0.278920165312103,7,68,0.575272840956212,1
"17","1.1 Carbohydrate metabolism",0.142857142857143,"Butyrate Metabolism","map00650",0.302829238874412,2,14,0.587844993109153,1
"18","1.8 Metabolism of cofactors and vitamins",0.125,"Pantothenate and CoA Biosynthesis","map00770",0.362942342493705,2,16,0.665267444619157,1
"19","1.8 Metabolism of cofactors and vitamins",0.117647058823529,"Vitamin B6 Metabolism","map00750",0.392350738419712,2,17,0.665267444619157,1
"20","1.6 Metabolism of other amino acids",0.103448275862069,"beta-Alanine metabolism","map00410",0.403192390678277,3,29,0.665267444619157,1
"21","1.5 Amino acid metabolism",0.0892857142857143,"Glycine, serine and threonine metabolism","map00260",0.455843199765462,5,56,0.697698814140096,1
"22","1.5 Amino acid metabolism",0.0869565217391304,"Tyrosine metabolism","map00350",0.465132542760064,6,69,0.697698814140096,1
"23","1.5 Amino acid metabolism",0.0857142857142857,"Histidine metabolism","map00340",0.531605268926979,3,35,0.754322074294356,1
"24","1.6 Metabolism of other amino acids",0.0869565217391304,"Selenocompound metabolism","map00450",0.553917287780094,2,23,0.754322074294356,1
"25","1.1 Carbohydrate metabolism",0.08,"Galactose Metabolism","map00052",0.600905578138109,2,25,0.754322074294356,1
"26","1.4 Nucleotide metabolism",0.0769230769230769,"Pyrimidine metabolism","map00240",0.601238084353904,4,52,0.754322074294356,1
"27","1.1 Carbohydrate metabolism",0.0754716981132075,"Starch and sucrose metabolism","map00500",0.617172606240837,4,53,0.754322074294356,1
"28","1.1 Carbohydrate metabolism",0.0645161290322581,"Phosphatidylinositol Phosphate Metabolism","map00562",0.719851234474331,2,31,0.848396097773318,1
"29","1.5 Amino acid metabolism",0.0588235294117647,"Valine, leucine and isoleucine degradation","map00280",0.787622694669321,3,51,0.873297254759825,1
"30","1.1 Carbohydrate metabolism",0.0526315789473684,"Pyruvate metabolism","map00620",0.82032391449036,2,38,0.873297254759825,1
"31","1.5 Amino acid metabolism",0.0555555555555556,"Tryptophan metabolism","map00380",0.820370148410744,3,54,0.873297254759825,1
"32","1.3 Lipid metabolism",0.0333333333333333,"Primary bile acid biosynthesis","map00120",0.96205273152558,2,60,0.971982440238628,1
"33","1.3 Lipid metabolism",0.03125,"Arachidonic Acid Metabolism","map00590",0.971982440238628,2,64,0.971982440238628,1
