"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.1 Carbohydrate metabolism",0.333333333333333,"Fructose and mannose metabolism","map00051",0.000230904134796315,8,24,0.0076198364482784,0.0076198364482784,"beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Fructose 1-phosphate;
Galactose 1-phosphate;
Mannose 6-phosphate;
Glyceraldehyde;
D-Glucose-6-Phosphate;
Glyceraldehyde 3-phosphate;
Fructose 6-phosphate;
Dolichyl phosphate D-mannose;
Beta-D-Fructose 2-phosphate;
Fructose 6-phosphate;
beta-D-Glucose 6-phosphate;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
G1P;
Glyceraldehyde 3-phosphate;
G3P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate;
beta-L-fucose 1-phosphate"
"2","1.1 Carbohydrate metabolism",0.257142857142857,"Amino Sugar Metabolism","map00520",0.000807247749444007,9,35,0.0133195878658261,0.0258319279822082,"beta-D-Glucosamine;
D-Mannose 1-phosphate;
N-Acetyl-D-Glucosamine 6-Phosphate;
Galactose 1-phosphate;
Glucosamine;
Glucose 6-phosphate;
L-Glutamine;
Glutamate;
D-Glucose-6-Phosphate;
D-Glutamine;
Fructose 6-phosphate;
N-Acetyl-glucosamine 1-phosphate;
D-Glutamic acid;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
Dolichyl phosphate D-mannose;
AcGlcN6P;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
DL-Glutamate;
G1P;
D-glucopyranose 6-phosphate;
N-acetyl-alpha-D-galactosamine 1-phosphate;
2-amino-2-deoxy-D-glucopyranose;
N-Acetyl-D-galactosamine 1-phosphate;
AcGlcN1P;
Glutamine;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
beta-D-Galactosamine;
beta-D-Glucose 1-phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
D-fructose 6-phosphate"
"3","1.2 Energy metabolism",0.24,"Nitrogen metabolism","map00910",0.00969900723551743,6,25,0.0934395711699068,0.30066922430104,"D-Aspartic acid;
Dihydrolipoate;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Aspartate;
D-Asp;
DL-Glutamate;
Glutamine;
Vidarabine phosphate"
"4","1.5 Amino acid metabolism",0.18,"Arginine and proline metabolism","map00330",0.0113260086266554,9,50,0.0934395711699068,0.339780258799661,"Succinic acid;
D-Aspartic acid;
Pyrroline hydroxycarboxylic acid;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
1-Pyrroline-4-hydroxy-2-carboxylate;
Butanedioic acid;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Aspartate;
D-Asp;
DL-Glutamate;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
Butanedioic acid;
Glutamine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;
Vidarabine phosphate"
"5","1.1 Carbohydrate metabolism",0.222222222222222,"Glycolysis / Gluconeogenesis","map00010",0.0143374119873494,6,27,0.0946269191165063,0.415784947633134,"D-Lactic acid;
beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Galactose 1-phosphate;
Mannose 6-phosphate;
Glucose 6-phosphate;
D-Glucose-6-Phosphate;
Glyceraldehyde 3-phosphate;
Fructose 6-phosphate;
L-Lactic acid;
Dolichyl phosphate D-mannose;
Fructose 6-phosphate;
beta-D-Glucose 6-phosphate;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
G1P;
Glyceraldehyde 3-phosphate;
D-glucopyranose 6-phosphate;
D-Lactic acid;
(S)-lactic acid;
L-Lactic acid;
G3P;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate"
"6","1.5 Amino acid metabolism",0.15,"Alanine, aspartate and glutamate metabolism","map00250",0.0358831391663855,9,60,0.19735726541512,1,"Succinic acid;
D-Aspartic acid;
N-Acetyl-D-Glucosamine 6-Phosphate;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
Fructose 6-phosphate;
D-Glutamic acid;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
N-Acetyl-L-aspartic acid;
Butanedioic acid;
AcGlcN6P;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Aspartate;
D-Asp;
DL-Glutamate;
N-Acetyl-L-aspartic acid;
Butanedioic acid;
Glutamine;
Vidarabine phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
D-fructose 6-phosphate"
"7","1.5 Amino acid metabolism",0.137254901960784,"Methionine Metabolism","map00270",0.0941007836751891,7,51,0.443617980183034,1,"3-Sulfinoalanine;
Glutamate;
Homocysteine;
Adenosine monophosphate;
5-Methylthioribose 1-phosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
3-Sulfinoalanine;
bisulfite;
DL-Glutamate;
5-Methylthioribose  1-phosphate;
Vidarabine phosphate;
Cysteine sulfinic acid;
bisulfite"
"8","1.6 Metabolism of other amino acids",0.166666666666667,"Glutathione metabolism","map00480",0.161766591154988,3,18,0.559748953119002,1,"Cysteinylglycine;
Glutamate;
D-Glutamic acid;
Pyroglutamic acid;
D-Glutamic acid;
L-Glutamate;
OPRO;
DL-Glutamate;
Cysteinyl-glycine;
5-oxoproline;
2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid"
"9","1.3 Lipid metabolism",0.166666666666667,"alpha-Linolenic acid metabolism","map00592",0.161766591154988,3,18,0.559748953119002,1,"Cis-8,11,14,17-Eicosatetraenoic acid;
Arachidonic acid;
Docosahexaenoic acid;
5Z,8Z,11Z,14Z-eicosatetraenoic acid;
4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoic acid;
5,8,11,14-eicosatetraenoic acid;
8,11,14,17-eicosatetraenoic acid;
20:4(8Z,11Z,14Z,17Z);
5,8,11,14-Icosatetraenoic Acid;
(4E,7E,10Z,13E,16E,19E)-Docosa-4,7,10,13,16,19-hexaenoic acid"
"10","1.5 Amino acid metabolism",0.142857142857143,"Phenylalanine and Tyrosine Metabolism","map00360",0.170311088767127,4,28,0.559748953119002,1,"L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
DL-Glutamate;
Glutamine;
Vidarabine phosphate"
