"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.10 Biosynthesis of other secondary metabolites",0.421052631578947,"Caffeine Metabolism","map00232",0.0190778334531872,8,19,0.705879837767928,0.705879837767928
"2","1.8 Metabolism of cofactors and vitamins",0.346153846153846,"Retinol Metabolism","map00830",0.0492924120826599,9,26,0.878497552795543,1
"3","1.8 Metabolism of cofactors and vitamins",0.32,"Pterine Biosynthesis","map00790",0.094972708410329,8,25,0.878497552795543,1
"4","1.1 Carbohydrate metabolism",0.32,"Galactose Metabolism","map00052",0.094972708410329,8,25,0.878497552795543,1
"5","1.8 Metabolism of cofactors and vitamins",0.428571428571429,"Thiamine Metabolism","map00730",0.139921320594552,3,7,0.99787926819205,1
"6","1.8 Metabolism of cofactors and vitamins",0.294117647058824,"Vitamin B6 Metabolism","map00750",0.225610496483048,5,17,0.99787926819205,1
"7","1.5 Amino acid metabolism",0.25,"Phenylalanine and Tyrosine Metabolism","map00360",0.298763456046595,7,28,0.99787926819205,1
"8","1.5 Amino acid metabolism",0.222222222222222,"Tryptophan metabolism","map00380",0.360436585875767,12,54,0.99787926819205,1
"9","1.8 Metabolism of cofactors and vitamins",0.25,"Pantothenate and CoA Biosynthesis","map00770",0.385048640594233,4,16,0.99787926819205,1
"10","1.6 Metabolism of other amino acids",0.217391304347826,"Selenocompound metabolism","map00450",0.480180589693299,5,23,0.99787926819205,1
"11","1.8 Metabolism of cofactors and vitamins",0.206896551724138,"Nicotinate and nicotinamide metabolism","map00760",0.516071791545847,6,29,0.99787926819205,1
"12","1.5 Amino acid metabolism",0.196078431372549,"Methionine Metabolism","map00270",0.55867550384638,10,51,0.99787926819205,1
"13","1.2 Energy metabolism",0.2,"Nitrogen metabolism","map00910",0.561416386686495,5,25,0.99787926819205,1
"14","1.1 Carbohydrate metabolism",0.171428571428571,"Amino Sugar Metabolism","map00520",0.71380304072678,6,35,0.99787926819205,1
"15","1.4 Nucleotide metabolism",0.176470588235294,"Purine metabolism","map00230",0.714861818737349,12,68,0.99787926819205,1
"16","1.5 Amino acid metabolism",0.160714285714286,"Glycine, serine and threonine metabolism","map00260",0.805161340498902,9,56,0.99787926819205,1
"17","Deleted pathways from Kegg",0.148148148148148,"Androgen and Estrogen Metabolism","map00150",0.809085114975025,4,27,0.99787926819205,1
"18","1.5 Amino acid metabolism",0.159420289855072,"Tyrosine metabolism","map00350",0.832371191316536,11,69,0.99787926819205,1
"19","1.3 Lipid metabolism",0.15625,"Arachidonic Acid Metabolism","map00590",0.842731683985958,10,64,0.99787926819205,1
"20","1.1 Carbohydrate metabolism",0.150943396226415,"Starch and sucrose metabolism","map00500",0.851396397444272,8,53,0.99787926819205,1
"21","1.6 Metabolism of other amino acids",0.137931034482759,"beta-Alanine metabolism","map00410",0.853024212990865,4,29,0.99787926819205,1
"22","1.8 Metabolism of cofactors and vitamins",0.125,"Ubiquinone Biosynthesis","map00130",0.8534798240882,2,16,0.99787926819205,1
"23","1.8 Metabolism of cofactors and vitamins",0.117647058823529,"Riboflavin Metabolism","map00740",0.87682501108905,2,17,0.99787926819205,1
"24","1.1 Carbohydrate metabolism",0.125,"Fructose and mannose metabolism","map00051",0.880349587210684,3,24,0.99787926819205,1
"25","1.3 Lipid metabolism",0.135135135135135,"Steroidogenesis","map00140",0.882969644087743,5,37,0.99787926819205,1
"26","1.6 Metabolism of other amino acids",0.111111111111111,"Glutathione metabolism","map00480",0.896721275390859,2,18,0.99787926819205,1
"27","1.3 Lipid metabolism",0.12,"Phospholipid Biosynthesis","map00564",0.897421543662654,3,25,0.99787926819205,1
"28","1.5 Amino acid metabolism",0.12,"Lysine degradation","map00310",0.897421543662654,3,25,0.99787926819205,1
"29","1.2 Energy metabolism",0.105263157894737,"Sulfur metabolism","map00920",0.913613118146375,2,19,0.99787926819205,1
"30","1.4 Nucleotide metabolism",0.134615384615385,"Pyrimidine metabolism","map00240",0.91500533615144,7,52,0.99787926819205,1
"31","1.5 Amino acid metabolism",0.133333333333333,"Alanine, aspartate and glutamate metabolism","map00250",0.931719496541551,8,60,0.99787926819205,1
"32","1.5 Amino acid metabolism",0.114285714285714,"Histidine metabolism","map00340",0.937219946668291,4,35,0.99787926819205,1
"33","1.5 Amino acid metabolism",0.12,"Arginine and proline metabolism","map00330",0.951041685644301,6,50,0.99787926819205,1
"34","1.1 Carbohydrate metabolism",0.0769230769230769,"Citric Acid Cycle","map00020",0.976593928293702,2,26,0.99787926819205,1
"35","1.1 Carbohydrate metabolism",0.0882352941176471,"Propanoate metabolism","map00640",0.976884173167711,3,34,0.99787926819205,1
"36","1.5 Amino acid metabolism",0.0784313725490196,"Valine, leucine and isoleucine degradation","map00280",0.995471310278958,4,51,0.99787926819205,1
"37","1.1 Carbohydrate metabolism",0.0526315789473684,"Pyruvate metabolism","map00620",0.99787926819205,2,38,0.99787926819205,1
