"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.10 Biosynthesis of other secondary metabolites",0.421052631578947,"Caffeine Metabolism","map00232",0.0190778334531872,8,19,0.705879837767928,0.705879837767928,"3,7-Dimethyluric acid;
5-Acetylamino-6-amino-3-methyluracil;
1,7-Dimethyluric acid;
1,3,7-Trimethyluric acid;
Caffeine;
Theophylline;
Paraxanthine;
Theobromine;
1,7-dimethylxanthine"
"2","1.8 Metabolism of cofactors and vitamins",0.346153846153846,"Retinol Metabolism","map00830",0.0492924120826599,9,26,0.878497552795543,1,"Retinal;
L-Galactose;
all-trans-5,6-Epoxyretinoic acid;
Glycerophosphocholine;
all-trans-Retinoic acid;
D-Mannose;
D-Galactose;
4-oxo-Retinoic acid;
13-cis-Retinoic acid;
D-Glucose;
alpha-D-Glucose;
9-cis-Retinal;
9-cis-Retinoic acid;
11-cis-Retinaldehyde;
L-Gulose;
Allose;
4-Oxoretinol;
all-trans-18-Hydroxyretinoic acid;
4-Hydroxyretinoic acid;
beta-D-Galactose;
5,6-Epoxy-13-cis-retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
beta-D-glucose;
11-cis-retinal;
choline alfoscerate;
all-trans-retinal;
alpha-D-Glucose;
3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid;
alpha-D-galactose;
D-Mannose;
D-Glucose;
4-oxo-15-apo-beta-caroten-15-ol;
9-cis-Retinoic acid;
13-cis-Retinoic acid;
4-Hydroxyretinoic acid;
9-cis-Retinal;
4-oxo RA;
(2E,4E,6E,8E)-9-[2-(hydroxymethyl)-6,6-dimethylcyclohex-1-en-1-yl]-3,7-dimethylnona-2,4,6,8-tetraenoic acid;
(2E,4E,6E,8E)-3,7-dimethyl-9-{2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl}nona-2,4,6,8-tetraenoic acid;
Glycerophosphocholine;
Retinal;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
11-cis-Retinal;
13-cis-Retinal;
4-oxo-Retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
(2Z,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenal;
All-trans 4-Keto Retinoic Acid;
D-Gulose;
Glycerylphosphorylcholine;
Glucose"
"3","1.8 Metabolism of cofactors and vitamins",0.32,"Pterine Biosynthesis","map00790",0.094972708410329,8,25,0.878497552795543,1,"7,8-Dihydroneopterin;
Sepiapterin;
Dihydroneopterin phosphate;
6-Lactoyltetrahydropterin;
Tetrahydrobiopterin;
Dihydrobiopterin;
Dyspropterin;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
Dyspropterin;
BH4;
7.8-dihydropterin;
7,8-dihydromonapterin;
7,8-BH2;
1-hydroxy-2-Oxopropyl tetrahydropterin;
2-Amino-6-[(1R,2S)-1,2,3-trihydroxypropyl]-7,8-dihydro-3H-pteridin-4-one;
7,8-BH2;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
7,8-dihydroneopterin 3'-phosphate"
"4","1.1 Carbohydrate metabolism",0.32,"Galactose Metabolism","map00052",0.094972708410329,8,25,0.878497552795543,1,"L-Galactose;
Melibiose;
Epimelibiose;
Mannobiose;
(2R)-1-O-beta-D-Galactopyranosylglycerol;
Fagopyritol A1;
Allolactose;
D-Mannose;
D-Galactose;
beta-Cortol;
Isomaltose;
neo-Inositol;
muco-Inositol;
epi-Inositol;
scyllo-Inositol;
D-Glucose;
alpha-D-Glucose;
Cellobiose;
D-Fructose;
Levoinositol;
Sucrose;
cis-Inositol;
beta-Lactose;
L-Gulose;
Allose;
Alpha-Lactose;
allo-Inositol;
D-chiro-Inositol;
D-Maltose;
beta-D-Galactose;
Galabiose;
myo-Inositol;
DEAE-cellulose;
Galactosylglycerol;
beta-D-glucose;
Ins;
alpha-D-Glucose;
Suc;
1D-chiro-inositol;
alpha-D-galactose;
D-Fructose;
D-Mannose;
D-Glucose;
myo-Inositol;
iMal;
Galactinol;
CHI;
3h-Sucrose;
D-Glucose, 4-O-beta-D-galactopyranosyl-;
6-O-alpha-D-Galactopyranosyl-D-galactopyranose;
D-Fructofuranose;
D-Gulose;
3-beta-D-galactosyl-sn-glycerol;
Glucose"
"5","1.8 Metabolism of cofactors and vitamins",0.428571428571429,"Thiamine Metabolism","map00730",0.139921320594552,3,7,0.99787926819205,1,"Thiamine monophosphate;
Adenosine monophosphate;
Thiamine;
Adenosine monophosphate;
Thiamine;
Thiamine monophosphate;
Thiamine;
Vidarabine phosphate"
"6","1.8 Metabolism of cofactors and vitamins",0.294117647058824,"Vitamin B6 Metabolism","map00750",0.225610496483048,5,17,0.99787926819205,1,"Pyridoxine 5'-phosphate;
Pyridoxamine 5'-phosphate;
Pyridoxal 5'-phosphate;
Pyridoxamine;
PXA;
3-Hydroxy-2-methylpyridine-4,5-dicarboxylate;
Pyridoxamine 5'-phosphate;
PLP;
Pyridoxine 5'-phosphate;
PMP"
"7","1.5 Amino acid metabolism",0.25,"Phenylalanine and Tyrosine Metabolism","map00360",0.298763456046595,7,28,0.99787926819205,1,"4a-Hydroxytetrahydrobiopterin;
Phenylacetylglutamine;
Homogentisic acid;
Pyridoxal 5'-phosphate;
L-Glutamine;
D-Glutamine;
Adenosine monophosphate;
Tetrahydrobiopterin;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
Adenosine monophosphate;
phenylacetyl glutamine;
PLP;
BH4;
N(2)-phenylacetyl-L-glutaminate;
Glutamine;
Vidarabine phosphate;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4alpha-hydroxy-tetrahydrobiopterin"
"8","1.5 Amino acid metabolism",0.222222222222222,"Tryptophan metabolism","map00380",0.360436585875767,12,54,0.99787926819205,1,"N-Acetylserotonin;
4a-Hydroxytetrahydrobiopterin;
Serotonin;
Acetyl-N-formyl-5-methoxykynurenamine;
5-Hydroxyindoleacetic acid;
Pyridoxal 5'-phosphate;
Tetrahydrobiopterin;
5-Hydroxykynurenamine;
Melatonin;
3'-AMP;
Quinolinic acid;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
Melatonin;
PLP;
(5-hydroxyindol-3-yl)acetic acid;
5HT;
3'-AMP;
BH4;
Cinnavalininate;
Acetyl-N-formyl-5-methoxykynurenamine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
[(2R,5R)-5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate;
4alpha-hydroxy-tetrahydrobiopterin"
"9","1.8 Metabolism of cofactors and vitamins",0.25,"Pantothenate and CoA Biosynthesis","map00770",0.385048640594233,4,16,0.99787926819205,1,"Pantetheine;
Adenosine monophosphate;
Pantothenic acid;
Adenosine monophosphate;
D-Pantothenoyl-L-cysteine;
PanK;
Vidarabine phosphate;
3-[[(2S)-2,4-Dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid"
"10","1.6 Metabolism of other amino acids",0.217391304347826,"Selenocompound metabolism","map00450",0.480180589693299,5,23,0.99787926819205,1,"Selenocystine;
Vidarabine;
Pyridoxal 5'-phosphate;
Adenosine;
Adenosine monophosphate;
Adenosine monophosphate;
Ade-Rib;
PLP;
Gamma-Glutamyl-Se-methylselenocysteine;
Vidarabine phosphate;
9-Arabinofuranosyladenine"
