"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.1 Carbohydrate metabolism",0.333333333333333,"Fructose and mannose metabolism","map00051",0.00161809066252294,8,24,0.0582512638508257,0.0582512638508257
"2","1.1 Carbohydrate metabolism",0.296296296296296,"Glycolysis / Gluconeogenesis","map00010",0.00378093925963908,8,27,0.0680569066735034,0.132332874087368
"3","1.1 Carbohydrate metabolism",0.257142857142857,"Amino Sugar Metabolism","map00520",0.00607826769056786,9,35,0.0729392122868143,0.206661101479307
"4","1.5 Amino acid metabolism",0.2,"Arginine and proline metabolism","map00330",0.0242694706214223,10,50,0.2184252355928,0.800892530506934
"5","1.2 Energy metabolism",0.24,"Nitrogen metabolism","map00910",0.0349493773427912,6,25,0.251635516868096,1
"6","1.5 Amino acid metabolism",0.166666666666667,"Alanine, aspartate and glutamate metabolism","map00250",0.0755825439772596,10,60,0.453495263863558,1
"7","1.6 Metabolism of other amino acids",0.222222222222222,"Glutathione metabolism","map00480",0.104140503565802,4,18,0.535579732624122,1
"8","1.5 Amino acid metabolism",0.156862745098039,"Methionine Metabolism","map00270",0.14157964054662,8,51,0.588462354010046,1
"9","1.4 Nucleotide metabolism",0.147058823529412,"Purine metabolism","map00230",0.147115588502511,10,68,0.588462354010046,1
"10","1.6 Metabolism of other amino acids",0.173913043478261,"Selenocompound metabolism","map00450",0.204790070377012,4,23,0.609606810124783,1
"11","1.8 Metabolism of cofactors and vitamins",0.1875,"Pantothenate and CoA Biosynthesis","map00770",0.222443056272672,3,16,0.609606810124783,1
"12","1.5 Amino acid metabolism",0.130434782608696,"Tyrosine metabolism","map00350",0.270982656241814,9,69,0.609606810124783,1
"13","Deleted pathways from Kegg",0.2,"D-Arginine and D-Ornithine Metabolism","map00472",0.275615550516952,2,10,0.609606810124783,1
"14","1.3 Lipid metabolism",0.166666666666667,"alpha-Linolenic acid metabolism","map00592",0.280781706395782,3,18,0.609606810124783,1
"15","1.5 Amino acid metabolism",0.142857142857143,"Phenylalanine and Tyrosine Metabolism","map00360",0.324460673961165,4,28,0.609606810124783,1
"16","1.6 Metabolism of other amino acids",0.137931034482759,"beta-Alanine metabolism","map00410",0.349345024888008,4,29,0.609606810124783,1
"17","1.8 Metabolism of cofactors and vitamins",0.137931034482759,"Nicotinate and nicotinamide metabolism","map00760",0.349345024888008,4,29,0.609606810124783,1
"18","1.5 Amino acid metabolism",0.125,"Glycine, serine and threonine metabolism","map00260",0.352320443370147,7,56,0.609606810124783,1
"19","1.1 Carbohydrate metabolism",0.131578947368421,"Pyruvate metabolism","map00620",0.352612721350047,5,38,0.609606810124783,1
"20","1.2 Energy metabolism",0.166666666666667,"Oxidative phosphorylation","map00190",0.35560397257279,2,12,0.609606810124783,1
"21","1.6 Metabolism of other amino acids",0.166666666666667,"Taurine and Hypotaurine Metabolism","map00430",0.35560397257279,2,12,0.609606810124783,1
"22","1.8 Metabolism of cofactors and vitamins",0.130434782608696,"One carbon pool by folate","map00670",0.429177496652452,3,23,0.676870774347834,1
"23","1.1 Carbohydrate metabolism",0.142857142857143,"Butyrate Metabolism","map00650",0.432445216944449,2,14,0.676870774347834,1
"24","1.1 Carbohydrate metabolism",0.117647058823529,"Propanoate metabolism","map00640",0.472701977782706,4,34,0.709052966674059,1
"25","1.5 Amino acid metabolism",0.114285714285714,"Histidine metabolism","map00340",0.496560183771317,4,35,0.715046664630697,1
"26","1.8 Metabolism of cofactors and vitamins",0.117647058823529,"Vitamin B6 Metabolism","map00750",0.538043765902011,2,17,0.744983675864323,1
"27","1.1 Carbohydrate metabolism",0.08,"Galactose Metabolism","map00052",0.750606715683544,2,25,0.95639817544177,1
"28","1.1 Carbohydrate metabolism",0.0769230769230769,"Citric Acid Cycle","map00020",0.770352769456998,2,26,0.95639817544177,1
"29","1.4 Nucleotide metabolism",0.0769230769230769,"Pyrimidine metabolism","map00240",0.80875575232626,4,52,0.95639817544177,1
"30","1.1 Carbohydrate metabolism",0.0754716981132075,"Starch and sucrose metabolism","map00500",0.82099080069721,4,53,0.95639817544177,1
"31","1.5 Amino acid metabolism",0.0740740740740741,"Tryptophan metabolism","map00380",0.832591348067215,4,54,0.95639817544177,1
"32","1.1 Carbohydrate metabolism",0.0645161290322581,"Phosphatidylinositol Phosphate Metabolism","map00562",0.850131711503795,2,31,0.95639817544177,1
"33","1.8 Metabolism of cofactors and vitamins",0.0555555555555556,"Porphyrin Metabolism","map00860",0.904197589628334,2,36,0.970392208002209,1
"34","1.5 Amino acid metabolism",0.0588235294117647,"Valine, leucine and isoleucine degradation","map00280",0.916481529779864,3,51,0.970392208002209,1
"35","1.3 Lipid metabolism",0.046875,"Arachidonic Acid Metabolism","map00590",0.972786436619004,3,64,0.990920801011137,1
"36","1.3 Lipid metabolism",0.0333333333333333,"Primary bile acid biosynthesis","map00120",0.990920801011137,2,60,0.990920801011137,1
