"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.1 Carbohydrate metabolism",0.333333333333333,"Fructose and mannose metabolism","map00051",0.00161809066252294,8,24,0.0582512638508257,0.0582512638508257,"beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Fructose 1-phosphate;
Galactose 1-phosphate;
Mannose 6-phosphate;
Glyceraldehyde;
D-Glucose-6-Phosphate;
Glyceraldehyde 3-phosphate;
Fructose 6-phosphate;
Dolichyl phosphate D-mannose;
Beta-D-Fructose 2-phosphate;
Fructose 6-phosphate;
beta-D-Glucose 6-phosphate;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
G1P;
Glyceraldehyde 3-phosphate;
G3P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate;
beta-L-fucose 1-phosphate"
"2","1.1 Carbohydrate metabolism",0.296296296296296,"Glycolysis / Gluconeogenesis","map00010",0.00378093925963908,8,27,0.0680569066735034,0.132332874087368,"D-Lactic acid;
beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Galactose 1-phosphate;
Mannose 6-phosphate;
Glucose 6-phosphate;
D-Glucose-6-Phosphate;
Glyceraldehyde 3-phosphate;
D-Malic acid;
Fructose 6-phosphate;
L-Lactic acid;
Dolichyl phosphate D-mannose;
Malic acid;
Fructose 6-phosphate;
beta-D-Glucose 6-phosphate;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
G1P;
Glyceraldehyde 3-phosphate;
MAL;
D-glucopyranose 6-phosphate;
D-Lactic acid;
(S)-lactic acid;
2-phospho-D-glycerate;
(S)-malate;
L-Lactic acid;
G3P;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate"
"3","1.1 Carbohydrate metabolism",0.257142857142857,"Amino Sugar Metabolism","map00520",0.00607826769056786,9,35,0.0729392122868143,0.206661101479307,"beta-D-Glucosamine;
D-Mannose 1-phosphate;
N-Acetyl-D-Glucosamine 6-Phosphate;
Galactose 1-phosphate;
Glucosamine;
Glucose 6-phosphate;
L-Glutamine;
Glutamate;
D-Glucose-6-Phosphate;
D-Glutamine;
Fructose 6-phosphate;
N-Acetyl-glucosamine 1-phosphate;
D-Glutamic acid;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
Dolichyl phosphate D-mannose;
AcGlcN6P;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
DL-Glutamate;
G1P;
D-glucopyranose 6-phosphate;
N-acetyl-alpha-D-galactosamine 1-phosphate;
2-amino-2-deoxy-D-glucopyranose;
N-Acetyl-D-galactosamine 1-phosphate;
AcGlcN1P;
Glutamine;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
beta-D-Galactosamine;
beta-D-Glucose 1-phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
D-fructose 6-phosphate"
"4","1.5 Amino acid metabolism",0.2,"Arginine and proline metabolism","map00330",0.0242694706214223,10,50,0.2184252355928,0.800892530506934,"Succinic acid;
D-Aspartic acid;
Pyrroline hydroxycarboxylic acid;
L-Glutamic gamma-semialdehyde;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
1-Pyrroline-4-hydroxy-2-carboxylate;
Butanedioic acid;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Aspartate;
L-Glu5S;
D-Asp;
DL-Glutamate;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
Butanedioic acid;
Glutamine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;
Vidarabine phosphate"
"5","1.2 Energy metabolism",0.24,"Nitrogen metabolism","map00910",0.0349493773427912,6,25,0.251635516868096,1,"D-Aspartic acid;
Dihydrolipoate;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Aspartate;
D-Asp;
DL-Glutamate;
Glutamine;
Vidarabine phosphate"
"6","1.5 Amino acid metabolism",0.166666666666667,"Alanine, aspartate and glutamate metabolism","map00250",0.0755825439772596,10,60,0.453495263863558,1,"Succinic acid;
D-Aspartic acid;
N-Acetyl-D-Glucosamine 6-Phosphate;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
Fructose 6-phosphate;
D-Glutamic acid;
Glutathione;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
N-Acetyl-L-aspartic acid;
Butanedioic acid;
AcGlcN6P;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Glutathione;
Aspartate;
D-Asp;
DL-Glutamate;
N-Acetyl-L-aspartic acid;
Butanedioic acid;
Glutamine;
Glutathionate(1-);
Vidarabine phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
D-fructose 6-phosphate"
"7","1.6 Metabolism of other amino acids",0.222222222222222,"Glutathione metabolism","map00480",0.104140503565802,4,18,0.535579732624122,1,"Cysteinylglycine;
Glutamate;
D-Glutamic acid;
Glutathione;
Pyroglutamic acid;
D-Glutamic acid;
L-Glutamate;
Glutathione;
OPRO;
DL-Glutamate;
Cysteinyl-glycine;
5-oxoproline;
Glutathionate(1-);
2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid"
"8","1.5 Amino acid metabolism",0.156862745098039,"Methionine Metabolism","map00270",0.14157964054662,8,51,0.588462354010046,1,"3-Sulfinoalanine;
Sulfite;
5'-Methylthioadenosine;
Allocystathionine;
Glutamate;
L-Cystathionine;
Homocysteine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
3-Sulfinoalanine;
bisulfite;
Cystathionine;
5'-Methylthioadenosine;
Cystathione;
DL-Glutamate;
SO3 2- (sulfite);
Vidarabine phosphate;
Cysteine sulfinic acid;
(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;
bisulfite"
"9","1.4 Nucleotide metabolism",0.147058823529412,"Purine metabolism","map00230",0.147115588502511,10,68,0.588462354010046,1,"D-Aspartic acid;
5'-Phosphoribosyl-N-formylglycinamide;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Inosine;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Uric acid;
Arabinosylhypoxanthine;
Adenine;
Ammonia;
2'-Deoxyguanosine 5'-monophosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Ade;
Aspartate;
D-Asp;
Ino;
7,9-dihydro-1H-purine-2,6,8(3H)-trione;
DL-Glutamate;
Glutamine;
Vidarabine phosphate;
Ara-HX"
"10","1.6 Metabolism of other amino acids",0.173913043478261,"Selenocompound metabolism","map00450",0.204790070377012,4,23,0.609606810124783,1,"Se-Methylselenocysteine;
Selenohomocysteine;
Adenosine monophosphate;
Ammonia;
Adenosine monophosphate;
MeSec;
L-selenohomocysteine;
MeSec;
SeHCys;
Vidarabine phosphate"
"11","1.8 Metabolism of cofactors and vitamins",0.1875,"Pantothenate and CoA Biosynthesis","map00770",0.222443056272672,3,16,0.609606810124783,1,"D-4'-Phosphopantothenate;
Adenosine monophosphate;
D-4'-Phosphopantothenate;
Adenosine monophosphate;
D-Pantothenoyl-L-cysteine;
Vidarabine phosphate"
"12","1.5 Amino acid metabolism",0.130434782608696,"Tyrosine metabolism","map00350",0.270982656241814,9,69,0.609606810124783,1,"D-Aspartic acid;
Leucodopachrome;
Dopaquinone;
noradrenaline;
L-Aspartic acid;
Glutamate;
Homocysteine;
Topaquinone;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Dopaquinone;
Aspartate;
D-Asp;
DL-Glutamate;
NAd;
vanillyl mandelate;
Norepinephrine;
L-Dopaquinone"
"13","Deleted pathways from Kegg",0.2,"D-Arginine and D-Ornithine Metabolism","map00472",0.275615550516952,2,10,0.609606810124783,1,"Ammonia;
2-oxo-5-amino-pentanoic acid"
"14","1.3 Lipid metabolism",0.166666666666667,"alpha-Linolenic acid metabolism","map00592",0.280781706395782,3,18,0.609606810124783,1,"Cis-8,11,14,17-Eicosatetraenoic acid;
Arachidonic acid;
Docosahexaenoic acid;
5Z,8Z,11Z,14Z-eicosatetraenoic acid;
4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoic acid;
5,8,11,14-eicosatetraenoic acid;
8,11,14,17-eicosatetraenoic acid;
20:4(8Z,11Z,14Z,17Z);
5,8,11,14-Icosatetraenoic Acid;
(4E,7E,10Z,13E,16E,19E)-Docosa-4,7,10,13,16,19-hexaenoic acid"
"15","1.5 Amino acid metabolism",0.142857142857143,"Phenylalanine and Tyrosine Metabolism","map00360",0.324460673961165,4,28,0.609606810124783,1,"L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
DL-Glutamate;
Glutamine;
Vidarabine phosphate"
"16","1.6 Metabolism of other amino acids",0.137931034482759,"beta-Alanine metabolism","map00410",0.349345024888008,4,29,0.609606810124783,1,"D-Aspartic acid;
L-Aspartic acid;
Glutamate;
Topaquinone;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Aspartate;
D-Asp;
DL-Glutamate"
"17","1.8 Metabolism of cofactors and vitamins",0.137931034482759,"Nicotinate and nicotinamide metabolism","map00760",0.349345024888008,4,29,0.609606810124783,1,"L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Quinolinic acid;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
DL-Glutamate;
Glutamine;
Vidarabine phosphate"
"18","1.5 Amino acid metabolism",0.125,"Glycine, serine and threonine metabolism","map00260",0.352320443370147,7,56,0.609606810124783,1,"5-Aminolevulinic acid;
Dihydrolipoate;
Allocystathionine;
Glutamate;
L-Cystathionine;
Homocysteine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Cystathionine;
4-oxo-5-amino-pentanoic acid;
Cystathione;
DL-Glutamate;
4-oxo-5-amino-pentanoic acid;
Vidarabine phosphate"
"19","1.1 Carbohydrate metabolism",0.131578947368421,"Pyruvate metabolism","map00620",0.352612721350047,5,38,0.609606810124783,1,"D-Lactic acid;
Acetylphosphate;
Adenosine monophosphate;
D-Malic acid;
Glutathione;
L-Lactic acid;
Malic acid;
Adenosine monophosphate;
Glutathione;
MAL;
D-Lactic acid;
(S)-lactic acid;
(S)-malate;
L-Lactic acid;
Glutathionate(1-);
Vidarabine phosphate"
