"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.1 Carbohydrate metabolism",0.416666666666667,"Fructose and mannose metabolism","map00051",0.00254182436444389,10,24,0.111840272035531,0.111840272035531
"2","1.1 Carbohydrate metabolism",0.342857142857143,"Amino Sugar Metabolism","map00520",0.00647388952428948,12,35,0.142425569534368,0.278377249544447
"3","1.1 Carbohydrate metabolism",0.333333333333333,"Glycolysis / Gluconeogenesis","map00010",0.0220897903224465,9,27,0.323983591395882,0.927771193542754
"4","1.2 Energy metabolism",0.32,"Nitrogen metabolism","map00910",0.0389339372589563,8,25,0.401017073048003,1
"5","1.8 Metabolism of cofactors and vitamins",0.352941176470588,"Vitamin B6 Metabolism","map00750",0.0455701219372731,6,17,0.401017073048003,1
"6","1.5 Amino acid metabolism",0.24,"Arginine and proline metabolism","map00330",0.100969767717383,12,50,0.740444963260809,1
"7","1.6 Metabolism of other amino acids",0.277777777777778,"Glutathione metabolism","map00480",0.158869751422342,5,18,0.884196172869675,1
"8","1.5 Amino acid metabolism",0.25,"Phenylalanine and Tyrosine Metabolism","map00360",0.16083561152452,7,28,0.884196172869675,1
"9","1.10 Biosynthesis of other secondary metabolites",0.263157894736842,"Caffeine Metabolism","map00232",0.188655216433385,5,19,0.884196172869675,1
"10","1.1 Carbohydrate metabolism",0.24,"Galactose Metabolism","map00052",0.215446131134001,6,25,0.884196172869675,1
"11","1.5 Amino acid metabolism",0.202898550724638,"Tyrosine metabolism","map00350",0.22684617521681,14,69,0.884196172869675,1
"12","1.5 Amino acid metabolism",0.203703703703704,"Tryptophan metabolism","map00380",0.260936712812976,11,54,0.884196172869675,1
"13","1.6 Metabolism of other amino acids",0.25,"Taurine and Hypotaurine Metabolism","map00430",0.314137461626903,3,12,0.884196172869675,1
"14","1.4 Nucleotide metabolism",0.191176470588235,"Purine metabolism","map00230",0.316500997854474,13,68,0.884196172869675,1
"15","1.8 Metabolism of cofactors and vitamins",0.285714285714286,"Thiamine Metabolism","map00730",0.323857981541557,2,7,0.884196172869675,1
"16","1.8 Metabolism of cofactors and vitamins",0.206896551724138,"Nicotinate and nicotinamide metabolism","map00760",0.337613551810173,6,29,0.884196172869675,1
"17","1.3 Lipid metabolism",0.222222222222222,"alpha-Linolenic acid metabolism","map00592",0.341621248608738,4,18,0.884196172869675,1
"18","1.5 Amino acid metabolism",0.183333333333333,"Alanine, aspartate and glutamate metabolism","map00250",0.396367162497235,11,60,0.932727940038558,1
"19","1.1 Carbohydrate metabolism",0.184210526315789,"Pyruvate metabolism","map00620",0.437134702938467,7,38,0.932727940038558,1
"20","1.5 Amino acid metabolism",0.176470588235294,"Methionine Metabolism","map00270",0.466916345803764,9,51,0.932727940038558,1
"21","1.4 Nucleotide metabolism",0.173076923076923,"Pyrimidine metabolism","map00240",0.492563441726177,9,52,0.932727940038558,1
"22","1.8 Metabolism of cofactors and vitamins",0.1875,"Pantothenate and CoA Biosynthesis","map00770",0.504769644020814,3,16,0.932727940038558,1
"23","1.3 Lipid metabolism",0.1875,"Biosynthesis of unsaturated fatty acids","map01040",0.504769644020814,3,16,0.932727940038558,1
"24","Deleted pathways from Kegg",0.2,"D-Arginine and D-Ornithine Metabolism","map00472",0.508760694566486,2,10,0.932727940038558,1
"25","1.6 Metabolism of other amino acids",0.173913043478261,"Selenocompound metabolism","map00450",0.539447194481986,4,23,0.949427062288295,1
"26","1.2 Energy metabolism",0.166666666666667,"Oxidative phosphorylation","map00190",0.612611562844687,2,12,0.999822087389072,1
"27","1.1 Carbohydrate metabolism",0.147058823529412,"Propanoate metabolism","map00640",0.68370364047319,5,34,0.999822087389072,1
"28","1.1 Carbohydrate metabolism",0.142857142857143,"Butyrate Metabolism","map00650",0.698998381793649,2,14,0.999822087389072,1
"29","1.6 Metabolism of other amino acids",0.137931034482759,"beta-Alanine metabolism","map00410",0.730476723171546,4,29,0.999822087389072,1
"30","1.5 Amino acid metabolism",0.142857142857143,"Glycine, serine and threonine metabolism","map00260",0.731673565853921,8,56,0.999822087389072,1
"31","1.8 Metabolism of cofactors and vitamins",0.130434782608696,"One carbon pool by folate","map00670",0.758315314501261,3,23,0.999822087389072,1
"32","1.8 Metabolism of cofactors and vitamins",0.117647058823529,"Riboflavin Metabolism","map00740",0.798329355256159,2,17,0.999822087389072,1
"33","1.3 Lipid metabolism",0.111111111111111,"Glycerolipid Metabolism","map00561",0.824396185871413,2,18,0.999822087389072,1
"34","1.1 Carbohydrate metabolism",0.115384615384615,"Citric Acid Cycle","map00020",0.829681100418844,3,26,0.999822087389072,1
