"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.1 Carbohydrate metabolism",0.416666666666667,"Fructose and mannose metabolism","map00051",0.00254182436444389,10,24,0.111840272035531,0.111840272035531,"L-Galactose;
beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Fructose 1-phosphate;
Galactose 1-phosphate;
D-Mannose;
D-Galactose;
Mannose 6-phosphate;
D-Glucose;
alpha-D-Glucose;
D-Fructose;
Glyceraldehyde;
D-Glucose-6-Phosphate;
Glyceraldehyde 3-phosphate;
L-Gulose;
Allose;
Fructose 6-phosphate;
beta-D-Galactose;
Dolichyl phosphate D-mannose;
Beta-D-Fructose 2-phosphate;
beta-D-glucose;
Fructose 6-phosphate;
beta-D-Glucose 6-phosphate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
alpha-D-galactose;
D-Fructose;
D-Mannose;
G1P;
Glyceraldehyde 3-phosphate;
D-Glucose;
G3P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-Fructofuranose;
D-Gulose;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate;
beta-L-fucose 1-phosphate;
Glucose"
"2","1.1 Carbohydrate metabolism",0.342857142857143,"Amino Sugar Metabolism","map00520",0.00647388952428948,12,35,0.142425569534368,0.278377249544447,"L-Galactose;
beta-D-Glucosamine;
D-Mannose 1-phosphate;
N-Acetyl-D-Glucosamine 6-Phosphate;
N-Acetylneuraminic acid;
N-Acetyl-a-neuraminic acid;
Galactose 1-phosphate;
Glucosamine;
D-Mannose;
D-Galactose;
D-Glucose;
alpha-D-Glucose;
D-Fructose;
Glucose 6-phosphate;
L-Glutamine;
Glutamate;
D-Glucose-6-Phosphate;
D-Glutamine;
L-Gulose;
Allose;
Fructose 6-phosphate;
N-Acetyl-glucosamine 1-phosphate;
D-Glutamic acid;
beta-D-Galactose;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
Dolichyl phosphate D-mannose;
AcGlcN6P;
beta-D-glucose;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
DL-Glutamate;
alpha-D-galactose;
D-Fructose;
D-Mannose;
G1P;
D-Glucose;
D-glucopyranose 6-phosphate;
N-acetyl-alpha-D-galactosamine 1-phosphate;
2-amino-2-deoxy-D-glucopyranose;
N-Acetyl-D-galactosamine 1-phosphate;
AcGlcN1P;
Glutamine;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
beta-D-Galactosamine;
3h-Sialic acid;
beta-D-Glucose 1-phosphate;
D-Fructofuranose;
D-Gulose;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
D-fructose 6-phosphate;
Glucose"
"3","1.1 Carbohydrate metabolism",0.333333333333333,"Glycolysis / Gluconeogenesis","map00010",0.0220897903224465,9,27,0.323983591395882,0.927771193542754,"D-Lactic acid;
L-Galactose;
beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Galactose 1-phosphate;
D-Mannose;
D-Galactose;
Mannose 6-phosphate;
D-Glucose;
alpha-D-Glucose;
Glucose 6-phosphate;
Biotin;
D-Glucose-6-Phosphate;
Glyceraldehyde 3-phosphate;
L-Gulose;
Allose;
Fructose 6-phosphate;
beta-D-Galactose;
L-Lactic acid;
Dolichyl phosphate D-mannose;
beta-D-glucose;
Fructose 6-phosphate;
Biotin;
beta-D-Glucose 6-phosphate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
alpha-D-galactose;
D-Mannose;
G1P;
Glyceraldehyde 3-phosphate;
D-Glucose;
D-glucopyranose 6-phosphate;
D-Lactic acid;
(S)-lactic acid;
2-phospho-D-glycerate;
Bioepiderm;
L-Lactic acid;
G3P;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-Gulose;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate;
Glucose"
"4","1.2 Energy metabolism",0.32,"Nitrogen metabolism","map00910",0.0389339372589563,8,25,0.401017073048003,1,"(S)-Lipoic acid;
(R)-Lipoic acid;
D-Aspartic acid;
Dihydrolipoate;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Biotin;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
Biotin;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
LIPA;
Aspartate;
D-Asp;
DL-Glutamate;
(R)-Lipoic acid;
Bioepiderm;
Glutamine;
Vidarabine phosphate;
LIPA"
"5","1.8 Metabolism of cofactors and vitamins",0.352941176470588,"Vitamin B6 Metabolism","map00750",0.0455701219372731,6,17,0.401017073048003,1,"Pyridoxine 5'-phosphate;
Pyridoxine;
Ammonia;
4-Pyridoxic acid;
4-Pyridoxic acid;
3-Hydroxy-2-methylpyridine-4,5-dicarboxylate;
2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate;
Pyridoxine 5'-phosphate"
"6","1.5 Amino acid metabolism",0.24,"Arginine and proline metabolism","map00330",0.100969767717383,12,50,0.740444963260809,1,"Succinic acid;
4-Hydroxy-2-oxoglutaric acid;
D-Aspartic acid;
Pyrroline hydroxycarboxylic acid;
L-Glutamic gamma-semialdehyde;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
creatine-P;
D-Glutamic acid;
Ammonia;
1-Pyrroline-4-hydroxy-2-carboxylate;
Butanedioic acid;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Aspartate;
L-Glu5S;
Pcr;
D-Asp;
DL-Glutamate;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
D-4-Hydroxy-2-oxoglutarate;
Butanedioic acid;
Glutamine;
Phosphocreatine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;
Vidarabine phosphate"
"7","1.6 Metabolism of other amino acids",0.277777777777778,"Glutathione metabolism","map00480",0.158869751422342,5,18,0.884196172869675,1,"Cysteinylglycine;
Glutamate;
gamma-Glutamylalanine;
D-Glutamic acid;
Glutathione;
Pyroglutamic acid;
D-Glutamic acid;
L-Glutamate;
Glutathione;
OPRO;
DL-Glutamate;
(5-L-Glutamyl)-L-amino acid;
N-gamma-L-Glutamyl-D-alanine;
Cysteinyl-glycine;
5-oxoproline;
Glutathionate(1-);
2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid"
"8","1.5 Amino acid metabolism",0.25,"Phenylalanine and Tyrosine Metabolism","map00360",0.16083561152452,7,28,0.884196172869675,1,"L-Glutamine;
Glutamate;
D-Glutamine;
L-Tyrosine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
L-Tyrosine;
2-oxo-3-phenylpropanoate;
D-Tyrosine;
DL-Glutamate;
Glutamine;
Vidarabine phosphate;
2-oxo-3-phenylpropanoate;
4-maleyl-acetoacetate"
"9","1.10 Biosynthesis of other secondary metabolites",0.263157894736842,"Caffeine Metabolism","map00232",0.188655216433385,5,19,0.884196172869675,1,"Theophylline;
Paraxanthine;
1-Methyluric acid;
Theobromine;
1,7-dimethylxanthine;
7-Methyluric acid"
"10","1.1 Carbohydrate metabolism",0.24,"Galactose Metabolism","map00052",0.215446131134001,6,25,0.884196172869675,1,"L-Galactose;
D-Mannose 1-phosphate;
Galactose 1-phosphate;
D-Mannose;
D-Galactose;
neo-Inositol;
muco-Inositol;
epi-Inositol;
scyllo-Inositol;
D-Glucose;
alpha-D-Glucose;
D-Fructose;
Levoinositol;
Glucose 6-phosphate;
Glycerol;
cis-Inositol;
D-Glucose-6-Phosphate;
L-Gulose;
Allose;
allo-Inositol;
D-chiro-Inositol;
beta-D-Galactose;
myo-Inositol;
Dolichyl phosphate D-mannose;
beta-D-glucose;
Ins;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
1D-chiro-inositol;
alpha-D-galactose;
D-Fructose;
D-Mannose;
G1P;
D-Glucose;
D-glucopyranose 6-phosphate;
myo-Inositol;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
CHI;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-Fructofuranose;
D-Gulose;
Glucose"
