"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.3 Lipid metabolism",0.378378378378378,"Steroidogenesis","map00140",0.0374980732103951,14,37,0.793696839890404,1,"17alpha,21-Dihydroxypregnenolone;
11b,17a 21-Trihydroxy-5b Pregnane 3,20-dione;
5alpha-Tetrahydrocortisol;
Cortisol;
Aldosterone;
Tetrahydrocortisol;
Tetrahydrocortisone;
Cortisone;
18-Hydroxycorticosterone;
11b,21-Dihydroxy-5b-pregnane-3,20-dione;
3a,21-Dihydroxy-5b-pregnane-11,20-dione;
5a-Tetrahydrocorticosterone;
3b-Allotetrahydrocortisol;
Tetrahydrocorticosterone;
17a,21-Dihydroxy-5b-pregnane-3,11,20-trione;
11beta,18,21-trihydroxy-pregn-4-ene-3,20-dione;
17alpha,21-dihydroxypregn-4-ene-3,11,20-trione;
11beta,17,21-trihydroxypregn-4-ene-3,20-dione;
17,21-dihydroxy-5beta-pregnane-3,11,20-trione;
11beta,21-dihydroxy-3,20-dioxo-pregn-4-ene-18-al;
17alpha,21-Dihydroxypregnenolone;
5beta-dihydrocortisol;
3alpha,11beta,21-Trihydroxy-5alpha-pregnan-20-one;
5a-Tetrahydrocortisol;
11-Epicortisol;
11beta,17,21-trihydroxypregn-4-ene-3,20-dione;
11beta,18,21-trihydroxy-pregn-4-ene-3,20-dione;
3alpha,11beta,21-Trihydroxy-5alpha-pregnan-20-one;
17alpha,21-dihydroxypregn-4-ene-3,11,20-trione;
11b,17a,21-Trihydroxy-5b-pregnane-3,20-dione;
3a,11b,21-Trihydroxy-20-oxo-5b-pregnan-18-al;
11b,21-Dihydroxy-3,20-oxo-5b-pregnan-18-al;
17,21-dihydroxy-5beta-pregnane-3,11,20-trione;
11b,17a,21-Trihydroxypreg-nenolone;
4,5-Dihydrocortisol;
Allotetrahydrocortisone;
Alfadolone;
dihydrocorticosterone"
"2","1.1 Carbohydrate metabolism",0.4,"Galactose Metabolism","map00052",0.0519509233750343,10,25,0.793696839890404,1,"L-Galactose;
Melibiose;
Epimelibiose;
Mannobiose;
(2R)-1-O-beta-D-Galactopyranosylglycerol;
Fagopyritol A1;
Allolactose;
D-Mannose;
D-Galactose;
beta-Cortol;
Isomaltose;
L-Iditol;
neo-Inositol;
muco-Inositol;
epi-Inositol;
scyllo-Inositol;
D-Glucose;
alpha-D-Glucose;
Sorbitol;
Cellobiose;
D-Fructose;
Levoinositol;
Sucrose;
cis-Inositol;
beta-Lactose;
L-Gulose;
Allose;
Galactitol;
Alpha-Lactose;
allo-Inositol;
D-chiro-Inositol;
Mannitol;
D-Maltose;
beta-D-Galactose;
Galabiose;
myo-Inositol;
Amylose;
DEAE-cellulose;
Galactosylglycerol;
beta-D-glucose;
Ins;
D-glucitol;
alpha-D-Glucose;
Suc;
1D-chiro-inositol;
alpha-D-galactose;
D-Fructose;
D-Mannose;
D-Glucose;
myo-Inositol;
D-Sorbitol;
iMal;
Galactinol;
Cellulose, microcrystalline;
CHI;
3h-Sucrose;
D-Glucose, 4-O-beta-D-galactopyranosyl-;
6-O-alpha-D-Galactopyranosyl-D-galactopyranose;
D-Fructofuranose;
D-Gulose;
D-Iditol;
3-beta-D-galactosyl-sn-glycerol;
Glucose"
"3","1.10 Biosynthesis of other secondary metabolites",0.421052631578947,"Caffeine Metabolism","map00232",0.0595272629917803,8,19,0.793696839890404,1,"3,7-Dimethyluric acid;
5-Acetylamino-6-amino-3-methyluracil;
1,7-Dimethyluric acid;
1,3,7-Trimethyluric acid;
Caffeine;
Theophylline;
Paraxanthine;
Theobromine;
1,7-dimethylxanthine"
"4","1.8 Metabolism of cofactors and vitamins",0.36,"Pterine Biosynthesis","map00790",0.117281692759162,9,25,0.999999255956369,1,"Umanopterin;
7,8-Dihydroneopterin;
Sepiapterin;
Dihydroneopterin phosphate;
Neopterin;
L-Threoneopterin;
6-Lactoyltetrahydropterin;
Tetrahydrobiopterin;
Dihydrobiopterin;
Dyspropterin;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
Dyspropterin;
BH4;
7.8-dihydropterin;
7,8-dihydromonapterin;
7,8-BH2;
1-hydroxy-2-Oxopropyl tetrahydropterin;
2-Amino-6-[(1R,2S)-1,2,3-trihydroxypropyl]-7,8-dihydro-3H-pteridin-4-one;
7,8-BH2;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
7,8-dihydroneopterin 3'-phosphate"
"5","1.8 Metabolism of cofactors and vitamins",0.346153846153846,"Retinol Metabolism","map00830",0.143736109749219,9,26,0.999999255956369,1,"Retinal;
L-Galactose;
all-trans-5,6-Epoxyretinoic acid;
Glycerophosphocholine;
all-trans-Retinoic acid;
D-Mannose;
D-Galactose;
4-oxo-Retinoic acid;
13-cis-Retinoic acid;
D-Glucose;
alpha-D-Glucose;
9-cis-Retinal;
9-cis-Retinoic acid;
11-cis-Retinaldehyde;
L-Gulose;
Allose;
4-Oxoretinol;
all-trans-18-Hydroxyretinoic acid;
4-Hydroxyretinoic acid;
beta-D-Galactose;
5,6-Epoxy-13-cis-retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
beta-D-glucose;
11-cis-retinal;
choline alfoscerate;
all-trans-retinal;
alpha-D-Glucose;
3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid;
alpha-D-galactose;
D-Mannose;
D-Glucose;
4-oxo-15-apo-beta-caroten-15-ol;
9-cis-Retinoic acid;
13-cis-Retinoic acid;
4-Hydroxyretinoic acid;
9-cis-Retinal;
4-oxo RA;
(2E,4E,6E,8E)-9-[2-(hydroxymethyl)-6,6-dimethylcyclohex-1-en-1-yl]-3,7-dimethylnona-2,4,6,8-tetraenoic acid;
(2E,4E,6E,8E)-3,7-dimethyl-9-{2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl}nona-2,4,6,8-tetraenoic acid;
Glycerophosphocholine;
Retinal;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
11-cis-Retinal;
13-cis-Retinal;
4-oxo-Retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
(2Z,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenal;
All-trans 4-Keto Retinoic Acid;
D-Gulose;
Glycerylphosphorylcholine;
Glucose"
"6","1.8 Metabolism of cofactors and vitamins",0.352941176470588,"Vitamin B6 Metabolism","map00750",0.20062602388606,6,17,0.999999255956369,1,"Pyridoxine 5'-phosphate;
Pyridoxamine 5'-phosphate;
Pyridoxal 5'-phosphate;
Pyridoxine;
Pyridoxamine;
PXA;
3-Hydroxy-2-methylpyridine-4,5-dicarboxylate;
Pyridoxamine 5'-phosphate;
PLP;
Pyridoxine 5'-phosphate;
PMP"
"7","1.5 Amino acid metabolism",0.321428571428571,"Phenylalanine and Tyrosine Metabolism","map00360",0.204677658832767,9,28,0.999999255956369,1,"4a-Hydroxytetrahydrobiopterin;
Phenylacetylglutamine;
Homogentisic acid;
Pyridoxal 5'-phosphate;
L-Glutamine;
D-Glutamine;
L-Tyrosine;
Adenosine monophosphate;
Tetrahydrobiopterin;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
Adenosine monophosphate;
phenylacetyl glutamine;
L-Tyrosine;
D-Tyrosine;
PLP;
BH4;
N(2)-phenylacetyl-L-glutaminate;
Glutamine;
Vidarabine phosphate;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4-maleyl-acetoacetate;
4alpha-hydroxy-tetrahydrobiopterin"
"8","1.8 Metabolism of cofactors and vitamins",0.428571428571429,"Thiamine Metabolism","map00730",0.220948510452404,3,7,0.999999255956369,1,"Thiamine monophosphate;
Adenosine monophosphate;
Thiamine;
Adenosine monophosphate;
Thiamine;
Thiamine monophosphate;
Thiamine;
Vidarabine phosphate"
"9","1.5 Amino acid metabolism",0.277777777777778,"Tryptophan metabolism","map00380",0.294647211544583,15,54,0.999999255956369,1,"N-Methylserotonin;
N-Acetylserotonin;
4a-Hydroxytetrahydrobiopterin;
Indoleacetaldehyde;
Serotonin;
Acetyl-N-formyl-5-methoxykynurenamine;
5-Hydroxyindoleacetic acid;
Pyridoxal 5'-phosphate;
Tryptamine;
Tetrahydrobiopterin;
5-Hydroxykynurenamine;
Melatonin;
3'-AMP;
Quinolinic acid;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
Melatonin;
PLP;
(5-hydroxyindol-3-yl)acetic acid;
5HT;
3'-AMP;
BH4;
Cinnavalininate;
Acetyl-N-formyl-5-methoxykynurenamine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
[(2R,5R)-5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate;
4alpha-hydroxy-tetrahydrobiopterin"
"10","Deleted pathways from Kegg",0.296296296296296,"Androgen and Estrogen Metabolism","map00150",0.306723190875311,8,27,0.999999255956369,1,"19-Hydroxytestosterone;
19-Oxotestosterone;
Estrone sulfate;
Estradiol;
19-Hydroxyandrost-4-ene-3,17-dione;
Estrone;
17alpha-Estradiol;
Dehydroepiandrosterone sulfate;
19-Oxoandrost-4-ene-3,17-dione;
17beta-estradiol;
3alpha-hydroxy-5alpha-androstan-17-one 3-sulfate;
17alpha-Estradiol;
3-hydroxy-estra-1,3,5(10)-trien-17-one;
17-oxoestra-1,3,5(10)-trien-3-yl hydrogen sulfate;
17beta,19-dihydroxyandrost-4-en-3-one;
1,3,5(10)-Estratriene-3,17 beta-diol;
3-hydroxy-estra-1,3,5(10)-trien-17-one;
estra-1,3,5(10)-triene-3,17beta-diol;
17-oxoestra-1,3,5(10)-trien-3-yl hydrogen sulfate;
[(2R,5S,15S)-2,15-Dimethyl-14-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-yl]oxidanesulfonic acid;
Sulfuric acid [(13S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] ester;
19-oxoandrostenedione"
