"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.1 Carbohydrate metabolism",0.416666666666667,"Fructose and mannose metabolism","map00051",0.00202163268127307,10,24,0.079048907995314,0.0849085726134691,"L-Galactose;
beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Fructose 1-phosphate;
Fucose 1-phosphate;
Galactose 1-phosphate;
D-Mannose;
D-Galactose;
Mannose 6-phosphate;
D-Glucose;
alpha-D-Glucose;
D-Fructose;
Glyceraldehyde;
D-Glucose-6-Phosphate;
Glyceraldehyde 3-phosphate;
L-Gulose;
Allose;
Fructose 6-phosphate;
beta-D-Galactose;
Dolichyl phosphate D-mannose;
Beta-D-Fructose 2-phosphate;
beta-L-fucose 1-phosphate;
beta-D-glucose;
Fructose 6-phosphate;
beta-D-Glucose 6-phosphate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
alpha-D-galactose;
D-Fructose;
D-Mannose;
G1P;
Glyceraldehyde 3-phosphate;
D-Glucose;
G3P;
Fuc1P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-Fructofuranose;
D-Gulose;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate;
beta-L-fucose 1-phosphate;
Glucose"
"2","1.1 Carbohydrate metabolism",0.342857142857143,"Amino Sugar Metabolism","map00520",0.00506196832873352,12,35,0.079048907995314,0.207540701478074,"L-Galactose;
beta-D-Glucosamine;
D-Mannose 1-phosphate;
N-Acetyl-D-Glucosamine 6-Phosphate;
N-Acetylneuraminic acid;
N-Acetyl-a-neuraminic acid;
Galactose 1-phosphate;
Glucosamine;
D-Mannose;
D-Galactose;
D-Glucose;
alpha-D-Glucose;
D-Fructose;
Glucose 6-phosphate;
L-Glutamine;
Glutamate;
D-Glucose-6-Phosphate;
D-Glutamine;
L-Gulose;
Allose;
Fructose 6-phosphate;
N-Acetyl-glucosamine 1-phosphate;
D-Glutamic acid;
beta-D-Galactose;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
Dolichyl phosphate D-mannose;
AcGlcN6P;
beta-D-glucose;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
DL-Glutamate;
alpha-D-galactose;
D-Fructose;
D-Mannose;
G1P;
D-Glucose;
D-glucopyranose 6-phosphate;
N-acetyl-alpha-D-galactosamine 1-phosphate;
2-amino-2-deoxy-D-glucopyranose;
N-Acetyl-D-galactosamine 1-phosphate;
AcGlcN1P;
Glutamine;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
beta-D-Galactosamine;
3h-Sialic acid;
beta-D-Glucose 1-phosphate;
D-Fructofuranose;
D-Gulose;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
D-fructose 6-phosphate;
Glucose"
"3","1.1 Carbohydrate metabolism",0.37037037037037,"Glycolysis / Gluconeogenesis","map00010",0.00564635057109386,10,27,0.079048907995314,0.225854022843754,"D-Lactic acid;
L-Galactose;
beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Galactose 1-phosphate;
D-Mannose;
D-Galactose;
Mannose 6-phosphate;
D-Glucose;
alpha-D-Glucose;
Glucose 6-phosphate;
Biotin;
D-Glucose-6-Phosphate;
Glyceraldehyde 3-phosphate;
L-Gulose;
Allose;
D-Malic acid;
Fructose 6-phosphate;
beta-D-Galactose;
L-Lactic acid;
Dolichyl phosphate D-mannose;
Malic acid;
beta-D-glucose;
Fructose 6-phosphate;
Biotin;
beta-D-Glucose 6-phosphate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
alpha-D-galactose;
D-Mannose;
G1P;
Glyceraldehyde 3-phosphate;
MAL;
D-Glucose;
D-glucopyranose 6-phosphate;
D-Lactic acid;
(S)-lactic acid;
2-phospho-D-glycerate;
Bioepiderm;
(S)-malate;
L-Lactic acid;
G3P;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-Gulose;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate;
Glucose"
"4","1.5 Amino acid metabolism",0.233333333333333,"Alanine, aspartate and glutamate metabolism","map00250",0.0794954822657851,14,60,0.710211604898908,1,"Succinic acid;
Ureidosuccinic acid;
D-Aspartic acid;
N-Acetyl-D-Glucosamine 6-Phosphate;
4-Aminobutanoic acid;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Biotin;
D-Glutamine;
Adenosine monophosphate;
Fructose 6-phosphate;
D-Glutamic acid;
Glutathione;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Ammonia;
GMP;
N-Acetyl-D-mannosamine 6-phosphate;
N-Acetyl-L-aspartic acid;
Butanedioic acid;
AcGlcN6P;
N-Carbamoyl-L-aspartate;
Fructose 6-phosphate;
Biotin;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Glutathione;
4-amino-butanoic acid;
Aspartate;
guanosine 5'-monophosphate;
D-Asp;
DL-Glutamate;
N-Acetyl-L-aspartic acid;
Bioepiderm;
4-amino-butanoic acid;
Butanedioic acid;
Glutamine;
Guanosine monophosphate;
Glutathionate(1-);
Vidarabine phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;
D-fructose 6-phosphate"
"5","1.2 Energy metabolism",0.28,"Nitrogen metabolism","map00910",0.0879702420705719,7,25,0.710211604898908,1,"D-Aspartic acid;
Dihydrolipoate;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Biotin;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
Biotin;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Aspartate;
D-Asp;
DL-Glutamate;
Bioepiderm;
Glutamine;
Vidarabine phosphate"
"6","1.4 Nucleotide metabolism",0.220588235294118,"Purine metabolism","map00230",0.10620020158748,15,68,0.710211604898908,1,"D-Aspartic acid;
Vidarabine;
5'-Phosphoribosyl-N-formylglycinamide;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Adenosine;
Inosine;
D-Glutamine;
Cyclic AMP;
Adenosine monophosphate;
Hypoxanthine;
D-Glutamic acid;
Uric acid;
Arabinosylhypoxanthine;
Adenine;
Ammonia;
GMP;
2'-Deoxyguanosine 5'-monophosphate;
Deoxyguanosine;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Ade-Rib;
Ade;
Aspartate;
2'-deoxyguanosine;
guanosine 5'-monophosphate;
D-Asp;
Hyp;
cAMP;
Ino;
7,9-dihydro-1H-purine-2,6,8(3H)-trione;
DL-Glutamate;
Cyclic AMP;
Glutamine;
Guanosine monophosphate;
Vidarabine phosphate;
Ara-HX;
9-Arabinofuranosyladenine;
[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate"
"7","1.6 Metabolism of other amino acids",0.277777777777778,"Glutathione metabolism","map00480",0.145173751222822,5,18,0.710211604898908,1,"Cysteinylglycine;
Glutamate;
gamma-Glutamylalanine;
D-Glutamic acid;
Glutathione;
Pyroglutamic acid;
D-Glutamic acid;
L-Glutamate;
Glutathione;
OPRO;
DL-Glutamate;
(5-L-Glutamyl)-L-amino acid;
N-gamma-L-Glutamyl-D-alanine;
Cysteinyl-glycine;
5-oxoproline;
Glutathionate(1-);
2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid"
"8","1.5 Amino acid metabolism",0.22,"Arginine and proline metabolism","map00330",0.157468317565562,11,50,0.710211604898908,1,"Succinic acid;
D-Aspartic acid;
Pyrroline hydroxycarboxylic acid;
4-Hydroxy-L-glutamic acid;
L-Glutamic gamma-semialdehyde;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
1-Pyrroline-4-hydroxy-2-carboxylate;
Butanedioic acid;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Erythro-4-hydroxy-L-glutamate(1-);
Aspartate;
L-Glu5S;
D-Asp;
DL-Glutamate;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
Butanedioic acid;
Glutamine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;
Vidarabine phosphate"
"9","1.5 Amino acid metabolism",0.215686274509804,"Methionine Metabolism","map00270",0.17435628642019,11,51,0.710211604898908,1,"3-Sulfinoalanine;
Dimethylglycine;
Sulfite;
Vidarabine;
5'-Methylthioadenosine;
Allocystathionine;
Glutamate;
L-Cystathionine;
Adenosine;
Homocysteine;
Adenosine monophosphate;
L-Homoserine;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Ade-Rib;
3-Sulfinoalanine;
bisulfite;
Cystathionine;
5'-Methylthioadenosine;
Dimethylglycine;
Cystathione;
DL-Glutamate;
SO3 2- (sulfite);
Vidarabine phosphate;
9-Arabinofuranosyladenine;
Cysteine sulfinic acid;
(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;
bisulfite"
"10","1.3 Lipid metabolism",0.25,"Biosynthesis of unsaturated fatty acids","map01040",0.243870605883482,4,16,0.710211604898908,1,"Caprylic acid;
Caproic acid;
Dodecanoic acid;
Capric acid;
Caprylic acid;
Caproic acid;
DDCX;
Capric acid;
Capric acid;
Caproic acid"
