"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.5 Amino acid metabolism",0.462962962962963,"Tryptophan metabolism","map00380",0.000687146104378061,25,54,0.0329830130101469,0.0329830130101469
"2","1.5 Amino acid metabolism",0.4,"Arginine and proline metabolism","map00330",0.0179009079090075,20,50,0.281393369861942,0.841342671723353
"3","1.5 Amino acid metabolism",0.383333333333333,"Alanine, aspartate and glutamate metabolism","map00250",0.0199324630906352,23,60,0.281393369861942,0.916893302169221
"4","1.6 Metabolism of other amino acids",0.5,"Glutathione metabolism","map00480",0.0234494474884951,9,18,0.281393369861942,1
"5","1.5 Amino acid metabolism",0.428571428571429,"Phenylalanine and Tyrosine Metabolism","map00360",0.0363465987828639,12,28,0.348927348315493,1
"6","1.8 Metabolism of cofactors and vitamins",0.423076923076923,"Retinol Metabolism","map00830",0.0489811579937051,11,26,0.391849263949641,1
"7","1.5 Amino acid metabolism",0.352941176470588,"Methionine Metabolism","map00270",0.0833161504907799,18,51,0.516288710255906,1
"8","1.1 Carbohydrate metabolism",0.371428571428571,"Amino Sugar Metabolism","map00520",0.0926788846152136,13,35,0.516288710255906,1
"9","1.5 Amino acid metabolism",0.333333333333333,"Tyrosine metabolism","map00350",0.0968041331729824,23,69,0.516288710255906,1
"10","1.5 Amino acid metabolism",0.339285714285714,"Glycine, serine and threonine metabolism","map00260",0.107977788427029,19,56,0.51829338444974,1
"11","1.4 Nucleotide metabolism",0.326923076923077,"Pyrimidine metabolism","map00240",0.163811762336859,17,52,0.699744754354556,1
"12","1.2 Energy metabolism",0.36,"Nitrogen metabolism","map00910",0.174936188588639,9,25,0.699744754354556,1
"13","1.1 Carbohydrate metabolism",0.333333333333333,"Fructose and mannose metabolism","map00051",0.267573721095709,8,24,0.98796450866108,1
"14","1.8 Metabolism of cofactors and vitamins",0.310344827586207,"Nicotinate and nicotinamide metabolism","map00760",0.328936368074615,9,29,0.999914239810462,1
