"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.5 Amino acid metabolism",0.462962962962963,"Tryptophan metabolism","map00380",0.000687146104378061,25,54,0.0329830130101469,0.0329830130101469,"N-Methylserotonin;
2-Aminobenzoic acid;
N-Acetylserotonin;
4a-Hydroxytetrahydrobiopterin;
2-Amino-3-carboxymuconic acid semialdehyde;
5-Hydroxyindoleacetaldehyde;
6-Hydroxymelatonin;
Indoleacetaldehyde;
L-Kynurenine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
5-Hydroxykynurenine;
Kynurenic acid;
3-Hydroxyanthranilic acid;
L-Alanine;
Glutamate;
Xanthurenic acid;
L-3-Hydroxykynurenine;
N-Methyltryptamine;
Tetrahydrobiopterin;
D-Glutamic acid;
5-Hydroxykynurenine;
Melatonin;
3'-AMP;
Indoleacetic acid;
Quinolinic acid;
Formyl-5-hydroxykynurenamine;
S-Adenosylhomocysteine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
3-HK;
D-Ala;
4a-Hydroxytetrahydrobiopterin;
3-HAA;
D-Glutamic acid;
L-Glutamate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
AdoHcy;
Melatonin;
L-KYN;
3-hydroxy-L-kynurenine;
DL-Glutamate;
5-Hydroxy-N-formylkynurenine;
D-Kynurenine;
Formyl-5-hydroxy kynurenamine;
3'-AMP;
2-Aminobenzoic acid;
(5-hydroxyindol-3-yl)acetaldehyde;
BH4;
Kynurenine;
Hydroxykynurenine;
Alanine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
[(2R,5R)-5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate;
4alpha-hydroxy-tetrahydrobiopterin"
"2","1.5 Amino acid metabolism",0.4,"Arginine and proline metabolism","map00330",0.0179009079090075,20,50,0.281393369861942,0.841342671723353,"L-Proline;
D-Arginine;
D-Aspartic acid;
1-Pyrroline-2-carboxylic acid;
Pyrroline hydroxycarboxylic acid;
4-Hydroxy-L-glutamic acid;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
D-Proline;
Citrulline;
N(omega)-Hydroxyarginine;
L-Alanine;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Creatine;
Carbamoyl phosphate;
D-Glutamine;
Adenosine monophosphate;
Tetrahydrobiopterin;
1-Pyrroline-5-carboxylic acid;
D-Glutamic acid;
Arginine;
Ammonia;
1-Pyrroline-4-hydroxy-2-carboxylate;
S-Adenosylhomocysteine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
D-Ala;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Erythro-4-hydroxy-L-glutamate(1-);
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
L-Arginine;
AdoHcy;
Creatine;
Aspartate;
D-Asp;
CAP;
D-Citrulline;
DL-Glutamate;
DL-Proline;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
arginine;
L-Arg;
1-Pyrroline-5-carboxylic acid;
BH4;
Glutamine;
Citrulline;
Carbamoyl phosphate;
Alanine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;
Vidarabine phosphate;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one"
"3","1.5 Amino acid metabolism",0.383333333333333,"Alanine, aspartate and glutamate metabolism","map00250",0.0199324630906352,23,60,0.281393369861942,0.916893302169221,"beta-Alanine;
Inosinic acid;
D-Arginine;
D-Aspartic acid;
N-Acetyl-D-Glucosamine 6-Phosphate;
D-Asparagine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
Citrulline;
L-Cysteine;
Glucosamine 6-phosphate;
4-Aminobutanoic acid;
L-Alanine;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Carbamoyl phosphate;
D-Glutamine;
Adenosine monophosphate;
gamma-Glutamylcysteine;
1-Pyrroline-5-carboxylic acid;
Fructose 6-phosphate;
D-Glutamic acid;
Glutathione;
L-Asparagine;
N-Acetylglucosamine 6-phosphate;
Arginine;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
D-Cysteine;
N-Acetyl-L-aspartic acid;
cysteine;
D-Ala;
AcGlcN6P;
alpha-D-glucosamine 6-phosphate;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
L-Arginine;
Glutathione;
4-amino-butanoic acid;
b-Ala;
Aspartate;
IMP;
D-Asp;
Cysteine;
CAP;
GSSG;
D-Citrulline;
DL-Glutamate;
N-Acetyl-L-aspartic acid;
DL-Asparagine;
arginine;
L-Arg;
1-Pyrroline-5-carboxylic acid;
4-amino-butanoic acid;
Glutamine;
Citrulline;
Carbamoyl phosphate;
Alanine;
Glutathionate(1-);
Vidarabine phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;
N-gamma-Glutamylcysteine;
5-phospho-alpha-D-ribose 1-diphosphate"
"4","1.6 Metabolism of other amino acids",0.5,"Glutathione metabolism","map00480",0.0234494474884951,9,18,0.281393369861942,1,"Cysteinylglycine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
L-Cysteine;
L-Alanine;
Glutamate;
gamma-Glutamylalanine;
gamma-Glutamylcysteine;
D-Glutamic acid;
Glutathione;
D-Cysteine;
Pyroglutamic acid;
cysteine;
D-Ala;
D-Glutamic acid;
L-Glutamate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
Glutathione;
Cysteine;
GSSG;
OPRO;
DL-Glutamate;
(5-L-Glutamyl)-L-amino acid;
N-gamma-L-Glutamyl-D-alanine;
Cysteinyl-glycine;
5-oxoproline;
Alanine;
Glutathionate(1-);
2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid;
N-gamma-Glutamylcysteine"
"5","1.5 Amino acid metabolism",0.428571428571429,"Phenylalanine and Tyrosine Metabolism","map00360",0.0363465987828639,12,28,0.348927348315493,1,"Phenylacetic acid;
4a-Hydroxytetrahydrobiopterin;
Phenylpyruvic acid;
Homogentisic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
L-Tyrosine;
Adenosine monophosphate;
Tetrahydrobiopterin;
L-Phenylalanine;
D-Glutamic acid;
Ammonia;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
L-Tyrosine;
2-oxo-3-phenylpropanoate;
D-Tyrosine;
DL-Glutamate;
D-Phenylalanine;
Phenylacetic acid;
BH4;
Glutamine;
Vidarabine phosphate;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
2-oxo-3-phenylpropanoate;
4-maleyl-acetoacetate;
4alpha-hydroxy-tetrahydrobiopterin"
"6","1.8 Metabolism of cofactors and vitamins",0.423076923076923,"Retinol Metabolism","map00830",0.0489811579937051,11,26,0.391849263949641,1,"All-trans-13,14-dihydroretinol;
L-Galactose;
all-trans-5,6-Epoxyretinoic acid;
Vitamin A;
11-cis-Retinol;
9-cis-Retinol;
Glycerophosphocholine;
all-trans-Retinoic acid;
D-Mannose;
D-Galactose;
4-oxo-Retinoic acid;
13-cis-Retinoic acid;
D-Glucose;
alpha-D-Glucose;
9-cis-Retinoic acid;
L-Gulose;
Allose;
4-Oxoretinol;
all-trans-18-Hydroxyretinoic acid;
4-Hydroxyretinoic acid;
beta-D-Galactose;
5,6-Epoxy-13-cis-retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
beta-D-glucose;
11-cis-Retinol;
choline alfoscerate;
all-trans-retinol;
alpha-D-Glucose;
3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid;
alpha-D-galactose;
D-Mannose;
D-Glucose;
4-oxo-15-apo-beta-caroten-15-ol;
Retinol;
9-cis retinol;
9-cis-Retinoic acid;
13,14-dihydroretinol;
Retinyl ester;
13-cis-Retinoic acid;
4-Hydroxyretinoic acid;
9-cis-Retinol;
4-oxo RA;
(2E,4E,6E,8E)-9-[2-(hydroxymethyl)-6,6-dimethylcyclohex-1-en-1-yl]-3,7-dimethylnona-2,4,6,8-tetraenoic acid;
(2E,4E,6E,8E)-3,7-dimethyl-9-{2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl}nona-2,4,6,8-tetraenoic acid;
Glycerophosphocholine;
all-trans Retinol Vitamin A;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
11-cis-Retinol;
13-cis Retinol;
4-oxo-Retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
All-trans 4-Keto Retinoic Acid;
D-Gulose;
Glycerylphosphorylcholine;
Glucose"
"7","1.5 Amino acid metabolism",0.352941176470588,"Methionine Metabolism","map00270",0.0833161504907799,18,51,0.516288710255906,1,"Sarcosine;
3-Sulfinoalanine;
Dimethylglycine;
Spermidine;
5'-Methylthioadenosine;
L-Cysteine;
Allocystathionine;
Glutamate;
L-Cystathionine;
Homocysteine;
Adenosine monophosphate;
Choline;
gamma-Glutamylcysteine;
L-Homoserine;
5-Methylthioribose 1-phosphate;
D-Glutamic acid;
Betaine;
Ammonia;
D-Cysteine;
S-Adenosylhomocysteine;
Cho;
cysteine;
SARC;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
3-Sulfinoalanine;
Spermidine;
AdoHcy;
bisulfite;
Cystathionine;
5'-Methylthioadenosine;
Cysteine;
Dimethylglycine;
Cystathione;
DL-Glutamate;
5-Methylthioribose  1-phosphate;
BET;
Vidarabine phosphate;
Cysteine sulfinic acid;
(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;
N-gamma-Glutamylcysteine;
bisulfite"
"8","1.1 Carbohydrate metabolism",0.371428571428571,"Amino Sugar Metabolism","map00520",0.0926788846152136,13,35,0.516288710255906,1,"L-Galactose;
beta-D-Glucosamine;
D-Mannose 1-phosphate;
N-Acetyl-D-Glucosamine 6-Phosphate;
N-Acetylneuraminic acid;
N-Acetyl-a-neuraminic acid;
Galactose 1-phosphate;
Glucosamine;
D-Mannose;
D-Galactose;
D-Glucose;
alpha-D-Glucose;
D-Fructose;
Glucosamine 6-phosphate;
Glucose 6-phosphate;
L-Glutamine;
Glutamate;
D-Glucose-6-Phosphate;
D-Glutamine;
L-Gulose;
Allose;
Fructose 6-phosphate;
N-Acetyl-glucosamine 1-phosphate;
D-Glutamic acid;
beta-D-Galactose;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
Dolichyl phosphate D-mannose;
AcGlcN6P;
alpha-D-glucosamine 6-phosphate;
beta-D-glucose;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
DL-Glutamate;
alpha-D-galactose;
D-Fructose;
D-Mannose;
G1P;
D-Glucose;
D-glucopyranose 6-phosphate;
N-acetyl-alpha-D-galactosamine 1-phosphate;
2-amino-2-deoxy-D-glucopyranose;
N-Acetyl-D-galactosamine 1-phosphate;
AcGlcN1P;
Glutamine;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
beta-D-Galactosamine;
3h-Sialic acid;
beta-D-Glucose 1-phosphate;
D-Fructofuranose;
D-Gulose;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
Glucose"
"9","1.5 Amino acid metabolism",0.333333333333333,"Tyrosine metabolism","map00350",0.0968041331729824,23,69,0.516288710255906,1,"3,4-Dihydroxybenzeneacetic acid;
3,4-Dihydroxymandelaldehyde;
4a-Hydroxytetrahydrobiopterin;
3-Methoxy-4-hydroxyphenylglycolaldehyde;
D-Aspartic acid;
Homovanillic acid;
Oxidized-adrenal-ferredoxin;
Homogentisic acid;
Metanephrine;
Epinephrine;
Vanylglycol;
L-Aspartic acid;
Glutamate;
L-Tyrosine;
Homocysteine;
Dopamine;
Tetrahydrobiopterin;
Dihydrobiopterin;
D-Glutamic acid;
Iodotyrosine;
Ammonia;
Normetanephrine;
S-Adenosylhomocysteine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
D-Glutamic acid;
L-Glutamate;
AdoHcy;
Aspartate;
D-Asp;
L-Tyrosine;
D-Tyrosine;
DL-Glutamate;
DA;
Indole-5,6-quinone;
vanillyl mandelate;
3-iodo-L-tyrosine;
3,4-Dihydroxymandelaldehyde;
ADR;
Epinephrine;
3,4-Dihydroxybenzeneacetic acid;
BH4;
7.8-dihydropterin;
7,8-BH2;
3,4-Dihydroxybenzeneacetic acid;
MHPG;
L-Metanephrine;
7,8-BH2;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4-maleyl-acetoacetate;
4alpha-hydroxy-tetrahydrobiopterin"
"10","1.5 Amino acid metabolism",0.339285714285714,"Glycine, serine and threonine metabolism","map00260",0.107977788427029,19,56,0.51829338444974,1,"Sarcosine;
(S)-Lipoic acid;
Dimethylglycine;
(R)-Lipoic acid;
D-Arginine;
Phosphoserine;
Orotidylic acid;
L-Allothreonine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
Dihydrolipoate;
L-Cysteine;
Allocystathionine;
L-Alanine;
Glutamate;
L-Cystathionine;
Creatine;
Homocysteine;
Adenosine monophosphate;
Choline;
D-Glutamic acid;
Betaine;
L-Threonine;
Arginine;
Ammonia;
D-Cysteine;
S-Adenosylhomocysteine;
Cho;
cysteine;
D-Ala;
SARC;
O-P-Ser;
orotidine 5'-monophosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
L-Arginine;
LIPA;
AdoHcy;
Creatine;
Cystathionine;
Cysteine;
Dimethylglycine;
Cystathione;
DL-Glutamate;
arginine;
(R)-Lipoic acid;
L-Arg;
3-Phosphoserine;
3-phospho-L-serine;
D-Threonine;
BET;
Alanine;
DL-O-Phosphoserine;
Vidarabine phosphate;
LIPA"
