"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.5 Amino acid metabolism",0.260869565217391,"Tyrosine metabolism","map00350",0.00264759389169274,18,69,0.0686012130890012,0.0979609739926314,"4-Hydroxyphenylpyruvic acid;
3-Methoxy-4-hydroxyphenylglycolaldehyde;
D-Aspartic acid;
Leucodopachrome;
4-Fumarylacetoacetic acid;
Homovanillic acid;
5,6-Dihydroxyindole;
Dopaquinone;
Ascorbic acid;
L-Aspartic acid;
Glutamate;
L-Dopa;
Homocysteine;
DL-Dopa;
Topaquinone;
D-Glutamic acid;
Iodotyrosine;
Ammonia;
Guaiacol;
D-Glutamic acid;
4-Hydroxyphenylpyruvic acid;
L-Glutamate;
Dopaquinone;
Aspartate;
D-Asp;
DL-Glutamate;
5,6-Dihydroxyindole;
vanillyl mandelate;
2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid;
3-iodo-L-tyrosine;
Ascorbic acid;
4,6-dioxo-2E-octenedioic acid;
4,6-dioxo-2E-octenedioic acid;
Maleylacetoacetic acid;
L-Dopaquinone;
4-fumarylacetoacetate(2-);
3,4-Dihydroxy-5-[(S)-1,2-dihydroxyethyl]furan-2(5H)-one"
"2","1.5 Amino acid metabolism",0.266666666666667,"Alanine, aspartate and glutamate metabolism","map00250",0.00370817368048655,16,60,0.0686012130890012,0.133494252497516,"Succinic acid;
Inosinic acid;
Ureidosuccinic acid;
D-Aspartic acid;
N-Acetyl-D-Glucosamine 6-Phosphate;
L-Cysteine;
L-Aspartic acid;
Glutamate;
5-Phosphoribosylamine;
Adenosine monophosphate;
Fructose 6-phosphate;
D-Glutamic acid;
Glutathione;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Phosphoribosyl pyrophosphate;
Ammonia;
GMP;
N-Acetyl-D-mannosamine 6-phosphate;
D-Cysteine;
N-Acetyl-L-aspartic acid;
cysteine;
Butanedioic acid;
AcGlcN6P;
N-Carbamoyl-L-aspartate;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Glutathione;
Aspartate;
Phosphoribosyl pyrophosphate;
IMP;
guanosine 5'-monophosphate;
D-Asp;
Cysteine;
GSSG;
DL-Glutamate;
N-Acetyl-L-aspartic acid;
Butanedioic acid;
Guanosine monophosphate;
5-phospho-beta-D-ribosylaminium(1-);
5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);
Glutathionate(1-);
Vidarabine phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;
[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;
D-fructose 6-phosphate"
"3","1.6 Metabolism of other amino acids",0.333333333333333,"Glutathione metabolism","map00480",0.0258844447817274,6,18,0.229788479252567,0.905955567360459,"Cysteinylglycine;
L-Cysteine;
Glutamate;
D-Glutamic acid;
Glutathione;
D-Cysteine;
Pyroglutamic acid;
cysteine;
D-Glutamic acid;
L-Glutamate;
Glutathione;
Cysteine;
GSSG;
OPRO;
DL-Glutamate;
Cysteinyl-glycine;
5-oxoproline;
Glutathionate(1-);
2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid"
"4","1.4 Nucleotide metabolism",0.220588235294118,"Purine metabolism","map00230",0.030984099489241,15,68,0.229788479252567,1,"Inosinic acid;
Guanosine 2',3'-cyclic phosphate;
D-Aspartic acid;
5-Aminoimidazole ribonucleotide;
L-Aspartic acid;
Glutamate;
Cyclic AMP;
5-Phosphoribosylamine;
Adenosine monophosphate;
Deoxyadenosine monophosphate;
D-Glutamic acid;
Xanthine;
Adenine;
Phosphoribosyl pyrophosphate;
Ammonia;
GMP;
2'-Deoxyguanosine 5'-monophosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Ade;
Aspartate;
Phosphoribosyl pyrophosphate;
IMP;
guanosine 5'-monophosphate;
D-Asp;
cAMP;
9H-xanthine;
2'-deoxyadenosine 5'-monophosphate;
DL-Glutamate;
Cyclic AMP;
Guanosine monophosphate;
5-amino-1-(5-phosphonato-D-ribosyl)imidazol-3-ium;
5-phospho-beta-D-ribosylaminium(1-);
5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);
Vidarabine phosphate;
[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;
[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate"
"5","1.1 Carbohydrate metabolism",0.291666666666667,"Fructose and mannose metabolism","map00051",0.0340015768992634,7,24,0.229788479252567,1,"beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Fructose 1-phosphate;
Galactose 1-phosphate;
Mannose 6-phosphate;
D-Glucose-6-Phosphate;
Fructose 6-phosphate;
Dolichyl phosphate D-mannose;
Beta-D-Fructose 2-phosphate;
Fructose 6-phosphate;
beta-D-Glucose 6-phosphate;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
G1P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate;
beta-D-fructose 2,6-bisphosphate;
beta-L-fucose 1-phosphate"
"6","1.1 Carbohydrate metabolism",0.257142857142857,"Amino Sugar Metabolism","map00520",0.0372629966355514,9,35,0.229788479252567,1,"N-Acetyl-b-D-galactosamine;
beta-N-Acetylglucosamine;
D-Mannose 1-phosphate;
N-Acetylgalactosamine;
N-Acetyl-D-Glucosamine 6-Phosphate;
N-Acetylneuraminic acid;
N-Acetyl-a-neuraminic acid;
Galactose 1-phosphate;
Glucose 6-phosphate;
Glutamate;
D-Glucose-6-Phosphate;
Fructose 6-phosphate;
N-Acetyl-glucosamine 1-phosphate;
D-Glutamic acid;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
N-Acetyl-D-glucosamine;
Ammonia;
N-Acetylmannosamine;
N-Acetyl-D-mannosamine 6-phosphate;
Dolichyl phosphate D-mannose;
AcGlcN6P;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
DL-Glutamate;
beta-N-Acetylglucosamine;
bGalNAc;
G1P;
N-acetyl-alpha-D-galactosamine;
D-glucopyranose 6-phosphate;
N-acetyl-alpha-D-galactosamine 1-phosphate;
N-Acetyl-D-galactosamine 1-phosphate;
AcGlcN1P;
2-(Acetylamino)-2-deoxy-alpha-D-mannopyranose;
beta-N-Acetylglucosamine;
bGalNAc;
N-Acetyl-D-mannosamine;
G6P;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
3h-Sialic acid;
beta-D-Glucose 1-phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
D-fructose 6-phosphate"
"7","1.5 Amino acid metabolism",0.22,"Arginine and proline metabolism","map00330",0.0637232821113749,11,50,0.33369574072956,1,"Succinic acid;
D-Aspartic acid;
Pyrroline hydroxycarboxylic acid;
4-Hydroxy-L-glutamic acid;
N(omega)-Hydroxyarginine;
L-Aspartic acid;
Glutamate;
Adenosine monophosphate;
creatine-P;
D-Glutamic acid;
Ammonia;
1-Pyrroline-4-hydroxy-2-carboxylate;
Butanedioic acid;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Erythro-4-hydroxy-L-glutamate(1-);
Aspartate;
Pcr;
D-Asp;
DL-Glutamate;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
Butanedioic acid;
Phosphocreatine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;
Vidarabine phosphate"
"8","1.5 Amino acid metabolism",0.215686274509804,"Methionine Metabolism","map00270",0.0721504304280129,11,51,0.33369574072956,1,"3-Sulfinoalanine;
Sulfite;
5'-Methylthioadenosine;
L-Cysteine;
Glutamate;
2-Oxo-4-methylthiobutanoic acid;
Racemethionine;
Homocysteine;
Adenosine monophosphate;
L-Methionine;
D-Glutamic acid;
Ammonia;
D-Cysteine;
cysteine;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
3-Sulfinoalanine;
Methionine;
bisulfite;
5'-Methylthioadenosine;
Cysteine;
Cystathione;
DL-Glutamate;
2-Oxo-4- methylthiobutanoic acid;
SO3 2- (sulfite);
Vidarabine phosphate;
Cysteine sulfinic acid;
(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;
bisulfite"
"9","1.5 Amino acid metabolism",0.214285714285714,"Phenylalanine and Tyrosine Metabolism","map00360",0.16987333439299,6,28,0.698368152504515,1,"4-Hydroxyphenylpyruvic acid;
4-Fumarylacetoacetic acid;
Glutamate;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
4-Hydroxyphenylpyruvic acid;
L-Glutamate;
Adenosine monophosphate;
2-oxo-3-phenylpropanoate;
DL-Glutamate;
4,6-dioxo-2E-octenedioic acid;
4,6-dioxo-2E-octenedioic acid;
Maleylacetoacetic acid;
4-fumarylacetoacetate(2-);
Vidarabine phosphate;
2-oxo-3-phenylpropanoate"
"10","1.6 Metabolism of other amino acids",0.25,"Taurine and Hypotaurine Metabolism","map00430",0.217502163786606,3,12,0.804758006010441,1,"Taurine;
3-Sulfinoalanine;
L-Cysteine;
D-Cysteine;
cysteine;
TAU;
3-Sulfinoalanine;
Cysteine;
Cysteine sulfinic acid"
"11","1.8 Metabolism of cofactors and vitamins",0.1875,"Pantothenate and CoA Biosynthesis","map00770",0.376460558234784,3,16,0.993686946310712,1,"L-Cysteine;
D-4'-Phosphopantothenate;
Adenosine monophosphate;
D-Cysteine;
cysteine;
D-4'-Phosphopantothenate;
Adenosine monophosphate;
Cysteine;
Vidarabine phosphate"
"12","1.2 Energy metabolism",0.16,"Nitrogen metabolism","map00910",0.452080362203526,4,25,0.993686946310712,1,"D-Aspartic acid;
L-Aspartic acid;
Glutamate;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Aspartate;
D-Asp;
DL-Glutamate;
Vidarabine phosphate"
"13","1.3 Lipid metabolism",0.166666666666667,"alpha-Linolenic acid metabolism","map00592",0.454893617911626,3,18,0.993686946310712,1,"Cis-8,11,14,17-Eicosatetraenoic acid;
Arachidonic acid;
Docosahexaenoic acid;
5Z,8Z,11Z,14Z-eicosatetraenoic acid;
4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoic acid;
5,8,11,14-eicosatetraenoic acid;
8,11,14,17-eicosatetraenoic acid;
20:4(8Z,11Z,14Z,17Z);
5,8,11,14-Icosatetraenoic Acid;
(4E,7E,10Z,13E,16E,19E)-Docosa-4,7,10,13,16,19-hexaenoic acid"
"14","1.5 Amino acid metabolism",0.148148148148148,"Tryptophan metabolism","map00380",0.461816409978174,8,54,0.993686946310712,1,"Formylkynurenine;
N-Methylserotonin;
2-Aminomuconic acid semialdehyde;
Indoleacetaldehyde;
L-Kynurenine;
Glutamate;
D-Glutamic acid;
3'-AMP;
Formyl-5-hydroxykynurenamine;
2-Aminomuconic acid semialdehyde;
D-Glutamic acid;
L-Glutamate;
L-KYN;
DL-Glutamate;
N'-Formylkynurenine;
D-Kynurenine;
Formyl-5-hydroxy kynurenamine;
3'-AMP;
N'-Formylkynurenine;
Kynurenine;
2-amino-6-oxo-2,4-hexadienoic acid;
L-Formylkynurenine;
[(2R,5R)-5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate"
