"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.5 Amino acid metabolism",0.246376811594203,"Tyrosine metabolism","map00350",0.0409795062639316,17,69,0.593378530703354,1
"2","1.5 Amino acid metabolism",0.259259259259259,"Tryptophan metabolism","map00380",0.0416836445543045,14,54,0.593378530703354,1
"3","1.5 Amino acid metabolism",0.26,"Arginine and proline metabolism","map00330",0.0481117727597314,13,50,0.593378530703354,1
"4","1.6 Metabolism of other amino acids",0.277777777777778,"Glutathione metabolism","map00480",0.155134818326986,5,18,0.99868912441704,1
"5","1.6 Metabolism of other amino acids",0.241379310344828,"beta-Alanine metabolism","map00410",0.17925519449773,7,29,0.99868912441704,1
"6","1.2 Energy metabolism",0.24,"Nitrogen metabolism","map00910",0.210234556254157,6,25,0.99868912441704,1
"7","1.3 Lipid metabolism",0.25,"Biosynthesis of unsaturated fatty acids","map01040",0.256454714956677,4,16,0.99868912441704,1
"8","1.5 Amino acid metabolism",0.196428571428571,"Glycine, serine and threonine metabolism","map00260",0.295253372786718,11,56,0.99868912441704,1
"9","1.6 Metabolism of other amino acids",0.217391304347826,"Selenocompound metabolism","map00450",0.316778782785685,5,23,0.99868912441704,1
"10","1.5 Amino acid metabolism",0.2,"Histidine metabolism","map00340",0.340890443778228,7,35,0.99868912441704,1
"11","1.5 Amino acid metabolism",0.2,"Lysine degradation","map00310",0.387455438307734,5,25,0.99868912441704,1
"12","1.8 Metabolism of cofactors and vitamins",0.192307692307692,"Retinol Metabolism","map00830",0.422819818169019,5,26,0.99868912441704,1
"13","1.5 Amino acid metabolism",0.178571428571429,"Phenylalanine and Tyrosine Metabolism","map00360",0.49227261803157,5,28,0.99868912441704,1
"14","1.1 Carbohydrate metabolism",0.171428571428571,"Amino Sugar Metabolism","map00520",0.520253932436837,6,35,0.99868912441704,1
"15","1.5 Amino acid metabolism",0.166666666666667,"Alanine, aspartate and glutamate metabolism","map00250",0.528752821957152,10,60,0.99868912441704,1
"16","1.3 Lipid metabolism",0.159090909090909,"Steroid Biosynthesis","map00100",0.597449007958634,7,44,0.99868912441704,1
"17","1.6 Metabolism of other amino acids",0.166666666666667,"Taurine and Hypotaurine Metabolism","map00430",0.608266318756254,2,12,0.99868912441704,1
"18","1.5 Amino acid metabolism",0.156862745098039,"Methionine Metabolism","map00270",0.61338059330302,8,51,0.99868912441704,1
"19","Deleted pathways from Kegg",0.148148148148148,"Androgen and Estrogen Metabolism","map00150",0.668069091846301,4,27,0.99868912441704,1
"20","1.8 Metabolism of cofactors and vitamins",0.125,"Pantothenate and CoA Biosynthesis","map00770",0.765123783741229,2,16,0.99868912441704,1
"21","1.8 Metabolism of cofactors and vitamins",0.117647058823529,"Vitamin B6 Metabolism","map00750",0.794738404663733,2,17,0.99868912441704,1
"22","1.8 Metabolism of cofactors and vitamins",0.12,"Pterine Biosynthesis","map00790",0.803910554245248,3,25,0.99868912441704,1
"23","1.3 Lipid metabolism",0.111111111111111,"alpha-Linolenic acid metabolism","map00592",0.821033964848995,2,18,0.99868912441704,1
"24","1.10 Biosynthesis of other secondary metabolites",0.105263157894737,"Caffeine Metabolism","map00232",0.844295168777584,2,19,0.99868912441704,1
"25","1.3 Lipid metabolism",0.125,"Arachidonic Acid Metabolism","map00590",0.852747508324497,8,64,0.99868912441704,1
"26","1.5 Amino acid metabolism",0.117647058823529,"Valine, leucine and isoleucine degradation","map00280",0.869137922207962,6,51,0.99868912441704,1
"27","1.8 Metabolism of cofactors and vitamins",0.103448275862069,"Nicotinate and nicotinamide metabolism","map00760",0.879121486940371,3,29,0.99868912441704,1
"28","1.8 Metabolism of cofactors and vitamins",0.0869565217391304,"One carbon pool by folate","map00670",0.912439263883852,2,23,0.99868912441704,1
"29","1.3 Lipid metabolism",0.08,"Phospholipid Biosynthesis","map00564",0.934971385944206,2,25,0.99868912441704,1
"30","1.1 Carbohydrate metabolism",0.0882352941176471,"Propanoate metabolism","map00640",0.936723680593942,3,34,0.99868912441704,1
"31","1.1 Carbohydrate metabolism",0.0769230769230769,"Citric Acid Cycle","map00020",0.944078048318704,2,26,0.99868912441704,1
"32","1.4 Nucleotide metabolism",0.102941176470588,"Purine metabolism","map00230",0.950276416787177,7,68,0.99868912441704,1
"33","1.1 Carbohydrate metabolism",0.0740740740740741,"Glycolysis / Gluconeogenesis","map00010",0.951972753732142,2,27,0.99868912441704,1
"34","1.4 Nucleotide metabolism",0.0769230769230769,"Pyrimidine metabolism","map00240",0.981920369829031,4,52,0.99868912441704,1
"35","1.8 Metabolism of cofactors and vitamins",0.0555555555555556,"Porphyrin Metabolism","map00860",0.98839532307338,2,36,0.99868912441704,1
"36","1.1 Carbohydrate metabolism",0.0566037735849057,"Starch and sucrose metabolism","map00500",0.996021190425662,3,53,0.99868912441704,1
"37","1.3 Lipid metabolism",0.05,"Primary bile acid biosynthesis","map00120",0.99868912441704,3,60,0.99868912441704,1
