"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.5 Amino acid metabolism",0.246376811594203,"Tyrosine metabolism","map00350",0.0409795062639316,17,69,0.593378530703354,1,"3,4-Dihydroxybenzeneacetic acid;
3,4-Dihydroxymandelaldehyde;
4a-Hydroxytetrahydrobiopterin;
Leucodopachrome;
Oxidized-adrenal-ferredoxin;
Dopaquinone;
Homogentisic acid;
Metanephrine;
Epinephrine;
Pyridoxal 5'-phosphate;
3-Methoxytyramine;
Glutamate;
Homovanillin;
L-Dopa;
Dopamine;
DL-Dopa;
Dihydrobiopterin;
D-Glutamic acid;
Iodotyrosine;
Normetanephrine;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
D-Glutamic acid;
L-Glutamate;
Dopaquinone;
DL-Glutamate;
DA;
PLP;
3-iodo-L-tyrosine;
3,4-Dihydroxymandelaldehyde;
ADR;
Epinephrine;
3,4-Dihydroxybenzeneacetic acid;
7.8-dihydropterin;
7,8-BH2;
3,4-Dihydroxybenzeneacetic acid;
L-Dopaquinone;
L-Metanephrine;
7,8-BH2;
4alpha-hydroxy-tetrahydrobiopterin"
"2","1.5 Amino acid metabolism",0.259259259259259,"Tryptophan metabolism","map00380",0.0416836445543045,14,54,0.593378530703354,1,"N-Methylserotonin;
2-Aminobenzoic acid;
4a-Hydroxytetrahydrobiopterin;
5-Hydroxyindoleacetaldehyde;
Indoleacetaldehyde;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
5-Methoxyindoleacetate;
Kynurenic acid;
Pyridoxal 5'-phosphate;
L-Alanine;
Glutamate;
N-Methyltryptamine;
D-Glutamic acid;
Melatonin;
Indoleacetic acid;
4-(2-Aminophenyl)-2,4-dioxobutanoic acid;
4a-Hydroxytetrahydrobiopterin;
D-Ala;
4a-Hydroxytetrahydrobiopterin;
D-Glutamic acid;
L-Glutamate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
Melatonin;
4-(2-Aminophenyl)-2,4-dioxobutanoic acid;
DL-Glutamate;
PLP;
2-Aminobenzoic acid;
(5-hydroxyindol-3-yl)acetaldehyde;
Alanine;
4alpha-hydroxy-tetrahydrobiopterin"
"3","1.5 Amino acid metabolism",0.26,"Arginine and proline metabolism","map00330",0.0481117727597314,13,50,0.593378530703354,1,"L-Proline;
D-Arginine;
Pyrroline hydroxycarboxylic acid;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
D-Proline;
Citrulline;
N(omega)-Hydroxyarginine;
Pyridoxal 5'-phosphate;
L-Alanine;
L-Glutamine;
Glutamate;
Creatine;
D-Glutamine;
creatine-P;
D-Glutamic acid;
Arginine;
1-Pyrroline-4-hydroxy-2-carboxylate;
D-Ala;
D-Glutamic acid;
L-Glutamate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
L-Arginine;
Creatine;
Pcr;
D-Citrulline;
DL-Glutamate;
PLP;
DL-Proline;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
arginine;
L-Arg;
Glutamine;
Citrulline;
Alanine;
Phosphocreatine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid"
"4","1.6 Metabolism of other amino acids",0.277777777777778,"Glutathione metabolism","map00480",0.155134818326986,5,18,0.99868912441704,1,"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
L-Cysteine;
L-Alanine;
Glutamate;
gamma-Glutamylalanine;
D-Glutamic acid;
D-Cysteine;
Pyroglutamic acid;
cysteine;
D-Ala;
D-Glutamic acid;
L-Glutamate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
Cysteine;
OPRO;
DL-Glutamate;
(5-L-Glutamyl)-L-amino acid;
N-gamma-L-Glutamyl-D-alanine;
5-oxoproline;
Alanine"
"5","1.6 Metabolism of other amino acids",0.241379310344828,"beta-Alanine metabolism","map00410",0.17925519449773,7,29,0.99868912441704,1,"beta-Alanine;
Carnosine;
Ureidopropionic acid;
Pyridoxal 5'-phosphate;
Glutamate;
Anserine;
D-Glutamic acid;
Histidine;
CARN;
D-Glutamic acid;
L-Glutamate;
b-Ala;
DL-Glutamate;
UPROP;
PLP;
D-Histidine;
beta-Alanyl-L-histidine"
"6","1.2 Energy metabolism",0.24,"Nitrogen metabolism","map00910",0.210234556254157,6,25,0.99868912441704,1,"D-Asparagine;
Dihydrolipoate;
Pyridoxal 5'-phosphate;
L-Glutamine;
Glutamate;
D-Glutamine;
D-Glutamic acid;
L-Asparagine;
Histidine;
D-Glutamic acid;
L-Glutamate;
DL-Glutamate;
PLP;
DL-Asparagine;
D-Histidine;
Glutamine"
"7","1.3 Lipid metabolism",0.25,"Biosynthesis of unsaturated fatty acids","map01040",0.256454714956677,4,16,0.99868912441704,1,"Caproic acid;
Dodecanoic acid;
L-Acetylcarnitine;
L-Carnitine;
Caproic acid;
DDCX;
(S)-carnitinium;
(3R)-3-acetyloxy-4-(trimethylazaniumyl)butanoate;
Caproic acid"
"8","1.5 Amino acid metabolism",0.196428571428571,"Glycine, serine and threonine metabolism","map00260",0.295253372786718,11,56,0.99868912441704,1,"Sarcosine;
D-Arginine;
Phosphoserine;
Vidarabine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
Dihydrolipoate;
L-Cysteine;
Pyridoxal 5'-phosphate;
L-Alanine;
Glutamate;
Creatine;
Adenosine;
Choline;
D-Glutamic acid;
Arginine;
D-Cysteine;
Cho;
cysteine;
D-Ala;
SARC;
O-P-Ser;
D-Glutamic acid;
L-Glutamate;
Ade-Rib;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
L-Arginine;
Creatine;
Cysteine;
DL-Glutamate;
PLP;
arginine;
L-Arg;
3-Phosphoserine;
3-phospho-L-serine;
Alanine;
DL-O-Phosphoserine;
9-Arabinofuranosyladenine"
"9","1.6 Metabolism of other amino acids",0.217391304347826,"Selenocompound metabolism","map00450",0.316778782785685,5,23,0.99868912441704,1,"Selenocystine;
Vidarabine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
Pyridoxal 5'-phosphate;
L-Alanine;
Adenosine;
D-Ala;
Ade-Rib;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
PLP;
Gamma-Glutamyl-Se-methylselenocysteine;
Alanine;
9-Arabinofuranosyladenine"
"10","1.5 Amino acid metabolism",0.2,"Histidine metabolism","map00340",0.340890443778228,7,35,0.99868912441704,1,"beta-Alanine;
Carnosine;
Histamine;
Pyridoxal 5'-phosphate;
Glutamate;
Anserine;
D-Glutamic acid;
Histidine;
CARN;
D-Glutamic acid;
L-Glutamate;
b-Ala;
DL-Glutamate;
Hist;
PLP;
D-Histidine;
beta-Alanyl-L-histidine"
