"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.5 Amino acid metabolism",0.518518518518518,"Tryptophan metabolism","map00380",0.000886824313972435,28,54,0.0434543913846493,0.0434543913846493
"2","1.3 Lipid metabolism",0.555555555555556,"alpha-Linolenic acid metabolism","map00592",0.0263653865836748,10,18,0.599908986884808,1
"3","1.5 Amino acid metabolism",0.464285714285714,"Phenylalanine and Tyrosine Metabolism","map00360",0.0625203168913301,13,28,0.599908986884808,1
"4","1.6 Metabolism of other amino acids",0.5,"Glutathione metabolism","map00480",0.0726750331909686,9,18,0.599908986884808,1
"5","1.8 Metabolism of cofactors and vitamins",0.461538461538462,"Retinol Metabolism","map00830",0.0757568894425289,12,26,0.599908986884808,1
"6","1.5 Amino acid metabolism",0.411764705882353,"Methionine Metabolism","map00270",0.0787305931108955,21,51,0.599908986884808,1
"7","1.5 Amino acid metabolism",0.4,"Alanine, aspartate and glutamate metabolism","map00250",0.0857012838406868,24,60,0.599908986884808,1
"8","1.5 Amino acid metabolism",0.4,"Arginine and proline metabolism","map00330",0.111612647437875,20,50,0.654101777199348,1
"9","1.2 Energy metabolism",0.44,"Nitrogen metabolism","map00910",0.120141142750901,11,25,0.654101777199348,1
"10","1.4 Nucleotide metabolism",0.365384615384615,"Pyrimidine metabolism","map00240",0.239101116258119,19,52,0.999997691975387,1
"11","1.4 Nucleotide metabolism",0.352941176470588,"Purine metabolism","map00230",0.264584318698565,24,68,0.999997691975387,1
"12","1.1 Carbohydrate metabolism",0.371428571428571,"Amino Sugar Metabolism","map00520",0.274154547949266,13,35,0.999997691975387,1
"13","1.5 Amino acid metabolism",0.347826086956522,"Tyrosine metabolism","map00350",0.293942234264924,24,69,0.999997691975387,1
"14","1.5 Amino acid metabolism",0.339285714285714,"Glycine, serine and threonine metabolism","map00260",0.374871679075181,19,56,0.999997691975387,1
"15","1.8 Metabolism of cofactors and vitamins",0.375,"Pantothenate and CoA Biosynthesis","map00770",0.380094657227847,6,16,0.999997691975387,1
"16","1.5 Amino acid metabolism",0.342857142857143,"Histidine metabolism","map00340",0.407285471378815,12,35,0.999997691975387,1
"17","1.8 Metabolism of cofactors and vitamins",0.344827586206897,"Nicotinate and nicotinamide metabolism","map00760",0.418563095599587,10,29,0.999997691975387,1
"18","1.1 Carbohydrate metabolism",0.333333333333333,"Fructose and mannose metabolism","map00051",0.487672384250194,8,24,0.999997691975387,1
"19","1.10 Biosynthesis of other secondary metabolites",0.315789473684211,"Caffeine Metabolism","map00232",0.573387342608283,6,19,0.999997691975387,1
"20","1.6 Metabolism of other amino acids",0.310344827586207,"beta-Alanine metabolism","map00410",0.579743434317493,9,29,0.999997691975387,1
"21","Deleted pathways from Kegg",0.3,"D-Arginine and D-Ornithine Metabolism","map00472",0.650141199904004,3,10,0.999997691975387,1
"22","1.8 Metabolism of cofactors and vitamins",0.294117647058824,"Vitamin B6 Metabolism","map00750",0.654321369105078,5,17,0.999997691975387,1
"23","1.8 Metabolism of cofactors and vitamins",0.285714285714286,"Thiamine Metabolism","map00730",0.696719044934415,2,7,0.999997691975387,1
"24","1.5 Amino acid metabolism",0.28,"Lysine degradation","map00310",0.709355595413427,7,25,0.999997691975387,1
"25","1.6 Metabolism of other amino acids",0.25,"Taurine and Hypotaurine Metabolism","map00430",0.777057021539021,3,12,0.999997691975387,1
"26","1.3 Lipid metabolism",0.25,"Biosynthesis of unsaturated fatty acids","map01040",0.788201203291527,4,16,0.999997691975387,1
"27","1.1 Carbohydrate metabolism",0.259259259259259,"Glycolysis / Gluconeogenesis","map00010",0.789324511162215,7,27,0.999997691975387,1
