"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.5 Amino acid metabolism",0.518518518518518,"Tryptophan metabolism","map00380",0.000886824313972435,28,54,0.0434543913846493,0.0434543913846493,"N-Methylserotonin;
2-Aminobenzoic acid;
N-Acetylserotonin;
4a-Hydroxytetrahydrobiopterin;
D-Tryptophan;
2-Amino-3-carboxymuconic acid semialdehyde;
5-Hydroxyindoleacetaldehyde;
6-Hydroxymelatonin;
Indoleacetaldehyde;
L-Kynurenine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
5-Hydroxykynurenine;
Kynurenic acid;
Acetyl-N-formyl-5-methoxykynurenamine;
(±)-Tryptophan;
3-Hydroxyanthranilic acid;
L-Alanine;
Glutamate;
Xanthurenic acid;
L-3-Hydroxykynurenine;
N-Methyltryptamine;
Tetrahydrobiopterin;
D-Glutamic acid;
5-Hydroxykynurenine;
L-Tryptophan;
Melatonin;
3'-AMP;
Indoleacetic acid;
Quinolinic acid;
4-(2-Aminophenyl)-2,4-dioxobutanoic acid;
Formyl-5-hydroxykynurenamine;
S-Adenosylhomocysteine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
3-HK;
D-Ala;
4a-Hydroxytetrahydrobiopterin;
3-HAA;
D-Glutamic acid;
L-Glutamate;
D-Trp;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
AdoHcy;
Melatonin;
L-KYN;
3-hydroxy-L-kynurenine;
4-(2-Aminophenyl)-2,4-dioxobutanoic acid;
DL-Glutamate;
5-Hydroxy-N-formylkynurenine;
(±)-Tryptophan;
D-Kynurenine;
Formyl-5-hydroxy kynurenamine;
3'-AMP;
2-Aminobenzoic acid;
(5-hydroxyindol-3-yl)acetaldehyde;
BH4;
Kynurenine;
Hydroxykynurenine;
L-Tryptophan;
Alanine;
Acetyl-N-formyl-5-methoxykynurenamine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
[(2R,5R)-5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate;
4alpha-hydroxy-tetrahydrobiopterin"
"2","1.3 Lipid metabolism",0.555555555555556,"alpha-Linolenic acid metabolism","map00592",0.0263653865836748,10,18,0.599908986884808,1,"Eicosapentaenoic acid;
Dihomo-gamma-linolenic acid;
Stearidonic acid;
Cis-8,11,14,17-Eicosatetraenoic acid;
Linolenelaidic acid;
alpha-Linolenic acid;
gamma-Linolenic acid;
Arachidonic acid;
Tetracosahexaenoic acid;
5Z,8Z,11Z,14Z-eicosatetraenoic acid;
9Z,12Z,15Z-octadecatrienoic acid;
5Z,8Z,11Z,14Z,17Z-eicosapentaenoic acid;
6Z,9Z,12Z-octadecatrienoic acid;
6,9,12,15-octadecatetraenoic acid;
5,8,11,14-eicosatetraenoic acid;
8,11,14-Eicosatrienoic acid;
8,11,14,17-eicosatetraenoic acid;
9Z,12Z,15Z,18Z,21Z-tetracosapentaenoic acid;
2E,4E,6E,8E,10E,12E-tetracosahexaenoic acid;
6Z,9Z,12Z,15Z,18Z-tetracosapentaenoic acid;
Octadeca-6,9,12-trienoic acid;
Eicosa-5,8,11,14,17-pentaenoic acid;
9Z,12Z,15Z-octadecatrienoic acid;
5Z,8Z,11Z,14Z,17Z-eicosapentaenoic acid;
20:4(8Z,11Z,14Z,17Z);
8Z,11Z,14Z-eicosatrienoic acid;
24:5(9Z,12Z,15Z,18Z,21Z);
24:6(6Z,9Z,12Z,15Z,18Z,21Z);
5,8,11,14-Icosatetraenoic Acid;
Octadeca-6,9,12,15-tetraenoic acid;
Dihomo--linolenic acid;
9,12,15,18,21-Tetracosapentaenoic acid;
Tetracosahexaenic acid"
"3","1.5 Amino acid metabolism",0.464285714285714,"Phenylalanine and Tyrosine Metabolism","map00360",0.0625203168913301,13,28,0.599908986884808,1,"Phenylacetic acid;
4a-Hydroxytetrahydrobiopterin;
Phenylpyruvic acid;
Phenylacetylglutamine;
4-Fumarylacetoacetic acid;
Homogentisic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
L-Tyrosine;
Adenosine monophosphate;
Tetrahydrobiopterin;
L-Phenylalanine;
D-Glutamic acid;
Ammonia;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
phenylacetyl glutamine;
L-Tyrosine;
2-oxo-3-phenylpropanoate;
D-Tyrosine;
DL-Glutamate;
D-Phenylalanine;
Phenylacetic acid;
4,6-dioxo-2E-octenedioic acid;
BH4;
N(2)-phenylacetyl-L-glutaminate;
Glutamine;
4,6-dioxo-2E-octenedioic acid;
Maleylacetoacetic acid;
4-fumarylacetoacetate(2-);
Vidarabine phosphate;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
2-oxo-3-phenylpropanoate;
4-maleyl-acetoacetate;
4alpha-hydroxy-tetrahydrobiopterin"
"4","1.6 Metabolism of other amino acids",0.5,"Glutathione metabolism","map00480",0.0726750331909686,9,18,0.599908986884808,1,"Cysteinylglycine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
L-Cysteine;
L-Alanine;
Glutamate;
gamma-Glutamylalanine;
gamma-Glutamylcysteine;
D-Glutamic acid;
Glutathione;
D-Cysteine;
Pyroglutamic acid;
cysteine;
D-Ala;
D-Glutamic acid;
L-Glutamate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
Glutathione;
Cysteine;
GSSG;
OPRO;
DL-Glutamate;
(5-L-Glutamyl)-L-amino acid;
N-gamma-L-Glutamyl-D-alanine;
Cysteinyl-glycine;
5-oxoproline;
Alanine;
Glutathionate(1-);
2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid;
N-gamma-Glutamylcysteine"
"5","1.8 Metabolism of cofactors and vitamins",0.461538461538462,"Retinol Metabolism","map00830",0.0757568894425289,12,26,0.599908986884808,1,"All-trans-13,14-dihydroretinol;
Retinal;
L-Galactose;
all-trans-5,6-Epoxyretinoic acid;
Vitamin A;
11-cis-Retinol;
9-cis-Retinol;
Glycerophosphocholine;
all-trans-Retinoic acid;
D-Mannose;
D-Galactose;
4-oxo-Retinoic acid;
13-cis-Retinoic acid;
D-Glucose;
alpha-D-Glucose;
9-cis-Retinal;
9-cis-Retinoic acid;
11-cis-Retinaldehyde;
L-Gulose;
Allose;
4-Oxoretinol;
all-trans-18-Hydroxyretinoic acid;
4-Hydroxyretinoic acid;
beta-D-Galactose;
5,6-Epoxy-13-cis-retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
beta-D-glucose;
11-cis-retinal;
11-cis-Retinol;
choline alfoscerate;
all-trans-retinol;
all-trans-retinal;
alpha-D-Glucose;
3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid;
alpha-D-galactose;
D-Mannose;
D-Glucose;
4-oxo-15-apo-beta-caroten-15-ol;
Retinol;
9-cis retinol;
9-cis-Retinoic acid;
13,14-dihydroretinol;
Retinyl ester;
13-cis-Retinoic acid;
4-Hydroxyretinoic acid;
9-cis-Retinol;
9-cis-Retinal;
4-oxo RA;
(2E,4E,6E,8E)-9-[2-(hydroxymethyl)-6,6-dimethylcyclohex-1-en-1-yl]-3,7-dimethylnona-2,4,6,8-tetraenoic acid;
(2E,4E,6E,8E)-3,7-dimethyl-9-{2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl}nona-2,4,6,8-tetraenoic acid;
Glycerophosphocholine;
all-trans Retinol Vitamin A;
Retinal;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
11-cis-Retinal;
11-cis-Retinol;
13-cis-Retinal;
13-cis Retinol;
4-oxo-Retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
(2Z,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenal;
All-trans 4-Keto Retinoic Acid;
D-Gulose;
Glycerylphosphorylcholine;
Glucose"
"6","1.5 Amino acid metabolism",0.411764705882353,"Methionine Metabolism","map00270",0.0787305931108955,21,51,0.599908986884808,1,"Sarcosine;
3-Sulfinoalanine;
Dimethylglycine;
Spermidine;
5'-Methylthioadenosine;
3-Mercaptolactic acid;
Methionine sulfoxide;
L-Cysteine;
Allocystathionine;
Glutamate;
L-Cystathionine;
Homocysteine;
Adenosine monophosphate;
Choline;
gamma-Glutamylcysteine;
L-Homoserine;
5-Methylthioribose 1-phosphate;
D-Glutamic acid;
Betaine;
Ammonia;
D-Cysteine;
S-Adenosylhomocysteine;
Cho;
cysteine;
SARC;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
3-Sulfinoalanine;
Spermidine;
AdoHcy;
bisulfite;
Cystathionine;
5'-Methylthioadenosine;
Cysteine;
Dimethylglycine;
Cystathione;
DL-Glutamate;
5-Methylthioribose  1-phosphate;
BET;
D-Methionine (S)-S-oxide;
Decarboxylated SAM;
Vidarabine phosphate;
Cysteine sulfinic acid;
(2R,5S)-2-(6-Aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol;
N-gamma-Glutamylcysteine;
bisulfite;
Decarboxylated SAM"
"7","1.5 Amino acid metabolism",0.4,"Alanine, aspartate and glutamate metabolism","map00250",0.0857012838406868,24,60,0.599908986884808,1,"beta-Alanine;
Inosinic acid;
D-Arginine;
D-Aspartic acid;
N-Acetyl-D-Glucosamine 6-Phosphate;
D-Asparagine;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
Citrulline;
L-Cysteine;
Glucosamine 6-phosphate;
4-Aminobutanoic acid;
L-Alanine;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Carbamoyl phosphate;
D-Glutamine;
5-Phosphoribosylamine;
Adenosine monophosphate;
gamma-Glutamylcysteine;
1-Pyrroline-5-carboxylic acid;
Fructose 6-phosphate;
D-Glutamic acid;
Glutathione;
L-Asparagine;
N-Acetylglucosamine 6-phosphate;
Arginine;
N-Acetylmannosamine-6P;
Ammonia;
N-Acetyl-D-mannosamine 6-phosphate;
D-Cysteine;
N-Acetyl-L-aspartic acid;
cysteine;
D-Ala;
AcGlcN6P;
alpha-D-glucosamine 6-phosphate;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
L-Arginine;
Glutathione;
4-amino-butanoic acid;
b-Ala;
Aspartate;
IMP;
D-Asp;
Cysteine;
CAP;
GSSG;
D-Citrulline;
DL-Glutamate;
N-Acetyl-L-aspartic acid;
DL-Asparagine;
arginine;
L-Arg;
1-Pyrroline-5-carboxylic acid;
4-amino-butanoic acid;
Glutamine;
Citrulline;
Carbamoyl phosphate;
Alanine;
5-phospho-beta-D-ribosylaminium(1-);
Glutathionate(1-);
Vidarabine phosphate;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;
N-gamma-Glutamylcysteine;
5-phospho-alpha-D-ribose 1-diphosphate;
D-fructose 6-phosphate"
"8","1.5 Amino acid metabolism",0.4,"Arginine and proline metabolism","map00330",0.111612647437875,20,50,0.654101777199348,1,"L-Proline;
D-Arginine;
D-Aspartic acid;
1-Pyrroline-2-carboxylic acid;
Pyrroline hydroxycarboxylic acid;
4-Hydroxy-L-glutamic acid;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
D-Proline;
Citrulline;
N(omega)-Hydroxyarginine;
L-Alanine;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Creatine;
Carbamoyl phosphate;
D-Glutamine;
Adenosine monophosphate;
Tetrahydrobiopterin;
1-Pyrroline-5-carboxylic acid;
D-Glutamic acid;
Arginine;
Ammonia;
1-Pyrroline-4-hydroxy-2-carboxylate;
S-Adenosylhomocysteine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
D-Ala;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Erythro-4-hydroxy-L-glutamate(1-);
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
L-Arginine;
AdoHcy;
Creatine;
Aspartate;
D-Asp;
CAP;
D-Citrulline;
DL-Glutamate;
DL-Proline;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
arginine;
L-Arg;
1-Pyrroline-5-carboxylic acid;
BH4;
Glutamine;
Citrulline;
Carbamoyl phosphate;
Alanine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;
Vidarabine phosphate;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one"
"9","1.2 Energy metabolism",0.44,"Nitrogen metabolism","map00910",0.120141142750901,11,25,0.654101777199348,1,"(S)-Lipoic acid;
(R)-Lipoic acid;
D-Aspartic acid;
D-Asparagine;
Urocanic acid;
Dihydrolipoate;
L-Aspartic acid;
L-Glutamine;
Glutamate;
Carbamoyl phosphate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
L-Asparagine;
Histidine;
Ammonia;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
LIPA;
Aspartate;
D-Asp;
CAP;
DL-Glutamate;
DL-Asparagine;
Trans-urocanate;
D-Histidine;
(R)-Lipoic acid;
trans-urocanic acid;
Glutamine;
Carbamoyl phosphate;
Vidarabine phosphate;
LIPA"
"10","1.4 Nucleotide metabolism",0.365384615384615,"Pyrimidine metabolism","map00240",0.239101116258119,19,52,0.999997691975387,1,"dCMP;
Quinone;
beta-Alanine;
3-Aminoisobutanoic acid;
Cytarabine;
4,5-Dihydroorotic acid;
Deoxyribose 1-phosphate;
Dihydrothymine;
Ureidoisobutyric acid;
(R)-beta-Aminoisobutyric acid;
Orotidylic acid;
Telbivudine;
(S)-beta-Aminoisobutyric acid;
Ureidopropionic acid;
Thymidine;
L-Glutamine;
Uridine;
Carbamoyl phosphate;
D-Glutamine;
Cytidine;
Ammonia;
3'-AMP;
Deoxyuridine;
1-[(2R,3S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione;
orotidine 5'-monophosphate;
(R)-beta-Aminoisobutyric acid;
2'-deoxyuridine;
p-benzoquinone;
UIBA;
Ura-Rib;
b-Ala;
(S)-dihydroorotate;
Cyt-Rib;
CAP;
Thy-dRib;
UPROP;
3-Aminoisobutanoic acid;
5,6-dihydrothymine;
Deoxyribose 1-phosphate;
3'-AMP;
4,5-Dihydroorotic acid;
(S)-b-aminoisobutyric acid;
Glutamine;
Carbamoyl phosphate;
2-deoxy-D-ribose-1P;
(R)-b-aminoisobutyric acid;
Dihydro-orotate;
3-amino-3-methyl-propionic acid;
1-((2S,4S,5R)-4-Hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)pyrimidine-2,4(1H,3H)-dione;
Arabinofuranosylcytosine;
L-Thymidine;
[(2R,5R)-5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate;
3-ureido-isobutyrate;
5-phospho-alpha-D-ribose 1-diphosphate"
