"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.1 Carbohydrate metabolism",0.371428571428571,"Amino Sugar Metabolism","map00520",0.00448185726053915,13,35,0.192719862203184,0.192719862203184
"2","1.5 Amino acid metabolism",0.3,"Alanine, aspartate and glutamate metabolism","map00250",0.0117197376822569,18,60,0.24042524851452,0.49222898265479
"3","1.1 Carbohydrate metabolism",0.375,"Fructose and mannose metabolism","map00051",0.0167738545475246,9,24,0.24042524851452,0.68772803644851
"4","1.6 Metabolism of other amino acids",0.388888888888889,"Glutathione metabolism","map00480",0.0280130929638878,7,18,0.301140749361793,1
"5","1.5 Amino acid metabolism",0.28,"Arginine and proline metabolism","map00330",0.046050869396442,14,50,0.349835916563113,1
"6","1.5 Amino acid metabolism",0.260869565217391,"Tyrosine metabolism","map00350",0.048814313939039,18,69,0.349835916563113,1
"7","1.4 Nucleotide metabolism",0.25,"Purine metabolism","map00230",0.0787454596785766,17,68,0.45328932218129,1
"8","1.3 Lipid metabolism",0.333333333333333,"alpha-Linolenic acid metabolism","map00592",0.0843328971500075,6,18,0.45328932218129,1
"9","1.5 Amino acid metabolism",0.25,"Phenylalanine and Tyrosine Metabolism","map00360",0.220367950184922,7,28,0.999510513626027,1
"10","1.5 Amino acid metabolism",0.222222222222222,"Tryptophan metabolism","map00380",0.243405925126618,12,54,0.999510513626027,1
"11","1.5 Amino acid metabolism",0.215686274509804,"Methionine Metabolism","map00270",0.292860374289213,11,51,0.999510513626027,1
"12","1.4 Nucleotide metabolism",0.211538461538462,"Pyrimidine metabolism","map00240",0.317284350164351,11,52,0.999510513626027,1
"13","1.1 Carbohydrate metabolism",0.222222222222222,"Glycolysis / Gluconeogenesis","map00010",0.349668468740063,6,27,0.999510513626027,1
"14","1.6 Metabolism of other amino acids",0.25,"Taurine and Hypotaurine Metabolism","map00430",0.366410054143978,3,12,0.999510513626027,1
"15","1.6 Metabolism of other amino acids",0.217391304347826,"Selenocompound metabolism","map00450",0.395339772541886,5,23,0.999510513626027,1
"16","1.8 Metabolism of cofactors and vitamins",0.206896551724138,"Nicotinate and nicotinamide metabolism","map00760",0.420239581353376,6,29,0.999510513626027,1
"17","1.2 Energy metabolism",0.2,"Nitrogen metabolism","map00910",0.472805014741036,5,25,0.999510513626027,1
"18","1.1 Carbohydrate metabolism",0.2,"Galactose Metabolism","map00052",0.472805014741036,5,25,0.999510513626027,1
"19","Deleted pathways from Kegg",0.2,"D-Arginine and D-Ornithine Metabolism","map00472",0.558788514941034,2,10,0.999510513626027,1
"20","1.8 Metabolism of cofactors and vitamins",0.1875,"Pantothenate and CoA Biosynthesis","map00770",0.56751275129307,3,16,0.999510513626027,1
"21","1.8 Metabolism of cofactors and vitamins",0.176470588235294,"Vitamin B6 Metabolism","map00750",0.611526184803215,3,17,0.999510513626027,1
"22","1.6 Metabolism of other amino acids",0.172413793103448,"beta-Alanine metabolism","map00410",0.615947764668793,5,29,0.999510513626027,1
"23","1.2 Energy metabolism",0.157894736842105,"Sulfur metabolism","map00920",0.690289931550474,3,19,0.999510513626027,1
"24","1.10 Biosynthesis of other secondary metabolites",0.157894736842105,"Caffeine Metabolism","map00232",0.690289931550474,3,19,0.999510513626027,1
"25","1.5 Amino acid metabolism",0.160714285714286,"Glycine, serine and threonine metabolism","map00260",0.701190919790753,9,56,0.999510513626027,1
"26","1.1 Carbohydrate metabolism",0.142857142857143,"Butyrate Metabolism","map00650",0.746514524281756,2,14,0.999510513626027,1
"27","1.5 Amino acid metabolism",0.142857142857143,"Histidine metabolism","map00340",0.78227417857024,5,35,0.999510513626027,1
"28","1.8 Metabolism of cofactors and vitamins",0.130434782608696,"One carbon pool by folate","map00670",0.811025419483975,3,23,0.999510513626027,1
"29","1.3 Lipid metabolism",0.125,"Biosynthesis of unsaturated fatty acids","map01040",0.811804366744729,2,16,0.999510513626027,1
"30","1.8 Metabolism of cofactors and vitamins",0.117647058823529,"Riboflavin Metabolism","map00740",0.838508124336931,2,17,0.999510513626027,1
"31","1.1 Carbohydrate metabolism",0.131578947368421,"Pyruvate metabolism","map00620",0.841794832612875,5,38,0.999510513626027,1
"32","1.1 Carbohydrate metabolism",0.132075471698113,"Starch and sucrose metabolism","map00500",0.868998051606207,7,53,0.999510513626027,1
"33","1.1 Carbohydrate metabolism",0.0967741935483871,"Phosphatidylinositol Phosphate Metabolism","map00562",0.937885826239275,3,31,0.999510513626027,1
"34","1.8 Metabolism of cofactors and vitamins",0.08,"Pterine Biosynthesis","map00790",0.955963661426139,2,25,0.999510513626027,1
"35","1.5 Amino acid metabolism",0.08,"Lysine degradation","map00310",0.955963661426139,2,25,0.999510513626027,1
"36","1.1 Carbohydrate metabolism",0.0882352941176471,"Propanoate metabolism","map00640",0.960407587728999,3,34,0.999510513626027,1
"37","1.1 Carbohydrate metabolism",0.0769230769230769,"Citric Acid Cycle","map00020",0.962847967434378,2,26,0.999510513626027,1
"38","1.5 Amino acid metabolism",0.0980392156862745,"Valine, leucine and isoleucine degradation","map00280",0.968062228190858,5,51,0.999510513626027,1
"39","1.8 Metabolism of cofactors and vitamins",0.0833333333333333,"Porphyrin Metabolism","map00860",0.970916973297063,3,36,0.999510513626027,1
"40","1.3 Lipid metabolism",0.0689655172413793,"Fatty Acid Elongation In Mitochondria","map00062",0.977869194585578,2,29,0.999510513626027,1
"41","1.3 Lipid metabolism",0.0555555555555556,"Fatty acid Metabolism","map00071",0.99365331611838,2,36,0.999510513626027,1
"42","1.3 Lipid metabolism",0.0625,"Arachidonic Acid Metabolism","map00590",0.998748176119665,4,64,0.999510513626027,1
"43","1.3 Lipid metabolism",0.05,"Primary bile acid biosynthesis","map00120",0.999510513626027,3,60,0.999510513626027,1
