"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.1 Carbohydrate metabolism",0.371428571428571,"Amino Sugar Metabolism","map00520",0.00448185726053915,13,35,0.192719862203184,0.192719862203184,"L-Galactose;
N-Acetyl-b-D-galactosamine;
beta-N-Acetylglucosamine;
D-Mannose 1-phosphate;
N-Acetylgalactosamine;
N-Acetyl-D-Glucosamine 6-Phosphate;
N-Acetylneuraminic acid;
N-Acetyl-a-neuraminic acid;
Galactose 1-phosphate;
D-Mannose;
D-Galactose;
N-Acetylneuraminic acid 9-phosphate;
D-Glucose;
alpha-D-Glucose;
D-Fructose;
Glucose 6-phosphate;
L-Glutamine;
Glutamate;
D-Glucose-6-Phosphate;
D-Glutamine;
L-Gulose;
Allose;
Fructose 6-phosphate;
N-Acetyl-glucosamine 1-phosphate;
D-Glutamic acid;
beta-D-Galactose;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
N-Acetyl-D-glucosamine;
Ammonia;
N-Acetylmannosamine;
N-Acetyl-D-mannosamine 6-phosphate;
Dolichyl phosphate D-mannose;
AcGlcN6P;
beta-D-glucose;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
DL-Glutamate;
N-Acetylneuraminic acid 9-phosphate;
beta-N-Acetylglucosamine;
alpha-D-galactose;
bGalNAc;
D-Fructose;
D-Mannose;
G1P;
N-acetyl-alpha-D-galactosamine;
D-Glucose;
D-glucopyranose 6-phosphate;
N-acetyl-alpha-D-galactosamine 1-phosphate;
N-Acetyl-D-galactosamine 1-phosphate;
AcGlcN1P;
2-(Acetylamino)-2-deoxy-alpha-D-mannopyranose;
Glutamine;
beta-N-Acetylglucosamine;
bGalNAc;
N-Acetyl-D-mannosamine;
G6P;
Glucose 1-phosphate;
N-Acetylneuraminate 9-phosphate;
N-Acetylneuraminate 9-phosphate;
D-Mannose 1-phosphate;
(2R,3R,4S,5R)-2,3,4,5-Tetrahydroxy-6-oxohexyl dihydrogen phosphate;
3h-Sialic acid;
beta-D-Glucose 1-phosphate;
D-Fructofuranose;
D-Gulose;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
D-fructose 6-phosphate;
Glucose"
"2","1.5 Amino acid metabolism",0.3,"Alanine, aspartate and glutamate metabolism","map00250",0.0117197376822569,18,60,0.24042524851452,0.49222898265479,"Succinic acid;
Inosinic acid;
Ureidosuccinic acid;
D-Aspartic acid;
N-Acetyl-D-Glucosamine 6-Phosphate;
Argininosuccinic acid;
L-Cysteine;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
5-Phosphoribosylamine;
Adenosine monophosphate;
Fructose 6-phosphate;
D-Glutamic acid;
Glutathione;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
Phosphoribosyl pyrophosphate;
Ammonia;
GMP;
N-Acetyl-D-mannosamine 6-phosphate;
D-Cysteine;
N-Acetyl-L-aspartic acid;
cysteine;
Argininosuccinic acid;
Butanedioic acid;
AcGlcN6P;
N-Carbamoyl-L-aspartate;
Fructose 6-phosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Glutathione;
Aspartate;
Phosphoribosyl pyrophosphate;
IMP;
guanosine 5'-monophosphate;
D-Asp;
Cysteine;
GSSG;
DL-Glutamate;
N-Acetyl-L-aspartic acid;
Butanedioic acid;
Glutamine;
Guanosine monophosphate;
5-phospho-beta-D-ribosylaminium(1-);
5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);
Glutathionate(1-);
Vidarabine phosphate;
ARGININOSUCCINATE;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;
[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;
[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;
5-phospho-alpha-D-ribose 1-diphosphate;
D-fructose 6-phosphate"
"3","1.1 Carbohydrate metabolism",0.375,"Fructose and mannose metabolism","map00051",0.0167738545475246,9,24,0.24042524851452,0.68772803644851,"L-Galactose;
beta-D-Glucose 6-phosphate;
D-Mannose 1-phosphate;
Fructose 1-phosphate;
Galactose 1-phosphate;
D-Mannose;
D-Galactose;
Mannose 6-phosphate;
D-Glucose;
alpha-D-Glucose;
D-Fructose;
D-Glucose-6-Phosphate;
L-Gulose;
Allose;
Fructose 6-phosphate;
beta-D-Galactose;
Dolichyl phosphate D-mannose;
Beta-D-Fructose 2-phosphate;
beta-D-glucose;
Fructose 6-phosphate;
beta-D-Glucose 6-phosphate;
alpha-D-Glucose;
alpha-D-galactose 1-phosphate;
alpha-D-mannose 1-phosphate;
alpha-D-galactose;
D-Fructose;
D-Mannose;
G1P;
D-Glucose;
Glucose 1-phosphate;
D-Mannose 1-phosphate;
[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;
beta-D-Glucose 1-phosphate;
D-Fructofuranose;
D-Gulose;
D-fructose 6-phosphate;
D-mannose 6-phosphate;
alpha-D-glucose 6-phosphate;
beta-D-fructose 2,6-bisphosphate;
beta-L-fucose 1-phosphate;
Glucose"
"4","1.6 Metabolism of other amino acids",0.388888888888889,"Glutathione metabolism","map00480",0.0280130929638878,7,18,0.301140749361793,1,"Cysteinylglycine;
L-Cysteine;
Glutamate;
gamma-Glutamylalanine;
D-Glutamic acid;
Glutathione;
D-Cysteine;
Pyroglutamic acid;
cysteine;
D-Glutamic acid;
L-Glutamate;
Glutathione;
Cysteine;
GSSG;
OPRO;
DL-Glutamate;
(5-L-Glutamyl)-L-amino acid;
N-gamma-L-Glutamyl-D-alanine;
Cysteinyl-glycine;
5-oxoproline;
Glutathionate(1-);
2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid"
"5","1.5 Amino acid metabolism",0.28,"Arginine and proline metabolism","map00330",0.046050869396442,14,50,0.349835916563113,1,"Succinic acid;
D-Aspartic acid;
Pyrroline hydroxycarboxylic acid;
Argininosuccinic acid;
4-Hydroxy-L-glutamic acid;
L-Glutamic gamma-semialdehyde;
N(omega)-Hydroxyarginine;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
creatine-P;
D-Glutamic acid;
Ammonia;
1-Pyrroline-4-hydroxy-2-carboxylate;
Argininosuccinic acid;
Butanedioic acid;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Erythro-4-hydroxy-L-glutamate(1-);
Aspartate;
L-Glu5S;
Pcr;
D-Asp;
DL-Glutamate;
1-pyrroline-3-hydroxy-5-carboxylate;
L-4-Hydroxyglutamate semialdehyde;
Butanedioic acid;
Glutamine;
Phosphocreatine;
(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid;
Vidarabine phosphate;
ARGININOSUCCINATE"
"6","1.5 Amino acid metabolism",0.260869565217391,"Tyrosine metabolism","map00350",0.048814313939039,18,69,0.349835916563113,1,"4-Hydroxyphenylpyruvic acid;
3-Methoxy-4-hydroxyphenylglycolaldehyde;
D-Aspartic acid;
Leucodopachrome;
4-Fumarylacetoacetic acid;
Homovanillic acid;
5,6-Dihydroxyindole;
Dopaquinone;
Ascorbic acid;
L-Aspartic acid;
Glutamate;
L-Dopa;
Homocysteine;
DL-Dopa;
Topaquinone;
D-Glutamic acid;
Iodotyrosine;
Ammonia;
Guaiacol;
D-Glutamic acid;
4-Hydroxyphenylpyruvic acid;
L-Glutamate;
Dopaquinone;
Aspartate;
D-Asp;
DL-Glutamate;
5,6-Dihydroxyindole;
vanillyl mandelate;
2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid;
3-iodo-L-tyrosine;
Ascorbic acid;
4,6-dioxo-2E-octenedioic acid;
4,6-dioxo-2E-octenedioic acid;
Maleylacetoacetic acid;
L-Dopaquinone;
4-fumarylacetoacetate(2-);
3,4-Dihydroxy-5-[(S)-1,2-dihydroxyethyl]furan-2(5H)-one"
"7","1.4 Nucleotide metabolism",0.25,"Purine metabolism","map00230",0.0787454596785766,17,68,0.45328932218129,1,"Inosinic acid;
Xanthosine;
Guanosine 2',3'-cyclic phosphate;
D-Aspartic acid;
5-Aminoimidazole ribonucleotide;
L-Aspartic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Cyclic AMP;
5-Phosphoribosylamine;
Adenosine monophosphate;
Deoxyadenosine monophosphate;
D-Glutamic acid;
Xanthine;
Adenine;
Phosphoribosyl pyrophosphate;
Ammonia;
GMP;
2'-Deoxyguanosine 5'-monophosphate;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Ade;
Aspartate;
Phosphoribosyl pyrophosphate;
IMP;
guanosine 5'-monophosphate;
D-Asp;
cAMP;
9H-xanthine;
2'-deoxyadenosine 5'-monophosphate;
DL-Glutamate;
Cyclic AMP;
Glutamine;
Guanosine monophosphate;
5-amino-1-(5-phosphonato-D-ribosyl)imidazol-3-ium;
5-phospho-beta-D-ribosylaminium(1-);
5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);
Vidarabine phosphate;
[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;
[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;
5-phospho-alpha-D-ribose 1-diphosphate"
"8","1.3 Lipid metabolism",0.333333333333333,"alpha-Linolenic acid metabolism","map00592",0.0843328971500075,6,18,0.45328932218129,1,"Cis-8,11,14,17-Eicosatetraenoic acid;
Adrenic acid;
Arachidonic acid;
Docosahexaenoic acid;
5Z,8Z,11Z,14Z-eicosatetraenoic acid;
4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoic acid;
5,8,11,14-eicosatetraenoic acid;
7Z,10Z,13Z,16Z-docosatetraenoic acid;
8,11,14,17-eicosatetraenoic acid;
20:4(8Z,11Z,14Z,17Z);
7Z,10Z,13Z,16Z-docosatetraenoic acid;
5,8,11,14-Icosatetraenoic Acid;
(4E,7E,10Z,13E,16E,19E)-Docosa-4,7,10,13,16,19-hexaenoic acid;
all-cis-7,10,13,16,19-docosapentaenoate;
di-homo-gamma-linolenate"
"9","1.5 Amino acid metabolism",0.25,"Phenylalanine and Tyrosine Metabolism","map00360",0.220367950184922,7,28,0.999510513626027,1,"4-Hydroxyphenylpyruvic acid;
4-Fumarylacetoacetic acid;
L-Glutamine;
Glutamate;
D-Glutamine;
Adenosine monophosphate;
D-Glutamic acid;
Ammonia;
D-Glutamic acid;
4-Hydroxyphenylpyruvic acid;
L-Glutamate;
Adenosine monophosphate;
2-oxo-3-phenylpropanoate;
DL-Glutamate;
4,6-dioxo-2E-octenedioic acid;
Glutamine;
4,6-dioxo-2E-octenedioic acid;
Maleylacetoacetic acid;
4-fumarylacetoacetate(2-);
Vidarabine phosphate;
2-oxo-3-phenylpropanoate"
"10","1.5 Amino acid metabolism",0.222222222222222,"Tryptophan metabolism","map00380",0.243405925126618,12,54,0.999510513626027,1,"Formylkynurenine;
N-Methylserotonin;
5-Hydroxyindoleacetaldehyde;
2-Aminomuconic acid semialdehyde;
Indoleacetaldehyde;
L-Kynurenine;
Formylanthranilic acid;
Glutamate;
D-Glutamic acid;
3'-AMP;
4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid;
Indoleacetic acid;
Formyl-5-hydroxykynurenamine;
2-Aminomuconic acid semialdehyde;
D-Glutamic acid;
L-Glutamate;
L-KYN;
DL-Glutamate;
N'-Formylkynurenine;
4-(2-Amino-3-hydroxyphenyl)- 2,4-dioxobutanoate;
D-Kynurenine;
Formyl-5-hydroxy kynurenamine;
3'-AMP;
N'-Formylkynurenine;
(5-hydroxyindol-3-yl)acetaldehyde;
Kynurenine;
2-amino-6-oxo-2,4-hexadienoic acid;
L-Formylkynurenine;
[(2R,5R)-5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate"
