"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.3 Lipid metabolism",0.59375,"Arachidonic Acid Metabolism","map00590",4.15671041642476e-05,38,64,0.00203678810404813,0.00203678810404813,"12-KETE;
11,12-Epoxyeicosatrienoic acid;
5-KETE;
12(R)-HPETE;
Prostaglandin A2;
Prostaglandin B2;
12-Keto-leukotriene B4;
8-Isoprostane;
8-isoprostaglandin PGF2b;
11H-14,15-EETA;
8-Isoprostaglandin F2a;
Prostaglandin F2b;
Arachidonic acid;
Thromboxane B2;
15-HETE;
Prostaglandin F2a;
Glutamate;
6-Keto-prostaglandin F1a;
Prostaglandin J2;
15-HPETE;
D-Glutamic acid;
Glutathione;
5-HETE;
15(S)-HPETE;
Leukotriene B4;
20-Hydroxy-leukotriene B4;
5(S)-Hydroperoxyeicosatetraenoic acid;
12(S)-HPETE;
Leukotriene A4;
19(S)-HETE;
20-Hydroxyeicosatetraenoic acid;
20-Carboxy-leukotriene B4;
5,6-Epoxy-8,11,14-eicosatrienoic acid;
8,9-Epoxyeicosatrienoic acid;
14R,15S-EpETrE;
15H-11,12-EETA;
Delta-12-Prostaglandin J2;
15-Deoxy-d-12,14-PGJ2;
8-HETE;
14,15-epoxy-5Z,8Z,11Z-eicosatrienoic acid-(d8);
11,12-epoxy-5Z,8Z,14Z-eicosatrienoic acid;
9S,11R,15S-trihydroxy-5Z,13E-prostadienoic acid;
15(S)-HETE;
12(S)-HPETE;
15(S)-HPETE;
5(S)-HPETE;
5S,12R-dihydroxy-6Z,8E,10E,14Z-eicosatetraenoic acid;
5S,6S-epoxy-7E,9E,11Z,14Z-eicosatetraenoic acid;
5Z,8Z,11Z,14Z-eicosatetraenoic acid;
D-Glutamic acid;
L-Glutamate;
Glutathione;
(14R,15S)-14,15-Epoxy-5,8,11-icosatrienoic acid;
DL-Glutamate;
11-oxo-15S-hydroxy-5Z,9,13E-prostatrienoic acid;
9-oxo-15S-hydroxy-5Z,11Z,13E-prostatrienoic acid;
20-Carboxy-leukotriene B4;
11-epi-prostaglandin F2alpha;
12-dehydro-leukotriene B4;
9-oxo-15S-hydroxy-5Z,10Z,13E-prostatrienoic acid;
15S-hydroxy-9-oxo-5Z,8(12),13E-prostatrienoic acid;
11-oxo-15S-hydroxy-5Z,9Z,13E-prostatrienoic acid;
6-keto-PGF1alpha;
5(S)-HETE;
9S,11,15S-trihydroxy-thromboxa-5Z,13E-dien-1-oic acid;
9R,11R,15S-trihydroxy-5Z,13E-prostadienoic acid;
11,12,15-THETA;
11,14,15-THETA;
12(R)-HPETE;
12-KETE;
14,15-EET;
11-oxo-5Z,9,12E,14E-prostatetraenoic acid;
11,12-epoxy-15S-hydroxy-5Z,8Z,13E-eicosatrienoic acid;
16(R)-HETE;
19(S)-HETE;
20-HETE;
5,6-EET;
8-HETE;
8(S)-HPETE;
8,9-EET;
8-Isoprostaglandin F2a;
5,8,11,14-eicosatetraenoic acid;
Prostane;
5-KETE;
5S,12R-dihydroxy-6Z,8E,10E,14Z-eicosatetraenoic acid;
20-Hydroxy-leukotriene B4;
15(R)-HETE;
20-Hydroxy-leukotriene B4;
5(S)-Hydroperoxyeicosatetraenoic acid;
(5Z,8Z,11Z,13E)-15-hydroperoxyeicosa-5,8,11,13-tetraenoic acid;
(5Z)-11-Oxoprosta-5,9,12,14-tetraene-1-oic acid;
5S,12R-dihydroxy-6Z,8E,10E,14Z-eicosatetraenoic acid;
9S,11R,15S-trihydroxy-5Z,13E-prostadienoic acid;
5S,6S-epoxy-7E,9E,11Z,14Z-eicosatetraenoic acid;
8-isoprostaglandin PGF2b;
5(6)-EpETrE;
8(9)-EpETrE;
9-oxo-15S-hydroxy-5Z,10Z,13E-prostatrienoic acid;
6-keto-PGF1alpha;
9S,11,15S-trihydroxy-thromboxa-5Z,13E-dien-1-oic acid;
15-HETE;
12-Keto-leukotriene B4;
PGB2;
11-oxo-15S-hydroxy-5Z,9Z,13E-prostatrienoic acid;
14(15)-EpETrE;
11-hydroxy-14,15-epoxy-5Z,8Z,12E-eicosatrienoic acid;
11-oxo-5Z,9,12E,14E-prostatetraenoic acid;
6-trans-Leukotriene B4;
5S,12S-dihydroxy-6E,8E,10E,14Z-eicosatetraenoic acid;
12(S)-Leukotriene B4;
20-Carboxy-leukotriene B4;
11b-PGF2a;
5-KETE;
5-HETE;
5-HPETE;
11-Epi-PGF2a;
9-oxo-15S-hydroxy-5Z,11Z,13E-prostatrienoic acid;
11,12,15-trihydroxyeicosatrienoic acid;
15R-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoic acid;
5,12-dihydroxy-6,8,10,14-eicosatetraenoic acid;
8-hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid;
Glutathionate(1-);
(15S)-Prostaglandin A2;
(5E,8E,11E,14E)-19-Hydroxyicosa-5,8,11,14-tetraenoic acid;
11R,12S-EpETrE;
12-Hydroperoxy-5,8,10,14-eicosatetraenoic acid;
15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid;
15-Hydroxy-5,8,11,13-eicosatetraenoic acid;
20-Carboxyleukotriene B4;
5-Oxo-6,8,11,14-eicosatetraenoic acid;
5,8,11,14-Icosatetraenoic Acid;
20-Hydroxyarachlidonic acid;
4-[3-(Tetradeca-2,5,8-trien-1-yl)oxiran-2-yl]butanoic acid;
(E,Z)-(1R,2R,3R,5S)-7-(3,5-Dihydroxy-2-((3S)-(3-hydroxy-1-octenyl))cyclopentyl)-5-heptenoic acid;
(E)-7-[(5R)-5-[(E)-3-Hydroxyoct-1-enyl]-4-oxocyclopent-2-en-1-yl]hept-5-enoic acid;
5-Hydroperoxyicosa-6,8,11,14-tetraenoic acid;
8-Hydroxy-5E,9Z,11Z,14Z-eicosatetraenoic acid;
(Z)-7-((2S,3R)-3-((2Z,5Z)-Undeca-2,5-dienyl)oxiran-2-yl)hept-5-enoic acid;
(E)-7-[(1S,5E)-5-(3-Hydroxyoctylidene)-4-oxocyclopent-2-en-1-yl]hept-5-enoic acid;
Prostaglandin A-2;
Prostaglandin B-2;
Prostaglandin F-2-alpha"
"2","1.3 Lipid metabolism",0.648648648648649,"Steroidogenesis","map00140",0.000185405897534536,24,37,0.00454244448959613,0.00889948308165773,"21-Hydroxy-5b-pregnane-3,11,20-trione;
4-Methylpentanal;
21-Hydroxypregnenolone;
17alpha,21-Dihydroxypregnenolone;
11b,17a 21-Trihydroxy-5b Pregnane 3,20-dione;
Cortexolone;
5alpha-Tetrahydrocortisol;
17a-Hydroxypregnenolone;
Corticosterone;
Cortisol;
Aldosterone;
Tetrahydrocortisol;
Tetrahydrocortisone;
Cortisone;
18-Hydroxycorticosterone;
11b,21-Dihydroxy-5b-pregnane-3,20-dione;
3a,21-Dihydroxy-5b-pregnane-11,20-dione;
Progesterone;
Cholesterol;
5a-Tetrahydrocorticosterone;
21-Deoxycortisol;
3b-Allotetrahydrocortisol;
Tetrahydrocorticosterone;
17a,21-Dihydroxy-5b-pregnane-3,11,20-trione;
11-Dehydrocorticosterone;
Reichsteins Substance S;
cholest-5-en-3beta-ol;
11beta,18,21-trihydroxy-pregn-4-ene-3,20-dione;
11beta,21-dihydroxypregn-4-ene-3,20-dione;
17alpha,21-dihydroxypregn-4-ene-3,11,20-trione;
pregn-4-ene-3,20-dione;
21-Hydroxy-5b-pregnane-3,11,20-trione;
11beta,17,21-trihydroxypregn-4-ene-3,20-dione;
4-Methylpentanal;
17,21-dihydroxy-5beta-pregnane-3,11,20-trione;
11beta,21-dihydroxy-3,20-dioxo-pregn-4-ene-18-al;
17alpha,21-Dihydroxypregnenolone;
21-Hydroxypregnenolone;
11-deoxycortisol;
17a-Hydroxypregnenolone;
5beta-dihydrocortisol;
4-Methylpentanal;
3alpha,11beta,21-Trihydroxy-5alpha-pregnan-20-one;
5a-Tetrahydrocortisol;
11-Epicortisol;
17,21-dihydroxypregn-4-ene-3,20-dione;
11beta,17,21-trihydroxypregn-4-ene-3,20-dione;
11beta,18,21-trihydroxy-pregn-4-ene-3,20-dione;
17a-Hydroxypregnenolone;
3alpha,11beta,21-Trihydroxy-5alpha-pregnan-20-one;
11beta,21-dihydroxypregn-4-ene-3,20-dione;
17alpha,21-dihydroxypregn-4-ene-3,11,20-trione;
11b,17a,21-Trihydroxy-5b-pregnane-3,20-dione;
Hexanal;
3a,11b,21-Trihydroxy-20-oxo-5b-pregnan-18-al;
11b,21-Dihydroxy-3,20-oxo-5b-pregnan-18-al;
17,21-dihydroxy-5beta-pregnane-3,11,20-trione;
3a-Hydroxy-5b-pregnane-20-one;
11b,17a,21-Trihydroxypreg-nenolone;
3alpha-hydroxy-5beta-pregnan-20-one;
3,17-Dihydroxypregn-5-en-20-one;
4,5-Dihydrocortisol;
Allotetrahydrocortisone;
Alfadolone;
dihydrocorticosterone;
Epicholesterol"
"3","1.3 Lipid metabolism",0.611111111111111,"alpha-Linolenic acid metabolism","map00592",0.0220989072419373,11,18,0.360948818284976,1,"Eicosapentaenoic acid;
Dihomo-gamma-linolenic acid;
Stearidonic acid;
Cis-8,11,14,17-Eicosatetraenoic acid;
Linolenelaidic acid;
alpha-Linolenic acid;
Linoelaidic acid;
gamma-Linolenic acid;
Arachidonic acid;
Linoleic acid;
Tetracosahexaenoic acid;
5Z,8Z,11Z,14Z-eicosatetraenoic acid;
9Z,12Z-octadecadienoic acid;
9Z,12Z,15Z-octadecatrienoic acid;
5Z,8Z,11Z,14Z,17Z-eicosapentaenoic acid;
6Z,9Z,12Z-octadecatrienoic acid;
6,9,12,15-octadecatetraenoic acid;
5,8,11,14-eicosatetraenoic acid;
8,11,14-Eicosatrienoic acid;
8,11,14,17-eicosatetraenoic acid;
9E,12E-octadecadienoic acid;
9Z,12Z,15Z,18Z,21Z-tetracosapentaenoic acid;
2E,4E,6E,8E,10E,12E-tetracosahexaenoic acid;
6Z,9Z,12Z,15Z,18Z-tetracosapentaenoic acid;
Octadeca-6,9,12-trienoic acid;
Eicosa-5,8,11,14,17-pentaenoic acid;
9Z,12Z-octadecadienoic acid;
9Z,12Z,15Z-octadecatrienoic acid;
5Z,8Z,11Z,14Z,17Z-eicosapentaenoic acid;
20:4(8Z,11Z,14Z,17Z);
8Z,11Z,14Z-eicosatrienoic acid;
24:5(9Z,12Z,15Z,18Z,21Z);
24:6(6Z,9Z,12Z,15Z,18Z,21Z);
5,8,11,14-Icosatetraenoic Acid;
Octadeca-6,9,12,15-tetraenoic acid;
Dihomo--linolenic acid;
9,12,15,18,21-Tetracosapentaenoic acid;
9Z,12E-Octadecadienoic acid;
Tetracosahexaenic acid"
"4","1.5 Amino acid metabolism",0.425925925925926,"Tryptophan metabolism","map00380",0.160481242706223,23,54,0.999999367395088,1,"N-Methylserotonin;
2-Aminobenzoic acid;
N-Acetylserotonin;
4a-Hydroxytetrahydrobiopterin;
D-Tryptophan;
5-Hydroxyindoleacetaldehyde;
6-Hydroxymelatonin;
Indoleacetaldehyde;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
Formylanthranilic acid;
D-Alanine;
5-Methoxyindoleacetate;
Kynurenic acid;
Serotonin;
(±)-Tryptophan;
Pyridoxal 5'-phosphate;
L-Alanine;
Glutamate;
N-Methyltryptamine;
Tetrahydrobiopterin;
D-Glutamic acid;
L-Tryptophan;
Melatonin;
3'-AMP;
4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid;
Indoleacetic acid;
4-(2-Aminophenyl)-2,4-dioxobutanoic acid;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
D-Ala;
4a-Hydroxytetrahydrobiopterin;
D-Glutamic acid;
L-Glutamate;
D-Trp;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
Melatonin;
4-(2-Aminophenyl)-2,4-dioxobutanoic acid;
DL-Glutamate;
PLP;
5-Hydroxy-N-formylkynurenine;
4-(2-Amino-3-hydroxyphenyl)- 2,4-dioxobutanoate;
(±)-Tryptophan;
5HT;
3'-AMP;
2-Aminobenzoic acid;
(5-hydroxyindol-3-yl)acetaldehyde;
BH4;
L-Tryptophan;
Alanine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
[(2R,5R)-5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate;
4alpha-hydroxy-tetrahydrobiopterin"
"5","Deleted pathways from Kegg",0.444444444444444,"Androgen and Estrogen Metabolism","map00150",0.212298205183696,12,27,0.999999367395088,1,"19-Hydroxytestosterone;
Dehydroandrosterone;
Dehydroepiandrosterone sulfate;
17a-Hydroxypregnenolone;
19-Oxotestosterone;
Testosterone;
Estradiol;
19-Hydroxyandrost-4-ene-3,17-dione;
Dihydrotestosterone;
Estrone;
Dehydroepiandrosterone;
5beta-Dihydroepitestosterone;
17alpha-Estradiol;
5b-Dihydrotestosterone;
Androstenedione;
19-Oxoandrost-4-ene-3,17-dione;
17beta-hydroxy-5alpha-androstan-3-one;
androst-4-ene-3,17-dione;
17beta-estradiol;
3alpha-hydroxy-5alpha-androstan-17-one 3-sulfate;
17alpha-Estradiol;
3-hydroxy-estra-1,3,5(10)-trien-17-one;
17beta-hydroxyandrost-4-en-3-one;
3beta-hydroxyandrost-5-en-17-one;
17a-Hydroxypregnenolone;
5b-Dihydrotestosterone;
17beta,19-dihydroxyandrost-4-en-3-one;
3alpha-hydroxy-5alpha-androstan-17-one 3-sulfate;
Testosterone-d3;
1,3,5(10)-Estratriene-3,17 beta-diol;
3beta-hydroxyandrost-5-en-17-one;
3-hydroxy-estra-1,3,5(10)-trien-17-one;
estra-1,3,5(10)-triene-3,17beta-diol;
17a-Hydroxypregnenolone;
Epitestosterone;
3alpha-hydroxy-5alpha-androstan-17-one 3-sulfate;
17beta-hydroxy-androstan-3-one;
17beta-hydroxy-5beta-androstan-3-one;
(17beta)-17-Hydroxyandrostan-3-one;
3,17-Dihydroxypregn-5-en-20-one;
[(2R,5S,15S)-2,15-Dimethyl-14-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-yl]oxidanesulfonic acid;
(8R,9R,10R,13S,14S)-10,13-Dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione;
19-oxoandrostenedione"
"6","1.8 Metabolism of cofactors and vitamins",0.423076923076923,"Retinol Metabolism","map00830",0.291069670216878,11,26,0.999999367395088,1,"All-trans-13,14-dihydroretinol;
Retinal;
all-trans-5,6-Epoxyretinoic acid;
Vitamin A;
11-cis-Retinol;
9-cis-Retinol;
Glycerophosphocholine;
all-trans-Retinoic acid;
4-oxo-Retinoic acid;
13-cis-Retinoic acid;
9-cis-Retinal;
9-cis-Retinoic acid;
11-cis-Retinaldehyde;
4-Oxoretinol;
all-trans-18-Hydroxyretinoic acid;
4-Hydroxyretinoic acid;
5,6-Epoxy-13-cis-retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
11-cis-retinal;
11-cis-Retinol;
choline alfoscerate;
all-trans-retinol;
all-trans-retinal;
3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid;
4-oxo-15-apo-beta-caroten-15-ol;
Retinol;
9-cis retinol;
9-cis-Retinoic acid;
13,14-dihydroretinol;
Retinyl ester;
13-cis-Retinoic acid;
4-Hydroxyretinoic acid;
9-cis-Retinol;
9-cis-Retinal;
4-oxo RA;
(2E,4E,6E,8E)-9-[2-(hydroxymethyl)-6,6-dimethylcyclohex-1-en-1-yl]-3,7-dimethylnona-2,4,6,8-tetraenoic acid;
(2E,4E,6E,8E)-3,7-dimethyl-9-{2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl}nona-2,4,6,8-tetraenoic acid;
Glycerophosphocholine;
all-trans Retinol Vitamin A;
Retinal;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
11-cis-Retinal;
11-cis-Retinol;
13-cis-Retinal;
13-cis Retinol;
4-oxo-Retinoic acid;
3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2E,4E,6E,8E-tetraenoic acid;
(2Z,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenal;
All-trans 4-Keto Retinoic Acid;
Glycerylphosphorylcholine"
"7","1.5 Amino acid metabolism",0.391304347826087,"Tyrosine metabolism","map00350",0.291692455830935,27,69,0.999999367395088,1,"3,4-Dihydroxybenzeneacetic acid;
3,4-Dihydroxymandelaldehyde;
4a-Hydroxytetrahydrobiopterin;
Leucodopachrome;
D-Dopachrome;
4-Fumarylacetoacetic acid;
3,4-Dihydroxyphenylglycol;
5,6-Dihydroxyindole;
Oxidized-adrenal-ferredoxin;
Dopaquinone;
Homogentisic acid;
5,6-Dihydroxyindole-2-carboxylic acid;
Metanephrine;
Epinephrine;
Vanylglycol;
Pyridoxal 5'-phosphate;
3-Methoxytyramine;
Glutamate;
Homovanillin;
L-Dopa;
Homocysteine;
Dopamine;
Tetrahydrobiopterin;
DL-Dopa;
Dihydrobiopterin;
D-Glutamic acid;
Iodotyrosine;
L-Dopachrome;
Normetanephrine;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4a-Hydroxytetrahydrobiopterin;
4a-Hydroxytetrahydrobiopterin;
D-Glutamic acid;
L-Glutamate;
Dopaquinone;
DL-Glutamate;
DA;
PLP;
5,6-Dihydroxyindole-2-carboxylic acid;
5,6-Dihydroxyindole;
Indole-5,6-quinone;
vanillyl mandelate;
3-iodo-L-tyrosine;
3,4-Dihydroxymandelaldehyde;
ADR;
4,6-dioxo-2E-octenedioic acid;
Epinephrine;
3,4-Dihydroxybenzeneacetic acid;
BH4;
7.8-dihydropterin;
7,8-BH2;
4,6-dioxo-2E-octenedioic acid;
3,4-Dihydroxybenzeneacetic acid;
MHPG;
Maleylacetoacetic acid;
L-Dopaquinone;
L-Metanephrine;
4-fumarylacetoacetate(2-);
7,8-BH2;
(6S)-2-Amino-6-[(1S,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one;
4alpha-hydroxy-tetrahydrobiopterin"
"8","1.5 Amino acid metabolism",0.392156862745098,"Methionine Metabolism","map00270",0.328592647763432,20,51,0.999999367395088,1,"Sarcosine;
Dimethylglycine;
Spermidine;
S-Adenosylmethioninamine;
Vidarabine;
3-Mercaptolactic acid;
Methionine sulfoxide;
L-Cysteine;
Allocystathionine;
Pyridoxal 5'-phosphate;
Glutamate;
L-Cystathionine;
Adenosine;
Racemethionine;
Homocysteine;
Adenosine monophosphate;
Choline;
L-Methionine;
gamma-Glutamylcysteine;
L-Homoserine;
5-Methylthioribose 1-phosphate;
D-Glutamic acid;
Betaine;
D-Cysteine;
Cho;
cysteine;
SARC;
dc-AdoMet;
D-Glutamic acid;
L-Glutamate;
Adenosine monophosphate;
Ade-Rib;
Spermidine;
Methionine;
bisulfite;
Cystathionine;
Cysteine;
Dimethylglycine;
Cystathione;
DL-Glutamate;
PLP;
5-Methylthioribose  1-phosphate;
BET;
D-Methionine (S)-S-oxide;
Decarboxylated SAM;
Vidarabine phosphate;
9-Arabinofuranosyladenine;
N-gamma-Glutamylcysteine;
bisulfite;
Decarboxylated SAM"
"9","1.6 Metabolism of other amino acids",0.388888888888889,"Glutathione metabolism","map00480",0.465963508475162,7,18,0.999999367395088,1,"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
D-Alanine;
L-Cysteine;
L-Alanine;
Glutamate;
gamma-Glutamylalanine;
gamma-Glutamylcysteine;
D-Glutamic acid;
Glutathione;
D-Cysteine;
Pyroglutamic acid;
cysteine;
D-Ala;
D-Glutamic acid;
L-Glutamate;
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
Glutathione;
Cysteine;
OPRO;
DL-Glutamate;
(5-L-Glutamyl)-L-amino acid;
N-gamma-L-Glutamyl-D-alanine;
5-oxoproline;
Alanine;
Glutathionate(1-);
N-gamma-Glutamylcysteine"
"10","1.8 Metabolism of cofactors and vitamins",0.375,"Pantothenate and CoA Biosynthesis","map00770",0.524871722016124,6,16,0.999999367395088,1,"Pantetheine 4'-phosphate;
Pantetheine;
L-Cysteine;
Adenosine monophosphate;
Panthenol;
D-Cysteine;
cysteine;
Adenosine monophosphate;
Cysteine;
D-Pantothenoyl-L-cysteine;
(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide;
Pantetheine 4'-phosphate;
Panthenol;
Vidarabine phosphate;
Pantothenol"
