"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.10 Biosynthesis of other secondary metabolites",0.421052631578947,"Caffeine Metabolism","map00232",0.000614063397949,8,19,0.021492218928215,0.021492218928215
"2","1.5 Amino acid metabolism",0.202898550724638,"Tyrosine metabolism","map00350",0.0196849162376377,14,69,0.344486034158659,0.669287152079681
"3","1.3 Lipid metabolism",0.222222222222222,"alpha-Linolenic acid metabolism","map00592",0.146311382138069,4,18,0.997517714363466,1
"4","1.8 Metabolism of cofactors and vitamins",0.1875,"Pantothenate and CoA Biosynthesis","map00770",0.282106307623884,3,16,0.997517714363466,1
"5","1.8 Metabolism of cofactors and vitamins",0.176470588235294,"Vitamin B6 Metabolism","map00750",0.315915260379295,3,17,0.997517714363466,1
"6","1.5 Amino acid metabolism",0.142857142857143,"Glycine, serine and threonine metabolism","map00260",0.32020493246421,8,56,0.997517714363466,1
"7","1.2 Energy metabolism",0.16,"Nitrogen metabolism","map00910",0.329539701958039,4,25,0.997517714363466,1
"8","1.1 Carbohydrate metabolism",0.153846153846154,"Citric Acid Cycle","map00020",0.357776671179706,4,26,0.997517714363466,1
"9","1.5 Amino acid metabolism",0.137254901960784,"Methionine Metabolism","map00270",0.380520632259964,7,51,0.997517714363466,1
"10","Deleted pathways from Kegg",0.148148148148148,"Androgen and Estrogen Metabolism","map00150",0.38603294377109,4,27,0.997517714363466,1
"11","1.5 Amino acid metabolism",0.133333333333333,"Alanine, aspartate and glutamate metabolism","map00250",0.396592930332142,8,60,0.997517714363466,1
"12","1.5 Amino acid metabolism",0.142857142857143,"Phenylalanine and Tyrosine Metabolism","map00360",0.414166846678023,4,28,0.997517714363466,1
"13","1.6 Metabolism of other amino acids",0.166666666666667,"Taurine and Hypotaurine Metabolism","map00430",0.416011870005014,2,12,0.997517714363466,1
"14","1.5 Amino acid metabolism",0.12962962962963,"Tryptophan metabolism","map00380",0.442535444770616,7,54,0.997517714363466,1
"15","1.1 Carbohydrate metabolism",0.142857142857143,"Butyrate Metabolism","map00650",0.498484209458911,2,14,0.997517714363466,1
"16","1.6 Metabolism of other amino acids",0.130434782608696,"Selenocompound metabolism","map00450",0.513193109444267,3,23,0.997517714363466,1
"17","1.8 Metabolism of cofactors and vitamins",0.117647058823529,"Riboflavin Metabolism","map00740",0.607633930954203,2,17,0.997517714363466,1
"18","1.6 Metabolism of other amino acids",0.111111111111111,"Glutathione metabolism","map00480",0.639858667820036,2,18,0.997517714363466,1
"19","1.3 Lipid metabolism",0.111111111111111,"Glycerolipid Metabolism","map00561",0.639858667820036,2,18,0.997517714363466,1
"20","1.1 Carbohydrate metabolism",0.105263157894737,"Pyruvate metabolism","map00620",0.666328656034176,4,38,0.997517714363466,1
"21","1.8 Metabolism of cofactors and vitamins",0.103448275862069,"Nicotinate and nicotinamide metabolism","map00760",0.677392393101525,3,29,0.997517714363466,1
"22","1.4 Nucleotide metabolism",0.102941176470588,"Purine metabolism","map00230",0.703061775456657,7,68,0.997517714363466,1
"23","1.5 Amino acid metabolism",0.1,"Arginine and proline metabolism","map00330",0.715436073145278,5,50,0.997517714363466,1
"24","1.4 Nucleotide metabolism",0.0961538461538462,"Pyrimidine metabolism","map00240",0.748834978639449,5,52,0.997517714363466,1
"25","1.8 Metabolism of cofactors and vitamins",0.0869565217391304,"One carbon pool by folate","map00670",0.770884344931449,2,23,0.997517714363466,1
"26","1.5 Amino acid metabolism",0.0857142857142857,"Histidine metabolism","map00340",0.79765644012942,3,35,0.997517714363466,1
"27","1.8 Metabolism of cofactors and vitamins",0.08,"Pterine Biosynthesis","map00790",0.810600769187224,2,25,0.997517714363466,1
"28","1.5 Amino acid metabolism",0.0784313725490196,"Valine, leucine and isoleucine degradation","map00280",0.869218741125571,4,51,0.997517714363466,1
"29","1.6 Metabolism of other amino acids",0.0689655172413793,"beta-Alanine metabolism","map00410",0.87229183820009,2,29,0.997517714363466,1
"30","1.1 Carbohydrate metabolism",0.0588235294117647,"Propanoate metabolism","map00640",0.923618138872442,2,34,0.997517714363466,1
"31","1.1 Carbohydrate metabolism",0.0571428571428571,"Amino Sugar Metabolism","map00520",0.931252181220504,2,35,0.997517714363466,1
"32","1.3 Lipid metabolism",0.0555555555555556,"Fatty acid Metabolism","map00071",0.938170733531442,2,36,0.997517714363466,1
"33","1.3 Lipid metabolism",0.05,"Primary bile acid biosynthesis","map00120",0.980591559572494,3,60,0.997517714363466,1
"34","1.1 Carbohydrate metabolism",0.0377358490566038,"Starch and sucrose metabolism","map00500",0.990774578333326,2,53,0.997517714363466,1
"35","1.3 Lipid metabolism",0.03125,"Arachidonic Acid Metabolism","map00590",0.997517714363466,2,64,0.997517714363466,1
