"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.3 Lipid metabolism",0.159090909090909,"Steroid Biosynthesis","map00100",0.0687817722419381,7,44,0.933055718561212,1
"2","1.8 Metabolism of cofactors and vitamins",0.137931034482759,"Nicotinate and nicotinamide metabolism","map00760",0.229163225142528,4,29,0.933055718561212,1
"3","1.3 Lipid metabolism",0.109375,"Arachidonic Acid Metabolism","map00590",0.29907477192792,7,64,0.933055718561212,1
"4","1.6 Metabolism of other amino acids",0.130434782608696,"Selenocompound metabolism","map00450",0.313406262684605,3,23,0.933055718561212,1
"5","1.1 Carbohydrate metabolism",0.114285714285714,"Amino Sugar Metabolism","map00520",0.350734550608251,4,35,0.933055718561212,1
"6","1.5 Amino acid metabolism",0.101449275362319,"Tyrosine metabolism","map00350",0.375094379506051,7,69,0.933055718561212,1
"7","1.5 Amino acid metabolism",0.1,"Arginine and proline metabolism","map00330",0.430069720251923,5,50,0.933055718561212,1
"8","1.5 Amino acid metabolism",0.107142857142857,"Phenylalanine and Tyrosine Metabolism","map00360",0.436554300979456,3,28,0.933055718561212,1
"9","1.6 Metabolism of other amino acids",0.111111111111111,"Glutathione metabolism","map00480",0.466701971969095,2,18,0.933055718561212,1
"10","1.5 Amino acid metabolism",0.0833333333333333,"Alanine, aspartate and glutamate metabolism","map00250",0.604320731202603,5,60,0.933055718561212,1
"11","1.2 Energy metabolism",0.08,"Nitrogen metabolism","map00910",0.650765492728452,2,25,0.933055718561212,1
"12","1.3 Lipid metabolism",0.08,"Phospholipid Biosynthesis","map00564",0.650765492728452,2,25,0.933055718561212,1
"13","1.5 Amino acid metabolism",0.08,"Lysine degradation","map00310",0.650765492728452,2,25,0.933055718561212,1
"14","1.5 Amino acid metabolism",0.0588235294117647,"Methionine Metabolism","map00270",0.838768496137465,3,51,0.933055718561212,1
"15","1.3 Lipid metabolism",0.0540540540540541,"Steroidogenesis","map00140",0.848205870433561,2,37,0.933055718561212,1
"16","1.1 Carbohydrate metabolism",0.0566037735849057,"Starch and sucrose metabolism","map00500",0.858349376984802,3,53,0.933055718561212,1
"17","1.4 Nucleotide metabolism",0.0588235294117647,"Purine metabolism","map00230",0.864088986231072,4,68,0.933055718561212,1
"18","1.5 Amino acid metabolism",0.0535714285714286,"Glycine, serine and threonine metabolism","map00260",0.883947522847464,3,56,0.933055718561212,1
"19","1.4 Nucleotide metabolism",0.0384615384615385,"Pyrimidine metabolism","map00240",0.953123264074136,2,52,0.953123264074136,1
