"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.3 Lipid metabolism",0.159090909090909,"Steroid Biosynthesis","map00100",0.0687817722419381,7,44,0.933055718561212,1,"Zymosterol intermediate 2;
7-Dehydrodesmosterol;
5,6-trans-Vitamin D3;
Desmosterol;
7-Dehydrocholesterol;
Lumisterol 3;
5alpha-Cholesta-7,24-dien-3beta-ol;
Vitamin D3;
8-Dehydrocholesterol;
(3beta,5alpha)-cholesta-7,24-dien-3-ol;
cholest-5,24-dien-3beta-ol;
7-dehydroCHOL;
5alpha-cholesta-8,24-dien-3beta-ol;
7-Dehydrodesmosterol;
(5Z,7E)-(3S)-9,10-seco-5,7,10(19)-cholestatrien-3-ol;
8-Dehydrocholesterol;
7-Dehydrocholesterol;
(5Z,7E)-(3S)-9,10-seco-5,7,10(19)-cholestatrien-3-ol;
5alpha-cholesta-8,24-dien-3beta-ol;
5-alpha-Cholesta-7,24-dien-3-beta-ol;
Provitina;
delta-24-Cholesterol"
"2","1.8 Metabolism of cofactors and vitamins",0.137931034482759,"Nicotinate and nicotinamide metabolism","map00760",0.229163225142528,4,29,0.933055718561212,1,"L-Glutamine;
Glutamate;
D-Glutamine;
D-Glutamic acid;
Nicotinamide ribotide;
D-Glutamic acid;
L-Glutamate;
DL-Glutamate;
Glutamine;
[(2R,3S,4R,5R)-5-(3-Carboxypyridin-1-ium-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl hydrogen phosphate"
"3","1.3 Lipid metabolism",0.109375,"Arachidonic Acid Metabolism","map00590",0.29907477192792,7,64,0.933055718561212,1,"11,12-DiHETrE;
8,9-DiHETrE;
5,6-DHET;
Glutamate;
D-Glutamic acid;
14,15-DiHETrE;
5S,12R-dihydroxy-6Z,8E,10E,14Z-eicosatetraenoic acid;
D-Glutamic acid;
L-Glutamate;
GSSG;
DL-Glutamate;
(5Z,8Z,11Z)-14,15-dihydroxyicosatrienoic acid;
(5Z,8Z,14Z)-11,12-dihydroxyicosatrienoic acid;
(5Z,11Z,14Z)-8,9-dihydroxyicosatrienoic acid;
5,6-DHET;
14,15-DiHETrE;
8,9-DiHETrE;
11,12-DiHETrE;
12-Keto-tetrahydro-leukotriene B4;
5,8,11-Eicosatrienoic acid, 14,15-dihydroxy-, (5Z,8Z,11Z)-"
"4","1.6 Metabolism of other amino acids",0.130434782608696,"Selenocompound metabolism","map00450",0.313406262684605,3,23,0.933055718561212,1,"Selenocystine;
Vidarabine;
Adenosine;
Ade-Rib;
Gamma-Glutamyl-Se-methylselenocysteine;
9-Arabinofuranosyladenine"
"5","1.1 Carbohydrate metabolism",0.114285714285714,"Amino Sugar Metabolism","map00520",0.350734550608251,4,35,0.933055718561212,1,"N-Acetyl-D-Glucosamine 6-Phosphate;
L-Glutamine;
Glutamate;
D-Glutamine;
N-Acetyl-glucosamine 1-phosphate;
D-Glutamic acid;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
N-Acetyl-D-mannosamine 6-phosphate;
AcGlcN6P;
D-Glutamic acid;
L-Glutamate;
DL-Glutamate;
N-acetyl-alpha-D-galactosamine 1-phosphate;
N-Acetyl-D-galactosamine 1-phosphate;
AcGlcN1P;
Glutamine;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate"
"6","1.5 Amino acid metabolism",0.101449275362319,"Tyrosine metabolism","map00350",0.375094379506051,7,69,0.933055718561212,1,"Leucodopachrome;
Dopaquinone;
Vanylglycol;
3-Methoxytyramine;
Glutamate;
L-Tyrosine;
D-Glutamic acid;
Pyrroloquinoline quinone;
D-Glutamic acid;
L-Glutamate;
Dopaquinone;
L-Tyrosine;
D-Tyrosine;
DL-Glutamate;
PQQ;
MHPG;
L-Dopaquinone"
"7","1.5 Amino acid metabolism",0.1,"Arginine and proline metabolism","map00330",0.430069720251923,5,50,0.933055718561212,1,"Citrulline;
L-Glutamine;
Glutamate;
Creatine;
D-Glutamine;
D-Glutamic acid;
D-Glutamic acid;
L-Glutamate;
Creatine;
D-Citrulline;
DL-Glutamate;
L-4-Hydroxyglutamate semialdehyde;
Glutamine;
Citrulline"
"8","1.5 Amino acid metabolism",0.107142857142857,"Phenylalanine and Tyrosine Metabolism","map00360",0.436554300979456,3,28,0.933055718561212,1,"L-Glutamine;
Glutamate;
D-Glutamine;
L-Tyrosine;
D-Glutamic acid;
D-Glutamic acid;
L-Glutamate;
L-Tyrosine;
D-Tyrosine;
DL-Glutamate;
Glutamine"
"9","1.6 Metabolism of other amino acids",0.111111111111111,"Glutathione metabolism","map00480",0.466701971969095,2,18,0.933055718561212,1,"Glutamate;
D-Glutamic acid;
D-Glutamic acid;
L-Glutamate;
GSSG;
DL-Glutamate"
"10","1.5 Amino acid metabolism",0.0833333333333333,"Alanine, aspartate and glutamate metabolism","map00250",0.604320731202603,5,60,0.933055718561212,1,"N-Acetyl-D-Glucosamine 6-Phosphate;
Citrulline;
L-Glutamine;
Glutamate;
D-Glutamine;
D-Glutamic acid;
N-Acetylglucosamine 6-phosphate;
N-Acetylmannosamine-6P;
N-Acetyl-D-mannosamine 6-phosphate;
AcGlcN6P;
D-Glutamic acid;
L-Glutamate;
GSSG;
D-Citrulline;
DL-Glutamate;
Glutamine;
Citrulline;
(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate"
"11","1.2 Energy metabolism",0.08,"Nitrogen metabolism","map00910",0.650765492728452,2,25,0.933055718561212,1,"L-Glutamine;
Glutamate;
D-Glutamine;
D-Glutamic acid;
D-Glutamic acid;
L-Glutamate;
DL-Glutamate;
Glutamine"
"12","1.3 Lipid metabolism",0.08,"Phospholipid Biosynthesis","map00564",0.650765492728452,2,25,0.933055718561212,1,"Phosphorylcholine;
Acetylcholine;
AcCho;
ChoP"
"13","1.5 Amino acid metabolism",0.08,"Lysine degradation","map00310",0.650765492728452,2,25,0.933055718561212,1,"Glutamate;
L-Lysine;
D-Glutamic acid;
D-Lysine;
D-Glutamic acid;
L-Glutamate;
DL-Glutamate;
L-Lysine"
"14","1.5 Amino acid metabolism",0.0588235294117647,"Methionine Metabolism","map00270",0.838768496137465,3,51,0.933055718561212,1,"Spermidine;
Vidarabine;
Glutamate;
Adenosine;
D-Glutamic acid;
D-Glutamic acid;
L-Glutamate;
Ade-Rib;
Spermidine;
DL-Glutamate;
9-Arabinofuranosyladenine"
"15","1.3 Lipid metabolism",0.0540540540540541,"Steroidogenesis","map00140",0.848205870433561,2,37,0.933055718561212,1,"Pregnenolone;
5a-Pregnane-3,20-dione;
3beta-hydroxypregn-5-en-20-one;
5a-Pregnane-3,20-dione;
5-beta-pregnan-3,20 dione;
5-alpha-Pregnan-3,20-dione;
3-Hydroxypregn-5-en-20-one;
5beta-Pregnane-3,20-dione"
"16","1.1 Carbohydrate metabolism",0.0566037735849057,"Starch and sucrose metabolism","map00500",0.858349376984802,3,53,0.933055718561212,1,"Phosphorylcholine;
ChoP;
Sphingosine(1+);
3-dehydrosphinganinium(1+)"
"17","1.4 Nucleotide metabolism",0.0588235294117647,"Purine metabolism","map00230",0.864088986231072,4,68,0.933055718561212,1,"Vidarabine;
L-Glutamine;
Glutamate;
Adenosine;
D-Glutamine;
D-Glutamic acid;
Deoxyguanosine;
D-Glutamic acid;
L-Glutamate;
Ade-Rib;
2'-deoxyguanosine;
DL-Glutamate;
Glutamine;
9-Arabinofuranosyladenine"
"18","1.5 Amino acid metabolism",0.0535714285714286,"Glycine, serine and threonine metabolism","map00260",0.883947522847464,3,56,0.933055718561212,1,"Vidarabine;
Glutamate;
Creatine;
Adenosine;
D-Glutamic acid;
D-Glutamic acid;
L-Glutamate;
Ade-Rib;
Creatine;
DL-Glutamate;
9-Arabinofuranosyladenine"
"19","1.4 Nucleotide metabolism",0.0384615384615385,"Pyrimidine metabolism","map00240",0.953123264074136,2,52,0.953123264074136,1,"Ureidoisobutyric acid;
L-Glutamine;
D-Glutamine;
UIBA;
Glutamine;
3-ureido-isobutyrate"
