"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","15q13.3 copy number variation syndrome(wiki)","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"2","16p11.2 proximal deletion syndrome(wiki)","0.000655307994757536","0.0126352894449409","0.792707128187637","1.88464311705015","0","16","c(""hmdb:HMDB0000232"", ""hmdb:HMDB0000211"", ""hmdb:HMDB0006088"", ""hmdb:HMDB0034220"", ""hmdb:HMDB0062138"", ""hmdb:HMDB0240207"", ""hmdb:HMDB0240208"", ""hmdb:HMDB0240209"", ""hmdb:HMDB0240210"", ""hmdb:HMDB0240211"")"
"3","22q11.2 copy number variation syndrome(wiki)","0.0369375419744795","0.0845631583133886","-0.801394017149511","-1.57904782168868","54","7","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"", ""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"4","2q13 copy number variation syndrome(wiki)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"5","3q29 copy number variation syndrome(wiki)","0.0899540380827314","0.170829793497918","-0.896354797949256","-1.34363481603171","136","2","hmdb:HMDB0000250"
"6","7q11.23 copy number variation syndrome(wiki)","0.0581081081081081","0.127843381587017","-0.851800322727696","-1.46710240882041","85","4","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"7","Abacavir metabolism(reactome)","0.0327868852459016","0.0756277549403199","0.84","1.50884852625355","49","5","c(""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"", ""hmdb:HMDB0000195"", ""hmdb:HMDB0003040"", ""hmdb:HMDB0247301"")"
"8","Abacavir transmembrane transport(reactome)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"9","ABC transporters in lipid homeostasis(reactome)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"10","Acetylation(reactome)","0.109940750493746","0.202210365433107","0.838100371472383","1.34642089395388","166","3","c(""hmdb:HMDB0001860"", ""hmdb:HMDB0041821"")"
"11","Acrylamide biotransformation and exposure biomarkers(wiki)","0.269594594594595","0.376643134442769","0.802893309222423","1.17705773469695","398","2","c(""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"12","Activated point mutants of FGFR2(reactome)","0.267652992602555","0.376643134442769","0.866425992779783","1.16193793158497","397","1","hmdb:HMDB0258526"
"13","Activation of AMPA receptors(reactome)","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"14","Activation of BAD and translocation to mitochondria(reactome)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"15","Activation of BH3-only proteins(reactome)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"16","Activation of Ca-permeable Kainate Receptor(reactome)","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"17","Activation of GABAB receptors(reactome)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"18","Activation of gene expression by SREBF (SREBP)(reactome)","0.251477347340775","0.36124732774164","-0.806509945750452","-1.2089574854348","382","2","c(""hmdb:HMDB0246871"", ""hmdb:HMDB0001043"")"
"19","Activation of gene expression by SREBF (SREBP)(wiki)","0.251477347340775","0.36124732774164","-0.806509945750452","-1.2089574854348","382","2","c(""hmdb:HMDB0246871"", ""hmdb:HMDB0001043"")"
"20","Activation of kainate receptors upon glutamate binding(reactome)","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"21","Activation of kainate receptors upon glutamate binding(wiki)","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"22","Activation of Na-permeable kainate receptors(reactome)","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"23","Activation of NMDA receptors and postsynaptic events(reactome)","0.00134048257372654","0.0220117626708182","-0.932207674014695","-1.76431233085846","1","6","c(""hmdb:HMDB0001429"", ""hmdb:HMDB0000250"", ""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"24","Activation of PPARGC1A (PGC-1alpha) by phosphorylation(reactome)","0.122972972972973","0.215343726754277","0.886075949367089","1.29900515766105","181","2","c(""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"")"
"25","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S(reactome)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"26","Activation of the pre-replicative complex(reactome)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"27","Adaptive Immune System(reactome)","0.267426273458445","0.376643134442769","-0.635812571115896","-1.20334984425038","398","6","c(""hmdb:HMDB0001429"", ""hmdb:HMDB0000250"")"
"28","Adenylate cyclase activating pathway(reactome)","0.0181695827725437","0.0466712126210308","-0.944337037580513","-1.50965902206025","26","3","c(""hmdb:HMDB0001429"", ""hmdb:HMDB0000250"")"
"29","Adenylate cyclase inhibitory pathway(reactome)","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"30","ADORA2B mediated anti-inflammatory cytokines production(reactome)","0.0899540380827314","0.170829793497918","-0.896354797949256","-1.34363481603171","136","2","hmdb:HMDB0000250"
"31","Adrenoceptors(reactome)","0.279470198675497","0.387955448524985","0.637855053611802","1.19647651049701","421","6","c(""hmdb:HMDB0247729"", ""hmdb:HMDB0000216"", ""hmdb:HMDB0037507"", ""hmdb:HMDB0303380"")"
