"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"1","16p11.2 proximal deletion syndrome(wiki)","0.000410010741456342","0.00217110847651678","0.49849310876659","0.476720651335874","1.64833363129668","70","c(""gene_symbol:IGFBP3"", ""gene_symbol:MSN"", ""gene_symbol:SPN"", ""gene_symbol:CASP8"", ""gene_symbol:KIF22"", ""gene_symbol:NFKB1"", ""gene_symbol:TP53"", ""gene_symbol:MAP2K3"", ""gene_symbol:C16orf54"", ""gene_symbol:MVP"", ""gene_symbol:PCNA"", ""gene_symbol:PPP4C"", ""gene_symbol:PPP4R1"", ""gene_symbol:CCT3"", ""gene_symbol:REL"", ""gene_symbol:CCT4"", ""gene_symbol:CCT2"", ""gene_symbol:PARP4"", ""gene_symbol:HDAC3"", ""gene_symbol:TRAF2"", ""gene_symbol:CORO1A"", ""gene_symbol:KMT2D"", ""gene_symbol:CCT6A"", ""gene_symbol:CCT8"", ""gene_symbol:PPP4R3A"", 
""gene_symbol:CCT5"", ""gene_symbol:PPP4R2"", ""gene_symbol:ESR1"", ""gene_symbol:GDPD3"", ""gene_symbol:CCDC6"", ""gene_symbol:TRAF6"", ""gene_symbol:TCP1"", ""gene_symbol:TMEM219"", ""gene_symbol:MAP2K6"", ""gene_symbol:MAZ"", ""gene_symbol:CCT7"", ""gene_symbol:PAXIP1"", ""gene_symbol:PPP4R3B"")","0.000655307994757536","0.0126352894449409","0.792707128187637","1.88464311705015","0","16","c(""hmdb:HMDB0000232"", ""hmdb:HMDB0000211"", ""hmdb:HMDB0006088"", ""hmdb:HMDB0034220"", ""hmdb:HMDB0062138"", ""hmdb:HMDB0240207"", ""hmdb:HMDB0240208"", ""hmdb:HMDB0240209"", ""hmdb:HMDB0240210"", ""hmdb:HMDB0240211"")"
"2","2q13 copy number variation syndrome(wiki)","0.000231375582107986","0.00133277556745982","0.518848077743792","0.549503707441048","1.78317905140399","43","c(""gene_symbol:LGALS3"", ""gene_symbol:CKAP2L"", ""gene_symbol:MIR4435-2HG"", ""gene_symbol:SOCS3"", ""gene_symbol:IL1B"", ""gene_symbol:PSD4"", ""gene_symbol:PLCG2"", ""gene_symbol:CSF1"", ""gene_symbol:STAT1"", ""gene_symbol:SOCS1"", ""gene_symbol:BCL2L11"", ""gene_symbol:IL1A"", ""gene_symbol:POLR1E"", ""gene_symbol:ARF6"", ""gene_symbol:POLR1B"", ""gene_symbol:IL1R1"", ""gene_symbol:POLR1C"", ""gene_symbol:POLR1D"", ""gene_symbol:POLR1F"", ""gene_symbol:POLR2F"", ""gene_symbol:ANAPC1"", ""gene_symbol:POLR2H"", ""gene_symbol:POLR1A"")","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"3","Activated point mutants of FGFR2(reactome)","0.00873268481394511","0.0289602210061373","0.380730400722792","-0.546496866327973","-1.82379495845606","11","c(""gene_symbol:FGF9"", ""gene_symbol:FGF10"", ""gene_symbol:FGF20"", ""gene_symbol:FGF1"", ""gene_symbol:FGF18"", ""gene_symbol:FGFR2"")","0.267652992602555","0.376643134442769","0.866425992779783","1.16193793158497","397","1","hmdb:HMDB0258526"
"4","Activation of AMPA receptors(reactome)","0.000134249839090127","0.00083706311884592","0.518848077743792","-0.942348989593084","-2.04064535146749","4","c(""gene_symbol:GRIA3"", ""gene_symbol:GRIA4"", ""gene_symbol:GRIA2"", ""gene_symbol:GRIA1"")","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"5","Activation of Ca-permeable Kainate Receptor(reactome)","3.06114642765696e-06","3.25565677358099e-05","0.627256739718528","-0.80751809736866","-2.79642289560314","12","c(""gene_symbol:NCALD"", ""gene_symbol:GRIK3"", ""gene_symbol:DLG3"", ""gene_symbol:DLG4"", ""gene_symbol:GRIK4"", ""gene_symbol:GRIK2"", ""gene_symbol:GRIK1"", ""gene_symbol:CALM3"", ""gene_symbol:CALM1"", ""gene_symbol:CALM2"")","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"6","Activation of GABAB receptors(reactome)","4.91806013023814e-06","4.87508678929431e-05","0.610526878385931","-0.464670280181214","-2.30783798681023","40","c(""gene_symbol:KCNJ4"", ""gene_symbol:ADCY1"", ""gene_symbol:KCNJ9"", ""gene_symbol:KCNJ3"", ""gene_symbol:GABBR2"", ""gene_symbol:ADCY5"", ""gene_symbol:ADCY2"", ""gene_symbol:GNG7"", ""gene_symbol:KCNJ6"", ""gene_symbol:ADCY9"", ""gene_symbol:GNAI1"", ""gene_symbol:GNAL"", ""gene_symbol:GNG3"", ""gene_symbol:ADCY8"", ""gene_symbol:GABBR1"", ""gene_symbol:GNB5"", ""gene_symbol:KCNJ16"", ""gene_symbol:KCNJ12"", ""gene_symbol:GNG4"")","0.0190413657255417","0.0466712126210308","-0.992779783393502","-1.33712859979267","28","1","hmdb:HMDB0001429"
"7","Activation of kainate receptors upon glutamate binding(reactome)","0.00923012534274635","0.0301084919327285","0.380730400722792","-0.355980293346891","-1.61685837317644","30","c(""gene_symbol:PLCB1"", ""gene_symbol:GNG7"", ""gene_symbol:NCALD"", ""gene_symbol:GRIK3"", ""gene_symbol:DLG3"", ""gene_symbol:GNG3"", ""gene_symbol:DLG4"", ""gene_symbol:GRIK4"", ""gene_symbol:GRIK2"", ""gene_symbol:GRIK1"", ""gene_symbol:GNB5"", ""gene_symbol:GNG4"", ""gene_symbol:CALM3"", ""gene_symbol:CALM1"", ""gene_symbol:CALM2"", ""gene_symbol:GNG2"")","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"8","Activation of kainate receptors upon glutamate binding(wiki)","0.00923012534274635","0.0301084919327285","0.380730400722792","-0.355980293346891","-1.61685837317644","30","c(""gene_symbol:PLCB1"", ""gene_symbol:GNG7"", ""gene_symbol:NCALD"", ""gene_symbol:GRIK3"", ""gene_symbol:DLG3"", ""gene_symbol:GNG3"", ""gene_symbol:DLG4"", ""gene_symbol:GRIK4"", ""gene_symbol:GRIK2"", ""gene_symbol:GRIK1"", ""gene_symbol:GNB5"", ""gene_symbol:GNG4"", ""gene_symbol:CALM3"", ""gene_symbol:CALM1"", ""gene_symbol:CALM2"", ""gene_symbol:GNG2"")","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"9","Activation of Na-permeable kainate receptors(reactome)","0.0472361809045226","0.117058593940577","0.147797789076295","-0.913065022298079","-1.4745523621248","2","c(""gene_symbol:GRIK2"", ""gene_symbol:GRIK1"")","0.0168236877523553","0.0466712126210308","-0.947463768115942","-1.5146575520072","24","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"10","Activation of NMDA receptors and postsynaptic events(reactome)","2.23185584202683e-14","1.08510705462352e-12","0.97599468306432","-0.510714222111058","-3.02339343378318","86","c(""gene_symbol:NRGN"", ""gene_symbol:ADCY1"", ""gene_symbol:GRIN2A"", ""gene_symbol:CAMK4"", ""gene_symbol:CAMK2A"", ""gene_symbol:GRIA3"", ""gene_symbol:GRIN2B"", ""gene_symbol:NEFL"", ""gene_symbol:GRIN1"", ""gene_symbol:DLG2"", ""gene_symbol:CAMK2B"", ""gene_symbol:ACTN2"", ""gene_symbol:PRKAR1B"", ""gene_symbol:LRRC7"", ""gene_symbol:GRIA4"", ""gene_symbol:GRIA2"", ""gene_symbol:LIN7A"", ""gene_symbol:TUBA4A"", ""gene_symbol:RASGRF1"", ""gene_symbol:GRIN2C"", ""gene_symbol:TUBA8"", ""gene_symbol:LIN7B"", ""gene_symbol:RASGRF2"", ""gene_symbol:ERBB4"", 
""gene_symbol:APBA1"", ""gene_symbol:MAPT"", ""gene_symbol:PPM1E"", ""gene_symbol:DLG3"", ""gene_symbol:TUBB4A"", ""gene_symbol:GRIA1"", ""gene_symbol:DLG4"", ""gene_symbol:ADCY8"", ""gene_symbol:KIF17"", ""gene_symbol:CAMKK1"", ""gene_symbol:GRIN3A"")","0.00134048257372654","0.0220117626708182","-0.932207674014695","-1.76431233085846","1","6","c(""hmdb:HMDB0001429"", ""hmdb:HMDB0000250"", ""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
