"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"1","16p11.2 proximal deletion syndrome(wiki)","0.000410010741456342","0.00217110847651678","0.49849310876659","0.476720651335874","1.64833363129668","70","c(""gene_symbol:IGFBP3"", ""gene_symbol:MSN"", ""gene_symbol:SPN"", ""gene_symbol:CASP8"", ""gene_symbol:KIF22"", ""gene_symbol:NFKB1"", ""gene_symbol:TP53"", ""gene_symbol:MAP2K3"", ""gene_symbol:C16orf54"", ""gene_symbol:MVP"", ""gene_symbol:PCNA"", ""gene_symbol:PPP4C"", ""gene_symbol:PPP4R1"", ""gene_symbol:CCT3"", ""gene_symbol:REL"", ""gene_symbol:CCT4"", ""gene_symbol:CCT2"", ""gene_symbol:PARP4"", ""gene_symbol:HDAC3"", ""gene_symbol:TRAF2"", ""gene_symbol:CORO1A"", ""gene_symbol:KMT2D"", ""gene_symbol:CCT6A"", ""gene_symbol:CCT8"", ""gene_symbol:PPP4R3A"", 
""gene_symbol:CCT5"", ""gene_symbol:PPP4R2"", ""gene_symbol:ESR1"", ""gene_symbol:GDPD3"", ""gene_symbol:CCDC6"", ""gene_symbol:TRAF6"", ""gene_symbol:TCP1"", ""gene_symbol:TMEM219"", ""gene_symbol:MAP2K6"", ""gene_symbol:MAZ"", ""gene_symbol:CCT7"", ""gene_symbol:PAXIP1"", ""gene_symbol:PPP4R3B"")","0.0113052415210689","0.169200866056491","0.712942108105696","1.72499595340157","10","13","c(""hmdb:HMDB0000232"", ""hmdb:HMDB0000086"", ""hmdb:HMDB0252858"", ""hmdb:HMDB0000211"", ""hmdb:HMDB0006088"", ""hmdb:HMDB0034220"", ""hmdb:HMDB0062138"", ""hmdb:HMDB0240207"", ""hmdb:HMDB0240208"", ""hmdb:HMDB0240209"", ""hmdb:HMDB0240210"", ""hmdb:HMDB0240211"")"
"2","2q11.2 copy number variation syndrome(wiki)","0.00918214819560111","0.0300479913708613","0.220351756546674","0.502664645056934","1.55996559495352","32","c(""gene_symbol:NEURL3"", ""gene_symbol:NCAPH"", ""gene_symbol:DUSP2"", ""gene_symbol:SEMA4C"", ""gene_symbol:PLXNB2"", ""gene_symbol:ARID5A"", ""gene_symbol:ERBB2"", ""gene_symbol:CIAO2A"", ""gene_symbol:MMS19"", ""gene_symbol:ITPRIPL1"", ""gene_symbol:ANKRD23"", ""gene_symbol:RHOA"", ""gene_symbol:CNNM4"")","0.101706970128023","0.342694185972765","0.875379939209726","1.31984096328352","142","2","c(""hmdb:HMDB0000126"", ""hmdb:HMDB0252849"")"
"3","ABC-family proteins mediated transport(wiki)","0.0276042716099134","0.0759163941110345","0.121785976347576","0.379851115348467","1.35068626390554","93","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:ABCB1"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:ABCC1"", ""gene_symbol:EIF2S1"", ""gene_symbol:PSMA5"", ""gene_symbol:PSME4"", ""gene_symbol:ABCC3"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:EIF2S2"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:PSMA7"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:ABCA7"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:PSMB2"", 
""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:ABCF1"", ""gene_symbol:PSME3"", ""gene_symbol:PSMB4"", ""gene_symbol:ABCC4"", ""gene_symbol:DERL1"", ""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:EIF2S3"", ""gene_symbol:PSMA2"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", ""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:ERLIN2"", ""gene_symbol:PSMD10"", 
""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", ""gene_symbol:RNF185"", ""gene_symbol:ABCB10"")","0.280067758328628","0.612426948503127","-0.675498243105447","-1.2149561843113","495","6","c(""hmdb:HMDB0244342"", ""hmdb:HMDB0006220"", ""hmdb:HMDB0006218"", ""hmdb:HMDB0002152"", ""hmdb:HMDB0001358"")"
"4","Acetylcholine inhibits contraction of outer hair cells(reactome)","0.00741228486239772","0.0252897003993586","0.407017918923954","-0.902525030179806","-1.70628741551942","3","c(""gene_symbol:KCNMA1"", ""gene_symbol:KCNN2"")","0.0837209302325581","0.315065060520993","0.962550607287449","1.29219544322369","125","1","hmdb:HMDB0000895"
"5","Activation of anterior HOX genes in hindbrain development during early embryogenesis(reactome)","0.000298762054541894","0.001646618395073","0.49849310876659","0.485407975794542","1.68014692388997","71","c(""gene_symbol:EZH2"", ""gene_symbol:AJUBA"", ""gene_symbol:RARG"", ""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:EED"", ""gene_symbol:H2BC11"", ""gene_symbol:PAX6"", ""gene_symbol:WDR5"", ""gene_symbol:POLR2A"", ""gene_symbol:RARA"", ""gene_symbol:SUZ12"", ""gene_symbol:HDAC3"", ""gene_symbol:PCGF2"", ""gene_symbol:CNOT6"", ""gene_symbol:H3C14"", ""gene_symbol:CNOT9"", ""gene_symbol:H2AX"", ""gene_symbol:KMT2D"", ""gene_symbol:RBBP4"", ""gene_symbol:MAFB"", ""gene_symbol:H2AJ"", ""gene_symbol:POLR2D"", ""gene_symbol:POLR2F"", ""gene_symbol:JUN"", 
""gene_symbol:POLR2H"", ""gene_symbol:ASH2L"", ""gene_symbol:YY1"", ""gene_symbol:POLR2G"", ""gene_symbol:H4C16"", ""gene_symbol:NCOA3"", ""gene_symbol:PAXIP1"", ""gene_symbol:EP300"", ""gene_symbol:CTCF"", ""gene_symbol:POLR2K"", ""gene_symbol:PIAS2"", ""gene_symbol:PKNOX1"", ""gene_symbol:PAGR1"", ""gene_symbol:POLR2E"", ""gene_symbol:RBBP7"", ""gene_symbol:RXRA"", ""gene_symbol:POLR2B"", ""gene_symbol:POLR2J"", ""gene_symbol:POLR2C"", ""gene_symbol:NCOA6"", ""gene_symbol:ZNF335"", ""gene_symbol:CREBBP"", ""gene_symbol:POLR2I"", ""gene_symbol:POLR2L"", 
""gene_symbol:H2AZ2"")","0.0772311212814645","0.315065060520993","-0.807926829268293","-1.40565753666853","134","5","c(""hmdb:HMDB0244343"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0001852"")"
"6","Activation of anterior HOX genes in hindbrain development during early embryogenesis(wiki)","0.000298762054541894","0.001646618395073","0.49849310876659","0.485407975794542","1.68014692388997","71","c(""gene_symbol:EZH2"", ""gene_symbol:AJUBA"", ""gene_symbol:RARG"", ""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:EED"", ""gene_symbol:H2BC11"", ""gene_symbol:PAX6"", ""gene_symbol:WDR5"", ""gene_symbol:POLR2A"", ""gene_symbol:RARA"", ""gene_symbol:SUZ12"", ""gene_symbol:HDAC3"", ""gene_symbol:PCGF2"", ""gene_symbol:CNOT6"", ""gene_symbol:H3C14"", ""gene_symbol:CNOT9"", ""gene_symbol:H2AX"", ""gene_symbol:KMT2D"", ""gene_symbol:RBBP4"", ""gene_symbol:MAFB"", ""gene_symbol:H2AJ"", ""gene_symbol:POLR2D"", ""gene_symbol:POLR2F"", ""gene_symbol:JUN"", 
""gene_symbol:POLR2H"", ""gene_symbol:ASH2L"", ""gene_symbol:YY1"", ""gene_symbol:POLR2G"", ""gene_symbol:H4C16"", ""gene_symbol:NCOA3"", ""gene_symbol:PAXIP1"", ""gene_symbol:EP300"", ""gene_symbol:CTCF"", ""gene_symbol:POLR2K"", ""gene_symbol:PIAS2"", ""gene_symbol:PKNOX1"", ""gene_symbol:PAGR1"", ""gene_symbol:POLR2E"", ""gene_symbol:RBBP7"", ""gene_symbol:RXRA"", ""gene_symbol:POLR2B"", ""gene_symbol:POLR2J"", ""gene_symbol:POLR2C"", ""gene_symbol:NCOA6"", ""gene_symbol:ZNF335"", ""gene_symbol:CREBBP"", ""gene_symbol:POLR2I"", ""gene_symbol:POLR2L"", 
""gene_symbol:H2AZ2"")","0.0772311212814645","0.315065060520993","-0.807926829268293","-1.40565753666853","134","5","c(""hmdb:HMDB0244343"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0001852"")"
"7","Activation of HOX genes during differentiation(reactome)","0.000298762054541894","0.001646618395073","0.49849310876659","0.485407975794542","1.68014692388997","71","c(""gene_symbol:EZH2"", ""gene_symbol:AJUBA"", ""gene_symbol:RARG"", ""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:EED"", ""gene_symbol:H2BC11"", ""gene_symbol:PAX6"", ""gene_symbol:WDR5"", ""gene_symbol:POLR2A"", ""gene_symbol:RARA"", ""gene_symbol:SUZ12"", ""gene_symbol:HDAC3"", ""gene_symbol:PCGF2"", ""gene_symbol:CNOT6"", ""gene_symbol:H3C14"", ""gene_symbol:CNOT9"", ""gene_symbol:H2AX"", ""gene_symbol:KMT2D"", ""gene_symbol:RBBP4"", ""gene_symbol:MAFB"", ""gene_symbol:H2AJ"", ""gene_symbol:POLR2D"", ""gene_symbol:POLR2F"", ""gene_symbol:JUN"", 
""gene_symbol:POLR2H"", ""gene_symbol:ASH2L"", ""gene_symbol:YY1"", ""gene_symbol:POLR2G"", ""gene_symbol:H4C16"", ""gene_symbol:NCOA3"", ""gene_symbol:PAXIP1"", ""gene_symbol:EP300"", ""gene_symbol:CTCF"", ""gene_symbol:POLR2K"", ""gene_symbol:PIAS2"", ""gene_symbol:PKNOX1"", ""gene_symbol:PAGR1"", ""gene_symbol:POLR2E"", ""gene_symbol:RBBP7"", ""gene_symbol:RXRA"", ""gene_symbol:POLR2B"", ""gene_symbol:POLR2J"", ""gene_symbol:POLR2C"", ""gene_symbol:NCOA6"", ""gene_symbol:ZNF335"", ""gene_symbol:CREBBP"", ""gene_symbol:POLR2I"", ""gene_symbol:POLR2L"", 
""gene_symbol:H2AZ2"")","0.0772311212814645","0.315065060520993","-0.807926829268293","-1.40565753666853","134","5","c(""hmdb:HMDB0244343"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0001852"")"
"8","ADORA2B mediated anti-inflammatory cytokines production(reactome)","0.0290972989851998","0.0793810080531437","0.352487857583619","-0.295769672073132","-1.45811203936277","38","c(""gene_symbol:ADCY1"", ""gene_symbol:ADCY5"", ""gene_symbol:ADCY2"", ""gene_symbol:PRKAR1B"", ""gene_symbol:GNG7"", ""gene_symbol:ADCY9"", ""gene_symbol:GNAZ"", ""gene_symbol:GNAI1"", ""gene_symbol:GNG3"", ""gene_symbol:ADCY8"", ""gene_symbol:GNB5"", ""gene_symbol:GNG4"")","0.256456456456456","0.581008417410987","-0.774847870182556","-1.21840197323312","426","3","c(""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000050"")"
"9","Anti-inflammatory response favouring Leishmania parasite infection(reactome)","0.00447154471544715","0.0164668968601318","0.310441924215386","0.44025745120188","1.52386701340394","71","c(""gene_symbol:FCGR3A"", ""gene_symbol:HCK"", ""gene_symbol:FCGR2A"", ""gene_symbol:FGR"", ""gene_symbol:FCGR1A"", ""gene_symbol:ITPR3"", ""gene_symbol:MYH9"", ""gene_symbol:RHBDF2"", ""gene_symbol:LYN"", ""gene_symbol:ADCY7"", ""gene_symbol:PLCG2"", ""gene_symbol:SYK"", ""gene_symbol:ADAM17"", ""gene_symbol:GNGT2"", ""gene_symbol:IGKC"", ""gene_symbol:FURIN"", ""gene_symbol:GNAI3"", ""gene_symbol:GNG5"")","0.256456456456456","0.581008417410987","-0.774847870182556","-1.21840197323312","426","3","c(""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000050"")"
"10","Antimicrobial peptides(reactome)","0.000187700257791403","0.00111971410670423","0.518848077743792","0.684022795867435","1.90528597997858","18","c(""gene_symbol:LYZ"", ""gene_symbol:CCR2"", ""gene_symbol:SLC11A1"", ""gene_symbol:TLR2"", ""gene_symbol:TLR1"", ""gene_symbol:RNASE6"", ""gene_symbol:ATP7A"", ""gene_symbol:LCN2"")","0.00939261114589856","0.165409419581786","-0.977085120515534","-1.43814166272185","14","2","hmdb:HMDB0029952"
