"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","15q13.3 copy number variation syndrome(wiki)","0.0231481481481481","0.054813401187447","-0.941071428571429","-1.41539326065376","39","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"2","16p11.2 proximal deletion syndrome(wiki)","0.0472103004291846","0.0908476128606268","0.567442977418922","1.50439035401841","32","15","c(""hmdb:HMDB0000211"", ""hmdb:HMDB0006088"", ""hmdb:HMDB0034220"", ""hmdb:HMDB0062138"", ""hmdb:HMDB0240207"", ""hmdb:HMDB0240208"", ""hmdb:HMDB0240209"", ""hmdb:HMDB0240210"", ""hmdb:HMDB0240211"")"
"3","1q21.1 copy number variation syndrome(wiki)","0.112268518518519","0.182333478766725","-0.866368079827349","-1.30303769108648","193","3","hmdb:HMDB0001429"
"4","22q11.2 copy number variation syndrome(wiki)","0.047976011994003","0.092086852767477","-0.814890054695732","-1.43967729402651","95","7","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"", ""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"5","2q13 copy number variation syndrome(wiki)","0.0212060967528164","0.0531351471140845","-0.99288256227758","-1.31884914322076","31","1","hmdb:HMDB0001429"
"6","3q29 copy number variation syndrome(wiki)","0.0271703114645461","0.0572570014694442","-0.991103202846975","-1.31648561429026","40","1","hmdb:HMDB0000250"
"7","5-Phosphoribose 1-diphosphate biosynthesis(reactome)","0.112268518518519","0.182333478766725","-0.866368079827349","-1.30303769108648","193","3","hmdb:HMDB0001429"
"8","7q11.23 copy number variation syndrome(wiki)","0.0888297872340426","0.15462962962963","-0.825407208423743","-1.3650210422214","166","5","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"9","Abacavir ADME(reactome)","0.192030724915987","0.270670966053092","-0.685655337485236","-1.27090691246398","399","9","hmdb:HMDB0001429"
"10","Abacavir transmembrane transport(reactome)","0.0212060967528164","0.0531351471140845","-0.99288256227758","-1.31884914322076","31","1","hmdb:HMDB0001429"
"11","Abacavir transport and metabolism(wiki)","0.192030724915987","0.270670966053092","-0.685655337485236","-1.27090691246398","399","9","hmdb:HMDB0001429"
"12","ABC transporter disorders(reactome)","0.10392749244713","0.175907077699234","-0.916599829180888","-1.29429922846703","171","2","hmdb:HMDB0001429"
