"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","15q13.3 copy number variation syndrome(wiki)","0.241702127659574","0.559762018936351","-0.811634349030471","-1.260354115445","283","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"2","16p11.2 proximal deletion syndrome(wiki)","0.00104493207941484","0.016968931741659","0.818182809078915","1.72361403341961","1","21","c(""hmdb:HMDB0000086"", ""hmdb:HMDB0252858"", ""hmdb:HMDB0000095"", ""hmdb:HMDB0243501"", ""hmdb:HMDB0000232"", ""hmdb:HMDB0000097"", ""hmdb:HMDB0004080"", ""hmdb:HMDB0247676"", ""hmdb:HMDB0002088"", ""hmdb:HMDB0247608"")"
"3","22q11.2 copy number variation syndrome(wiki)","0.000513610683102209","0.016968931741659","0.820182264045935","1.89906619487025","0","36","c(""hmdb:HMDB0000517"", ""hmdb:HMDB0003416"", ""hmdb:HMDB0251511"", ""hmdb:HMDB0000182"", ""hmdb:HMDB0003405"", ""hmdb:HMDB0000162"", ""hmdb:HMDB0003411"", ""hmdb:HMDB0251528"", ""hmdb:HMDB0062762"", ""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"", ""hmdb:HMDB0006254"")"
"4","3q29 copy number variation syndrome(wiki)","0.258680555555556","0.569353977116074","0.815707604113129","1.18170566256387","446","2","c(""hmdb:HMDB0001565"", ""hmdb:HMDB0000250"")"
"5","4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression(wiki)","0.0475938656795346","0.190161075935798","0.790197292664518","1.4303811289559","89","9","c(""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"", ""hmdb:HMDB0036799"")"
"6","Abacavir ADME(reactome)","0.139473684210526","0.405616911130285","0.741684629346982","1.31958532271286","264","8","c(""hmdb:HMDB0000195"", ""hmdb:HMDB0003040"", ""hmdb:HMDB0247301"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"", ""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"")"
"7","Abacavir metabolism(reactome)","0.13272921108742","0.395069833001817","0.756706753006475","1.31308606518594","248","7","c(""hmdb:HMDB0000195"", ""hmdb:HMDB0003040"", ""hmdb:HMDB0247301"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"", ""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"")"
"8","Abacavir transport and metabolism(wiki)","0.180856689582232","0.486858524004369","0.708439196610207","1.2823861423607","341","9","c(""hmdb:HMDB0000195"", ""hmdb:HMDB0003040"", ""hmdb:HMDB0247301"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"", ""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"")"
"9","Acetylation(reactome)","0.0601952277657267","0.23183162528372","0.826480379542442","1.39973431409703","110","6","c(""hmdb:HMDB0001392"", ""hmdb:HMDB0304171"", ""hmdb:HMDB0014378"", ""hmdb:HMDB0014772"")"
"10","Acetylcholine Neurotransmitter Release Cycle(reactome)","0.0896130346232179","0.294395413743683","0.95479704797048","1.27231055160431","131","1","hmdb:HMDB0000097"
"11","Acetylcholine synthesis(wiki)","0.0296336206896552","0.131754493993605","0.906697459584296","1.44922566438132","54","4","c(""hmdb:HMDB0000086"", ""hmdb:HMDB0252858"", ""hmdb:HMDB0000097"", ""hmdb:HMDB0001565"")"
"12","Acquired partial lipodystrophy / Barraquer-Simons syndrome(wiki)","0.254468085106383","0.562089023515453","-0.801477377654663","-1.24458176587743","298","3","c(""hmdb:HMDB0251515"", ""hmdb:HMDB0003417"", ""hmdb:HMDB0000574"")"
"13","Acrylamide biotransformation and exposure biomarkers(wiki)","0.00324851109907959","0.030491315818874","0.938539741219963","1.54492776660995","5","5","c(""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"", ""hmdb:HMDB0245695"", ""hmdb:HMDB0000883"", ""hmdb:HMDB0250806"")"
