"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"1","16p11.2 proximal deletion syndrome(wiki)","0.000410010741456342","0.00217110847651678","0.49849310876659","0.476720651335874","1.64833363129668","70","c(""gene_symbol:IGFBP3"", ""gene_symbol:MSN"", ""gene_symbol:SPN"", ""gene_symbol:CASP8"", ""gene_symbol:KIF22"", ""gene_symbol:NFKB1"", ""gene_symbol:TP53"", ""gene_symbol:MAP2K3"", ""gene_symbol:C16orf54"", ""gene_symbol:MVP"", ""gene_symbol:PCNA"", ""gene_symbol:PPP4C"", ""gene_symbol:PPP4R1"", ""gene_symbol:CCT3"", ""gene_symbol:REL"", ""gene_symbol:CCT4"", ""gene_symbol:CCT2"", ""gene_symbol:PARP4"", ""gene_symbol:HDAC3"", ""gene_symbol:TRAF2"", ""gene_symbol:CORO1A"", ""gene_symbol:KMT2D"", ""gene_symbol:CCT6A"", ""gene_symbol:CCT8"", ""gene_symbol:PPP4R3A"", 
""gene_symbol:CCT5"", ""gene_symbol:PPP4R2"", ""gene_symbol:ESR1"", ""gene_symbol:GDPD3"", ""gene_symbol:CCDC6"", ""gene_symbol:TRAF6"", ""gene_symbol:TCP1"", ""gene_symbol:TMEM219"", ""gene_symbol:MAP2K6"", ""gene_symbol:MAZ"", ""gene_symbol:CCT7"", ""gene_symbol:PAXIP1"", ""gene_symbol:PPP4R3B"")","0.00104493207941484","0.016968931741659","0.818182809078915","1.72361403341961","1","21","c(""hmdb:HMDB0000086"", ""hmdb:HMDB0252858"", ""hmdb:HMDB0000095"", ""hmdb:HMDB0243501"", ""hmdb:HMDB0000232"", ""hmdb:HMDB0000097"", ""hmdb:HMDB0004080"", ""hmdb:HMDB0247676"", ""hmdb:HMDB0002088"", ""hmdb:HMDB0247608"")"
"2","4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression(wiki)","0.00810810810810811","0.0272763702747228","0.241267495037632","0.585544891796211","1.63098434690707","18","c(""gene_symbol:EIF4EBP1"", ""gene_symbol:PBK"", ""gene_symbol:MAP2K3"", ""gene_symbol:MKNK2"", ""gene_symbol:MAP3K11"", ""gene_symbol:AKT1"", ""gene_symbol:MAP2K6"", ""gene_symbol:RAF1"", ""gene_symbol:EIF4E"", ""gene_symbol:MKNK1"", ""gene_symbol:MAP2K2"", ""gene_symbol:PRKAA1"")","0.0475938656795346","0.190161075935798","0.790197292664518","1.4303811289559","89","9","c(""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"", ""hmdb:HMDB0036799"")"
"3","Abacavir ADME(reactome)","0.0340909090909091","0.0899982370570606","0.12715460462341","0.755913510916863","1.50656240786981","5","c(""gene_symbol:ABCG2"", ""gene_symbol:ABCB1"")","0.139473684210526","0.405616911130285","0.741684629346982","1.31958532271286","264","8","c(""hmdb:HMDB0000195"", ""hmdb:HMDB0003040"", ""hmdb:HMDB0247301"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"", ""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"")"
"4","Abacavir transport and metabolism(wiki)","0.0313240326401685","0.0839663882891149","0.13095021494656","0.72433510943701","1.51760597232248","6","c(""gene_symbol:ABCG2"", ""gene_symbol:ABCB1"")","0.180856689582232","0.486858524004369","0.708439196610207","1.2823861423607","341","9","c(""hmdb:HMDB0000195"", ""hmdb:HMDB0003040"", ""hmdb:HMDB0247301"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"", ""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"")"
"5","Acetylcholine Neurotransmitter Release Cycle(reactome)","4.0708772630475e-09","8.56982615581751e-08","0.761460801445585","-0.834362744962308","-3.16916144177708","16","c(""gene_symbol:SNAP25"", ""gene_symbol:CPLX1"", ""gene_symbol:RIMS1"", ""gene_symbol:SYT1"", ""gene_symbol:STX1A"", ""gene_symbol:PPFIA3"", ""gene_symbol:PPFIA2"", ""gene_symbol:RAB3A"", ""gene_symbol:TSPOAP1"", ""gene_symbol:CHAT"", ""gene_symbol:UNC13B"", ""gene_symbol:SLC5A7"", ""gene_symbol:VAMP2"", ""gene_symbol:STXBP1"")","0.0896130346232179","0.294395413743683","0.95479704797048","1.27231055160431","131","1","hmdb:HMDB0000097"
"6","Acquired partial lipodystrophy / Barraquer-Simons syndrome(wiki)","0.0125061304561059","0.0388069249349906","0.20198427807383","0.690509855879762","1.62352899285232","9","c(""gene_symbol:CFB"", ""gene_symbol:C3"", ""gene_symbol:LMNB1"", ""gene_symbol:LMNA"", ""gene_symbol:LMNB2"", ""gene_symbol:RCE1"")","0.254468085106383","0.562089023515453","-0.801477377654663","-1.24458176587743","298","3","c(""hmdb:HMDB0251515"", ""hmdb:HMDB0003417"", ""hmdb:HMDB0000574"")"
"7","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(reactome)","0.0391900718484651","0.100979339702922","0.105731301924198","0.48422791473552","1.44641777430902","26","c(""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:H2BC11"", ""gene_symbol:H3C14"", ""gene_symbol:H2AX"", ""gene_symbol:H2AJ"", ""gene_symbol:KDM1A"", ""gene_symbol:PKN1"", ""gene_symbol:H4C16"")","0.00324851109907959","0.030491315818874","0.939172487603833","1.54596932874604","5","5","c(""hmdb:HMDB0000053"", ""hmdb:HMDB0247882"")"
"8","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(wiki)","0.0391900718484651","0.100979339702922","0.105731301924198","0.48422791473552","1.44641777430902","26","c(""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:H2BC11"", ""gene_symbol:H3C14"", ""gene_symbol:H2AX"", ""gene_symbol:H2AJ"", ""gene_symbol:KDM1A"", ""gene_symbol:PKN1"", ""gene_symbol:H4C16"")","0.00324851109907959","0.030491315818874","0.939172487603833","1.54596932874604","5","5","c(""hmdb:HMDB0000053"", ""hmdb:HMDB0247882"")"
"9","Activation of AMPA receptors(reactome)","0.000134249839090127","0.00083706311884592","0.518848077743792","-0.942348989593084","-2.04064535146749","4","c(""gene_symbol:GRIA3"", ""gene_symbol:GRIA4"", ""gene_symbol:GRIA2"", ""gene_symbol:GRIA1"")","0.241702127659574","0.559762018936351","-0.811634349030471","-1.260354115445","283","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"10","Activation of anterior HOX genes in hindbrain development during early embryogenesis(reactome)","0.000298762054541894","0.001646618395073","0.49849310876659","0.485407975794542","1.68014692388997","71","c(""gene_symbol:EZH2"", ""gene_symbol:AJUBA"", ""gene_symbol:RARG"", ""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:EED"", ""gene_symbol:H2BC11"", ""gene_symbol:PAX6"", ""gene_symbol:WDR5"", ""gene_symbol:POLR2A"", ""gene_symbol:RARA"", ""gene_symbol:SUZ12"", ""gene_symbol:HDAC3"", ""gene_symbol:PCGF2"", ""gene_symbol:CNOT6"", ""gene_symbol:H3C14"", ""gene_symbol:CNOT9"", ""gene_symbol:H2AX"", ""gene_symbol:KMT2D"", ""gene_symbol:RBBP4"", ""gene_symbol:MAFB"", ""gene_symbol:H2AJ"", ""gene_symbol:POLR2D"", ""gene_symbol:POLR2F"", ""gene_symbol:JUN"", 
""gene_symbol:POLR2H"", ""gene_symbol:ASH2L"", ""gene_symbol:YY1"", ""gene_symbol:POLR2G"", ""gene_symbol:H4C16"", ""gene_symbol:NCOA3"", ""gene_symbol:PAXIP1"", ""gene_symbol:EP300"", ""gene_symbol:CTCF"", ""gene_symbol:POLR2K"", ""gene_symbol:PIAS2"", ""gene_symbol:PKNOX1"", ""gene_symbol:PAGR1"", ""gene_symbol:POLR2E"", ""gene_symbol:RBBP7"", ""gene_symbol:RXRA"", ""gene_symbol:POLR2B"", ""gene_symbol:POLR2J"", ""gene_symbol:POLR2C"", ""gene_symbol:NCOA6"", ""gene_symbol:ZNF335"", ""gene_symbol:CREBBP"", ""gene_symbol:POLR2I"", ""gene_symbol:POLR2L"", 
""gene_symbol:H2AZ2"")","0.00703844071467244","0.046764770890745","0.918207024029575","1.51145813503396","12","5","c(""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"")"
