"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","15q13.3 copy number variation syndrome(wiki)","0.219594594594595","0.383059629135862","-0.809061488673139","-1.26817490101242","324","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"2","22q11.2 copy number variation syndrome(wiki)","0.157826649417853","0.310476341219874","-0.728582890493692","-1.32506310358223","243","7","c(""hmdb:HMDB0002104"", ""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"", ""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"3","2q11.2 copy number variation syndrome(wiki)","0.149901380670611","0.310476341219874","0.894991922455573","1.30868582073058","227","2","c(""hmdb:HMDB0000126"", ""hmdb:HMDB0252849"")"
"4","2q13 copy number variation syndrome(wiki)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"5","3q29 copy number variation syndrome(wiki)","0.0623306233062331","0.168087434773828","-0.969354838709677","-1.29483861167184","91","1","hmdb:HMDB0000250"
"6","7q11.23 copy number variation syndrome(wiki)","0.219594594594595","0.383059629135862","-0.809061488673139","-1.26817490101242","324","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"7","Abacavir ADME(reactome)","0.24710687542546","0.413200422875164","0.763367782248588","1.27244141711887","362","5","c(""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"")"
"8","Abacavir metabolism(reactome)","0.0712844653665097","0.185173001853571","0.922757888442682","1.49317754974296","105","4","c(""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"")"
"9","Abacavir transmembrane transport(reactome)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"10","Abacavir transport and metabolism(wiki)","0.24710687542546","0.413200422875164","0.763367782248588","1.27244141711887","362","5","c(""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"")"
"11","ABC transporter disorders(reactome)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"12","ABC transporters in lipid homeostasis(reactome)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"13","ABC-family proteins mediated transport(reactome)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"14","ABC-family proteins mediated transport(wiki)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"15","Acrylamide biotransformation and exposure biomarkers(wiki)","0.0111768573307035","0.168087434773828","0.990306946688207","1.44805849838962","16","2","c(""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"16","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(reactome)","0.0386125654450262","0.168087434773828","0.985483870967742","1.31416542480217","58","1","hmdb:HMDB0000254"
"17","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(wiki)","0.0386125654450262","0.168087434773828","0.985483870967742","1.31416542480217","58","1","hmdb:HMDB0000254"
"18","Activation of AMPA receptors(reactome)","0.219594594594595","0.383059629135862","-0.809061488673139","-1.26817490101242","324","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"19","Activation of BAD and translocation to mitochondria(reactome)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"20","Activation of BH3-only proteins(reactome)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"21","Activation of Ca-permeable Kainate Receptor(reactome)","0.219594594594595","0.383059629135862","-0.809061488673139","-1.26817490101242","324","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"22","Activation of GABAB receptors(reactome)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"23","Activation of kainate receptors upon glutamate binding(reactome)","0.219594594594595","0.383059629135862","-0.809061488673139","-1.26817490101242","324","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"24","Activation of kainate receptors upon glutamate binding(wiki)","0.219594594594595","0.383059629135862","-0.809061488673139","-1.26817490101242","324","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"25","Activation of Na-permeable kainate receptors(reactome)","0.219594594594595","0.383059629135862","-0.809061488673139","-1.26817490101242","324","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"26","Activation of NMDA receptors and postsynaptic events(reactome)","0.115659519168291","0.263773254775573","-0.777406035779794","-1.36957449798926","177","6","c(""hmdb:HMDB0001429"", ""hmdb:HMDB0000250"", ""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"27","Activation of PPARGC1A (PGC-1alpha) by phosphorylation(reactome)","0.291913214990138","0.459102684393459","0.793214862681745","1.15986414797602","443","2","c(""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"")"
"28","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S(reactome)","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"29","Activation of the phototransduction cascade(reactome)","0.0748031496062992","0.190809345553117","0.927184466019418","1.44980570514399","113","3","c(""hmdb:HMDB0001314"", ""hmdb:HMDB0001397"", ""hmdb:HMDB0257693"")"
