"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"1","2q11.2 copy number variation syndrome(wiki)","0.00918214819560111","0.0300479913708613","0.220351756546674","0.502664645056934","1.55996559495352","32","c(""gene_symbol:NEURL3"", ""gene_symbol:NCAPH"", ""gene_symbol:DUSP2"", ""gene_symbol:SEMA4C"", ""gene_symbol:PLXNB2"", ""gene_symbol:ARID5A"", ""gene_symbol:ERBB2"", ""gene_symbol:CIAO2A"", ""gene_symbol:MMS19"", ""gene_symbol:ITPRIPL1"", ""gene_symbol:ANKRD23"", ""gene_symbol:RHOA"", ""gene_symbol:CNNM4"")","0.149901380670611","0.310476341219874","0.894991922455573","1.30868582073058","227","2","c(""hmdb:HMDB0000126"", ""hmdb:HMDB0252849"")"
"2","2q13 copy number variation syndrome(wiki)","0.000231375582107986","0.00133277556745982","0.518848077743792","0.549503707441048","1.78317905140399","43","c(""gene_symbol:LGALS3"", ""gene_symbol:CKAP2L"", ""gene_symbol:MIR4435-2HG"", ""gene_symbol:SOCS3"", ""gene_symbol:IL1B"", ""gene_symbol:PSD4"", ""gene_symbol:PLCG2"", ""gene_symbol:CSF1"", ""gene_symbol:STAT1"", ""gene_symbol:SOCS1"", ""gene_symbol:BCL2L11"", ""gene_symbol:IL1A"", ""gene_symbol:POLR1E"", ""gene_symbol:ARF6"", ""gene_symbol:POLR1B"", ""gene_symbol:IL1R1"", ""gene_symbol:POLR1C"", ""gene_symbol:POLR1D"", ""gene_symbol:POLR1F"", ""gene_symbol:POLR2F"", ""gene_symbol:ANAPC1"", ""gene_symbol:POLR2H"", ""gene_symbol:POLR1A"")","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"3","Abacavir ADME(reactome)","0.0340909090909091","0.0899982370570606","0.12715460462341","0.755913510916863","1.50656240786981","5","c(""gene_symbol:ABCG2"", ""gene_symbol:ABCB1"")","0.24710687542546","0.413200422875164","0.763367782248588","1.27244141711887","362","5","c(""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"")"
"4","Abacavir transport and metabolism(wiki)","0.0313240326401685","0.0839663882891149","0.13095021494656","0.72433510943701","1.51760597232248","6","c(""gene_symbol:ABCG2"", ""gene_symbol:ABCB1"")","0.24710687542546","0.413200422875164","0.763367782248588","1.27244141711887","362","5","c(""hmdb:HMDB0000175"", ""hmdb:HMDB0257686"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"")"
"5","ABC transporter disorders(reactome)","0.0164667615368977","0.0491236333942223","0.159495926741491","0.416234640911358","1.43919411756614","70","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:PSMA5"", ""gene_symbol:PSME4"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:PSMA7"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:PSMB2"", ""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:PSME3"", ""gene_symbol:ABCD4"", ""gene_symbol:PSMB4"", ""gene_symbol:DERL1"", 
""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:ABCA1"", ""gene_symbol:PSMA2"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", ""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:ERLIN2"", ""gene_symbol:PSMD10"", ""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", 
""gene_symbol:RNF185"")","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"6","ABC-family proteins mediated transport(reactome)","0.0276042716099134","0.0759163941110345","0.121785976347576","0.379851115348467","1.35068626390554","93","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:ABCB1"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:ABCC1"", ""gene_symbol:EIF2S1"", ""gene_symbol:PSMA5"", ""gene_symbol:PSME4"", ""gene_symbol:ABCC3"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:EIF2S2"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:PSMA7"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:ABCA7"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:PSMB2"", 
""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:ABCF1"", ""gene_symbol:PSME3"", ""gene_symbol:PSMB4"", ""gene_symbol:ABCC4"", ""gene_symbol:DERL1"", ""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:EIF2S3"", ""gene_symbol:PSMA2"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", ""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:ERLIN2"", ""gene_symbol:PSMD10"", 
""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", ""gene_symbol:RNF185"", ""gene_symbol:ABCB10"")","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"7","ABC-family proteins mediated transport(wiki)","0.0276042716099134","0.0759163941110345","0.121785976347576","0.379851115348467","1.35068626390554","93","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:ABCB1"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:ABCC1"", ""gene_symbol:EIF2S1"", ""gene_symbol:PSMA5"", ""gene_symbol:PSME4"", ""gene_symbol:ABCC3"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:EIF2S2"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:PSMA7"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:ABCA7"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:PSMB2"", 
""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:ABCF1"", ""gene_symbol:PSME3"", ""gene_symbol:PSMB4"", ""gene_symbol:ABCC4"", ""gene_symbol:DERL1"", ""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:EIF2S3"", ""gene_symbol:PSMA2"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", ""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:ERLIN2"", ""gene_symbol:PSMD10"", 
""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", ""gene_symbol:RNF185"", ""gene_symbol:ABCB10"")","0.0569105691056911","0.168087434773828","-0.97258064516129","-1.29914755879887","83","1","hmdb:HMDB0001429"
"8","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(reactome)","0.0391900718484651","0.100979339702922","0.105731301924198","0.48422791473552","1.44641777430902","26","c(""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:H2BC11"", ""gene_symbol:H3C14"", ""gene_symbol:H2AX"", ""gene_symbol:H2AJ"", ""gene_symbol:KDM1A"", ""gene_symbol:PKN1"", ""gene_symbol:H4C16"")","0.0386125654450262","0.168087434773828","0.985483870967742","1.31416542480217","58","1","hmdb:HMDB0000254"
"9","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(wiki)","0.0391900718484651","0.100979339702922","0.105731301924198","0.48422791473552","1.44641777430902","26","c(""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:H2BC11"", ""gene_symbol:H3C14"", ""gene_symbol:H2AX"", ""gene_symbol:H2AJ"", ""gene_symbol:KDM1A"", ""gene_symbol:PKN1"", ""gene_symbol:H4C16"")","0.0386125654450262","0.168087434773828","0.985483870967742","1.31416542480217","58","1","hmdb:HMDB0000254"
"10","Activation of AMPA receptors(reactome)","0.000134249839090127","0.00083706311884592","0.518848077743792","-0.942348989593084","-2.04064535146749","4","c(""gene_symbol:GRIA3"", ""gene_symbol:GRIA4"", ""gene_symbol:GRIA2"", ""gene_symbol:GRIA1"")","0.219594594594595","0.383059629135862","-0.809061488673139","-1.26817490101242","324","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
