"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","15q13.3 copy number variation syndrome(wiki)","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"2","16p11.2 proximal deletion syndrome(wiki)","0.205458680818802","0.56412287181518","-0.660940097040821","-1.29183136296143","270","12","c(""hmdb:HMDB0247608"", ""hmdb:HMDB0002088"")"
"3","22q11.2 copy number variation syndrome(wiki)","0.0192175703500343","0.117322128322553","0.63304816344135","1.5781257835884","27","38","c(""hmdb:HMDB0000517"", ""hmdb:HMDB0003416"", ""hmdb:HMDB0251511"", ""hmdb:HMDB0000162"", ""hmdb:HMDB0003411"", ""hmdb:HMDB0251528"", ""hmdb:HMDB0000182"", ""hmdb:HMDB0003405"", ""hmdb:HMDB0006254"", ""hmdb:HMDB0062762"", ""hmdb:HMDB0001358"", ""hmdb:HMDB0002152"", ""hmdb:HMDB0006218"", ""hmdb:HMDB0006220"", ""hmdb:HMDB0244342"")"
"4","3q29 copy number variation syndrome(wiki)","0.226640159045726","0.594878051469372","-0.883804627249357","-1.17593007162405","341","1","hmdb:HMDB0001565"
"5","7q11.23 copy number variation syndrome(wiki)","0.0732899022801303","0.31190862395242","-0.858716208395095","-1.47317260917171","89","6","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"", ""hmdb:HMDB0000112"")"
"6","Abacavir transmembrane transport(reactome)","0.18673647469459","0.521979909579365","0.84619341563786","1.25290097038687","320","2","c(""hmdb:HMDB0015182"", ""hmdb:HMDB0251820"")"
"7","ABC transporter disorders(reactome)","0.299435028248588","0.691879499330753","-0.781424011613504","-1.21936243028304","370","3","c(""hmdb:HMDB0251842"", ""hmdb:HMDB0000067"")"
"8","ABC transporters in lipid homeostasis(reactome)","0.166796570537802","0.483737468096375","-0.898662551440329","-1.31893265756607","213","2","c(""hmdb:HMDB0251842"", ""hmdb:HMDB0000067"")"
"9","Acetylation(reactome)","0.0648252536640361","0.282367669334145","0.801927765921318","1.41200440737728","114","6","c(""hmdb:HMDB0246329"", ""hmdb:HMDB0001392"", ""hmdb:HMDB0304171"")"
"10","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(reactome)","0.0180758017492711","0.117322128322553","0.83777136023103","1.58828566526388","30","9","c(""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"", ""hmdb:HMDB0000234"", ""hmdb:HMDB0000628"", ""hmdb:HMDB0242698"")"
"11","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(wiki)","0.0180758017492711","0.117322128322553","0.83777136023103","1.58828566526388","30","9","c(""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"", ""hmdb:HMDB0000234"", ""hmdb:HMDB0000628"", ""hmdb:HMDB0242698"")"
"12","Activation of AMPA receptors(reactome)","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"13","Activation of anterior HOX genes in hindbrain development during early embryogenesis(reactome)","0.161107970604862","0.483737468096375","0.754250386398764","1.28470370362651","284","5","c(""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"")"
"14","Activation of anterior HOX genes in hindbrain development during early embryogenesis(wiki)","0.161107970604862","0.483737468096375","0.754250386398764","1.28470370362651","284","5","c(""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"")"
"15","Activation of Ca-permeable Kainate Receptor(reactome)","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"16","Activation of G protein gated Potassium channels(reactome)","0.169648774022531","0.483737468096375","-0.919280205655527","-1.22313145320757","255","1","hmdb:HMDB0000112"
"17","Activation of GABAB receptors(reactome)","0.169648774022531","0.483737468096375","-0.919280205655527","-1.22313145320757","255","1","hmdb:HMDB0000112"
"18","Activation of gene expression by SREBF (SREBP)(reactome)","0.0075801749271137","0.0797322103444553","0.872752178164013","1.65460391666226","12","9","c(""hmdb:HMDB0000673"", ""hmdb:HMDB0006270"", ""hmdb:HMDB0247706"", ""hmdb:HMDB0001388"", ""hmdb:HMDB0030964"")"
"19","Activation of gene expression by SREBF (SREBP)(wiki)","0.0075801749271137","0.0797322103444553","0.872752178164013","1.65460391666226","12","9","c(""hmdb:HMDB0000673"", ""hmdb:HMDB0006270"", ""hmdb:HMDB0247706"", ""hmdb:HMDB0001388"", ""hmdb:HMDB0030964"")"
"20","Activation of HOX genes during differentiation(reactome)","0.161107970604862","0.483737468096375","0.754250386398764","1.28470370362651","284","5","c(""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"")"
"21","Activation of kainate receptors upon glutamate binding(reactome)","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"22","Activation of kainate receptors upon glutamate binding(wiki)","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"23","Activation of Na-permeable kainate receptors(reactome)","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"24","Activation of NMDA receptors and postsynaptic events(reactome)","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"25","Aflatoxin activation and detoxification(reactome)","0.144706778370145","0.483737468096375","-0.723007058507606","-1.3592867187789","189","10","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"26","Aflatoxin activation and detoxification(wiki)","0.144706778370145","0.483737468096375","-0.723007058507606","-1.3592867187789","189","10","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"27","Agmatine biosynthesis(reactome)","0.00340715502555366","0.0549790924577977","0.959944278143774","1.56712720256716","5","4","c(""hmdb:HMDB0000517"", ""hmdb:HMDB0003416"", ""hmdb:HMDB0251511"", ""hmdb:HMDB0062762"")"
"28","ALA oxylipin metabolism(wiki)","0.000619195046439629","0.0243684788577705","0.890003215721428","1.86156878930238","0","15","c(""hmdb:HMDB0010201"", ""hmdb:HMDB0010208"", ""hmdb:HMDB0010221"", ""hmdb:HMDB0010200"", ""hmdb:HMDB0010203"", ""hmdb:HMDB0010206"", ""hmdb:HMDB0010220"", ""hmdb:HMDB0030950"", ""hmdb:HMDB0031088"", ""hmdb:HMDB0031934"", ""hmdb:HMDB0244523"", ""hmdb:HMDB0247705"", ""hmdb:HMDB0001388"", ""hmdb:HMDB0030964"")"
"29","Alanine and aspartate metabolism(wiki)","0.182337992376112","0.511699504296598","0.582388044939371","1.26409365547233","286","18","c(""hmdb:HMDB0000033"", ""hmdb:HMDB0256117"", ""hmdb:HMDB0000201"")"
"30","Alanine metabolism(reactome)","0.0724755700325733","0.309985871826067","-0.861340206185567","-1.47767421474717","88","6","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"", ""hmdb:HMDB0062251"", ""hmdb:HMDB0001310"", ""hmdb:HMDB0000161"")"
"31","Alanine metabolism(wiki)","0.0724755700325733","0.309985871826067","-0.861340206185567","-1.47767421474717","88","6","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"", ""hmdb:HMDB0062251"", ""hmdb:HMDB0001310"", ""hmdb:HMDB0000161"")"
"32","Alanine, aspartate and glutamate metabolism(kegg)","0.0316586373021335","0.164699565053966","0.590289733731074","1.50384561080899","45","42","c(""hmdb:HMDB0000517"", ""hmdb:HMDB0003416"", ""hmdb:HMDB0251511"", ""hmdb:HMDB0062762"", ""hmdb:HMDB0000904"", ""hmdb:HMDB0250742"")"
