"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"1","16p11.2 proximal deletion syndrome(wiki)","0.000410010741456342","0.00217110847651678","0.49849310876659","0.476720651335874","1.64833363129668","70","c(""gene_symbol:IGFBP3"", ""gene_symbol:MSN"", ""gene_symbol:SPN"", ""gene_symbol:CASP8"", ""gene_symbol:KIF22"", ""gene_symbol:NFKB1"", ""gene_symbol:TP53"", ""gene_symbol:MAP2K3"", ""gene_symbol:C16orf54"", ""gene_symbol:MVP"", ""gene_symbol:PCNA"", ""gene_symbol:PPP4C"", ""gene_symbol:PPP4R1"", ""gene_symbol:CCT3"", ""gene_symbol:REL"", ""gene_symbol:CCT4"", ""gene_symbol:CCT2"", ""gene_symbol:PARP4"", ""gene_symbol:HDAC3"", ""gene_symbol:TRAF2"", ""gene_symbol:CORO1A"", ""gene_symbol:KMT2D"", ""gene_symbol:CCT6A"", ""gene_symbol:CCT8"", ""gene_symbol:PPP4R3A"", 
""gene_symbol:CCT5"", ""gene_symbol:PPP4R2"", ""gene_symbol:ESR1"", ""gene_symbol:GDPD3"", ""gene_symbol:CCDC6"", ""gene_symbol:TRAF6"", ""gene_symbol:TCP1"", ""gene_symbol:TMEM219"", ""gene_symbol:MAP2K6"", ""gene_symbol:MAZ"", ""gene_symbol:CCT7"", ""gene_symbol:PAXIP1"", ""gene_symbol:PPP4R3B"")","0.205458680818802","0.56412287181518","-0.660940097040821","-1.29183136296143","270","12","c(""hmdb:HMDB0247608"", ""hmdb:HMDB0002088"")"
"2","ABC transporter disorders(reactome)","0.0164667615368977","0.0491236333942223","0.159495926741491","0.416234640911358","1.43919411756614","70","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:PSMA5"", ""gene_symbol:PSME4"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:PSMA7"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:PSMB2"", ""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:PSME3"", ""gene_symbol:ABCD4"", ""gene_symbol:PSMB4"", ""gene_symbol:DERL1"", 
""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:ABCA1"", ""gene_symbol:PSMA2"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", ""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:ERLIN2"", ""gene_symbol:PSMD10"", ""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", 
""gene_symbol:RNF185"")","0.299435028248588","0.691879499330753","-0.781424011613504","-1.21936243028304","370","3","c(""hmdb:HMDB0251842"", ""hmdb:HMDB0000067"")"
"3","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(reactome)","0.0391900718484651","0.100979339702922","0.105731301924198","0.48422791473552","1.44641777430902","26","c(""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:H2BC11"", ""gene_symbol:H3C14"", ""gene_symbol:H2AX"", ""gene_symbol:H2AJ"", ""gene_symbol:KDM1A"", ""gene_symbol:PKN1"", ""gene_symbol:H4C16"")","0.0180758017492711","0.117322128322553","0.83777136023103","1.58828566526388","30","9","c(""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"", ""hmdb:HMDB0000234"", ""hmdb:HMDB0000628"", ""hmdb:HMDB0242698"")"
"4","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(wiki)","0.0391900718484651","0.100979339702922","0.105731301924198","0.48422791473552","1.44641777430902","26","c(""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:H2BC11"", ""gene_symbol:H3C14"", ""gene_symbol:H2AX"", ""gene_symbol:H2AJ"", ""gene_symbol:KDM1A"", ""gene_symbol:PKN1"", ""gene_symbol:H4C16"")","0.0180758017492711","0.117322128322553","0.83777136023103","1.58828566526388","30","9","c(""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"", ""hmdb:HMDB0000234"", ""hmdb:HMDB0000628"", ""hmdb:HMDB0242698"")"
"5","Activation of AMPA receptors(reactome)","0.000134249839090127","0.00083706311884592","0.518848077743792","-0.942348989593084","-2.04064535146749","4","c(""gene_symbol:GRIA3"", ""gene_symbol:GRIA4"", ""gene_symbol:GRIA2"", ""gene_symbol:GRIA1"")","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"6","Activation of anterior HOX genes in hindbrain development during early embryogenesis(reactome)","0.000298762054541894","0.001646618395073","0.49849310876659","0.485407975794542","1.68014692388997","71","c(""gene_symbol:EZH2"", ""gene_symbol:AJUBA"", ""gene_symbol:RARG"", ""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:EED"", ""gene_symbol:H2BC11"", ""gene_symbol:PAX6"", ""gene_symbol:WDR5"", ""gene_symbol:POLR2A"", ""gene_symbol:RARA"", ""gene_symbol:SUZ12"", ""gene_symbol:HDAC3"", ""gene_symbol:PCGF2"", ""gene_symbol:CNOT6"", ""gene_symbol:H3C14"", ""gene_symbol:CNOT9"", ""gene_symbol:H2AX"", ""gene_symbol:KMT2D"", ""gene_symbol:RBBP4"", ""gene_symbol:MAFB"", ""gene_symbol:H2AJ"", ""gene_symbol:POLR2D"", ""gene_symbol:POLR2F"", ""gene_symbol:JUN"", 
""gene_symbol:POLR2H"", ""gene_symbol:ASH2L"", ""gene_symbol:YY1"", ""gene_symbol:POLR2G"", ""gene_symbol:H4C16"", ""gene_symbol:NCOA3"", ""gene_symbol:PAXIP1"", ""gene_symbol:EP300"", ""gene_symbol:CTCF"", ""gene_symbol:POLR2K"", ""gene_symbol:PIAS2"", ""gene_symbol:PKNOX1"", ""gene_symbol:PAGR1"", ""gene_symbol:POLR2E"", ""gene_symbol:RBBP7"", ""gene_symbol:RXRA"", ""gene_symbol:POLR2B"", ""gene_symbol:POLR2J"", ""gene_symbol:POLR2C"", ""gene_symbol:NCOA6"", ""gene_symbol:ZNF335"", ""gene_symbol:CREBBP"", ""gene_symbol:POLR2I"", ""gene_symbol:POLR2L"", 
""gene_symbol:H2AZ2"")","0.161107970604862","0.483737468096375","0.754250386398764","1.28470370362651","284","5","c(""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"")"
"7","Activation of anterior HOX genes in hindbrain development during early embryogenesis(wiki)","0.000298762054541894","0.001646618395073","0.49849310876659","0.485407975794542","1.68014692388997","71","c(""gene_symbol:EZH2"", ""gene_symbol:AJUBA"", ""gene_symbol:RARG"", ""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:EED"", ""gene_symbol:H2BC11"", ""gene_symbol:PAX6"", ""gene_symbol:WDR5"", ""gene_symbol:POLR2A"", ""gene_symbol:RARA"", ""gene_symbol:SUZ12"", ""gene_symbol:HDAC3"", ""gene_symbol:PCGF2"", ""gene_symbol:CNOT6"", ""gene_symbol:H3C14"", ""gene_symbol:CNOT9"", ""gene_symbol:H2AX"", ""gene_symbol:KMT2D"", ""gene_symbol:RBBP4"", ""gene_symbol:MAFB"", ""gene_symbol:H2AJ"", ""gene_symbol:POLR2D"", ""gene_symbol:POLR2F"", ""gene_symbol:JUN"", 
""gene_symbol:POLR2H"", ""gene_symbol:ASH2L"", ""gene_symbol:YY1"", ""gene_symbol:POLR2G"", ""gene_symbol:H4C16"", ""gene_symbol:NCOA3"", ""gene_symbol:PAXIP1"", ""gene_symbol:EP300"", ""gene_symbol:CTCF"", ""gene_symbol:POLR2K"", ""gene_symbol:PIAS2"", ""gene_symbol:PKNOX1"", ""gene_symbol:PAGR1"", ""gene_symbol:POLR2E"", ""gene_symbol:RBBP7"", ""gene_symbol:RXRA"", ""gene_symbol:POLR2B"", ""gene_symbol:POLR2J"", ""gene_symbol:POLR2C"", ""gene_symbol:NCOA6"", ""gene_symbol:ZNF335"", ""gene_symbol:CREBBP"", ""gene_symbol:POLR2I"", ""gene_symbol:POLR2L"", 
""gene_symbol:H2AZ2"")","0.161107970604862","0.483737468096375","0.754250386398764","1.28470370362651","284","5","c(""hmdb:HMDB0001852"", ""hmdb:HMDB0002369"", ""hmdb:HMDB0006219"", ""hmdb:HMDB0012874"", ""hmdb:HMDB0244343"")"
"8","Activation of Ca-permeable Kainate Receptor(reactome)","3.06114642765696e-06","3.25565677358099e-05","0.627256739718528","-0.80751809736866","-2.79642289560314","12","c(""gene_symbol:NCALD"", ""gene_symbol:GRIK3"", ""gene_symbol:DLG3"", ""gene_symbol:DLG4"", ""gene_symbol:GRIK4"", ""gene_symbol:GRIK2"", ""gene_symbol:GRIK1"", ""gene_symbol:CALM3"", ""gene_symbol:CALM1"", ""gene_symbol:CALM2"")","0.0193704600484262","0.117322128322553","-0.958311888831703","-1.49538470327031","23","3","c(""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"9","Activation of G protein gated Potassium channels(reactome)","0.000311318012044257","0.00170260409300636","0.49849310876659","-0.480641010643625","-2.1369664149551","27","c(""gene_symbol:KCNJ4"", ""gene_symbol:KCNJ9"", ""gene_symbol:KCNJ3"", ""gene_symbol:GABBR2"", ""gene_symbol:GNG7"", ""gene_symbol:KCNJ6"", ""gene_symbol:GNG3"", ""gene_symbol:GABBR1"", ""gene_symbol:GNB5"", ""gene_symbol:KCNJ16"", ""gene_symbol:KCNJ12"", ""gene_symbol:GNG4"")","0.169648774022531","0.483737468096375","-0.919280205655527","-1.22313145320757","255","1","hmdb:HMDB0000112"
"10","Activation of GABAB receptors(reactome)","4.91806013023814e-06","4.87508678929431e-05","0.610526878385931","-0.464670280181214","-2.30783798681023","40","c(""gene_symbol:KCNJ4"", ""gene_symbol:ADCY1"", ""gene_symbol:KCNJ9"", ""gene_symbol:KCNJ3"", ""gene_symbol:GABBR2"", ""gene_symbol:ADCY5"", ""gene_symbol:ADCY2"", ""gene_symbol:GNG7"", ""gene_symbol:KCNJ6"", ""gene_symbol:ADCY9"", ""gene_symbol:GNAI1"", ""gene_symbol:GNAL"", ""gene_symbol:GNG3"", ""gene_symbol:ADCY8"", ""gene_symbol:GABBR1"", ""gene_symbol:GNB5"", ""gene_symbol:KCNJ16"", ""gene_symbol:KCNJ12"", ""gene_symbol:GNG4"")","0.169648774022531","0.483737468096375","-0.919280205655527","-1.22313145320757","255","1","hmdb:HMDB0000112"
