"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","2q13 copy number variation syndrome(wiki)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"2","4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression(wiki)","0.296079578700995","0.461980317114661","0.787509271555732","1.14521943514314","505","2","c(""hmdb:HMDB0034436"", ""hmdb:HMDB0255782"")"
"3","Abacavir transmembrane transport(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"4","ABC transporter disorders(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"5","ABC transporters in lipid homeostasis(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"6","ABC-family proteins mediated transport(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"7","ABC-family proteins mediated transport(wiki)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"8","Acquired partial lipodystrophy / Barraquer-Simons syndrome(wiki)","0.245585874799358","0.400252646840109","-0.78839590443686","-1.27561317685436","305","3","c(""hmdb:HMDB0251515"", ""hmdb:HMDB0003417"", ""hmdb:HMDB0000574"")"
"9","Acrylamide biotransformation and exposure biomarkers(wiki)","0.0204798127559977","0.248698522613751","0.969387755102041","1.40971254235458","34","2","c(""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"10","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(reactome)","0.258046917621386","0.416154801199957","0.650732340457661","1.21115099307298","472","8","c(""hmdb:HMDB0000254"", ""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"")"
"11","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(wiki)","0.258046917621386","0.416154801199957","0.650732340457661","1.21115099307298","472","8","c(""hmdb:HMDB0000254"", ""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"")"
"12","Activation of BAD and translocation to mitochondria(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"13","Activation of BH3-only proteins(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"14","Activation of GABAB receptors(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"15","Activation of gene expression by SREBF (SREBP)(reactome)","0.0377207062600321","0.248698522613751","-0.925301262267532","-1.497124066812","46","3","c(""hmdb:HMDB0246871"", ""hmdb:HMDB0001043"")"
"16","Activation of gene expression by SREBF (SREBP)(wiki)","0.0377207062600321","0.248698522613751","-0.925301262267532","-1.497124066812","46","3","c(""hmdb:HMDB0246871"", ""hmdb:HMDB0001043"")"
"17","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"18","Activation of the pre-replicative complex(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"19","Adenylate cyclase inhibitory pathway(reactome)","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"20","ADORA2B mediated anti-inflammatory cytokines production(reactome)","0.082","0.248698522613751","0.96271186440678","1.29168461869884","122","1","hmdb:HMDB0000058"
"21","Aflatoxin activation and detoxification(reactome)","0.000557103064066852","0.125513251213139","0.982758620689655","1.73946696405552","0","6","c(""hmdb:HMDB0006558"", ""hmdb:HMDB0030474"", ""hmdb:HMDB0030479"", ""hmdb:HMDB0030753"", ""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"22","Aflatoxin activation and detoxification(wiki)","0.000557103064066852","0.125513251213139","0.982758620689655","1.73946696405552","0","6","c(""hmdb:HMDB0006558"", ""hmdb:HMDB0030474"", ""hmdb:HMDB0030479"", ""hmdb:HMDB0030753"", ""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"23","Aflatoxin B1 metabolism(wiki)","0.000559910414333707","0.125513251213139","1","1.63756060672651","0","4","c(""hmdb:HMDB0006558"", ""hmdb:HMDB0030474"", ""hmdb:HMDB0030479"", ""hmdb:HMDB0030753"")"
"24","Alanine and aspartate metabolism(wiki)","0.0172701949860724","0.248698522613751","0.875675643316114","1.54993181510585","30","6","c(""hmdb:HMDB0000254"", ""hmdb:HMDB0000094"")"
"25","Alanine, aspartate and glutamate metabolism(kegg)","0.294731064763996","0.460410316036671","0.57649271548773","1.17339694351754","536","13","c(""hmdb:HMDB0000254"", ""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"26","ALKBH2 mediated reversal of alkylation damage(reactome)","0.052","0.248698522613751","0.976271186440678","1.30987735980727","77","1","hmdb:HMDB0000254"
"27","ALKBH3 mediated reversal of alkylation damage(reactome)","0.052","0.248698522613751","0.976271186440678","1.30987735980727","77","1","hmdb:HMDB0000254"
"28","Alpha-linolenic (omega-3) and linoleic (omega-6) acid metabolism(wiki)","0.0365448504983389","0.248698522613751","-0.856915663237373","-1.53493350790656","43","5","c(""hmdb:HMDB0251558"", ""hmdb:HMDB0002183"", ""hmdb:HMDB0001429"")"
"29","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism(reactome)","0.0365448504983389","0.248698522613751","-0.856915663237373","-1.53493350790656","43","5","c(""hmdb:HMDB0251558"", ""hmdb:HMDB0002183"", ""hmdb:HMDB0001429"")"
"30","alpha-linolenic acid (ALA) metabolism(reactome)","0.0353618421052632","0.248698522613751","-0.890832403253119","-1.51549569239166","42","4","c(""hmdb:HMDB0251558"", ""hmdb:HMDB0002183"")"
"31","alpha-Linolenic acid metabolism(kegg)","0.00165700082850041","0.202606010393914","-0.923830361005924","-1.72197811244352","1","6","c(""hmdb:HMDB0251558"", ""hmdb:HMDB0002183"", ""hmdb:HMDB0246871"", ""hmdb:HMDB0002177"", ""hmdb:HMDB0001043"")"
"32","Alpha-oxidation of phytanate(reactome)","0.294084186575654","0.460410316036671","0.745722585739419","1.15867277239381","516","3","c(""hmdb:HMDB0000254"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0245755"")"
"33","Alternative pathway of fetal androgen synthesis(wiki)","0.155531801175842","0.292573807806304","0.609694742472794","1.30340860346587","290","17","c(""hmdb:HMDB0000031"", ""hmdb:HMDB0000365"", ""hmdb:HMDB0000490"", ""hmdb:HMDB0000546"", ""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"", ""hmdb:HMDB0245800"")"
