"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"1","2q13 copy number variation syndrome(wiki)","0.000231375582107986","0.00133277556745982","0.518848077743792","0.549503707441048","1.78317905140399","43","c(""gene_symbol:LGALS3"", ""gene_symbol:CKAP2L"", ""gene_symbol:MIR4435-2HG"", ""gene_symbol:SOCS3"", ""gene_symbol:IL1B"", ""gene_symbol:PSD4"", ""gene_symbol:PLCG2"", ""gene_symbol:CSF1"", ""gene_symbol:STAT1"", ""gene_symbol:SOCS1"", ""gene_symbol:BCL2L11"", ""gene_symbol:IL1A"", ""gene_symbol:POLR1E"", ""gene_symbol:ARF6"", ""gene_symbol:POLR1B"", ""gene_symbol:IL1R1"", ""gene_symbol:POLR1C"", ""gene_symbol:POLR1D"", ""gene_symbol:POLR1F"", ""gene_symbol:POLR2F"", ""gene_symbol:ANAPC1"", ""gene_symbol:POLR2H"", ""gene_symbol:POLR1A"")","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"2","4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression(wiki)","0.00810810810810811","0.0272763702747228","0.241267495037632","0.585544891796211","1.63098434690707","18","c(""gene_symbol:EIF4EBP1"", ""gene_symbol:PBK"", ""gene_symbol:MAP2K3"", ""gene_symbol:MKNK2"", ""gene_symbol:MAP3K11"", ""gene_symbol:AKT1"", ""gene_symbol:MAP2K6"", ""gene_symbol:RAF1"", ""gene_symbol:EIF4E"", ""gene_symbol:MKNK1"", ""gene_symbol:MAP2K2"", ""gene_symbol:PRKAA1"")","0.296079578700995","0.461980317114661","0.787509271555732","1.14521943514314","505","2","c(""hmdb:HMDB0034436"", ""hmdb:HMDB0255782"")"
"3","ABC transporter disorders(reactome)","0.0164667615368977","0.0491236333942223","0.159495926741491","0.416234640911358","1.43919411756614","70","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:PSMA5"", ""gene_symbol:PSME4"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:PSMA7"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:PSMB2"", ""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:PSME3"", ""gene_symbol:ABCD4"", ""gene_symbol:PSMB4"", ""gene_symbol:DERL1"", 
""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:ABCA1"", ""gene_symbol:PSMA2"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", ""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:ERLIN2"", ""gene_symbol:PSMD10"", ""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", 
""gene_symbol:RNF185"")","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"4","ABC-family proteins mediated transport(reactome)","0.0276042716099134","0.0759163941110345","0.121785976347576","0.379851115348467","1.35068626390554","93","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:ABCB1"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:ABCC1"", ""gene_symbol:EIF2S1"", ""gene_symbol:PSMA5"", ""gene_symbol:PSME4"", ""gene_symbol:ABCC3"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:EIF2S2"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:PSMA7"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:ABCA7"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:PSMB2"", 
""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:ABCF1"", ""gene_symbol:PSME3"", ""gene_symbol:PSMB4"", ""gene_symbol:ABCC4"", ""gene_symbol:DERL1"", ""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:EIF2S3"", ""gene_symbol:PSMA2"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", ""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:ERLIN2"", ""gene_symbol:PSMD10"", 
""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", ""gene_symbol:RNF185"", ""gene_symbol:ABCB10"")","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"5","ABC-family proteins mediated transport(wiki)","0.0276042716099134","0.0759163941110345","0.121785976347576","0.379851115348467","1.35068626390554","93","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:ABCB1"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:ABCC1"", ""gene_symbol:EIF2S1"", ""gene_symbol:PSMA5"", ""gene_symbol:PSME4"", ""gene_symbol:ABCC3"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:EIF2S2"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:PSMA7"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:ABCA7"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:PSMB2"", 
""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:ABCF1"", ""gene_symbol:PSME3"", ""gene_symbol:PSMB4"", ""gene_symbol:ABCC4"", ""gene_symbol:DERL1"", ""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:EIF2S3"", ""gene_symbol:PSMA2"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", ""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:ERLIN2"", ""gene_symbol:PSMD10"", 
""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", ""gene_symbol:RNF185"", ""gene_symbol:ABCB10"")","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"6","Acquired partial lipodystrophy / Barraquer-Simons syndrome(wiki)","0.0125061304561059","0.0388069249349906","0.20198427807383","0.690509855879762","1.62352899285232","9","c(""gene_symbol:CFB"", ""gene_symbol:C3"", ""gene_symbol:LMNB1"", ""gene_symbol:LMNA"", ""gene_symbol:LMNB2"", ""gene_symbol:RCE1"")","0.245585874799358","0.400252646840109","-0.78839590443686","-1.27561317685436","305","3","c(""hmdb:HMDB0251515"", ""hmdb:HMDB0003417"", ""hmdb:HMDB0000574"")"
"7","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(reactome)","0.0391900718484651","0.100979339702922","0.105731301924198","0.48422791473552","1.44641777430902","26","c(""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:H2BC11"", ""gene_symbol:H3C14"", ""gene_symbol:H2AX"", ""gene_symbol:H2AJ"", ""gene_symbol:KDM1A"", ""gene_symbol:PKN1"", ""gene_symbol:H4C16"")","0.258046917621386","0.416154801199957","0.650732340457661","1.21115099307298","472","8","c(""hmdb:HMDB0000254"", ""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"")"
"8","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3(wiki)","0.0391900718484651","0.100979339702922","0.105731301924198","0.48422791473552","1.44641777430902","26","c(""gene_symbol:H2AZ1"", ""gene_symbol:H3-3A"", ""gene_symbol:H2BC11"", ""gene_symbol:H3C14"", ""gene_symbol:H2AX"", ""gene_symbol:H2AJ"", ""gene_symbol:KDM1A"", ""gene_symbol:PKN1"", ""gene_symbol:H4C16"")","0.258046917621386","0.416154801199957","0.650732340457661","1.21115099307298","472","8","c(""hmdb:HMDB0000254"", ""hmdb:HMDB0002961"", ""hmdb:HMDB0006770"", ""hmdb:HMDB0062608"", ""hmdb:HMDB0243561"")"
"9","Activation of GABAB receptors(reactome)","4.91806013023814e-06","4.87508678929431e-05","0.610526878385931","-0.464670280181214","-2.30783798681023","40","c(""gene_symbol:KCNJ4"", ""gene_symbol:ADCY1"", ""gene_symbol:KCNJ9"", ""gene_symbol:KCNJ3"", ""gene_symbol:GABBR2"", ""gene_symbol:ADCY5"", ""gene_symbol:ADCY2"", ""gene_symbol:GNG7"", ""gene_symbol:KCNJ6"", ""gene_symbol:ADCY9"", ""gene_symbol:GNAI1"", ""gene_symbol:GNAL"", ""gene_symbol:GNG3"", ""gene_symbol:ADCY8"", ""gene_symbol:GABBR1"", ""gene_symbol:GNB5"", ""gene_symbol:KCNJ16"", ""gene_symbol:KCNJ12"", ""gene_symbol:GNG4"")","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
"10","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S(reactome)","4.26367020037298e-12","1.47566348290875e-10","0.887074988399873","0.678849907266841","2.29837461205077","58","c(""gene_symbol:EIF4EBP1"", ""gene_symbol:PABPC1"", ""gene_symbol:RPS2"", ""gene_symbol:RPS12"", ""gene_symbol:RPS27L"", ""gene_symbol:RPS20"", ""gene_symbol:RPS18"", ""gene_symbol:RPS3A"", ""gene_symbol:RPS9"", ""gene_symbol:RPS16"", ""gene_symbol:RPS28"", ""gene_symbol:RPSA"", ""gene_symbol:RPS4X"", ""gene_symbol:RPS19"", ""gene_symbol:RPS8"", ""gene_symbol:RPS17"", ""gene_symbol:RPS10"", ""gene_symbol:RPS5"", ""gene_symbol:RPS11"", ""gene_symbol:EIF3A"", ""gene_symbol:RPS3"", ""gene_symbol:RPS27A"", ""gene_symbol:EIF4A1"", ""gene_symbol:RPS23"", 
""gene_symbol:FAU"", ""gene_symbol:RPS13"", ""gene_symbol:RPS7"", ""gene_symbol:EIF2S1"", ""gene_symbol:RPS27"", ""gene_symbol:RPS14"", ""gene_symbol:EIF3L"", ""gene_symbol:RPS26"", ""gene_symbol:RPS24"", ""gene_symbol:RPS15A"", ""gene_symbol:RPS25"", ""gene_symbol:EIF2S2"", ""gene_symbol:EIF1AX"", ""gene_symbol:EIF3D"", ""gene_symbol:EIF4G1"", ""gene_symbol:EIF3E"", ""gene_symbol:RPS6"", ""gene_symbol:EIF3B"", ""gene_symbol:RPS29"", ""gene_symbol:RPS15"", ""gene_symbol:RPS21"", ""gene_symbol:EIF3H"", ""gene_symbol:EIF3J"", ""gene_symbol:EIF3I"", 
""gene_symbol:EIF3G"", ""gene_symbol:EIF3K"")","0.129161118508655","0.248698522613751","-0.938983050847458","-1.24145148576342","193","1","hmdb:HMDB0001429"
