"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","Alanine, aspartate and glutamate metabolism(kegg)","0.061794734013971","0.675521985432965","-0.726310175648003","-1.50923267665128","114","12","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"", ""hmdb:HMDB0250742"", ""hmdb:HMDB0000904"")"
"2","Alternative pathway of fetal androgen synthesis(wiki)","0.137225170583776","0.726273068603549","0.898203592814371","1.32583536767062","180","2","c(""hmdb:HMDB0000253"", ""hmdb:HMDB0244633"")"
"3","Amine Oxidase reactions(reactome)","0.00682335102350265","0.21379833206975","0.994011976047904","1.46725780688882","8","2","c(""hmdb:HMDB0001256"", ""hmdb:HMDB0001257"")"
"4","Amino Acid conjugation(reactome)","0.157239819004525","0.726273068603549","-0.799694494419024","-1.30679412538344","277","4","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"", ""hmdb:HMDB0000714"")"
"5","Amino acid conjugation(wiki)","0.0302670623145401","0.449226924878963","-0.964071856287425","-1.36978921782526","50","2","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"6","Amino Sugar Metabolism(kegg)","0.175373134328358","0.726273068603549","-0.635866510941891","-1.3400262033834","328","13","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"7","Androgen biosynthesis(reactome)","0.137225170583776","0.726273068603549","0.898203592814371","1.32583536767062","180","2","c(""hmdb:HMDB0000253"", ""hmdb:HMDB0244633"")"
"8","Arachidonate epoxygenase / epoxide hydrolase(wiki)","0.0057660626029654","0.21379833206975","0.945121951219512","1.7452156330162","6","5","c(""hmdb:HMDB0002265"", ""hmdb:HMDB0002311"", ""hmdb:HMDB0002314"", ""hmdb:HMDB0002343"", ""hmdb:HMDB0244588"")"
"9","Arachidonic acid (AA, ARA) oxylipin metabolism(wiki)","0.00165152766308836","0.163620539599652","0.950920245398773","1.8579156090751","1","6","c(""hmdb:HMDB0002265"", ""hmdb:HMDB0002311"", ""hmdb:HMDB0002314"", ""hmdb:HMDB0002343"", ""hmdb:HMDB0002995"", ""hmdb:HMDB0244588"")"
"10","Arachidonic Acid Metabolism(kegg)","0.0696257615317667","0.688928587788008","0.705617895703314","1.51977715788833","79","9","c(""hmdb:HMDB0002265"", ""hmdb:HMDB0002311"", ""hmdb:HMDB0002314"", ""hmdb:HMDB0002343"", ""hmdb:HMDB0002995"", ""hmdb:HMDB0244588"")"
