"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"1","Biomarkers for pyrimidine metabolism disorders(wiki)","0.0346568739958687","0.0913032246098407","0.115816281989299","0.559973218861001","1.49943805549846","15","c(""gene_symbol:RRM2"", ""gene_symbol:TYMS"", ""gene_symbol:RRM1"", ""gene_symbol:UMPS"", ""gene_symbol:PUS1"")","0.0131203650884199","0.36999429549344","-0.960903372045387","-1.45810197226999","22","3","c(""hmdb:HMDB0304156"", ""hmdb:HMDB0002031"")"
"2","Diseases of glycosylation(reactome)","0.000593597720904804","0.00299290505206817","0.477270815362862","0.418970352003448","1.51881871095098","123","c(""gene_symbol:THBS1"", ""gene_symbol:SDC1"", ""gene_symbol:BGN"", ""gene_symbol:ADAMTS7"", ""gene_symbol:HSPG2"", ""gene_symbol:ADAMTS14"", ""gene_symbol:THBS2"", ""gene_symbol:B4GALT1"", ""gene_symbol:VCAN"", ""gene_symbol:CFP"", ""gene_symbol:CHST14"", ""gene_symbol:CSPG4"", ""gene_symbol:CHSY1"", ""gene_symbol:NOTCH2"", ""gene_symbol:GALNT12"", ""gene_symbol:NOTCH1"", ""gene_symbol:ADAMTS17"", ""gene_symbol:EXT1"", ""gene_symbol:ALG13"", ""gene_symbol:ADAMTS10"", ""gene_symbol:NOTCH4"", ""gene_symbol:ADAMTS4"", ""gene_symbol:ADAMTS9"", 
""gene_symbol:ADAMTS6"", ""gene_symbol:MOGS"", ""gene_symbol:GALK1"", ""gene_symbol:ALG8"", ""gene_symbol:AGRN"", ""gene_symbol:HEXB"", ""gene_symbol:SLC26A2"", ""gene_symbol:GALNT3"", ""gene_symbol:CTSA"", ""gene_symbol:HEXA"", ""gene_symbol:GLB1"", ""gene_symbol:MGAT2"", ""gene_symbol:PMM2"", ""gene_symbol:SDC4"", ""gene_symbol:NOTCH3"", ""gene_symbol:DPM3"", ""gene_symbol:C1GALT1"", ""gene_symbol:ADAMTS13"", ""gene_symbol:SDC2"", ""gene_symbol:DPAGT1"", ""gene_symbol:EXT2"", ""gene_symbol:ALG6"")","0.0302670623145401","0.449226924878963","-0.964071856287425","-1.36978921782526","50","2","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"3","Diseases of nucleotide metabolism(reactome)","0.0170556552962298","0.0507321895337236","0.19084337902083","0.876225085343024","1.50823742444851","3","c(""gene_symbol:APRT"", ""gene_symbol:PNP"", ""gene_symbol:ADA"")","0.250565610859729","0.726273068603549","-0.727272727272727","-1.18844850650379","442","4","c(""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000085"", ""hmdb:HMDB0000050"")"
"4","Drug ADME(reactome)","0.00867410161090459","0.0288588432291027","0.22301302877081","0.452509818761767","1.51711220692865","54","c(""gene_symbol:ABCG2"", ""gene_symbol:VAV1"", ""gene_symbol:ABCB1"", ""gene_symbol:SLC29A1"", ""gene_symbol:IMPDH2"", ""gene_symbol:NME1-NME2"", ""gene_symbol:SLC29A3"", ""gene_symbol:ABCC1"", ""gene_symbol:PNP"", ""gene_symbol:VAV2"", ""gene_symbol:ADA"", ""gene_symbol:ABCC3"", ""gene_symbol:SLC16A1"", ""gene_symbol:XDH"", ""gene_symbol:UGT1A3"", ""gene_symbol:UGT1A4"", ""gene_symbol:UGT1A1"", ""gene_symbol:UGT1A6"", ""gene_symbol:GMPS"", ""gene_symbol:UGT1A10"")","0.259039395574744","0.726273068603549","-0.620646956765264","-1.22563485612439","479","9","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"", ""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000050"", ""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"5","Endothelin pathways(wiki)","0.000625165852892449","0.00312842673797796","0.477270815362862","-0.429058190236592","-1.94877733523286","30","c(""gene_symbol:NPY"", ""gene_symbol:PLCB1"", ""gene_symbol:NPY1R"", ""gene_symbol:GNAI1"", ""gene_symbol:ADRB1"", ""gene_symbol:PRKCA"", ""gene_symbol:RAMP1"", ""gene_symbol:ADRA1A"", ""gene_symbol:RIIAD1"", ""gene_symbol:GNB5"", ""gene_symbol:CALM3"", ""gene_symbol:EDNRB"", ""gene_symbol:CALM1"", ""gene_symbol:CALM2"")","0.0658753709198813","0.675521985432965","-0.934131736526946","-1.3272491800046","110","2","c(""hmdb:HMDB0250742"", ""hmdb:HMDB0000904"")"
"6","Hemostasis(reactome)","8.33514293777917e-11","2.25435256674769e-09","0.839088935621274","0.407121108927301","1.5743796499516","498","c(""gene_symbol:CD74"", ""gene_symbol:ITGAX"", ""gene_symbol:THBS1"", ""gene_symbol:CD44"", ""gene_symbol:ITGAL"", ""gene_symbol:SDC1"", ""gene_symbol:KIF23"", ""gene_symbol:CENPE"", ""gene_symbol:KIF20B"", ""gene_symbol:PLAUR"", ""gene_symbol:CD109"", ""gene_symbol:KIF11"", ""gene_symbol:KIF2C"", ""gene_symbol:SPN"", ""gene_symbol:FLNA"", ""gene_symbol:ANXA2"", ""gene_symbol:SHC1"", ""gene_symbol:ITGB2"", ""gene_symbol:TGFB1"", ""gene_symbol:TUBB6"", ""gene_symbol:RAC2"", ""gene_symbol:IRF1"", ""gene_symbol:KIF15"", ""gene_symbol:KIF18B"", ""gene_symbol:ITGA5"", 
""gene_symbol:PTPN6"", ""gene_symbol:FN1"", ""gene_symbol:LCP2"", ""gene_symbol:KIF22"", ""gene_symbol:SERPINE1"", ""gene_symbol:FCER1G"", ""gene_symbol:FGR"", ""gene_symbol:DOCK8"", ""gene_symbol:TAGLN2"", ""gene_symbol:PLAU"", ""gene_symbol:F2R"", ""gene_symbol:S100A10"", ""gene_symbol:ITPR3"", ""gene_symbol:CD48"", ""gene_symbol:CDK2"", ""gene_symbol:APBB1IP"", ""gene_symbol:ITGB1"", ""gene_symbol:LYN"", ""gene_symbol:KIF20A"", ""gene_symbol:PRKG2"", ""gene_symbol:VAV1"", ""gene_symbol:CD244"", ""gene_symbol:MAFF"", ""gene_symbol:SRGN"", ""gene_symbol:TP53"", 
""gene_symbol:PLA2G4A"", ""gene_symbol:RACGAP1"", ""gene_symbol:ANXA5"", ""gene_symbol:KIFC1"", ""gene_symbol:JAML"", ""gene_symbol:FERMT3"", ""gene_symbol:DOCK2"", ""gene_symbol:PLCG2"", ""gene_symbol:ECM1"", ""gene_symbol:TIMP1"", ""gene_symbol:KIF4A"", ""gene_symbol:SYK"", ""gene_symbol:ITGAM"", ""gene_symbol:TGFB3"", ""gene_symbol:TLN1"", ""gene_symbol:CSK"", ""gene_symbol:GNGT2"", ""gene_symbol:CD84"", ""gene_symbol:P2RX7"", ""gene_symbol:KIF26B"", ""gene_symbol:TOR4A"", ""gene_symbol:KIF18A"", ""gene_symbol:IGKC"", ""gene_symbol:SLC7A7"", 
""gene_symbol:PFN1"", ""gene_symbol:CAPZA1"", ""gene_symbol:PRCP"", ""gene_symbol:GNAI3"", ""gene_symbol:PROCR"", ""gene_symbol:HDAC1"", ""gene_symbol:GNG5"", ""gene_symbol:INPP5D"", ""gene_symbol:DOCK11"", ""gene_symbol:ITGA1"", ""gene_symbol:PIK3CG"", ""gene_symbol:PIK3R5"", ""gene_symbol:SH2B3"", ""gene_symbol:SLC16A3"", ""gene_symbol:CD36"", ""gene_symbol:VEGFC"", ""gene_symbol:ITGA4"", ""gene_symbol:EHD2"", ""gene_symbol:F11R"", ""gene_symbol:ARRB2"", ""gene_symbol:GNA15"", ""gene_symbol:H3-3A"", ""gene_symbol:VEGFD"", ""gene_symbol:CD9"", 
""gene_symbol:CAV1"", ""gene_symbol:LGALS3BP"", ""gene_symbol:CALU"", ""gene_symbol:RAP1B"", ""gene_symbol:CD63"", ""gene_symbol:PLAT"", ""gene_symbol:HMG20B"", ""gene_symbol:TMSB4X"", ""gene_symbol:MICAL1"", ""gene_symbol:GYPC"", ""gene_symbol:ACTN1"", ""gene_symbol:ACTB"", ""gene_symbol:NRAS"", ""gene_symbol:SLC7A6"", ""gene_symbol:VCL"", ""gene_symbol:SERPINA3"", ""gene_symbol:VAV2"", ""gene_symbol:ANGPT2"", ""gene_symbol:PLEK"", ""gene_symbol:HSPA5"", ""gene_symbol:GNAI2"", ""gene_symbol:DOCK7"", ""gene_symbol:LAMP2"", ""gene_symbol:NHLRC2"", 
""gene_symbol:P2RX4"", ""gene_symbol:ITGA6"", ""gene_symbol:RHOG"", ""gene_symbol:YES1"", ""gene_symbol:MANF"", ""gene_symbol:SLC16A1"", ""gene_symbol:ITGA3"", ""gene_symbol:APOOL"", ""gene_symbol:EHD1"", ""gene_symbol:PDE5A"", ""gene_symbol:P2RX3"", ""gene_symbol:AKT1"", ""gene_symbol:SLC7A5"", ""gene_symbol:H3C14"", ""gene_symbol:RAP1A"", ""gene_symbol:RCOR1"", ""gene_symbol:PPP2R1B"", ""gene_symbol:CTSW"", ""gene_symbol:PTPN1"", ""gene_symbol:GNA13"", ""gene_symbol:C1QBP"", ""gene_symbol:SPARC"", ""gene_symbol:ITGAV"", ""gene_symbol:GNG11"", 
""gene_symbol:COL1A1"", ""gene_symbol:PROS1"", ""gene_symbol:PDPN"", ""gene_symbol:ORAI1"", ""gene_symbol:RHOA"", ""gene_symbol:ACTN4"", ""gene_symbol:DOCK5"", ""gene_symbol:VEGFA"", ""gene_symbol:KIF26A"", ""gene_symbol:LAT"", ""gene_symbol:SDC4"", ""gene_symbol:SELPLG"", ""gene_symbol:TGFB2"", ""gene_symbol:MIF"", ""gene_symbol:SH2B2"", ""gene_symbol:KDM1A"", ""gene_symbol:SIN3A"", ""gene_symbol:JAK2"", ""gene_symbol:CFL1"", ""gene_symbol:GATA2"", ""gene_symbol:WDR1"", ""gene_symbol:PRKCD"", ""gene_symbol:LHFPL2"", ""gene_symbol:CYB5R1"")","0.0658753709198813","0.675521985432965","-0.934131736526946","-1.3272491800046","110","2","c(""hmdb:HMDB0250742"", ""hmdb:HMDB0000904"")"
"7","Innate Immune System(reactome)","8.2899197684261e-37","8.46400808356305e-34","1.57637362160047","0.477642050982313","1.86732234518802","821","c(""gene_symbol:LYZ"", ""gene_symbol:ITGAX"", ""gene_symbol:CYBB"", ""gene_symbol:CD44"", ""gene_symbol:ITGAL"", ""gene_symbol:NLRC5"", ""gene_symbol:S100A11"", ""gene_symbol:IFI16"", ""gene_symbol:PTPRC"", ""gene_symbol:CTSC"", ""gene_symbol:HLA-A"", ""gene_symbol:CLEC7A"", ""gene_symbol:LGALS3"", ""gene_symbol:PLAUR"", ""gene_symbol:NCF4"", ""gene_symbol:FCGR3A"", ""gene_symbol:NFKB2"", ""gene_symbol:CCR2"", ""gene_symbol:CNN2"", ""gene_symbol:HCK"", ""gene_symbol:ANXA2"", ""gene_symbol:ZBP1"", ""gene_symbol:PSMB8"", ""gene_symbol:SHC1"", ""gene_symbol:ITGB2"", 
""gene_symbol:CFB"", ""gene_symbol:RAC2"", ""gene_symbol:TCIRG1"", ""gene_symbol:C3"", ""gene_symbol:LILRA3"", ""gene_symbol:SLC11A1"", ""gene_symbol:CLEC5A"", ""gene_symbol:FCGR2A"", ""gene_symbol:CASP8"", ""gene_symbol:ADAM8"", ""gene_symbol:PTPN6"", ""gene_symbol:FGL2"", ""gene_symbol:PSMB9"", ""gene_symbol:LCP2"", ""gene_symbol:CGAS"", ""gene_symbol:FCER1G"", ""gene_symbol:FGR"", ""gene_symbol:B4GALT1"", ""gene_symbol:C3AR1"", ""gene_symbol:IRF7"", ""gene_symbol:IL1B"", ""gene_symbol:STING1"", ""gene_symbol:B2M"", ""gene_symbol:C5AR1"", ""gene_symbol:PLAU"", 
""gene_symbol:IQGAP1"", ""gene_symbol:PLD4"", ""gene_symbol:TLR2"", ""gene_symbol:CYBA"", ""gene_symbol:HK3"", ""gene_symbol:NCF2"", ""gene_symbol:ARPC1B"", ""gene_symbol:FCGR1A"", ""gene_symbol:CFP"", ""gene_symbol:PLAC8"", ""gene_symbol:ITPR3"", ""gene_symbol:NCF1"", ""gene_symbol:MYH9"", ""gene_symbol:LAT2"", ""gene_symbol:ISG15"", ""gene_symbol:CTSH"", ""gene_symbol:LYN"", ""gene_symbol:MAPK12"", ""gene_symbol:NFKB1"", ""gene_symbol:VAV1"", ""gene_symbol:BST2"", ""gene_symbol:GSDMD"", ""gene_symbol:UNC93B1"", ""gene_symbol:BST1"", ""gene_symbol:CTSS"", 
""gene_symbol:TP53"", ""gene_symbol:TYROBP"", ""gene_symbol:DHX58"", ""gene_symbol:WASF2"", ""gene_symbol:HLA-E"", ""gene_symbol:TNFRSF1B"", ""gene_symbol:BIN2"", ""gene_symbol:NCKAP1L"", ""gene_symbol:GPR84"", ""gene_symbol:CASP1"", ""gene_symbol:C1QA"", ""gene_symbol:GRN"", ""gene_symbol:CTSZ"", ""gene_symbol:C1QC"", ""gene_symbol:WIPF1"", ""gene_symbol:SLPI"", ""gene_symbol:BIRC3"", ""gene_symbol:TRIM25"", ""gene_symbol:DOCK2"", ""gene_symbol:FRK"", ""gene_symbol:CD68"", ""gene_symbol:PLCG2"", ""gene_symbol:CARD11"", ""gene_symbol:CD180"", 
""gene_symbol:MYO1C"", ""gene_symbol:WAS"", ""gene_symbol:ARHGAP9"", ""gene_symbol:TLR1"", ""gene_symbol:CLEC4A"", ""gene_symbol:CD93"", ""gene_symbol:SYK"", ""gene_symbol:ITGAM"", ""gene_symbol:TRIM56"", ""gene_symbol:NFAM1"", ""gene_symbol:CARD9"", ""gene_symbol:CD53"", ""gene_symbol:SIGIRR"", ""gene_symbol:ARHGAP45"", ""gene_symbol:TLR9"", ""gene_symbol:C1QB"", ""gene_symbol:TLR4"", ""gene_symbol:MAPKAPK3"", ""gene_symbol:SOCS1"", ""gene_symbol:MAP2K3"", ""gene_symbol:BTK"", ""gene_symbol:UBA7"", ""gene_symbol:IKBKE"", ""gene_symbol:CD14"", 
""gene_symbol:LAIR1"", ""gene_symbol:PGM2"", ""gene_symbol:IRAG2"", ""gene_symbol:NFATC3"", ""gene_symbol:GUSB"", ""gene_symbol:PRDX4"", ""gene_symbol:CD300A"", ""gene_symbol:DOK3"", ""gene_symbol:P2RX7"", ""gene_symbol:RIPK3"", ""gene_symbol:NLRP3"", ""gene_symbol:APRT"", ""gene_symbol:DSN1"", ""gene_symbol:NBEAL2"", ""gene_symbol:CKAP4"", ""gene_symbol:IGKC"", ""gene_symbol:MVP"", ""gene_symbol:LY86"", ""gene_symbol:CD33"", ""gene_symbol:TXN"", ""gene_symbol:USP18"", ""gene_symbol:CLEC12A"", ""gene_symbol:IFIH1"", ""gene_symbol:RIPK1"", ""gene_symbol:MAPKAPK2"", 
""gene_symbol:PYCARD"", ""gene_symbol:ANO6"", ""gene_symbol:HMOX1"", ""gene_symbol:TRIM21"", ""gene_symbol:CAPZA1"", ""gene_symbol:GRAP2"", ""gene_symbol:MYD88"", ""gene_symbol:PRCP"", ""gene_symbol:MCEMP1"", ""gene_symbol:STK10"", ""gene_symbol:DUSP4"", ""gene_symbol:TEC"", ""gene_symbol:IMPDH2"", ""gene_symbol:PSTPIP1"", ""gene_symbol:PLEKHO2"", ""gene_symbol:HPSE"", ""gene_symbol:NME1-NME2"", ""gene_symbol:CASP4"", ""gene_symbol:GMFG"", ""gene_symbol:TXNIP"", ""gene_symbol:UNC13D"", ""gene_symbol:ATF1"", ""gene_symbol:PTAFR"", ""gene_symbol:CPNE3"", 
""gene_symbol:UBE2L6"", ""gene_symbol:FTL"", ""gene_symbol:APAF1"", ""gene_symbol:RELA"", ""gene_symbol:GLIPR1"", ""gene_symbol:CTSL"", ""gene_symbol:BCL10"", ""gene_symbol:RNASE6"", ""gene_symbol:TIRAP"", ""gene_symbol:CSTB"", ""gene_symbol:TMC6"", ""gene_symbol:CD36"", ""gene_symbol:RELB"", ""gene_symbol:NPC2"", ""gene_symbol:MYO9B"", ""gene_symbol:RIPK2"", ""gene_symbol:SNAP23"", ""gene_symbol:IGF2R"", ""gene_symbol:MALT1"", ""gene_symbol:OSTF1"", ""gene_symbol:VAT1"", ""gene_symbol:CASP2"", ""gene_symbol:DYNLT1"", ""gene_symbol:AIM2"", ""gene_symbol:NFATC1"", 
""gene_symbol:MAVS"", ""gene_symbol:DNASE1L1"", ""gene_symbol:COTL1"", ""gene_symbol:ATP7A"", ""gene_symbol:LCN2"", ""gene_symbol:DERA"", ""gene_symbol:PSME1"", ""gene_symbol:CHUK"", ""gene_symbol:RPS27A"", ""gene_symbol:EEF1A1"", ""gene_symbol:RAP1B"", ""gene_symbol:ALPK1"", ""gene_symbol:CD63"", ""gene_symbol:ANPEP"", ""gene_symbol:SLC44A2"", ""gene_symbol:MAN2B1"", ""gene_symbol:TXNDC5"", ""gene_symbol:MANBA"", ""gene_symbol:TLR6"", ""gene_symbol:ROCK1"", ""gene_symbol:NLRC3"", ""gene_symbol:CAPN1"", ""gene_symbol:MAGT1"", ""gene_symbol:ACTB"", 
""gene_symbol:NRAS"", ""gene_symbol:LRRFIP1"", ""gene_symbol:TLR7"", ""gene_symbol:ASAH1"", ""gene_symbol:DUSP6"", ""gene_symbol:CPNE1"", ""gene_symbol:VCL"", ""gene_symbol:PSMA5"", ""gene_symbol:MAP3K14"", ""gene_symbol:NLRC4"", ""gene_symbol:NFKBIA"", ""gene_symbol:SERPINA3"", ""gene_symbol:ALOX5"", ""gene_symbol:TICAM2"", ""gene_symbol:PNP"", ""gene_symbol:VAV2"", ""gene_symbol:KPNB1"", ""gene_symbol:ATP6V0E1"", ""gene_symbol:PSME4"", ""gene_symbol:C2"", ""gene_symbol:CCT2"", ""gene_symbol:AGA"", ""gene_symbol:LAMP2"", ""gene_symbol:RPS6KA1"", 
""gene_symbol:MMP9"", ""gene_symbol:STAT6"", ""gene_symbol:POLR3G"", ""gene_symbol:TIFA"", ""gene_symbol:NOD2"", ""gene_symbol:LGMN"", ""gene_symbol:RHOG"", ""gene_symbol:IKBIP"", ""gene_symbol:VAMP8"", ""gene_symbol:SURF4"", ""gene_symbol:HSP90B1"", ""gene_symbol:TREX1"", ""gene_symbol:YES1"", ""gene_symbol:MAP3K1"", ""gene_symbol:HVCN1"", ""gene_symbol:STOM"", ""gene_symbol:FADD"", ""gene_symbol:RNF135"", ""gene_symbol:MRE11"", ""gene_symbol:HMGB1"", ""gene_symbol:MYO10"", ""gene_symbol:IRF3"", ""gene_symbol:PSME2"", ""gene_symbol:HEXB"", ""gene_symbol:CMTM6"", 
""gene_symbol:PA2G4"", ""gene_symbol:DDOST"", ""gene_symbol:PSMB10"", ""gene_symbol:ACTR3"", ""gene_symbol:PRKCSH"", ""gene_symbol:IRAK4"", ""gene_symbol:LY96"", ""gene_symbol:ARPC5"", ""gene_symbol:SEM1"", ""gene_symbol:NOD1"", ""gene_symbol:POLR3C"", ""gene_symbol:TRAF2"", ""gene_symbol:ATP6V1G1"", ""gene_symbol:RAP1A"", ""gene_symbol:PPP2R1B"", ""gene_symbol:IRAK1"", ""gene_symbol:POLR1C"", ""gene_symbol:NLRP1"", ""gene_symbol:DIAPH1"", ""gene_symbol:GALNS"", ""gene_symbol:CTSA"", ""gene_symbol:CLEC10A"", ""gene_symbol:NKIRAS2"", ""gene_symbol:ITGAV"", 
""gene_symbol:ALDH3B1"", ""gene_symbol:PROS1"", ""gene_symbol:TUBB"", ""gene_symbol:PAK2"", ""gene_symbol:PCBP2"", ""gene_symbol:EEF2"", ""gene_symbol:RHOA"", ""gene_symbol:GLB1"", ""gene_symbol:RNASET2"", ""gene_symbol:CCT8"", ""gene_symbol:POLR1D"", ""gene_symbol:PSMA7"", ""gene_symbol:MAPK7"", ""gene_symbol:MLEC"", ""gene_symbol:PSMA4"", ""gene_symbol:TAB2"", ""gene_symbol:IRAK3"", ""gene_symbol:PPIE"", ""gene_symbol:LAT"", ""gene_symbol:PSMA1"", ""gene_symbol:PLD2"", ""gene_symbol:KCMF1"", ""gene_symbol:LPCAT1"", ""gene_symbol:DDX3X"", ""gene_symbol:ILF2"", 
""gene_symbol:TICAM1"", ""gene_symbol:NCSTN"", ""gene_symbol:APEH"", ""gene_symbol:POLR2F"", ""gene_symbol:MIF"", ""gene_symbol:IKBKB"", ""gene_symbol:C6orf120"", ""gene_symbol:NIT2"", ""gene_symbol:ARSA"", ""gene_symbol:GAB2"", ""gene_symbol:CFL1"", ""gene_symbol:TREM2"", ""gene_symbol:TSPAN14"", ""gene_symbol:TKFC"", ""gene_symbol:TNFAIP3"", ""gene_symbol:ACTG1"", ""gene_symbol:DHX9"", ""gene_symbol:PRKCD"", ""gene_symbol:MMP25"", ""gene_symbol:DNM2"", ""gene_symbol:MOSPD2"", ""gene_symbol:ARPC2"", ""gene_symbol:ATOX1"", ""gene_symbol:ERP44"", 
""gene_symbol:PIK3CA"", ""gene_symbol:MAP3K8"", ""gene_symbol:COPB1"", ""gene_symbol:SERPINB6"", ""gene_symbol:CD247"", ""gene_symbol:ATP11B"", ""gene_symbol:GM2A"", ""gene_symbol:JUN"", ""gene_symbol:POLR2H"", ""gene_symbol:CYFIP1"", ""gene_symbol:LCK"", ""gene_symbol:CTSD"", ""gene_symbol:RAP2C"", ""gene_symbol:TMBIM1"", ""gene_symbol:PSMB3"", ""gene_symbol:ADAM10"", ""gene_symbol:PSMD11"", ""gene_symbol:C1R"", ""gene_symbol:GGH"", ""gene_symbol:IRAK2"", ""gene_symbol:TNIP2"", ""gene_symbol:PLCG1"", ""gene_symbol:C5AR2"", ""gene_symbol:MME"", 
""gene_symbol:CDC34"", ""gene_symbol:TRAF6"", ""gene_symbol:NHLRC3"", ""gene_symbol:N4BP1"", ""gene_symbol:PSMB2"", ""gene_symbol:XRCC6"", ""gene_symbol:MAP2K6"", ""gene_symbol:PSMA3"", ""gene_symbol:DNAJC13"")","0.295493439817456","0.726273068603549","-0.747886106830929","-1.13486354520983","517","3","c(""hmdb:HMDB0250742"", ""hmdb:HMDB0000904"")"
"8","Interconversion of nucleotide di- and triphosphates(wiki)","0.000243091901455421","0.00138983409993118","0.518848077743792","0.600560335161648","1.83286245778081","29","c(""gene_symbol:RRM2"", ""gene_symbol:TYMS"", ""gene_symbol:RRM1"", ""gene_symbol:AK2"", ""gene_symbol:TXN"", ""gene_symbol:NME1-NME2"", ""gene_symbol:DCTD"", ""gene_symbol:NME4"", ""gene_symbol:GSR"", ""gene_symbol:DCTPP1"", ""gene_symbol:TXNRD1"", ""gene_symbol:DTYMK"")","0.281335522714833","0.726273068603549","-0.633131712100248","-1.18412458068485","513","7","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"9","Leishmania infection(reactome)","7.44319447545056e-09","1.47563137076408e-07","0.761460801445585","0.489016237027827","1.79917435868685","152","c(""gene_symbol:FCGR3A"", ""gene_symbol:NFKB2"", ""gene_symbol:HCK"", ""gene_symbol:C3"", ""gene_symbol:FCGR2A"", ""gene_symbol:FGR"", ""gene_symbol:C3AR1"", ""gene_symbol:IL1B"", ""gene_symbol:CYBA"", ""gene_symbol:ARPC1B"", ""gene_symbol:FCGR1A"", ""gene_symbol:ITPR3"", ""gene_symbol:MYH9"", ""gene_symbol:RHBDF2"", ""gene_symbol:LYN"", ""gene_symbol:NFKB1"", ""gene_symbol:VAV1"", ""gene_symbol:GSDMD"", ""gene_symbol:WASF2"", ""gene_symbol:NCKAP1L"", ""gene_symbol:CASP1"", ""gene_symbol:ADCY7"", ""gene_symbol:WIPF1"", ""gene_symbol:PLCG2"", ""gene_symbol:MYO1C"", 
""gene_symbol:WAS"", ""gene_symbol:SYK"", ""gene_symbol:BTK"", ""gene_symbol:ADAM17"", ""gene_symbol:GNGT2"", ""gene_symbol:P2RX7"", ""gene_symbol:NLRP3"", ""gene_symbol:IGKC"", ""gene_symbol:TXN"", ""gene_symbol:FURIN"", ""gene_symbol:PYCARD"", ""gene_symbol:HMOX1"", ""gene_symbol:GNAI3"", ""gene_symbol:GNG5"", ""gene_symbol:PSTPIP1"", ""gene_symbol:TXNIP"", ""gene_symbol:RELA"", ""gene_symbol:WNT5A"", ""gene_symbol:MYO9B"", ""gene_symbol:NT5E"", ""gene_symbol:IL1A"", ""gene_symbol:ACTB"", ""gene_symbol:VAV2"", ""gene_symbol:GNAI2"", ""gene_symbol:P2RX4"", 
""gene_symbol:CYSLTR1"", ""gene_symbol:PRKX"", ""gene_symbol:YES1"", ""gene_symbol:ENTPD1"", ""gene_symbol:MYO10"", ""gene_symbol:FZD7"", ""gene_symbol:ACTR3"", ""gene_symbol:ARPC5"")","0.267651888341544","0.726273068603549","-0.641975308641975","-1.20066445674315","488","7","c(""hmdb:HMDB0000229"", ""hmdb:HMDB0247583"", ""hmdb:HMDB0014340"", ""hmdb:HMDB0000050"", ""hmdb:HMDB0060475"", ""hmdb:HMDB0003339"", ""hmdb:HMDB0000148"")"
"10","Metabolic reprogramming in colon cancer(wiki)","0.0298695835086243","0.0810547369097819","0.119553452602912","0.4449848904309","1.43141804073057","41","c(""gene_symbol:SLC1A5"", ""gene_symbol:HK3"", ""gene_symbol:IDH2"", ""gene_symbol:SHMT2"", ""gene_symbol:SLC16A3"", ""gene_symbol:PGD"", ""gene_symbol:PYCR2"", ""gene_symbol:GART"", ""gene_symbol:RPIA"", ""gene_symbol:PPAT"", ""gene_symbol:PYCR1"", ""gene_symbol:G6PD"", ""gene_symbol:SUCLG2"", ""gene_symbol:LDHA"", ""gene_symbol:PAICS"", ""gene_symbol:PSAT1"", ""gene_symbol:PSPH"", ""gene_symbol:TALDO1"", ""gene_symbol:ACLY"")","0.272473478503629","0.726273068603549","-0.658212083933733","-1.19117155134674","487","6","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"", ""hmdb:HMDB0304324"")"
