"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","1q21.1 copy number variation syndrome(wiki)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"2","5-Phosphoribose 1-diphosphate biosynthesis(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"3","Abacavir ADME(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"4","Abacavir metabolism(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"5","Abacavir transport and metabolism(wiki)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"6","Acrylamide biotransformation and exposure biomarkers(wiki)","0.157264957264957","0.281960248824154","0.848484848484849","1.32341903851088","183","2","c(""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"7","Activation of gene expression by SREBF (SREBP)(reactome)","0.297674418604651","0.398213460649931","-0.87","-1.16098807495741","447","1","hmdb:HMDB0000220"
"8","Activation of gene expression by SREBF (SREBP)(wiki)","0.297674418604651","0.398213460649931","-0.87","-1.16098807495741","447","1","hmdb:HMDB0000220"
"9","Activation of PPARGC1A (PGC-1alpha) by phosphorylation(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"10","Adaptive Immune System(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"11","ADP signalling through P2Y purinoceptor 12(reactome)","0.28780487804878","0.398213460649931","-0.748419668485625","-1.14944906440321","589","3","c(""hmdb:HMDB0247631"", ""hmdb:HMDB0005011"")"
"12","Aerobic glycolysis(wiki)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"13","Aflatoxin activation and detoxification(reactome)","0.157264957264957","0.281960248824154","0.848484848484849","1.32341903851088","183","2","c(""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"14","Aflatoxin activation and detoxification(wiki)","0.157264957264957","0.281960248824154","0.848484848484849","1.32341903851088","183","2","c(""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"15","Alanine, aspartate and glutamate metabolism(kegg)","0.063624396665204","0.216566173690094","-0.81235381098567","-1.37632746391634","144","5","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"", ""hmdb:HMDB0000812"")"
"16","Alpha-linolenic (omega-3) and linoleic (omega-6) acid metabolism(wiki)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"17","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"18","alpha-linolenic acid (ALA) metabolism(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"19","Alpha-oxidation of phytanate(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"20","Amino Acid conjugation(reactome)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
