"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"1","Abacavir ADME(reactome)","0.0340909090909091","0.0899982370570606","0.12715460462341","0.755913510916863","1.50656240786981","5","c(""gene_symbol:ABCG2"", ""gene_symbol:ABCB1"")","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"2","Abacavir transport and metabolism(wiki)","0.0313240326401685","0.0839663882891149","0.13095021494656","0.72433510943701","1.51760597232248","6","c(""gene_symbol:ABCG2"", ""gene_symbol:ABCB1"")","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"3","Adaptive Immune System(reactome)","3.71584557440024e-13","1.45918397363948e-11","0.932595211336209","0.401711892917102","1.56268279220003","637","c(""gene_symbol:HLA-DQB1"", ""gene_symbol:CD74"", ""gene_symbol:HLA-DQA1"", ""gene_symbol:HLA-DRB1"", ""gene_symbol:COL3A1"", ""gene_symbol:CYBB"", ""gene_symbol:ITGAL"", ""gene_symbol:KIF23"", ""gene_symbol:IFI30"", ""gene_symbol:UBE2C"", ""gene_symbol:PTPRC"", ""gene_symbol:CENPE"", ""gene_symbol:CTSC"", ""gene_symbol:HLA-A"", ""gene_symbol:KIF11"", ""gene_symbol:NCF4"", ""gene_symbol:KIF2C"", ""gene_symbol:FCGR3A"", ""gene_symbol:PILRA"", ""gene_symbol:TAP1"", ""gene_symbol:PSMB8"", ""gene_symbol:ITGB2"", ""gene_symbol:TUBB6"", ""gene_symbol:C3"", 
""gene_symbol:KIF15"", ""gene_symbol:LILRA3"", ""gene_symbol:VASP"", ""gene_symbol:SIGLEC1"", ""gene_symbol:PTPN6"", ""gene_symbol:PSMB9"", ""gene_symbol:LCP2"", ""gene_symbol:KIF22"", ""gene_symbol:SOCS3"", ""gene_symbol:HLA-DMB"", ""gene_symbol:B2M"", ""gene_symbol:TLR2"", ""gene_symbol:CYBA"", ""gene_symbol:SIGLEC12"", ""gene_symbol:NCF2"", ""gene_symbol:FCGR1A"", ""gene_symbol:CDC20"", ""gene_symbol:ITPR3"", ""gene_symbol:NCF1"", ""gene_symbol:PIK3AP1"", ""gene_symbol:ITGB7"", ""gene_symbol:ITGB1"", ""gene_symbol:CTSH"", ""gene_symbol:LYN"", 
""gene_symbol:NFKBIE"", ""gene_symbol:NFKB1"", ""gene_symbol:KIF20A"", ""gene_symbol:RNF213"", ""gene_symbol:DTX3L"", ""gene_symbol:VAV1"", ""gene_symbol:LILRA5"", ""gene_symbol:CTSS"", ""gene_symbol:TYROBP"", ""gene_symbol:HLA-E"", ""gene_symbol:RACGAP1"", ""gene_symbol:JAML"", ""gene_symbol:TAP2"", ""gene_symbol:PLCG2"", ""gene_symbol:CARD11"", ""gene_symbol:CCNF"", ""gene_symbol:WAS"", ""gene_symbol:TLR1"", ""gene_symbol:KIF4A"", ""gene_symbol:TRIB3"", ""gene_symbol:SYK"", ""gene_symbol:SKP2"", ""gene_symbol:ERAP1"", ""gene_symbol:CD274"", 
""gene_symbol:ICAM1"", ""gene_symbol:IFITM1"", ""gene_symbol:CD86"", ""gene_symbol:TLR4"", ""gene_symbol:SOCS1"", ""gene_symbol:BTK"", ""gene_symbol:UBA7"", ""gene_symbol:CD14"", ""gene_symbol:LAIR1"", ""gene_symbol:HLA-DMA"", ""gene_symbol:CD300C"", ""gene_symbol:NFATC3"", ""gene_symbol:CSK"", ""gene_symbol:CD300A"", ""gene_symbol:TAPBP"", ""gene_symbol:HLA-DOB"", ""gene_symbol:KIF18A"", ""gene_symbol:IGKC"", ""gene_symbol:CD33"", ""gene_symbol:CD40"", ""gene_symbol:TRIM21"", ""gene_symbol:CAPZA1"", ""gene_symbol:GRAP2"", ""gene_symbol:MYD88"", 
""gene_symbol:SIPA1"", ""gene_symbol:TNFRSF14"", ""gene_symbol:HLA-G"", ""gene_symbol:INPP5D"", ""gene_symbol:SPSB1"", ""gene_symbol:FBXO17"", ""gene_symbol:PTPN22"", ""gene_symbol:PVR"", ""gene_symbol:UBE2L6"", ""gene_symbol:ASB2"", ""gene_symbol:RELA"", ""gene_symbol:TREML2"", ""gene_symbol:CTSL"", ""gene_symbol:CD300LD"", ""gene_symbol:BCL10"", ""gene_symbol:CD1D"", ""gene_symbol:ITGB5"", ""gene_symbol:TIRAP"", ""gene_symbol:CD36"", ""gene_symbol:VCAM1"", ""gene_symbol:ITGA4"", ""gene_symbol:RIPK2"", ""gene_symbol:CUL7"", ""gene_symbol:SNAP23"", 
""gene_symbol:MALT1"", ""gene_symbol:SH3KBP1"", ""gene_symbol:NFATC1"", ""gene_symbol:UBE2S"", ""gene_symbol:SEC61B"", ""gene_symbol:PSME1"", ""gene_symbol:WSB1"", ""gene_symbol:CHUK"", ""gene_symbol:FBXO30"", ""gene_symbol:CLEC2D"", ""gene_symbol:RPS27A"", ""gene_symbol:RAP1B"", ""gene_symbol:PDIA3"", ""gene_symbol:SEC61A1"", ""gene_symbol:TLR6"", ""gene_symbol:CTSE"", ""gene_symbol:TRAF7"", ""gene_symbol:NRAS"", ""gene_symbol:HLA-DOA"", ""gene_symbol:REL"", ""gene_symbol:PSMA5"", ""gene_symbol:MAP3K14"", ""gene_symbol:FBXL8"", ""gene_symbol:NFKBIA"", 
""gene_symbol:PSME4"", ""gene_symbol:RNF19B"", ""gene_symbol:MRC2"", ""gene_symbol:SLAMF6"", ""gene_symbol:HSPA5"", ""gene_symbol:COLEC12"", ""gene_symbol:SIAH2"", ""gene_symbol:NECTIN2"", ""gene_symbol:LGMN"", ""gene_symbol:VAMP8"", ""gene_symbol:YES1"", ""gene_symbol:XDH"", ""gene_symbol:HMGB1"", ""gene_symbol:PSME2"", ""gene_symbol:SEC24D"", ""gene_symbol:TRAIP"", ""gene_symbol:PSMB10"", ""gene_symbol:KLHL25"", ""gene_symbol:HERC6"", ""gene_symbol:VAMP3"", ""gene_symbol:LY96"", ""gene_symbol:AKT1"", ""gene_symbol:SEM1"", ""gene_symbol:FBXL14"", 
""gene_symbol:ICOSLG"", ""gene_symbol:RAP1A"", ""gene_symbol:PPP2R1B"", ""gene_symbol:CTSA"", ""gene_symbol:ITGAV"", ""gene_symbol:COL1A1"", ""gene_symbol:RNF138"", ""gene_symbol:SEC24B"", ""gene_symbol:ORAI1"", ""gene_symbol:PAK2"", ""gene_symbol:GLYCAM1"", ""gene_symbol:CD80"", ""gene_symbol:PIK3CD"", ""gene_symbol:SEC61G"", ""gene_symbol:PSMA7"", ""gene_symbol:CD22"", ""gene_symbol:RNF4"", ""gene_symbol:PSMA4"", ""gene_symbol:TAB2"", ""gene_symbol:KIF26A"", ""gene_symbol:LAT"", ""gene_symbol:KLHL20"", ""gene_symbol:PSMA1"", ""gene_symbol:MRC1"", 
""gene_symbol:SEC24A"", ""gene_symbol:SMURF2"", ""gene_symbol:UBE2R2"", ""gene_symbol:CALR"", ""gene_symbol:RLIM"", ""gene_symbol:KLHL21"", ""gene_symbol:UBE2Q1"", ""gene_symbol:IKBKB"", ""gene_symbol:SEC13"", ""gene_symbol:UBE2J2"", ""gene_symbol:CANX"", ""gene_symbol:TREM2"", ""gene_symbol:DNM2"", ""gene_symbol:CBLB"", ""gene_symbol:KLHL41"", ""gene_symbol:KLHL42"", ""gene_symbol:ANAPC1"", ""gene_symbol:CDC26"", ""gene_symbol:UBA6"", ""gene_symbol:PIK3CA"", ""gene_symbol:MAP3K8"", ""gene_symbol:ANAPC4"", ""gene_symbol:ZNRF2"", ""gene_symbol:CDC23""
)","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"4","Antiviral mechanism by IFN-stimulated genes(reactome)","4.78508613926268e-10","1.17019711333825e-08","0.801215574617779","0.605217900618967","2.10336481803252","74","c(""gene_symbol:FLNA"", ""gene_symbol:OASL"", ""gene_symbol:OAS3"", ""gene_symbol:ISG15"", ""gene_symbol:OAS2"", ""gene_symbol:MX1"", ""gene_symbol:TRIM25"", ""gene_symbol:KPNA2"", ""gene_symbol:STAT1"", ""gene_symbol:NUP37"", ""gene_symbol:UBA7"", ""gene_symbol:USP18"", ""gene_symbol:IFIT1"", ""gene_symbol:UBE2L6"", ""gene_symbol:NUP107"", ""gene_symbol:NUP188"", ""gene_symbol:EIF2AK2"", ""gene_symbol:NUP160"", ""gene_symbol:NUP205"", ""gene_symbol:NUP54"", ""gene_symbol:NUP85"", ""gene_symbol:AAAS"", ""gene_symbol:FLNB"", ""gene_symbol:RPS27A"", 
""gene_symbol:EIF4A1"", ""gene_symbol:NUP155"", ""gene_symbol:EIF4E3"", ""gene_symbol:NUP43"", ""gene_symbol:NDC1"", ""gene_symbol:NUP93"", ""gene_symbol:KPNB1"", ""gene_symbol:IRF3"", ""gene_symbol:NUP153"", ""gene_symbol:NUP98"", ""gene_symbol:EIF4G1"", ""gene_symbol:NUP62"", ""gene_symbol:ABCE1"", ""gene_symbol:RAE1"", ""gene_symbol:NUP50"", ""gene_symbol:NUP88"", ""gene_symbol:EIF4A3"", ""gene_symbol:SEC13"", ""gene_symbol:NUP35"", ""gene_symbol:TPR"", ""gene_symbol:SEH1L"", ""gene_symbol:NUP210"", ""gene_symbol:EIF4G2"", ""gene_symbol:PLCG1"", 
""gene_symbol:KPNA4"")","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"5","Aryl hydrocarbon receptor pathway(wiki)","0.00036681434698339","0.00197634537345668","0.49849310876659","0.488609122178472","1.66177063664305","60","c(""gene_symbol:MYOF"", ""gene_symbol:TGFB1"", ""gene_symbol:IL1B"", ""gene_symbol:MYC"", ""gene_symbol:CDK2"", ""gene_symbol:NFKB1"", ""gene_symbol:NFE2L2"", ""gene_symbol:RELA"", ""gene_symbol:CD36"", ""gene_symbol:CDKN1A"", ""gene_symbol:HES1"", ""gene_symbol:NRAS"", ""gene_symbol:E2F1"", ""gene_symbol:ARNT"", ""gene_symbol:POLK"", ""gene_symbol:KLF6"", ""gene_symbol:BAX"", ""gene_symbol:SLC7A5"", ""gene_symbol:HPGDS"", ""gene_symbol:UGT1A4"", ""gene_symbol:UGT1A1"", ""gene_symbol:PTGS2"", ""gene_symbol:VEGFA"", ""gene_symbol:UGT1A6"", ""gene_symbol:ESR1"", 
""gene_symbol:JUN"", ""gene_symbol:NCOR2"", ""gene_symbol:PSRC1"", ""gene_symbol:JUNB"", ""gene_symbol:CDC37"", ""gene_symbol:EP300"", ""gene_symbol:RAF1"", ""gene_symbol:PTGES3"", ""gene_symbol:CYP1B1"")","0.0872703412073491","0.216566173690094","0.96","1.29746998322788","132","1","hmdb:HMDB0258755"
"6","Aspirin ADME(reactome)","0.0229746070133011","0.0653855714580639","0.146998744517973","0.647460018213382","1.56975523511483","10","c(""gene_symbol:ABCC3"", ""gene_symbol:SLC16A1"", ""gene_symbol:UGT1A3"", ""gene_symbol:UGT1A4"", ""gene_symbol:UGT1A1"", ""gene_symbol:UGT1A6"")","0.0936309199782254","0.216566173690094","-0.909090909090909","-1.30396513552202","171","2","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"7","Axon guidance(reactome)","4.251415668083e-06","4.3515743329451e-05","0.610526878385931","0.35947684317503","1.3924269652375","523","c(""gene_symbol:COL3A1"", ""gene_symbol:PTPRC"", ""gene_symbol:EPHA2"", ""gene_symbol:COL5A1"", ""gene_symbol:COL4A1"", ""gene_symbol:COL5A2"", ""gene_symbol:MSN"", ""gene_symbol:PSMB8"", ""gene_symbol:COL6A2"", ""gene_symbol:SHC1"", ""gene_symbol:TUBB6"", ""gene_symbol:LAMB1"", ""gene_symbol:COL5A3"", ""gene_symbol:EFNA4"", ""gene_symbol:ITGA5"", ""gene_symbol:EPHB4"", ""gene_symbol:VASP"", ""gene_symbol:COL6A1"", ""gene_symbol:PSMB9"", ""gene_symbol:COL4A2"", ""gene_symbol:DOK1"", ""gene_symbol:RHOC"", ""gene_symbol:RPLP0"", ""gene_symbol:MMP2"", 
""gene_symbol:ARPC1B"", ""gene_symbol:MYH9"", ""gene_symbol:ITGB1"", ""gene_symbol:LYN"", ""gene_symbol:FES"", ""gene_symbol:MAPK12"", ""gene_symbol:MYL12A"", ""gene_symbol:PABPC1"", ""gene_symbol:COL6A3"", ""gene_symbol:TYROBP"", ""gene_symbol:EFNA1"", ""gene_symbol:LAMC1"", ""gene_symbol:KIF4A"", ""gene_symbol:MET"", ""gene_symbol:TLN1"", ""gene_symbol:RPS2"", ""gene_symbol:RPS6KA6"", ""gene_symbol:RPS12"", ""gene_symbol:RPS27L"", ""gene_symbol:RPS20"", ""gene_symbol:PFN1"", ""gene_symbol:RPLP2"", ""gene_symbol:RPS18"", ""gene_symbol:ITGA1"", 
""gene_symbol:FGFR1"", ""gene_symbol:RPL18"", ""gene_symbol:RPL32"", ""gene_symbol:RPS3A"", ""gene_symbol:RPL39"", ""gene_symbol:RPL12"", ""gene_symbol:RPS9"", ""gene_symbol:UNC5B"", ""gene_symbol:RPS16"", ""gene_symbol:RPS28"", ""gene_symbol:CXCR4"", ""gene_symbol:RPL23"", ""gene_symbol:RPSA"", ""gene_symbol:MYO9B"", ""gene_symbol:RPS4X"", ""gene_symbol:RPS19"", ""gene_symbol:RPL34"", ""gene_symbol:RPL10A"", ""gene_symbol:SH3KBP1"", ""gene_symbol:RPL35"", ""gene_symbol:RPL27"", ""gene_symbol:DPYSL3"", ""gene_symbol:ERBB2"", ""gene_symbol:NTN4"", 
""gene_symbol:RPS8"", ""gene_symbol:RPS17"", ""gene_symbol:NRP2"", ""gene_symbol:RPS10"", ""gene_symbol:MAGOHB"", ""gene_symbol:RPS5"", ""gene_symbol:MAGOH"", ""gene_symbol:PSME1"", ""gene_symbol:RPL8"", ""gene_symbol:RPS11"", ""gene_symbol:RPL10"", ""gene_symbol:RPS3"", ""gene_symbol:RPS27A"", ""gene_symbol:RPL23A"", ""gene_symbol:RBM8A"", ""gene_symbol:RPL30"", ""gene_symbol:RPL28"", ""gene_symbol:PDLIM7"", ""gene_symbol:RPS23"", ""gene_symbol:FAU"", ""gene_symbol:RPL5"", ""gene_symbol:RPL37A"", ""gene_symbol:RPL35A"", ""gene_symbol:ROCK1"", 
""gene_symbol:RPS13"", ""gene_symbol:RPL27A"", ""gene_symbol:ACTB"", ""gene_symbol:NRAS"", ""gene_symbol:RPS7"", ""gene_symbol:RPL13"", ""gene_symbol:PSMA5"", ""gene_symbol:RPL7"", ""gene_symbol:RPL22"", ""gene_symbol:CD72"", ""gene_symbol:RPS27"", ""gene_symbol:VAV2"", ""gene_symbol:LDB1"", ""gene_symbol:PSME4"", ""gene_symbol:RPL13A"", ""gene_symbol:RPL36"", ""gene_symbol:RPL31"", ""gene_symbol:RPS14"", ""gene_symbol:RPL18A"", ""gene_symbol:RPL7A"", ""gene_symbol:RPL17"", ""gene_symbol:PAK4"", ""gene_symbol:RPS26"", ""gene_symbol:SIAH2"", ""gene_symbol:RPS24"", 
""gene_symbol:RPS15A"", ""gene_symbol:RPL11"", ""gene_symbol:RPS6KA1"", ""gene_symbol:MMP9"", ""gene_symbol:RPLP1"", ""gene_symbol:RPS25"", ""gene_symbol:EFNB1"", ""gene_symbol:RPL14"", ""gene_symbol:RPL38"", ""gene_symbol:RPL41"", ""gene_symbol:RPL37"", ""gene_symbol:YES1"", ""gene_symbol:RPL19"", ""gene_symbol:RPL24"", ""gene_symbol:RPL6"", ""gene_symbol:MYO10"", ""gene_symbol:AGRN"", ""gene_symbol:GDNF"", ""gene_symbol:PSME2"", ""gene_symbol:APH1A"", ""gene_symbol:COL4A5"", ""gene_symbol:ETF1"", ""gene_symbol:PSMB10"", ""gene_symbol:EIF4G1"", 
""gene_symbol:RPL4"", ""gene_symbol:PLXNA3"", ""gene_symbol:ACTR3"", ""gene_symbol:RPS6"", ""gene_symbol:ARPC5"", ""gene_symbol:SEM1"", ""gene_symbol:ITGA9"", ""gene_symbol:RPS29"", ""gene_symbol:RPL26"", ""gene_symbol:RPL29"", ""gene_symbol:RPS15"", ""gene_symbol:NCK2"", ""gene_symbol:ITGAV"", ""gene_symbol:NCBP1"", ""gene_symbol:PAK2"", ""gene_symbol:RPL3"", ""gene_symbol:RHOA"", ""gene_symbol:PIK3CD"", ""gene_symbol:RPL9"", ""gene_symbol:PSMA7"", ""gene_symbol:MAPK7"", ""gene_symbol:GFRA1"", ""gene_symbol:RPS21"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", 
""gene_symbol:EIF4A3"", ""gene_symbol:RASA1"", ""gene_symbol:NCSTN"", ""gene_symbol:GSPT1"", ""gene_symbol:RPL21"", ""gene_symbol:GAB2"", ""gene_symbol:RRAS"", ""gene_symbol:CFL1"", ""gene_symbol:TREM2"", ""gene_symbol:ACTG1"", ""gene_symbol:SEMA3A"", ""gene_symbol:RPL36A"", ""gene_symbol:DNM2"", ""gene_symbol:ARPC2"")","0.297674418604651","0.398213460649931","-0.87","-1.16098807495741","447","1","hmdb:HMDB0000220"
"8","Azathioprine ADME(reactome)","0.0211711711711712","0.0611478522369611","0.147797789076295","0.548478034185972","1.52773784027992","18","c(""gene_symbol:VAV1"", ""gene_symbol:SLC29A1"", ""gene_symbol:IMPDH2"", ""gene_symbol:NME1-NME2"", ""gene_symbol:VAV2"", ""gene_symbol:XDH"", ""gene_symbol:GMPS"", ""gene_symbol:ABCC4"", ""gene_symbol:SLC29A2"", ""gene_symbol:VAV3"", ""gene_symbol:TPMT"")","0.258446687143484","0.398213460649931","-0.690329995828808","-1.16958906276516","588","5","c(""hmdb:HMDB0245755"", ""hmdb:HMDB0000045"")"
"9","Biomarkers for pyrimidine metabolism disorders(wiki)","0.0346568739958687","0.0913032246098407","0.115816281989299","0.559973218861001","1.49943805549846","15","c(""gene_symbol:RRM2"", ""gene_symbol:TYMS"", ""gene_symbol:RRM1"", ""gene_symbol:UMPS"", ""gene_symbol:PUS1"")","0.0120845921450151","0.216566173690094","0.805839729993986","1.84556385932058","7","6","c(""hmdb:HMDB0000095"", ""hmdb:HMDB0243501"", ""hmdb:HMDB0000125"", ""hmdb:HMDB0062697"")"
"10","Blood group systems biosynthesis(reactome)","0.0488145048814505","0.12016334812936","0.244763316044136","-0.41812111634637","-1.49065379802936","13","c(""gene_symbol:B3GALT2"", ""gene_symbol:FUT9"", ""gene_symbol:B3GALT1"", ""gene_symbol:B3GALT5"")","0.0299145299145299","0.216566173690094","0.94949494949495","1.48096892404789","34","2","c(""hmdb:HMDB0000095"", ""hmdb:HMDB0243501"")"
